FrameIndex,VideoTimeSec,Status,SearchMode,Latitude,Longitude,MapCenterXPx,MapCenterYPx,Score,TileId,MatchCount,InlierCount,InlierRatio,MeanMatchConfidence,ReprojectionErrorPx
25200,420.0,localized,telemetry_prior,39.80284759,32.38083723,913.37,1008.83,27.6642,tile_512px_0020,22,8,0.3636,0.5916,1.5481
25218,420.3,localized,track_local,39.80223502,32.37886654,585.32,1138.40,24.4432,tile_512px_0020,23,8,0.3478,0.3037,1.3719
25225,420.417,localized,track_local,39.80215351,32.37934389,664.44,1156.49,23.2751,tile_512px_0020,50,10,0.2000,0.3549,1.6983
25241,420.683,localized,track_local,39.80167536,32.37861813,543.25,1258.56,19.0130,tile_512px_0025,39,7,0.1795,0.3832,0.9388
25253,420.883,localized,track_local,39.80134188,32.38048652,852.91,1332.48,22.9838,tile_512px_0026,31,8,0.2581,0.4296,1.4049
25261,421.017,localized,track_local,39.80155191,32.38151652,1024.20,1288.47,22.3827,tile_512px_0027,13,5,0.3846,0.3827,0.6431
25272,421.2,localized,telemetry_prior,39.80200083,32.37924598,647.96,1189.24,17.2426,tile_512px_0020,18,5,0.2778,0.1479,0.0932
25279,421.317,localized,track_local,39.80179828,32.38159628,1037.81,1235.53,23.6595,tile_512px_0020,13,5,0.3846,0.4844,0.2967
25287,421.45,localized,track_local,39.80191459,32.38173316,1060.71,1210.66,37.5619,tile_512px_0027,37,15,0.4054,0.4914,2.6862
25300,421.667,localized,track_local,39.80207503,32.38090335,923.19,1175.18,16.4769,tile_512px_0027,13,4,0.3077,0.1246,0.0000
25309,421.817,localized,track_local,39.80184817,32.38142308,1009.13,1224.60,25.8230,tile_512px_0021,16,7,0.4375,0.2867,0.8926
25321,422.017,localized,track_local,39.80234604,32.38185682,1081.87,1117.94,23.8403,tile_512px_0027,12,5,0.4167,0.4114,0.3647
25332,422.2,localized,telemetry_prior,39.80205635,32.38128418,986.38,1179.63,24.5779,tile_512px_0020,15,6,0.4000,0.3941,0.4846
25342,422.367,localized,track_local,39.80198799,32.38119236,971.04,1194.24,24.2836,tile_512px_0021,8,4,0.5000,0.3284,0.0000
25352,422.533,localized,track_local,39.80133000,32.38184536,1078.46,1336.60,35.9359,tile_512px_0027,48,16,0.3333,0.3302,1.8214
25362,422.7,localized,track_local,39.80115228,32.38156965,1032.43,1374.53,31.4825,tile_512px_0027,40,13,0.3250,0.3541,1.7448
25373,422.883,localized,track_local,39.80068844,32.38120669,971.49,1473.94,21.0418,tile_512px_0033,31,8,0.2581,0.2533,1.6440
25389,423.15,localized,track_local,39.80256590,32.38118968,971.46,1069.86,25.1063,tile_512px_0027,16,7,0.4375,0.2535,1.4046
25398,423.3,localized,track_local,39.80255033,32.38140547,1007.25,1073.46,28.5620,tile_512px_0027,17,8,0.4706,0.3527,1.4431
