LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
373,2023-01-20 10:49:56.259152,116248155,-2.23,0.27,218.26,734.91,39.8043833,32.378802,-0.3277756,0.004154536,-0.01916377,0.9445521
963,2023-01-20 10:49:56.350188,116348244,-2.27,0.21,218.26,734.93,39.8043834,32.3788019,-0.3277793,0.004705274,-0.01940355,0.9445433
1121,2023-01-20 10:49:56.452130,116454673,-2.32,0.19,218.27,734.93,39.8043832,32.3788021,-0.3277996,0.005037488,-0.01969293,0.9445286
1340,2023-01-20 10:49:56.564810,116566344,-2.35,0.2,218.27,734.94,39.8043832,32.3788021,-0.3278315,0.005073871,-0.02002858,0.9445103
1560,2023-01-20 10:49:56.665618,116667084,-2.35,0.17,218.28,734.89,39.8043831,32.3788018,-0.3278609,0.005275344,-0.01989851,0.9445017
1880,2023-01-20 10:49:56.765231,116767071,-2.32,0.13,218.28,734.91,39.8043831,32.3788017,-0.3278637,0.005571404,-0.01952268,0.9445069
1925,2023-01-20 10:49:56.865121,116867092,-2.27,0.15,218.28,734.93,39.8043833,32.3788015,-0.3278788,0.005270737,-0.01920854,0.9445098
1973,2023-01-20 10:49:56.965095,116967067,-2.22,0.21,218.28,734.88,39.8043834,32.3788014,-0.3279251,0.004614134,-0.01894927,0.9445024
2023,2023-01-20 10:49:57.065115,117067074,-2.22,0.25,218.28,734.93,39.8043834,32.3788016,-0.3279459,0.004270321,-0.01908366,0.9444941
2069,2023-01-20 10:49:57.165171,117167109,-2.26,0.28,218.29,734.91,39.8043835,32.3788016,-0.3279728,0.00410608,-0.01946852,0.9444776
2119,2023-01-20 10:49:57.272314,117267064,-2.3,0.32,218.29,734.9,39.8043835,32.3788019,-0.3279745,0.003873863,-0.01993144,0.9444683
2178,2023-01-20 10:49:57.383358,117367081,-2.34,0.37,218.29,734.92,39.8043836,32.378802,-0.3280095,0.003614866,-0.02043533,0.9444464
2234,2023-01-20 10:49:57.477305,117467102,-2.3,0.35,218.29,734.95,39.8043837,32.3788018,-0.3280489,0.003687587,-0.02001641,0.9444415
