LineNo,UTC_Approx,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
362,2023-01-20 10:49:56.258967,116247952,0.01,-2.22,0,0.22,221.08,219.57,0.01,0,3
952,2023-01-20 10:49:56.349953,116347986,0.01,-2.22,0,0.22,225.3,219.57,0.01,0,3
1110,2023-01-20 10:49:56.451923,116454468,0.01,-2.22,0,0.22,232.21,219.57,0.01,0,3
1329,2023-01-20 10:49:56.564556,116566092,0.01,-2.22,0,0.22,241.83,219.57,0.01,0,3
1547,2023-01-20 10:49:56.665387,116666852,0.01,-2.22,0,0.22,246.56,219.57,0.02,0,3
1869,2023-01-20 10:49:56.765008,116766848,0.01,-2.22,0,0.22,246.62,219.57,0.02,0,3
1914,2023-01-20 10:49:56.864896,116866867,0.01,-2.22,0,0.22,246.69,219.56,0.03,0,3
1962,2023-01-20 10:49:56.964881,116966853,0.01,-2.22,0,0.22,246.71,219.56,0.03,0,3
2012,2023-01-20 10:49:57.064907,117066866,0,-2.22,0,0.22,246.7,219.56,0.03,0,3
2056,2023-01-20 10:49:57.164943,117166881,0,-2.21,0,0.22,246.72,219.56,0.03,0,3
2108,2023-01-20 10:49:57.272097,117266869,0,-2.21,0,0.22,246.71,219.56,0.03,0,3
2167,2023-01-20 10:49:57.383131,117366877,0,-2.21,0,0.23,246.71,219.56,0.03,0,3
2223,2023-01-20 10:49:57.477123,117466902,0,-2.21,0,0.23,246.71,219.56,0.04,0,3
2282,2023-01-20 10:49:57.567996,117566857,0,-2.21,0,0.23,246.71,219.55,0.04,0,3
2336,2023-01-20 10:49:57.664790,117666864,0,-2.21,0,0.23,246.71,219.55,0.03,0,3
2395,2023-01-20 10:49:57.764831,117766927,0,-2.21,0,0.23,246.7,219.55,0.03,0,3
2439,2023-01-20 10:49:57.864761,117866884,0,-2.21,0,0.23,246.71,219.55,0.03,0,3
2484,2023-01-20 10:49:57.964708,117966861,0,-2.21,0,0.22,246.7,219.55,0.03,0,3
2523,2023-01-20 10:49:58.064796,118066907,0,-2.21,0,0.22,246.7,219.55,0.03,0,3
2563,2023-01-20 10:49:58.164834,118166862,0,-2.21,0,0.22,219.52,219.54,0.03,0,3
2605,2023-01-20 10:49:58.264830,118266849,0,-2.22,0,0.22,219.52,219.54,0.03,0,3
2645,2023-01-20 10:49:58.364838,118366887,0,-2.21,0,0.23,219.51,219.53,0.03,0,3
2684,2023-01-20 10:49:58.464863,118466924,0,-2.21,0,0.22,219.5,219.52,0.04,0,3
2725,2023-01-20 10:49:58.564804,118566867,0,-2.21,0,0.22,219.51,219.53,0.04,0,3
2765,2023-01-20 10:49:58.664785,118666866,0,-2.21,0,0.22,219.52,219.54,0.06,0,3
2806,2023-01-20 10:49:58.764812,118766920,0,-2.21,0,0.22,219.52,219.54,0.06,0,3
2850,2023-01-20 10:49:58.864753,118866869,0,-2.21,0,0.22,219.52,219.54,0.06,0,3
2889,2023-01-20 10:49:58.964740,118966854,0,-2.21,0,0.22,219.5,219.52,0.06,0,3
2928,2023-01-20 10:49:59.064812,119066909,0,-2.21,0,0.22,219.49,219.49,0.06,0,3
2967,2023-01-20 10:49:59.164796,119166866,0,-2.22,0,0.21,219.49,219.51,0.06,0,3
3008,2023-01-20 10:49:59.264804,119266866,0,-2.2,0,0.21,219.49,219.49,0.07,0,3
