LineNo,UTC_Approx,TimeUS,I,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
338,2023-01-20 10:49:56.256628,116245380,0,0.6641449,92903.13,25.6,-0.05318575,116245,0,20.07363,1
944,2023-01-20 10:49:56.347594,116345393,0,0.6802779,92902.97,25.6,-0.039048,116345,0,20.07363,1
1106,2023-01-20 10:49:56.449051,116451622,0,0.6802779,92902.96,25.59,0.01019126,116451,0,20.07363,1
1321,2023-01-20 10:49:56.562003,116563562,0,0.6910333,92902.84,25.6,0.04336183,116563,0,20.07363,1
1531,2023-01-20 10:49:56.662853,116664309,0,0.6480118,92903.3,25.6,0.04550711,116664,0,20.07363,1
1866,2023-01-20 10:49:56.762540,116764370,0,0.6695226,92903.07,25.6,-0.003834211,116764,0,20.07363,1
1912,2023-01-20 10:49:56.862352,116864323,0,0.6802779,92902.95,25.6,-0.05528654,116864,0,20.07363,1
1959,2023-01-20 10:49:56.962335,116964307,0,0.6345676,92903.46,25.61,-0.04728932,116964,0,20.07363,1
2007,2023-01-20 10:49:57.062397,117064356,0,0.6829668,92902.94,25.61,-0.01916789,117064,0,20.07363,1
2053,2023-01-20 10:49:57.162359,117164298,0,0.661456,92903.17,25.61,-0.02015103,117164,0,20.07363,1
2106,2023-01-20 10:49:57.269244,117264299,0,0.6587672,92903.18,25.6,-0.002520829,117264,0,20.07363,1
2164,2023-01-20 10:49:57.380304,117364331,0,0.6722114,92903.05,25.62,0.01596505,117364,0,20.07363,1
2221,2023-01-20 10:49:57.474792,117464338,0,0.7017887,92902.72,25.61,0.01596505,117464,0,20.07363,1
2279,2023-01-20 10:49:57.565693,117564324,0,0.6802779,92902.95,25.62,0.05461719,117564,0,20.07363,1
2334,2023-01-20 10:49:57.662267,117664341,0,0.6883445,92902.86,25.63,0.09242909,117664,0,20.07363,1
2389,2023-01-20 10:49:57.762239,117764335,0,0.6990998,92902.75,25.63,0.06133929,117764,0,20.07363,1
2437,2023-01-20 10:49:57.862207,117864330,0,0.696411,92902.78,25.64,0.02436761,117864,0,20.07363,1
2479,2023-01-20 10:49:57.962173,117964326,0,0.6883445,92902.86,25.64,0.02772866,117964,0,20.07363,1
2521,2023-01-20 10:49:58.062290,118064403,0,0.6883445,92902.86,25.64,0.0184858,118064,0,20.07363,1
2560,2023-01-20 10:49:58.162306,118164336,0,0.6856557,92902.91,25.66,-0.01512472,118164,0,20.07363,1
2603,2023-01-20 10:49:58.262325,118264343,0,0.6883445,92902.86,25.66,-0.02940919,118264,0,20.07363,1
2642,2023-01-20 10:49:58.362288,118364337,0,0.6990998,92902.76,25.66,-0.01428446,118364,0,20.07363,1
2682,2023-01-20 10:49:58.462265,118464326,0,0.6775891,92903,25.66,0.007562357,118464,0,20.07363,1
2722,2023-01-20 10:49:58.562259,118564322,0,0.6560783,92903.22,25.66,-0.002520829,118564,0,20.07363,1
2763,2023-01-20 10:49:58.662256,118664337,0,0.7044775,92902.69,25.67,-0.04873531,118664,0,20.07363,1
2803,2023-01-20 10:49:58.762230,118764337,0,0.7071664,92902.66,25.68,-0.04033266,118764,0,20.07363,1
2847,2023-01-20 10:49:58.862228,118864344,0,0.6937222,92902.82,25.69,0.05377688,118864,0,20.07363,1
2885,2023-01-20 10:49:58.962224,118964338,0,0.6990998,92902.77,25.68,0.09999139,118964,0,20.07363,1
2926,2023-01-20 10:49:59.062328,119064425,0,0.6775891,92903,25.68,0.03697162,119064,0,20.07363,1
2964,2023-01-20 10:49:59.162260,119164331,0,0.6775891,92902.98,25.68,-0.03949238,119164,0,20.07363,1
3006,2023-01-20 10:49:59.262250,119264312,0,0.6238122,92903.57,25.69,-0.08738741,119264,0,20.07363,1
3044,2023-01-20 10:49:59.362264,119364327,0,0.626501,92903.55,25.69,-0.1462059,119364,0,20.07363,1
3084,2023-01-20 10:49:59.462266,119464333,0,0.5861683,92903.97,25.69,-0.2083855,119464,0,20.07363,1
3124,2023-01-20 10:49:59.562250,119564321,0,0.5243249,92904.63,25.68,-0.2487183,119564,0,20.07363,1
3163,2023-01-20 10:49:59.662254,119664338,0,0.5135695,92904.77,25.68,-0.3016549,119664,0,20.07363,1
3204,2023-01-20 10:49:59.762258,119764360,0,0.4893699,92905.03,25.67,-0.3562721,119764,0,20.07363,1
3245,2023-01-20 10:49:59.862233,119864345,0,0.5888572,92903.95,25.66,-0.295773,119864,0,20.07363,1
3283,2023-01-20 10:49:59.962223,119964340,0,0.5888572,92903.94,25.64,-0.06301985,119964,0,20.07363,1
3323,2023-01-20 10:50:00.062299,120064401,0,0.6238122,92903.58,25.64,0.210066,120064,0,20.07363,1
3361,2023-01-20 10:50:00.162259,120164334,0,0.6049902,92903.77,25.63,0.3184601,120164,0,20.07363,1
3404,2023-01-20 10:50:00.262266,120264336,0,0.6775891,92902.99,25.64,0.2503988,120264,0,20.07363,1
3441,2023-01-20 10:50:00.362317,120364395,0,0.6560783,92903.2,25.64,0.1882192,120364,0,20.07363,1
3483,2023-01-20 10:50:00.462302,120464379,0,0.6507006,92903.28,25.64,0.187379,120464,0,20.07363,1
3522,2023-01-20 10:50:00.562245,120564315,0,0.7125441,92902.61,25.62,0.1520878,120564,0,20.07363,1
3564,2023-01-20 10:50:00.662254,120664329,0,0.6856557,92902.9,25.62,0.1117551,120664,0,20.07363,1
3604,2023-01-20 10:50:00.762243,120764329,0,0.6211233,92903.59,25.62,0.1033525,120764,0,20.07363,1
3646,2023-01-20 10:50:00.862238,120864341,0,0.6560783,92903.22,25.62,0.004201327,120864,0,20.07363,1
3682,2023-01-20 10:50:00.962268,120964389,0,0.6507006,92903.27,25.61,-0.1378033,120964,0,20.07363,1
3715,2023-01-20 10:50:01.062224,121064348,0,0.5539022,92904.33,25.61,-0.1537684,121064,0,20.07363,1
3745,2023-01-20 10:50:01.162277,121164394,0,0.5646576,92904.2,25.61,-0.1646918,121164,0,20.07363,1
3780,2023-01-20 10:50:01.262256,121264405,0,0.5861683,92903.98,25.62,-0.2613222,121264,0,20.07363,1
3810,2023-01-20 10:50:01.362197,121364400,0,0.5861683,92903.97,25.62,-0.2327532,121364,0,20.07363,1
3843,2023-01-20 10:50:01.462211,121464402,0,0.5270137,92904.61,25.64,-0.0705822,121464,0,20.07363,1
3875,2023-01-20 10:50:01.562263,121564402,0,0.1021761,92909.2,25.63,-0.1714139,121564,0,20.07363,1
3909,2023-01-20 10:50:01.662272,121664391,0,0.295773,92907.13,25.64,-0.7511963,121664,0,20.07363,1
3941,2023-01-20 10:50:01.762289,121764406,0,-0.7098553,92918.02,25.64,-1.517517,121764,0,20.07363,1
3975,2023-01-20 10:50:01.862254,121864417,0,-0.4678591,92915.38,25.63,-2.310727,121864,0,20.07363,1
