LineNo,UTC_Approx,TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct
322,2023-01-20 10:49:56.254701,116243262,0,16.49496,16.49359,0.5363305,16.63105,0.2742863,0,0.001560342,99
937,2023-01-20 10:49:56.345712,116343323,0,16.49718,16.49359,0.5363305,16.64596,0.2745322,0,0.001560342,99
1102,2023-01-20 10:49:56.445933,116448532,0,16.49452,16.49359,0.5363305,16.66164,0.2747908,0,0.001560342,99
1311,2023-01-20 10:49:56.559848,116561427,0,16.49275,16.49359,0.5363305,16.67846,0.2750682,0,0.001560342,99
1517,2023-01-20 10:49:56.660697,116662144,0,16.49275,16.49359,0.5363305,16.69346,0.2753157,0,0.001560342,99
1864,2023-01-20 10:49:56.760313,116762135,0,16.49364,16.49359,0.5363305,16.70836,0.2755614,0,0.001560342,99
1910,2023-01-20 10:49:56.860159,116862130,0,16.49275,16.49359,0.5363305,16.72326,0.2758071,0,0.001560342,99
1957,2023-01-20 10:49:56.960150,116962122,0,16.49275,16.49359,0.5363305,16.73816,0.2760529,0,0.001560342,99
2005,2023-01-20 10:49:57.060172,117062132,0,16.49364,16.49359,0.5363305,16.75306,0.2762986,0,0.001560342,99
2051,2023-01-20 10:49:57.160178,117162117,0,16.49275,16.49359,0.5363305,16.76796,0.2765443,0,0.001560342,99
2102,2023-01-20 10:49:57.266830,117262125,0,16.49275,16.49359,0.5363305,16.78286,0.2767901,0,0.001560342,99
2162,2023-01-20 10:49:57.377973,117362231,0,16.49275,16.49359,0.5363305,16.79777,0.2770361,0,0.001560342,99
2219,2023-01-20 10:49:57.472425,117461734,0,16.49275,16.49359,0.5363305,16.8126,0.2772806,0,0.001560342,99
2275,2023-01-20 10:49:57.563361,117561759,0,16.49275,16.49359,0.5363305,16.8275,0.2775263,0,0.001560342,99
2332,2023-01-20 10:49:57.659795,117661868,0,16.49275,16.49359,0.5363305,16.84241,0.2777723,0,0.001560342,99
2387,2023-01-20 10:49:57.759740,117761835,0,16.49275,16.49359,0.5363305,16.8573,0.2780179,0,0.001560342,99
2434,2023-01-20 10:49:57.859715,117861837,0,16.49275,16.49359,0.5363305,16.87221,0.2782637,0,0.001560342,99
2477,2023-01-20 10:49:57.959591,117961743,0,16.49275,16.49359,0.5363305,16.88709,0.2785092,0,0.001560342,99
2519,2023-01-20 10:49:58.059634,118061749,0,16.49275,16.49359,0.5363305,16.90199,0.2787549,0,0.001560342,99
2558,2023-01-20 10:49:58.159699,118161731,0,16.49275,16.49359,0.5363305,16.91689,0.2790006,0,0.001560342,99
2601,2023-01-20 10:49:58.259760,118261777,0,16.49472,16.49359,0.5363305,16.93179,0.2792464,0,0.001560342,99
2639,2023-01-20 10:49:58.359851,118361899,0,16.47414,16.47687,0.5491003,16.94707,0.2794981,0,0.004975071,99
2680,2023-01-20 10:49:58.459777,118461838,0,16.45198,16.45805,0.5899637,16.96345,0.2797676,0,0.01028163,99
2717,2023-01-20 10:49:58.559773,118561836,0,16.46527,16.47079,0.5363305,16.97835,0.2800129,0,0.01028163,99
2761,2023-01-20 10:49:58.659781,118661861,0,16.47502,16.48054,0.5363305,16.99325,0.2802584,0,0.01028163,99
2801,2023-01-20 10:49:58.759728,118761834,0,16.47502,16.48054,0.5363305,17.00814,0.2805038,0,0.01028163,99
2845,2023-01-20 10:49:58.859971,118862087,0,16.47502,16.48054,0.5363305,17.02308,0.2807499,0,0.01028163,99
2883,2023-01-20 10:49:58.959702,118961817,0,16.47325,16.47877,0.5363305,17.03794,0.2809946,0,0.01028163,99
2924,2023-01-20 10:49:59.059767,119061865,0,16.45287,16.46099,0.5797479,17.05405,0.2812598,0,0.01401019,99
2961,2023-01-20 10:49:59.159760,119161832,0,16.39438,16.41725,1.141618,17.08576,0.2817796,0,0.02003959,99
3004,2023-01-20 10:49:59.259786,119261848,0,16.42628,16.44511,0.8351434,17.10896,0.2821607,0,0.02254631,99
3042,2023-01-20 10:49:59.359833,119361896,0,16.43564,16.453,0.7236206,17.12907,0.2824913,0,0.02400171,99
3081,2023-01-20 10:49:59.459762,119461828,0,16.43603,16.45405,0.7151074,17.14893,0.2828176,0,0.02519335,99
3119,2023-01-20 10:49:59.559757,119561828,0,16.43692,16.45515,0.6972297,17.16829,0.2831359,0,0.02614574,99
3161,2023-01-20 10:49:59.659791,119661874,0,16.43603,16.4548,0.6946758,17.1876,0.2834533,0,0.02702249,99
3202,2023-01-20 10:49:59.759725,119761827,0,16.43426,16.45378,0.6997837,17.20703,0.2837726,0,0.02789603,99
3243,2023-01-20 10:49:59.859729,119861841,0,16.43465,16.45507,0.7151074,17.2269,0.2840991,0,0.02855163,99
3281,2023-01-20 10:49:59.959713,119961830,0,16.4316,16.45309,0.7329851,17.24726,0.2844337,0,0.02931959,99
3321,2023-01-20 10:50:00.059722,120061825,0,16.43249,16.45403,0.7202153,17.26726,0.2847623,0,0.02991272,99
3359,2023-01-20 10:50:00.159750,120161826,0,16.43514,16.45623,0.7048916,17.28685,0.2850843,0,0.02991272,99
3402,2023-01-20 10:50:00.259746,120261816,0,16.43514,16.45608,0.6997837,17.30628,0.2854036,0,0.02991272,99
3439,2023-01-20 10:50:00.359754,120361832,0,16.43465,16.45553,0.6980811,17.32568,0.2857225,0,0.02991272,99
3481,2023-01-20 10:50:00.459763,120461840,0,16.43426,16.45519,0.6997837,17.34512,0.286042,0,0.02991272,99
3518,2023-01-20 10:50:00.559766,120561836,0,16.43249,16.45382,0.7048916,17.3647,0.2863638,0,0.03026576,99
3562,2023-01-20 10:50:00.659805,120661879,0,16.43071,16.4528,0.7202153,17.38472,0.2866927,0,0.03067466,99
3601,2023-01-20 10:50:00.759761,120761847,0,16.43071,16.45275,0.7099995,17.40444,0.2870167,0,0.03104244,99
3643,2023-01-20 10:50:00.859742,120861844,0,16.43268,16.45444,0.7009188,17.42391,0.2873366,0,0.03104244,99
3680,2023-01-20 10:50:00.959718,120961839,0,16.43426,16.45581,0.6946758,17.4432,0.2876537,0,0.03103135,99
3713,2023-01-20 10:50:01.059710,121061834,0,16.43249,16.45404,0.6946758,17.4625,0.2879708,0,0.03103135,99
3743,2023-01-20 10:50:01.159756,121161874,0,16.42274,16.44803,0.796834,17.48465,0.2883345,0,0.03174457,99
3778,2023-01-20 10:50:01.259733,121261880,0,16.39881,16.43318,1.016474,17.51289,0.2887976,0,0.03381946,99
3808,2023-01-20 10:50:01.359687,121361888,0,16.27217,16.36007,2.295722,17.57667,0.2898355,0,0.03828835,99
3841,2023-01-20 10:50:01.459683,121461875,0,16.15598,16.30336,3.452947,17.67257,0.291385,0,0.04268141,99
3871,2023-01-20 10:50:01.559740,121561881,0,16.04963,16.25952,4.497515,17.79752,0.2933903,0,0.04666752,99
3907,2023-01-20 10:50:01.659759,121661878,0,15.92822,16.21383,5.679996,17.95531,0.2959036,0,0.05028421,99
3939,2023-01-20 10:50:01.759764,121761881,0,15.81124,16.17887,6.880355,18.14645,0.2989258,0,0.05343143,99
3973,2023-01-20 10:50:01.859802,121861963,0,15.67387,16.13478,8.182872,18.37396,0.3024917,0,0.05632644,99
4004,2023-01-20 10:50:01.959651,121961888,0,15.54842,16.1048,9.452472,18.63635,0.3065715,0,0.05886048,99
4037,2023-01-20 10:50:02.059685,122061912,0,15.50992,16.11142,9.876144,18.91078,0.3108278,0,0.06090447,99
4067,2023-01-20 10:50:02.159786,122161948,0,15.70134,16.18767,7.866181,19.12938,0.3142601,0,0.06182481,99
4102,2023-01-20 10:50:02.259768,122261904,0,15.76515,16.20811,7.097441,19.32646,0.3173671,0,0.06241091,99
4132,2023-01-20 10:50:02.359772,122361910,0,15.74743,16.20331,7.237909,19.52754,0.3205337,0,0.06298534,99
4165,2023-01-20 10:50:02.459574,122461951,0,15.78376,16.21966,6.884327,19.71886,0.3235535,0,0.06331711,99
4195,2023-01-20 10:50:02.559131,122561905,0,15.79174,16.22043,6.739888,19.90601,0.3265089,0,0.06360425,99
4232,2023-01-20 10:50:02.658979,122661894,0,15.77845,16.21452,6.821614,20.09549,0.3294987,0,0.063925,99
4264,2023-01-20 10:50:02.759088,122761966,0,15.75718,16.20907,7.031038,20.29095,0.3325786,0,0.06427142,99
4298,2023-01-20 10:50:02.859045,122861923,0,15.73325,16.20023,7.220031,20.49144,0.335733,0,0.06467816,99
4329,2023-01-20 10:50:02.958994,122961897,0,15.69514,16.19078,7.607948,20.70274,0.3390492,0,0.06514709,99
4362,2023-01-20 10:50:03.059035,123061949,0,15.68185,16.18828,7.720606,20.91733,0.3424144,0,0.06559483,99
4392,2023-01-20 10:50:03.158973,123161889,0,15.6721,16.1865,7.792117,21.13366,0.3458048,0,0.0660161,99
4427,2023-01-20 10:50:03.258971,123261885,0,15.67033,16.1854,7.756362,21.34912,0.3491812,0,0.06640637,99
4457,2023-01-20 10:50:03.359036,123361944,0,15.63576,16.17715,8.098592,21.57424,0.352701,0,0.06684951,99
4490,2023-01-20 10:50:03.458995,123461893,0,15.65083,16.18346,7.928612,21.79438,0.3561464,0,0.0671782,99
4520,2023-01-20 10:50:03.558997,123561882,0,15.61893,16.17193,8.180318,22.02161,0.3596955,0,0.06760249,99
4556,2023-01-20 10:50:03.659023,123661904,0,15.556,16.15593,8.80093,22.26615,0.3634996,0,0.0681659,99
4588,2023-01-20 10:50:03.759025,123761910,0,15.50992,16.14622,9.250425,22.52314,0.3674855,0,0.06878611,99
4622,2023-01-20 10:50:03.859416,123862117,0,15.49751,16.14579,9.347475,22.78335,0.3715181,0,0.06935344,99
4654,2023-01-20 10:50:03.959832,123962222,0,15.50805,16.15161,9.219777,23.03974,0.3754943,0,0.0698022,99
4687,2023-01-20 10:50:04.060040,124062264,0,15.52587,16.15786,9.010354,23.29016,0.3793821,0,0.07014012,99
4717,2023-01-20 10:50:04.160118,124162275,0,15.58436,16.17264,8.387189,23.52318,0.3830136,0,0.07014012,99
4752,2023-01-20 10:50:04.260096,124262229,0,15.61715,16.17837,8.006649,23.74549,0.3864855,0,0.07009333,99
4782,2023-01-20 10:50:04.360122,124362259,0,15.6659,16.19123,7.485642,23.95349,0.389744,0,0.0701783,99
4815,2023-01-20 10:50:04.460081,124462244,0,15.66855,16.18959,7.41924,24.15959,0.3929733,0,0.07022817,99
4845,2023-01-20 10:50:04.560038,124562241,0,15.61834,16.1741,7.925774,24.37976,0.396412,0,0.07012109,99
4882,2023-01-20 10:50:04.660038,124662232,0,15.58968,16.16475,8.177765,24.60692,0.3999533,0,0.0703214,99
4914,2023-01-20 10:50:04.760136,124762287,0,15.57816,16.16397,8.308016,24.83784,0.4035507,0,0.07051208,99
4948,2023-01-20 10:50:04.859697,124861859,0,15.57373,16.16156,8.313124,25.06778,0.4071318,0,0.07071187,99
4978,2023-01-20 10:50:04.959698,124961908,0,15.58259,16.1636,8.198195,25.29564,0.4106824,0,0.0708709,99
5011,2023-01-20 10:50:05.059777,125061977,0,15.60061,16.16833,8.019419,25.51857,0.4141603,0,0.07079259,99
5041,2023-01-20 10:50:05.159743,125161894,0,15.59234,16.16457,8.083267,25.74293,0.4176585,0,0.07079259,99
5076,2023-01-20 10:50:05.259768,125261903,0,15.56398,16.15621,8.343771,25.97476,0.4212667,0,0.07097898,99
5106,2023-01-20 10:50:05.359782,125361922,0,15.58259,16.16195,8.162441,26.20156,0.4248008,0,0.07097898,99
5139,2023-01-20 10:50:05.459776,125461910,0,15.60475,16.16253,7.866181,26.42005,0.4282104,0,0.07090965,99
