LineNo,UTC_Approx,UTC_GPS,TimeUS,GPSTime,GPSWeek,Lat,Lng,Alt,RelAlt,GPSAlt,Roll,Pitch,Yaw
39800,2023-01-20 10:51:51.881821,2023-01-20 10:51:51.800000,232109940,471129800,2245,39.8052507,32.383537,788.84,54.59,778.8,8.72,7.26,102.05
41010,2023-01-20 10:51:55.614776,2023-01-20 10:51:55.600000,235862433,471133600,2245,39.8051858,32.3834895,789.11,54.86,781.32,-3.95,1.97,212.06
42084,2023-01-20 10:51:58.899843,2023-01-20 10:51:58.800000,239147680,471136800,2245,39.8050674,32.383403,789.23,54.98,784.32,-1.94,-4.65,209.68
42846,2023-01-20 10:52:01.099871,2023-01-20 10:52:01.000000,241347707,471139000,2245,39.8049505,32.3833149,789.46,55.21,786.03,-2.78,-1.95,209.48
43560,2023-01-20 10:52:03.259879,2023-01-20 10:52:03.200000,243507686,471141200,2245,39.8048332,32.3832274,789.46,55.21,786.49,-2.43,-1.89,209.48
44284,2023-01-20 10:52:05.420058,2023-01-20 10:52:05.400000,245687730,471143400,2245,39.8047165,32.3831395,789.35,55.1,786.29,-2.12,-2.75,210.1
45003,2023-01-20 10:52:07.619931,2023-01-20 10:52:07.600000,247887712,471145600,2245,39.8046,32.3830493,789.36,55.11,787.06,-3.11,-3.47,209.91
45692,2023-01-20 10:52:09.779979,2023-01-20 10:52:09.600000,250047720,471147600,2245,39.8044829,32.3829614,789.33,55.08,787.01,-2.18,-3.08,210.44
46410,2023-01-20 10:52:11.939859,2023-01-20 10:52:11.800000,252207693,471149800,2245,39.8043657,32.3828734,789.27,55.02,787.18,-2.24,-4.06,210.31
47098,2023-01-20 10:52:14.054771,2023-01-20 10:52:14.000000,254328011,471152000,2245,39.8042485,32.3827857,789.19,54.94,786.68,-1.7,-3.11,210.89
47791,2023-01-20 10:52:16.180139,2023-01-20 10:52:16.000000,256467856,471154000,2245,39.8041314,32.3826983,789.04,54.79,786.14,-1.89,-3.23,210.71
48551,2023-01-20 10:52:18.319932,2023-01-20 10:52:18.200000,258607698,471156200,2245,39.8040143,32.3826106,788.99,54.74,785.92,-2.14,-2.35,210.03
49272,2023-01-20 10:52:20.499850,2023-01-20 10:52:20.400000,260787687,471158400,2245,39.8038963,32.3825225,788.97,54.72,786.2,-1.92,-3.51,210.46
49960,2023-01-20 10:52:22.640266,2023-01-20 10:52:22.600000,262928069,471160600,2245,39.8037786,32.3824343,788.97,54.72,786.06,-1.7,-2.28,209.99
50653,2023-01-20 10:52:24.759957,2023-01-20 10:52:24.600000,265067657,471162600,2245,39.8036622,32.3823454,788.97,54.72,786.06,-2.64,-3.05,209.3
51367,2023-01-20 10:52:26.920486,2023-01-20 10:52:26.800000,267228345,471164800,2245,39.8035451,32.3822567,789.01,54.76,786.54,-2.79,-3.66,209.59
52061,2023-01-20 10:52:29.059846,2023-01-20 10:52:29.000000,269367715,471167000,2245,39.8034277,32.3821696,789.06,54.81,786.55,-2.7,-3.07,209.69
52771,2023-01-20 10:52:31.220283,2023-01-20 10:52:31.200000,271528016,471169200,2245,39.8033094,32.3820822,789,54.75,786.25,-1.66,-2.18,210.17
53464,2023-01-20 10:52:33.359980,2023-01-20 10:52:33.200000,273667735,471171200,2245,39.8031918,32.3819948,788.99,54.74,786.32,-1.58,-2.63,210.43
