LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
385,2023-01-20 10:49:56.259367,116248392,0.0237801,0.0001800214,0.002885513,0.000380325,0.01230962
973,2023-01-20 10:49:56.350368,116348442,0.02365853,0.0001738013,0.004230857,0.0004858779,0.05649159
1131,2023-01-20 10:49:56.452373,116454914,0.02349325,0.0001948173,0.006036442,0.0005653239,0.1344884
1350,2023-01-20 10:49:56.565015,116566547,0.02330241,0.0002008478,0.008070241,0.0006117848,0.2360408
1570,2023-01-20 10:49:56.665874,116667341,0.02308958,0.0002180545,0.01020306,0.0006315504,0.349595
1890,2023-01-20 10:49:56.765475,116767316,0.02287945,0.0002145695,0.01242369,0.0006387486,0.458753
1935,2023-01-20 10:49:56.865361,116867332,0.02264884,0.00021236,0.01469959,0.0006586582,0.5581123
1983,2023-01-20 10:49:56.965329,116967301,0.02242877,0.0001982485,0.01681482,0.0005979669,0.6491717
2033,2023-01-20 10:49:57.065368,117067327,0.02225661,0.0001948109,0.0180991,0.0005058193,0.7199046
2079,2023-01-20 10:49:57.165405,117167343,0.02213001,0.0001829274,0.01890402,0.0004494353,0.7665151
2129,2023-01-20 10:49:57.272574,117267298,0.02201675,0.0001760685,0.01956698,0.0003761196,0.800451
2188,2023-01-20 10:49:57.383652,117367346,0.02192409,0.0001747019,0.02001181,0.0003193916,0.8242456
2244,2023-01-20 10:49:57.477530,117467350,0.02186067,0.0001790972,0.02032189,0.0002746377,0.8402914
2303,2023-01-20 10:49:57.568399,117567301,0.02179812,0.0001938848,0.02052534,0.0002522836,0.8509914
2359,2023-01-20 10:49:57.665260,117667334,0.02175092,0.000184923,0.02064544,0.0002141445,0.858148
2417,2023-01-20 10:49:57.765285,117767382,0.02173686,0.0001724313,0.02071942,0.0002021439,0.8629256
2460,2023-01-20 10:49:57.865202,117867326,0.02171365,0.0001525838,0.02076738,0.0002008396,0.8661009
2505,2023-01-20 10:49:57.965148,117967302,0.02171267,0.0001455252,0.02078431,0.0001831105,0.8682197
2544,2023-01-20 10:49:58.065254,118067364,0.02171908,0.0001502642,0.02078392,0.0001643492,0.8696588
2586,2023-01-20 10:49:58.165315,118167343,0.02181557,0.0004903941,0.0201608,0.004661872,0.8660526
2626,2023-01-20 10:49:58.265287,118267306,0.02243743,0.000468775,0.01655615,0.004178406,0.7514634
2666,2023-01-20 10:49:58.365277,118367326,0.02275815,0.0005644248,0.01362587,0.003538607,0.6190407
2705,2023-01-20 10:49:58.465302,118467363,0.02301824,0.0008979728,0.01123354,0.003062516,0.5067989
2746,2023-01-20 10:49:58.565242,118567305,0.02318868,0.001064,0.009311317,0.002674536,0.4145773
2788,2023-01-20 10:49:58.665266,118667347,0.02329795,0.001012178,0.007753236,0.002311544,0.3390981
2827,2023-01-20 10:49:58.765265,118767373,0.02338648,0.0009631736,0.006491973,0.001948483,0.2773556
2871,2023-01-20 10:49:58.865218,118867334,0.02345598,0.0009355804,0.005477123,0.001650118,0.2268547
2910,2023-01-20 10:49:58.965189,118967303,0.02350136,0.0008746089,0.004667413,0.00140099,0.1855486
2949,2023-01-20 10:49:59.065264,119067361,0.02352234,0.001062872,0.004067313,0.001555112,0.151762
2990,2023-01-20 10:49:59.165267,119167337,0.02355069,0.002135021,0.003776448,0.00341878,0.1241301
3029,2023-01-20 10:49:59.265238,119267300,0.02351077,0.003351005,0.003478127,0.003656764,0.1015273
3068,2023-01-20 10:49:59.365272,119367335,0.023541,0.00301789,0.00322272,0.003690596,0.0830405
3108,2023-01-20 10:49:59.465279,119467346,0.02356379,0.002946125,0.002963988,0.003357141,0.06791966
3149,2023-01-20 10:49:59.565236,119567307,0.02357598,0.002893984,0.002768114,0.002959925,0.05555236
3190,2023-01-20 10:49:59.665282,119667366,0.02360876,0.002954208,0.002635463,0.00279574,0.04543754
3229,2023-01-20 10:49:59.765274,119767377,0.02360115,0.00291596,0.002652203,0.002940004,0.03716524
3268,2023-01-20 10:49:59.865204,119867316,0.02358175,0.002986886,0.002616657,0.003147785,0.03039992
3307,2023-01-20 10:49:59.965199,119967316,0.0236463,0.002945202,0.002581277,0.003464547,0.02486575
3346,2023-01-20 10:50:00.065235,120067336,0.02365622,0.00269693,0.002622301,0.003792632,0.02033863
3388,2023-01-20 10:50:00.165262,120167336,0.02370035,0.00250901,0.002575055,0.003797483,0.01663627
3427,2023-01-20 10:50:00.265238,120267308,0.0237486,0.0025349,0.002473704,0.003522035,0.0136097
3466,2023-01-20 10:50:00.365249,120367327,0.02373358,0.002935682,0.002444227,0.003274915,0.01113624
3506,2023-01-20 10:50:00.465232,120467308,0.02371814,0.003061812,0.00238878,0.003064771,0.00911451
3546,2023-01-20 10:50:00.565243,120567312,0.02377982,0.003029436,0.002360052,0.003095124,0.007460493
3589,2023-01-20 10:50:00.665255,120667330,0.02379714,0.00302822,0.002477017,0.00355844,0.006105461
3628,2023-01-20 10:50:00.765283,120767370,0.02382674,0.003055269,0.002454639,0.00383298,0.004997084
3669,2023-01-20 10:50:00.865215,120867318,0.02392952,0.002890639,0.00232461,0.003499089,0.004092378
3706,2023-01-20 10:50:00.965183,120967305,0.02390753,0.002974116,0.002284385,0.00321148,0.003359973
3738,2023-01-20 10:50:01.065269,121067393,0.02393262,0.002990378,0.00224881,0.003000057,0.002765096
3771,2023-01-20 10:50:01.165280,121167397,0.02437962,0.003689729,0.004425102,0.00365876,0.002281641
3803,2023-01-20 10:50:01.265222,121267372,0.02496241,0.003771177,0.005499073,0.004297772,0.001881699
3834,2023-01-20 10:50:01.365224,121367428,0.02460095,0.003820663,0.006462545,0.005457914,0.001549078
3866,2023-01-20 10:50:01.465164,121467353,0.02392963,0.009999924,0.00893677,0.01384527,0.001282738
3899,2023-01-20 10:50:01.565220,121567358,0.02255055,0.01149726,0.01082045,0.01620933,0.001099529
3934,2023-01-20 10:50:01.665318,121667437,0.02183123,0.01106968,0.01242336,0.01675011,0.001059723
3965,2023-01-20 10:50:01.765556,121767673,0.02209014,0.0116311,0.01114573,0.01660784,0.00508825
3998,2023-01-20 10:50:01.865501,121867667,0.0236916,0.0148385,0.01181857,0.01646024,0.007332993
4030,2023-01-20 10:50:01.965460,121967701,0.02111936,0.01436563,0.01439283,0.01811149,0.01450248
4062,2023-01-20 10:50:02.065449,122067673,0.01748394,0.01310898,0.02059944,0.02115465,0.01821807
4095,2023-01-20 10:50:02.165530,122167688,0.01706664,0.01396996,0.02207053,0.02873591,0.01952798
4127,2023-01-20 10:50:02.265586,122267722,0.0162067,0.01516406,0.01971262,0.03274801,0.01902037
4158,2023-01-20 10:50:02.365520,122367658,0.01645268,0.01422207,0.01766424,0.0325605,0.01755275
4190,2023-01-20 10:50:02.465256,122467655,0.01452663,0.01719098,0.01713519,0.0351125,0.01681413
4223,2023-01-20 10:50:02.564641,122567437,0.01585983,0.01796772,0.01636614,0.03510198,0.01922429
4259,2023-01-20 10:50:02.664484,122667397,0.01777993,0.01604957,0.01611885,0.03281338,0.02502056
4289,2023-01-20 10:50:02.764517,122767393,0.01648843,0.01957068,0.01408145,0.02820391,0.03158521
4324,2023-01-20 10:50:02.864552,122867431,0.01414715,0.01843581,0.01364878,0.03038822,0.03717652
4354,2023-01-20 10:50:02.964468,122967372,0.01352314,0.02109393,0.0123268,0.02814557,0.0403841
4387,2023-01-20 10:50:03.064493,123067407,0.0137094,0.02330408,0.01311323,0.02663089,0.04124103
4419,2023-01-20 10:50:03.164564,123167480,0.01476853,0.02301468,0.01205458,0.02342482,0.03962945
4452,2023-01-20 10:50:03.264466,123267379,0.01410965,0.02127967,0.01364673,0.02765194,0.0366744
4482,2023-01-20 10:50:03.364478,123367386,0.01483638,0.01801407,0.01770175,0.03057198,0.03493946
4515,2023-01-20 10:50:03.464485,123467382,0.01243463,0.01515877,0.0188042,0.03333842,0.03669817
4547,2023-01-20 10:50:03.564476,123567360,0.01072514,0.01547427,0.01878781,0.03662965,0.04164739
