LineNo,UTC_Approx,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
339,2023-01-20 10:49:56.256672,116245429,0,0,0,0.2924092,0.6490136,0.6490136,0.66,NaN,0,0.008586347,2,2
945,2023-01-20 10:49:56.347642,116345445,0,0,0,0.2924092,0.6536537,0.6536537,0.68,NaN,0,0.01273823,2,2
1107,2023-01-20 10:49:56.449107,116451677,0,0,0,0.2924092,0.6598852,0.6598852,0.68,NaN,0,0.01848149,2,2
1322,2023-01-20 10:49:56.562052,116563611,0,0,0,0.2924092,0.6663998,0.6663998,0.69,NaN,0,0.0245688,2,2
1532,2023-01-20 10:49:56.662906,116664362,0,0,0,0.2924092,0.6746222,0.6746222,0.64,NaN,0,0.03230286,3,3
1867,2023-01-20 10:49:56.762599,116764429,0,0,0,0.2924092,0.6828099,0.6828099,0.66,NaN,0,0.04018551,3,3
1913,2023-01-20 10:49:56.862403,116864374,0,0,0,0.2924092,0.6920131,0.6920131,0.68,NaN,0,0.04890031,3,3
1960,2023-01-20 10:49:56.962388,116964360,0,0,0,0.2924092,0.7004534,0.7004534,0.63,NaN,0,0.05691338,3,3
2008,2023-01-20 10:49:57.062454,117064413,0,0,0,0.2924092,0.7105504,0.7105504,0.68,NaN,0,0.06652206,3,3
2054,2023-01-20 10:49:57.162408,117164347,0,0,0,0.2924092,0.7201301,0.7201301,0.66,NaN,0,0.07543045,4,4
2107,2023-01-20 10:49:57.269298,117264348,0,0,0,0.2924092,0.7291277,0.7291277,0.65,NaN,0,0.08393973,4,4
2165,2023-01-20 10:49:57.380359,117364380,0,0,0,0.2924092,0.7368051,0.7368051,0.67,NaN,0,0.09149504,4,4
2222,2023-01-20 10:49:57.474837,117464387,0,0,0,0.2924092,0.7473138,0.7473138,0.7,NaN,0,0.1016986,4,4
2280,2023-01-20 10:49:57.565746,117564383,0,0,0,0.2924092,0.7558153,0.7558153,0.68,NaN,0,0.1095898,4,4
2335,2023-01-20 10:49:57.662320,117664394,0,0,0,0.2924092,0.7658761,0.7658761,0.68,NaN,0,0.1196505,5,5
2390,2023-01-20 10:49:57.762288,117764384,0,0,0,0.2924092,0.7752693,0.7752693,0.69,NaN,0,0.1286775,5,5
2438,2023-01-20 10:49:57.862256,117864379,0,0,0,0.2924092,0.7860947,0.7860947,0.69,NaN,0,0.1391977,5,5
2480,2023-01-20 10:49:57.962240,117964393,0,0,0,0.2924092,0.7959962,0.7959962,0.68,NaN,0,0.148611,5,5
2522,2023-01-20 10:49:58.062343,118064456,0,0,0,0.2924092,0.8050171,0.8050171,0.68,NaN,0,0.1576318,5,5
2561,2023-01-20 10:49:58.162363,118164393,0,0,0,0.2924092,0.8124271,0.8124271,0.68,NaN,0,0.1642485,5,5
2604,2023-01-20 10:49:58.262374,118264392,0,0,0,0.2924092,0.8220556,0.8220556,0.68,NaN,0,0.1733887,6,6
2643,2023-01-20 10:49:58.362337,118364385,0,0,0,0.2924092,0.8312989,0.8312989,0.69,NaN,0,0.1824489,6,6
2683,2023-01-20 10:49:58.462314,118464375,0,0,0,0.2924092,0.8414274,0.8414274,0.67,NaN,0,0.1922111,6,6
2723,2023-01-20 10:49:58.562332,118564395,0,0,0,0.2924092,0.8503708,0.8503708,0.65,NaN,0,0.2004221,6,6
2764,2023-01-20 10:49:58.662309,118664390,0,0,0,0.2924092,0.8595593,0.8595593,0.7,NaN,0,0.2090613,6,6
2804,2023-01-20 10:49:58.762287,118764394,0,0,0,0.2924092,0.8675911,0.8675911,0.7,NaN,0,0.216971,6,6
2848,2023-01-20 10:49:58.862284,118864400,0,0,0,0.2924092,0.8748894,0.8748894,0.69,NaN,0,0.2242693,6,6
2886,2023-01-20 10:49:58.962276,118964391,0,0,0,0.2924092,0.8807951,0.8807951,0.69,NaN,0,0.2298698,6,6
2927,2023-01-20 10:49:59.062381,119064478,0,0,0,0.2924092,0.8887762,0.8887762,0.67,NaN,0,0.2380341,6,6
2965,2023-01-20 10:49:59.162309,119164380,0,0,0,0.2924092,0.8961814,0.8961814,0.67,NaN,0,0.2454392,6,6
3007,2023-01-20 10:49:59.262303,119264365,0,0,0,0.2924092,0.9039668,0.9039668,0.62,NaN,0,0.2526143,7,7
3045,2023-01-20 10:49:59.362313,119364376,0,0,0,0.2924092,0.910385,0.910385,0.62,NaN,0,0.2585441,7,7
3085,2023-01-20 10:49:59.462315,119464381,0,0,0,0.2924092,0.9170378,0.9170378,0.58,NaN,0,0.2644035,7,7
3125,2023-01-20 10:49:59.562314,119564384,0,0,0,0.2924092,0.9222446,0.9222446,0.52,NaN,0,0.2696103,7,7
3164,2023-01-20 10:49:59.662303,119664387,0,0,0,0.2924092,0.9285625,0.9285625,0.51,NaN,0,0.275318,7,7
3205,2023-01-20 10:49:59.762306,119764408,0,0,0,0.2924092,0.9338225,0.9338225,0.48,NaN,0,0.2804559,7,7
3246,2023-01-20 10:49:59.862285,119864397,0,0,0,0.2924092,0.9367694,0.9367694,0.58,NaN,0,0.2834027,7,7
3284,2023-01-20 10:49:59.962272,119964389,0,0,0,0.2924092,0.937907,0.937907,0.58,NaN,0,0.2850897,7,7
3324,2023-01-20 10:50:00.062351,120064453,0,0,0,0.2924092,0.9373479,0.9373479,0.62,NaN,0,0.2842864,7,7
3362,2023-01-20 10:50:00.162308,120164383,0,0,0,0.2924092,0.9354739,0.9354739,0.6,NaN,0,0.2824124,6,6
3405,2023-01-20 10:50:00.262319,120264389,0,0,0,0.2924092,0.9334226,0.9334226,0.67,NaN,0,0.2806663,7,7
