LineNo,UTC_Approx,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
1899,2023-01-20 10:49:56.800166,116802137,32,1891,79724,982,16294,7868
2426,2023-01-20 10:49:57.802366,117804471,32,395,19477,11094,15746,13278
2835,2023-01-20 10:49:58.807241,118809358,32,400,19839,11942,16295,13962
3236,2023-01-20 10:49:59.809752,119811861,32,400,19853,12114,16248,14188
3637,2023-01-20 10:50:00.812596,120814689,32,400,19991,11264,16216,13441
3970,2023-01-20 10:50:01.815434,121817562,32,332,14007,11127,15569,13192
4295,2023-01-20 10:50:02.816814,122819681,32,324,13174,11628,15840,13797
4619,2023-01-20 10:50:03.819416,123822242,32,323,13175,11970,16148,14037
4945,2023-01-20 10:50:04.822381,124824526,32,325,13218,11339,16334,13887
5269,2023-01-20 10:50:05.822971,125827373,32,323,13156,11400,15874,13532
5593,2023-01-20 10:50:06.803485,126828140,32,323,13181,12033,16177,14159
5916,2023-01-20 10:50:07.822502,127829438,32,322,13127,11223,16294,13624
6241,2023-01-20 10:50:08.807483,128832407,32,324,13204,11422,15796,13554
6567,2023-01-20 10:50:09.807250,129834741,32,325,13194,11815,16248,13897
6891,2023-01-20 10:50:10.806999,130835096,32,323,13156,11233,16336,13741
7215,2023-01-20 10:50:11.809471,131837576,32,323,13156,11509,15765,13683
7538,2023-01-20 10:50:12.813239,132841336,32,322,13127,11938,16333,14067
7862,2023-01-20 10:50:13.814505,133842611,32,323,13175,11350,16301,13884
8188,2023-01-20 10:50:14.817007,134845119,32,325,13218,11411,15841,13514
8511,2023-01-20 10:50:15.819562,135847665,32,322,13127,11982,16213,14161
8835,2023-01-20 10:50:16.822018,136850118,32,323,13181,11259,16276,13646
9158,2023-01-20 10:50:17.822597,137852889,32,322,13127,11535,15909,13661
9482,2023-01-20 10:50:18.806111,138853778,32,323,13175,11928,16347,14024
9807,2023-01-20 10:50:19.807275,139855104,32,324,13165,11119,16134,13472
10133,2023-01-20 10:50:20.809892,140857551,32,325,13262,11632,15728,13731
10456,2023-01-20 10:50:21.812180,141860056,32,322,13127,11922,16296,14047
10781,2023-01-20 10:50:22.814841,142862657,32,324,13208,11382,16333,13903
11108,2023-01-20 10:50:23.817725,143865557,32,326,13298,11443,15920,13592
11459,2023-01-20 10:50:24.820320,144868215,32,350,14152,11994,16206,14134
11783,2023-01-20 10:50:25.822229,145870080,32,323,13156,11186,16326,13849
12107,2023-01-20 10:50:26.824769,146872616,32,323,13156,11393,15767,13446
12430,2023-01-20 10:50:27.807531,147875102,32,322,13127,11935,16286,14204
12755,2023-01-20 10:50:28.811202,148878829,32,324,13204,11223,16334,13660
13081,2023-01-20 10:50:29.812244,149880090,32,325,13194,11461,15663,13550
13405,2023-01-20 10:50:30.814726,150882564,32,323,13156,11857,16202,13896
13728,2023-01-20 10:50:31.817244,151885085,32,322,13127,11288,16285,13772
14052,2023-01-20 10:50:32.819786,152887629,32,323,13156,11469,15820,13741
14379,2023-01-20 10:50:33.822552,153890397,32,326,13299,11982,16125,14029
14705,2023-01-20 10:50:34.824729,154892578,32,325,13218,11146,16316,13831
15031,2023-01-20 10:50:35.827253,155895044,32,325,13262,11224,15713,13290
15354,2023-01-20 10:50:36.829808,156897558,32,322,13127,11766,16138,14029
15677,2023-01-20 10:50:37.832278,157900034,32,322,13127,11203,16343,13945
16002,2023-01-20 10:50:38.819399,158905137,32,324,13200,11378,15644,13491
16329,2023-01-20 10:50:39.819814,159907675,32,326,13223,11688,16216,13783
16655,2023-01-20 10:50:40.822259,160910052,32,325,13214,12172,16338,14344
16981,2023-01-20 10:50:41.824803,161912560,32,325,13214,11213,15552,13486
17307,2023-01-20 10:50:42.827710,162915543,32,325,13214,11725,15924,13775
17634,2023-01-20 10:50:43.829697,163917524,32,326,13262,11977,16310,14005
17963,2023-01-20 10:50:44.832505,164920305,32,328,13305,11153,16326,13752
18289,2023-01-20 10:50:45.834809,165922572,32,325,13214,11334,15673,13607
18615,2023-01-20 10:50:46.833878,166925063,32,325,13214,11846,16045,13895
18941,2023-01-20 10:50:47.820412,167927980,32,325,13214,12098,16320,14105
19269,2023-01-20 10:50:48.822253,168930064,32,327,13316,11172,15620,13268
19597,2023-01-20 10:50:49.825230,169932985,32,327,13252,11541,15877,13817
19965,2023-01-20 10:50:50.827313,170935078,32,367,14432,12053,16329,14033
20291,2023-01-20 10:50:51.829818,171937566,32,325,13214,11261,16267,13546
20617,2023-01-20 10:50:52.832543,172940396,32,325,13214,11542,15878,13809
20943,2023-01-20 10:50:53.834841,173942585,32,325,13229,12054,16250,14097
21272,2023-01-20 10:50:54.837222,174945073,32,328,13305,11110,16263,13774
21598,2023-01-20 10:50:55.839865,175947628,32,325,13214,11208,15704,13303
21924,2023-01-20 10:50:56.822134,176950063,32,325,13214,11663,15999,13932
22250,2023-01-20 10:50:57.824898,177952866,32,325,13214,12175,16320,14205
22577,2023-01-20 10:50:58.827006,178955053,32,326,13262,11249,15466,13291
22905,2023-01-20 10:50:59.829530,179957553,32,327,13252,11453,15911,13537
23231,2023-01-20 10:51:00.831998,180960089,32,325,13214,11870,16206,14138
23560,2023-01-20 10:51:01.834524,181962610,32,328,13328,12155,16342,14245
23888,2023-01-20 10:51:02.837379,182965498,32,327,13308,11423,15619,13454
24237,2023-01-20 10:51:03.840038,183968114,32,348,14124,11675,16171,13924
24569,2023-01-20 10:51:04.841951,184970059,32,331,13429,12044,16329,14181
24895,2023-01-20 10:51:05.844853,185972926,32,325,13214,11213,16302,13540
25270,2023-01-20 10:51:06.827509,186975324,32,374,14635,11474,15677,13521
25596,2023-01-20 10:51:07.830243,187977880,32,325,13214,11719,16055,13905
25922,2023-01-20 10:51:08.832224,188980070,32,325,13214,12231,16322,14168
26251,2023-01-20 10:51:09.834797,189982555,32,328,13300,11219,15567,13187
26576,2023-01-20 10:51:10.837212,190985082,32,324,13181,11645,15988,13844
26902,2023-01-20 10:51:11.839853,191987621,32,325,13214,11926,16262,14112
27228,2023-01-20 10:51:12.842619,192990375,32,325,13214,11241,16267,13544
27554,2023-01-20 10:51:13.844818,193992619,32,325,13214,11479,15675,13442
27884,2023-01-20 10:51:14.847311,194995065,32,329,13353,11819,16088,14011
28210,2023-01-20 10:51:15.849756,195997558,32,325,13214,12047,16350,14208
28536,2023-01-20 10:51:16.832393,197000082,32,325,13214,11088,15435,13286
28862,2023-01-20 10:51:17.837351,198005110,32,325,13214,11600,15796,13563
29188,2023-01-20 10:51:18.839839,199007670,32,325,13214,12026,16319,14217
29518,2023-01-20 10:51:19.842297,200010075,32,329,13354,11081,16263,13589
29844,2023-01-20 10:51:20.844743,201012534,32,325,13214,11262,15609,13457
30165,2023-01-20 10:51:21.847733,202015425,32,320,12970,11774,16024,13775
30460,2023-01-20 10:51:22.849768,203017438,32,294,11895,11642,16258,14056
30755,2023-01-20 10:51:23.852304,204019969,32,294,11895,11316,16065,13659
31125,2023-01-20 10:51:24.852528,205020302,32,369,14435,11903,16269,14021
31449,2023-01-20 10:51:25.849943,206022742,32,323,13156,11146,16320,13623
31773,2023-01-20 10:51:26.837328,207025061,32,323,13156,11442,15790,13621
32096,2023-01-20 10:51:27.840222,208027951,32,322,13123,11926,16311,13956
32421,2023-01-20 10:51:28.842288,209030113,32,324,13185,11208,16325,13784
32750,2023-01-20 10:51:29.845133,210032999,32,328,13300,11442,15741,13653
33076,2023-01-20 10:51:30.847273,211035072,32,325,13214,11761,16080,13924
33382,2023-01-20 10:51:31.849824,212037496,32,305,12325,11707,16324,14056
33676,2023-01-20 10:51:32.852621,213040282,32,293,11866,11614,16288,13986
33977,2023-01-20 10:51:33.854810,214042611,32,300,12159,11379,16295,13886
34305,2023-01-20 10:51:34.857250,215045101,32,327,13295,11212,15477,13342
34631,2023-01-20 10:51:35.840083,216047672,32,325,13226,11595,16017,13635
34956,2023-01-20 10:51:36.842270,217050083,32,324,13210,12038,16327,14257
35263,2023-01-20 10:51:37.844986,218052834,32,306,12402,11381,16213,13829
35570,2023-01-20 10:51:38.847309,219054937,32,306,12396,11420,16354,13866
35882,2023-01-20 10:51:39.847229,220055072,32,311,12603,11682,16260,13875
36206,2023-01-20 10:51:40.849758,221057562,32,323,13156,11798,16175,13982
36529,2023-01-20 10:51:41.852260,222060086,32,322,13127,11229,16324,13857
36856,2023-01-20 10:51:42.854807,223062635,32,326,13270,11410,15884,13501
37182,2023-01-20 10:51:43.857723,224065500,32,325,13250,11923,16245,14135
37525,2023-01-20 10:51:44.860254,225067938,32,342,13813,11069,16348,13860
37848,2023-01-20 10:51:45.840224,226068136,32,322,13129,11752,15962,13762
38172,2023-01-20 10:51:46.841996,227070018,32,323,13156,11266,16326,14049
38496,2023-01-20 10:51:47.844461,228072531,32,323,13156,11353,15725,13566
38820,2023-01-20 10:51:48.846943,229075054,32,323,13156,11717,16014,13870
39148,2023-01-20 10:51:49.849788,230077878,32,327,13271,12104,16300,14120
39472,2023-01-20 10:51:50.851996,231080121,32,323,13156,11126,15471,13229
