LineNo,UTC_Approx,TimeUS,Id,Value
1313,2023-01-20 10:49:56.559921,116561499,7,6350296
2277,2023-01-20 10:49:57.563500,117561912,7,6350296
2719,2023-01-20 10:49:58.559841,118561904,7,4253144
3121,2023-01-20 10:49:59.559824,119561895,7,4220408
3520,2023-01-20 10:50:00.559833,120561903,7,4220408
3873,2023-01-20 10:50:01.559808,121561949,7,4220408
4197,2023-01-20 10:50:02.559198,122561972,7,4203896
4522,2023-01-20 10:50:03.559091,123561976,7,4203896
4847,2023-01-20 10:50:04.560106,124562309,7,4203896
5171,2023-01-20 10:50:05.559852,125561972,7,4203896
5497,2023-01-20 10:50:06.537468,126561984,7,4203896
5820,2023-01-20 10:50:07.537382,127562242,7,4203896
6145,2023-01-20 10:50:08.537317,128562227,7,4203896
6471,2023-01-20 10:50:09.535567,129562258,7,4203896
6795,2023-01-20 10:50:10.534535,130562572,7,4203896
7118,2023-01-20 10:50:11.534459,131562560,7,4203896
7441,2023-01-20 10:50:12.534450,132562553,7,4203896
7765,2023-01-20 10:50:13.534484,133562575,7,4203896
8090,2023-01-20 10:50:14.534467,134562565,7,4203896
8414,2023-01-20 10:50:15.534473,135562573,7,4203896
8737,2023-01-20 10:50:16.534428,136562556,7,4203896
9060,2023-01-20 10:50:17.534514,137562601,7,4203896
9384,2023-01-20 10:50:18.522542,138562575,7,4203896
9709,2023-01-20 10:50:19.514763,139562541,7,4203896
10035,2023-01-20 10:50:20.514832,140562551,7,4203896
10358,2023-01-20 10:50:21.514750,141562532,7,4203896
10680,2023-01-20 10:50:22.514729,142562546,7,4203896
11005,2023-01-20 10:50:23.514733,143562546,7,4203896
11331,2023-01-20 10:50:24.514764,144562552,7,4203896
11658,2023-01-20 10:50:25.514741,145562574,7,4203896
11982,2023-01-20 10:50:26.514702,146562559,7,4203896
12305,2023-01-20 10:50:27.504418,147562550,7,4203896
12630,2023-01-20 10:50:28.505368,148562552,7,4203896
12956,2023-01-20 10:50:29.494713,149562558,7,4203896
13279,2023-01-20 10:50:30.494720,150562543,7,4203896
13603,2023-01-20 10:50:31.494708,151562550,7,4203896
13927,2023-01-20 10:50:32.494749,152562589,7,4203896
14251,2023-01-20 10:50:33.494731,153562552,7,4203896
14577,2023-01-20 10:50:34.494776,154562557,7,4203896
14904,2023-01-20 10:50:35.494826,155562566,7,4203896
15227,2023-01-20 10:50:36.494748,156562537,7,4203896
15550,2023-01-20 10:50:37.494841,157562569,7,4203896
15875,2023-01-20 10:50:38.474929,158562538,7,4203896
16202,2023-01-20 10:50:39.474851,159562577,7,4203896
16527,2023-01-20 10:50:40.474692,160562527,7,4203896
16853,2023-01-20 10:50:41.474766,161562536,7,4203896
17179,2023-01-20 10:50:42.474692,162562528,7,4203896
17505,2023-01-20 10:50:43.474755,163562529,7,4203896
17834,2023-01-20 10:50:44.474788,164562536,7,4203896
18161,2023-01-20 10:50:45.474757,165562541,7,4203896
18487,2023-01-20 10:50:46.474817,166562543,7,4203896
18812,2023-01-20 10:50:47.454946,167562545,7,4203896
19138,2023-01-20 10:50:48.454822,168562535,7,4203896
19467,2023-01-20 10:50:49.454827,169562551,7,4203896
19835,2023-01-20 10:50:50.454799,170562565,7,4203896
20161,2023-01-20 10:50:51.454772,171562549,7,4203896
20487,2023-01-20 10:50:52.454826,172562594,7,4203896
20813,2023-01-20 10:50:53.454771,173562547,7,4203896
21142,2023-01-20 10:50:54.454839,174562592,7,4203896
21469,2023-01-20 10:50:55.454699,175562541,7,4203896
21794,2023-01-20 10:50:56.434668,176562558,7,4203896
22120,2023-01-20 10:50:57.434606,177562542,7,4203896
22446,2023-01-20 10:50:58.434479,178562549,7,4203896
22775,2023-01-20 10:50:59.434462,179562541,7,4203896
23101,2023-01-20 10:51:00.434459,180562529,7,4203896
23427,2023-01-20 10:51:01.434474,181562550,7,4203896
23753,2023-01-20 10:51:02.434457,182562525,7,4203896
24079,2023-01-20 10:51:03.434444,183562534,7,4203896
24408,2023-01-20 10:51:04.434458,184562532,7,4203896
24737,2023-01-20 10:51:05.434419,185562522,7,4203896
25063,2023-01-20 10:51:06.431364,186562534,7,4203896
25438,2023-01-20 10:51:07.416593,187562573,7,4203896
25763,2023-01-20 10:51:08.414779,188562521,7,4203896
26092,2023-01-20 10:51:09.414835,189562583,7,4203896
26418,2023-01-20 10:51:10.414777,190562533,7,4203896
26744,2023-01-20 10:51:11.414700,191562537,7,4203896
27070,2023-01-20 10:51:12.414783,192562537,7,4203896
27396,2023-01-20 10:51:13.414705,193562540,7,4203896
27725,2023-01-20 10:51:14.414781,194562535,7,4203896
28052,2023-01-20 10:51:15.414808,195562552,7,4203896
28378,2023-01-20 10:51:16.413463,196562535,7,4203896
28702,2023-01-20 10:51:17.394880,197562531,7,4203896
29028,2023-01-20 10:51:18.394804,198562537,7,4203896
29357,2023-01-20 10:51:19.394701,199562544,7,4203896
29683,2023-01-20 10:51:20.394772,200562551,7,4203896
30008,2023-01-20 10:51:21.394805,201562552,7,4203896
30314,2023-01-20 10:51:22.394812,202562457,7,4203896
30609,2023-01-20 10:51:23.394801,203562422,7,4203896
30916,2023-01-20 10:51:24.394850,204562628,7,4203896
31289,2023-01-20 10:51:25.394875,205562592,7,4203896
31613,2023-01-20 10:51:26.374917,206562547,7,4203896
31937,2023-01-20 10:51:27.374864,207562551,7,4203896
32261,2023-01-20 10:51:28.374807,208562521,7,4203896
32590,2023-01-20 10:51:29.374793,209562550,7,4203896
32916,2023-01-20 10:51:30.374771,210562527,7,4203896
33237,2023-01-20 10:51:31.374811,211562459,7,4203896
33531,2023-01-20 10:51:32.374818,212562456,7,4203896
