LineNo,UTC_Approx,TimeUS,FmtType,UnitIds,MultIds
384,2023-01-20 10:49:56.259410,116248439,254,s?????,F?????
1616,2023-01-20 10:49:56.666858,116668329,128,-b---,-----
1617,2023-01-20 10:49:56.666877,116668347,112,s--,F--
1618,2023-01-20 10:49:56.666894,116668365,111,s---,F---
1619,2023-01-20 10:49:56.667869,116669343,111,s---,F---
1620,2023-01-20 10:49:56.667887,116669361,113,s--,F--
1621,2023-01-20 10:49:56.667905,116669379,32,s---,F---
1622,2023-01-20 10:49:56.667927,116669401,87,s#---SmDUmnhnh-,F----0BGGB000--
1623,2023-01-20 10:49:56.667948,116669422,88,s#mmmnd-ssm,F-BBBB0-CC0
1624,2023-01-20 10:49:56.667972,116669447,92,s#-----,F------
1625,2023-01-20 10:49:56.667999,116669474,93,s#----,F-----
1626,2023-01-20 10:49:56.668030,116669505,89,s--S-------,F--0-------
1627,2023-01-20 10:49:56.668049,116669524,90,s-----,F-----
1628,2023-01-20 10:49:56.668068,116669543,91,s------------,F------------
1629,2023-01-20 10:49:56.668087,116669562,59,s-,F-
1630,2023-01-20 10:49:56.668105,116669580,60,sYYYYYYYYYYYYYY,F--------------
1631,2023-01-20 10:49:56.668129,116669604,61,sYY-,F---
1632,2023-01-20 10:49:56.668147,116669622,62,sYYYYYYYYYYYYYY,F--------------
1633,2023-01-20 10:49:56.668167,116669642,201,sYYYY,F----
1634,2023-01-20 10:49:56.668185,116669660,202,sYYYYYYYYYYYYYY,F--------------
1635,2023-01-20 10:49:56.668208,116669684,63,s--,F--
1636,2023-01-20 10:49:56.668226,116669702,64,s#mPOnsmO-,F-00B0C?0-
1637,2023-01-20 10:49:56.668246,116669722,190,s--mmnnmmms--,F--BBBBBBBC--
1638,2023-01-20 10:49:56.668265,116669741,65,svv---Ovvv,F00---0000
1639,2023-01-20 10:49:56.668338,116669814,74,s-------DUm-,F-------GG0-
1640,2023-01-20 10:49:56.668358,116669834,75,s---------------,F---------------
1641,2023-01-20 10:49:56.668379,116669855,76,s-------,F-------
1642,2023-01-20 10:49:56.668397,116669873,78,s--DUmmmddd,F--GGBBBBBB
1643,2023-01-20 10:49:56.668417,116669893,79,s--DUmmmddd,F--GGBBBBBB
1644,2023-01-20 10:49:56.668436,116669912,107,s#nPOPP-----,F-00B00-----
1645,2023-01-20 10:49:56.668456,116669932,83,s#vvAaXOw%,F-000C0?00
1646,2023-01-20 10:49:56.668474,116669951,84,s#vvvvvvvvvvvvv,F-0CCCCCCCCCCCC
1647,2023-01-20 10:49:56.668499,116669976,106,s#GGGGGGGGG-s,F-CCCCCCCCC-F
1648,2023-01-20 10:49:56.668519,116669996,115,s---,F---
1649,2023-01-20 10:49:56.668537,116670014,109,s#m--,F-B--
1650,2023-01-20 10:49:56.668555,116670032,110,s-------------,F-------------
1651,2023-01-20 10:49:56.668575,116670052,173,s--mmmmmmm,F--0000000
1652,2023-01-20 10:49:56.668595,116670072,178,sz---b%------s,F----0A------F
1653,2023-01-20 10:49:56.668615,116670092,177,s----mmm,F----000
1654,2023-01-20 10:49:56.668634,116670111,169,s-bddd-mDUmDUm,F-------GGBGGB
1655,2023-01-20 10:49:56.668654,116670131,170,sbbbbDUDU,F----GGGG
1656,2023-01-20 10:49:56.668736,116670214,171,sbnnnnnnb,F--------
1657,2023-01-20 10:49:56.668755,116670233,172,s--DU,F--GG
1658,2023-01-20 10:49:56.668777,116670255,73,sddhmDU????,FBBB0GG????
1659,2023-01-20 10:49:56.668796,116670274,80,s-DU-mm--m,F-GG-00--0
1660,2023-01-20 10:49:56.668816,116670294,82,s#qqvAOaO%,F-BB--BCB-
1661,2023-01-20 10:49:56.668835,116670313,81,s#---%,F-0000
1662,2023-01-20 10:49:56.668853,116670331,98,s----------,F----------
1663,2023-01-20 10:49:56.670369,116671853,98,s----------,F----------
1664,2023-01-20 10:49:56.670394,116671878,99,s----------,F----------
1665,2023-01-20 10:49:56.670422,116671906,100,s----------,F----------
1666,2023-01-20 10:49:56.670452,116671936,101,s----------,F----------
1667,2023-01-20 10:49:56.670471,116671955,102,s----------,F----------
1668,2023-01-20 10:49:56.670491,116671975,103,s----------,F----------
1669,2023-01-20 10:49:56.670510,116671994,104,s----------,F----------
1670,2023-01-20 10:49:56.670530,116672014,105,s??DUm--------,F??000--------
1671,2023-01-20 10:49:56.670550,116672034,160,s#sooo,F-F000
1672,2023-01-20 10:49:56.670568,116672052,161,s#sEEE,F-F000
1673,2023-01-20 10:49:56.670587,116672071,162,s#EEEooo--O--zz,F-000000-----00
1674,2023-01-20 10:49:56.670606,116672091,165,s#ooo-,F-000-
