LineNo,UTC_Approx,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
302,2023-01-20 10:49:56.200000,116183121,0,1.37,2.85,5.09,0.8,0,1,116131,200,-36.19
1067,2023-01-20 10:49:56.400000,116403010,0,1.37,2.85,5.1,0.82,0,1,116331,200,-36.19
1420,2023-01-20 10:49:56.600000,116601219,0,1.37,2.86,5.1,0.81,0,1,116531,200,-36.19
1898,2023-01-20 10:49:56.800000,116801971,0,1.37,2.86,5.11,0.83,0,1,116731,200,-36.19
1991,2023-01-20 10:49:57.000000,117001972,0,1.37,2.86,5.11,0.85,0,1,116931,200,-36.19
2083,2023-01-20 10:49:57.200000,117201931,0,1.37,2.86,5.12,0.81,0,1,117131,200,-36.19
2190,2023-01-20 10:49:57.400000,117382071,0,1.37,2.87,5.12,0.86,0,1,117331,200,-36.19
2312,2023-01-20 10:49:57.600000,117602060,0,1.37,2.87,5.12,0.85,0,1,117531,200,-36.19
2424,2023-01-20 10:49:57.800000,117802104,0,1.37,2.87,5.13,0.85,0,1,117731,200,-36.19
2509,2023-01-20 10:49:58.000000,118002164,0,1.37,2.87,5.13,0.84,0,1,117931,200,-36.19
2591,2023-01-20 10:49:58.200000,118201999,0,1.37,2.88,5.14,0.85,0,1,118131,200,-36.19
2670,2023-01-20 10:49:58.400000,118402060,0,1.37,2.88,5.14,0.8,0,1,118331,200,-36.19
2751,2023-01-20 10:49:58.600000,118602064,0,1.37,2.88,5.14,0.83,0,1,118531,200,-36.19
2833,2023-01-20 10:49:58.800000,118802117,0,1.37,2.88,5.14,0.8,0,1,118731,200,-36.189
2914,2023-01-20 10:49:59.000000,119002114,0,1.37,2.88,5.15,0.82,0,1,118931,200,-36.189
2995,2023-01-20 10:49:59.200000,119202061,0,1.37,2.88,5.15,0.76,0,1,119131,200,-36.19
3073,2023-01-20 10:49:59.400000,119402064,0,1.37,2.88,5.15,0.83,0,1,119331,200,-36.19
3154,2023-01-20 10:49:59.600000,119602072,0,1.37,2.88,5.15,0.83,0,1,119531,200,-36.19
3234,2023-01-20 10:49:59.800000,119802109,0,1.37,2.88,5.15,0.64,0,1,119731,200,-36.19
3313,2023-01-20 10:50:00.000000,120002119,0,1.37,2.88,5.15,0.8,0,1,119931,200,-36.19
3393,2023-01-20 10:50:00.200000,120202065,0,1.37,2.88,5.15,0.75,0,1,120131,200,-36.19
3471,2023-01-20 10:50:00.400000,120402081,0,1.37,2.88,5.15,0.8,0,1,120331,200,-36.19
3553,2023-01-20 10:50:00.600000,120602067,0,1.37,2.88,5.15,0.81,0,1,120531,200,-36.19
3634,2023-01-20 10:50:00.800000,120802091,0,1.37,2.88,5.15,0.56,0,1,120731,200,-36.19
3709,2023-01-20 10:50:01.000000,121002128,0,1.37,2.88,5.15,0.81,0,1,120931,200,-36.19
3774,2023-01-20 10:50:01.200000,121202115,0,1.37,2.88,5.15,0.82,0,1,121131,200,-36.19
3837,2023-01-20 10:50:01.400000,121402223,0,1.37,2.88,5.15,0.82,0,1,121331,200,-36.19
3903,2023-01-20 10:50:01.600000,121602120,0,1.37,2.88,5.15,0.79,0,1,121531,200,-36.19
3968,2023-01-20 10:50:01.800000,121802116,0,1.37,2.88,5.15,0.72,0,1,121731,200,-36.19
4033,2023-01-20 10:50:02.000000,122002267,0,1.37,2.88,5.15,0.76,0,1,121931,200,-36.19
4098,2023-01-20 10:50:02.200000,122202135,0,1.37,2.88,5.15,0.7,0,1,122131,200,-36.19
4161,2023-01-20 10:50:02.400000,122402139,0,1.37,2.88,5.16,0.83,0,1,122331,200,-36.19
4227,2023-01-20 10:50:02.600000,122602937,0,1.37,2.89,5.16,0.82,0,1,122531,200,-36.19
4293,2023-01-20 10:50:02.800000,122802863,0,1.37,2.89,5.16,0.76,0,1,122731,200,-36.19
4358,2023-01-20 10:50:03.000000,123002913,0,1.37,2.89,5.16,0.73,0,1,122931,200,-36.19
4423,2023-01-20 10:50:03.200000,123202917,0,1.37,2.89,5.16,0.73,0,1,123131,200,-36.19
4486,2023-01-20 10:50:03.400000,123402906,0,1.37,2.89,5.17,0.8,0,1,123331,200,-36.19
4551,2023-01-20 10:50:03.600000,123602879,0,1.37,2.9,5.18,0.8,0,1,123531,200,-36.19
4617,2023-01-20 10:50:03.800000,123802886,0,1.37,2.9,5.19,0.85,0,1,123731,200,-36.19
4682,2023-01-20 10:50:04.000000,124002265,0,1.37,2.91,5.2,0.9,0,1,123931,200,-36.19
4747,2023-01-20 10:50:04.200000,124202130,0,1.37,2.91,5.21,0.87,0,1,124131,200,-36.19
4810,2023-01-20 10:50:04.400000,124402139,0,1.37,2.92,5.22,0.86,0,1,124331,200,-36.19
4876,2023-01-20 10:50:04.600000,124602219,0,1.37,2.92,5.23,0.88,0,1,124531,200,-36.19
4942,2023-01-20 10:50:04.800000,124802134,0,1.37,2.93,5.24,0.84,0,1,124731,200,-36.19
5006,2023-01-20 10:50:05.000000,125002229,0,1.37,2.93,5.25,0.81,0,1,124931,200,-36.19
5071,2023-01-20 10:50:05.200000,125202132,0,1.37,2.94,5.26,0.82,0,1,125131,200,-36.19
5134,2023-01-20 10:50:05.400000,125402142,0,1.37,2.94,5.27,0.82,0,1,125331,200,-36.19
5200,2023-01-20 10:50:05.600000,125602114,0,1.37,2.95,5.28,0.83,0,1,125531,200,-36.19
5266,2023-01-20 10:50:05.800000,125802109,0,1.37,2.95,5.29,0.74,0,1,125731,200,-36.19
5331,2023-01-20 10:50:06.000000,126022070,0,1.37,2.96,5.3,0.85,0,1,125931,200,-36.19
5396,2023-01-20 10:50:06.200000,126221998,0,1.37,2.96,5.31,0.84,0,1,126131,200,-36.189
5461,2023-01-20 10:50:06.400000,126424499,0,1.37,2.97,5.33,0.85,0,1,126331,200,-36.19
5527,2023-01-20 10:50:06.600000,126624523,0,1.37,2.97,5.34,0.82,0,1,126531,200,-36.189
5592,2023-01-20 10:50:06.800000,126824652,0,1.37,2.98,5.35,0.83,0,1,126731,200,-36.19
5656,2023-01-20 10:50:07.000000,127024831,0,1.37,2.98,5.36,0.82,0,1,126931,200,-36.19
5721,2023-01-20 10:50:07.200000,127224867,0,1.37,2.99,5.37,0.81,0,1,127131,200,-36.19
5784,2023-01-20 10:50:07.400000,127424741,0,1.37,2.99,5.38,0.81,0,1,127331,200,-36.19
5850,2023-01-20 10:50:07.600000,127624914,0,1.37,3,5.39,0.8,0,1,127531,200,-36.19
5914,2023-01-20 10:50:07.800000,127804652,0,1.37,3,5.4,0.82,0,1,127731,200,-36.19
5981,2023-01-20 10:50:08.000000,128024948,0,1.37,3,5.41,0.82,0,1,127931,200,-36.189
6046,2023-01-20 10:50:08.200000,128224985,0,1.37,3.01,5.41,0.81,0,1,128131,200,-36.189
6109,2023-01-20 10:50:08.400000,128424901,0,1.37,3.01,5.42,0.8,0,1,128331,200,-36.19
6175,2023-01-20 10:50:08.600000,128624914,0,1.37,3.02,5.43,0.8,0,1,128531,200,-36.19
6240,2023-01-20 10:50:08.800000,128824931,0,1.37,3.02,5.43,0.76,0,1,128731,200,-36.19
6307,2023-01-20 10:50:09.000000,129024735,0,1.37,3.03,5.45,0.79,0,1,128931,200,-36.19
6372,2023-01-20 10:50:09.200000,129224658,0,1.37,3.03,5.45,0.79,0,1,129131,200,-36.19
6435,2023-01-20 10:50:09.400000,129425018,0,1.37,3.03,5.46,0.78,0,1,129331,200,-36.189
6501,2023-01-20 10:50:09.600000,129627486,0,1.37,3.04,5.46,0.78,0,1,129531,200,-36.189
6566,2023-01-20 10:50:09.800000,129827489,0,1.37,3.04,5.47,0.78,0,1,129731,200,-36.19
6631,2023-01-20 10:50:10.000000,130027533,0,1.37,3.05,5.48,0.83,0,1,129931,200,-36.19
6696,2023-01-20 10:50:10.200000,130227483,0,1.37,3.05,5.49,0.84,0,1,130131,200,-36.19
6759,2023-01-20 10:50:10.400000,130428001,0,1.37,3.06,5.5,0.78,0,1,130331,200,-36.19
6825,2023-01-20 10:50:10.600000,130628055,0,1.37,3.06,5.5,0.79,0,1,130531,200,-36.189
6890,2023-01-20 10:50:10.800000,130828091,0,1.37,3.07,5.5,0.81,0,1,130731,200,-36.189
6954,2023-01-20 10:50:11.000000,131028268,0,1.37,3.07,5.51,0.81,0,1,130971,240,-36.19
7019,2023-01-20 10:50:11.200000,131228095,0,1.36,3.07,5.51,0.78,0,1,131171,200,-36.19
7083,2023-01-20 10:50:11.400000,131428109,0,1.36,3.08,5.52,0.84,0,1,131371,200,-36.19
7149,2023-01-20 10:50:11.600000,131628097,0,1.36,3.08,5.53,0.81,0,1,131571,200,-36.19
7214,2023-01-20 10:50:11.800000,131828098,0,1.36,3.09,5.54,0.78,0,1,131771,200,-36.189
7278,2023-01-20 10:50:12.000000,132028248,0,1.36,3.1,5.55,0.81,0,1,131971,200,-36.19
7343,2023-01-20 10:50:12.200000,132228086,0,1.36,3.1,5.56,0.79,0,1,132171,200,-36.189
7406,2023-01-20 10:50:12.400000,132428093,0,1.36,3.11,5.57,0.76,0,1,132371,200,-36.19
7472,2023-01-20 10:50:12.600000,132628108,0,1.36,3.12,5.58,0.83,0,1,132571,200,-36.19
7537,2023-01-20 10:50:12.800000,132828087,0,1.36,3.12,5.58,0.68,0,1,132771,200,-36.19
7602,2023-01-20 10:50:13.000000,133028234,0,1.36,3.13,5.59,0.76,0,1,132971,200,-36.19
7667,2023-01-20 10:50:13.200000,133228086,0,1.36,3.13,5.6,0.62,0,1,133171,200,-36.19
7730,2023-01-20 10:50:13.400000,133428092,0,1.36,3.14,5.62,0.7,0,1,133371,200,-36.189
7795,2023-01-20 10:50:13.600000,133628091,0,1.36,3.14,5.62,0.73,0,1,133571,200,-36.19
7861,2023-01-20 10:50:13.800000,133828094,0,1.36,3.15,5.64,0.62,0,1,133771,200,-36.189
7927,2023-01-20 10:50:14.000000,134028260,0,1.36,3.15,5.65,0.64,0,1,133971,200,-36.19
7992,2023-01-20 10:50:14.200000,134228113,0,1.36,3.16,5.66,0.9,0,1,134171,200,-36.19
8055,2023-01-20 10:50:14.400000,134428098,0,1.36,3.16,5.67,0.69,0,1,134371,200,-36.189
8121,2023-01-20 10:50:14.600000,134628098,0,1.36,3.17,5.68,0.77,0,1,134571,200,-36.19
8187,2023-01-20 10:50:14.800000,134828098,0,1.36,3.17,5.7,0.7,0,1,134771,200,-36.189
8251,2023-01-20 10:50:15.000000,135028266,0,1.36,3.18,5.71,0.66,0,1,134971,200,-36.19
8316,2023-01-20 10:50:15.200000,135228136,0,1.36,3.18,5.71,0.64,0,1,135171,200,-36.19
8379,2023-01-20 10:50:15.400000,135428096,0,1.36,3.18,5.72,0.85,0,1,135371,200,-36.19
8444,2023-01-20 10:50:15.600000,135628102,0,1.36,3.19,5.72,0.69,0,1,135571,200,-36.19
8510,2023-01-20 10:50:15.800000,135828097,0,1.36,3.19,5.73,0.62,0,1,135771,200,-36.19
8574,2023-01-20 10:50:16.000000,136028159,0,1.36,3.19,5.74,0.8,0,1,135971,200,-36.19
8639,2023-01-20 10:50:16.200000,136228097,0,1.36,3.19,5.74,0.89,0,1,136171,200,-36.19
8702,2023-01-20 10:50:16.400000,136428206,0,1.36,3.19,5.75,0.88,0,1,136371,200,-36.19
8767,2023-01-20 10:50:16.600000,136628090,0,1.36,3.19,5.75,0.92,0,1,136571,200,-36.19
8833,2023-01-20 10:50:16.800000,136828095,0,1.36,3.19,5.75,0.9,0,1,136771,200,-36.19
