LineNo,UTC_Approx,UTC_GPS,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
301,2023-01-20 10:49:56.200000,2023-01-20 10:49:56.200000,116183121,0,3,471014200,2245,13,0.78,39.8043833,32.3788021,732.72,0.093,0,-0.247,0,1
1066,2023-01-20 10:49:56.400000,2023-01-20 10:49:56.400000,116403010,0,3,471014400,2245,13,0.78,39.8043832,32.3788021,732.72,0.032,0,-0.21,0,1
1419,2023-01-20 10:49:56.600000,2023-01-20 10:49:56.600000,116601219,0,3,471014600,2245,13,0.78,39.8043831,32.378802,732.73,0.11,0,-0.309,0,1
1897,2023-01-20 10:49:56.800000,2023-01-20 10:49:56.800000,116801971,0,3,471014800,2245,13,0.78,39.8043831,32.3788017,732.76,0.17,0,-0.261,0,1
1990,2023-01-20 10:49:57.000000,2023-01-20 10:49:57.000000,117001972,0,3,471015000,2245,13,0.78,39.8043832,32.3788016,732.76,0.129,0,-0.326,0,1
2082,2023-01-20 10:49:57.200000,2023-01-20 10:49:57.200000,117201931,0,3,471015200,2245,13,0.78,39.8043833,32.3788018,732.73,0.151,0,-0.165,0,1
2189,2023-01-20 10:49:57.400000,2023-01-20 10:49:57.400000,117382071,0,3,471015400,2245,13,0.78,39.8043835,32.3788019,732.7,0.154,0,-0.292,0,1
2311,2023-01-20 10:49:57.600000,2023-01-20 10:49:57.600000,117602060,0,3,471015600,2245,13,0.78,39.8043835,32.3788019,732.65,0.116,0,-0.291,0,1
2423,2023-01-20 10:49:57.800000,2023-01-20 10:49:57.800000,117802104,0,3,471015800,2245,13,0.78,39.8043835,32.3788019,732.66,0.113,0,-0.296,0,1
2508,2023-01-20 10:49:58.000000,2023-01-20 10:49:58.000000,118002164,0,3,471016000,2245,13,0.78,39.8043834,32.3788018,732.63,0.071,0,-0.158,0,1
2590,2023-01-20 10:49:58.200000,2023-01-20 10:49:58.200000,118201999,0,3,471016200,2245,13,0.78,39.8043834,32.3788017,732.58,0.15,0,-0.317,0,1
2669,2023-01-20 10:49:58.400000,2023-01-20 10:49:58.400000,118402060,0,3,471016400,2245,13,0.78,39.8043835,32.3788013,732.66,0.155,0,-0.252,0,1
2750,2023-01-20 10:49:58.600000,2023-01-20 10:49:58.600000,118602064,0,3,471016600,2245,13,0.78,39.8043835,32.3788013,732.61,0.15,0,-0.229,0,1
2832,2023-01-20 10:49:58.800000,2023-01-20 10:49:58.800000,118802117,0,3,471016800,2245,13,0.78,39.8043835,32.3788013,732.59,0.007,0,-0.153,0,1
2913,2023-01-20 10:49:59.000000,2023-01-20 10:49:59.000000,119002114,0,3,471017000,2245,13,0.78,39.8043834,32.3788015,732.48,0.135,0,-0.274,0,1
2994,2023-01-20 10:49:59.200000,2023-01-20 10:49:59.200000,119202061,0,3,471017200,2245,13,0.78,39.8043836,32.3788013,732.46,0.261,0,-0.203,0,1
3072,2023-01-20 10:49:59.400000,2023-01-20 10:49:59.400000,119402064,0,3,471017400,2245,13,0.78,39.8043839,32.3788012,732.43,0.106,0,-0.217,0,1
3153,2023-01-20 10:49:59.600000,2023-01-20 10:49:59.600000,119602072,0,3,471017600,2245,13,0.78,39.804384,32.3788014,732.39,0.079,0,-0.256,0,1
3233,2023-01-20 10:49:59.800000,2023-01-20 10:49:59.800000,119802109,0,3,471017800,2245,13,0.78,39.8043842,32.3788016,732.39,0.115,0,-0.101,0,1
3312,2023-01-20 10:50:00.000000,2023-01-20 10:50:00.000000,120002119,0,3,471018000,2245,13,0.78,39.8043843,32.3788019,732.31,0.155,0,-0.071,0,1
3392,2023-01-20 10:50:00.200000,2023-01-20 10:50:00.200000,120202065,0,3,471018200,2245,13,0.78,39.8043843,32.378802,732.29,0.029,0,-0.093,0,1
3470,2023-01-20 10:50:00.400000,2023-01-20 10:50:00.400000,120402081,0,3,471018400,2245,13,0.78,39.8043842,32.378802,732.3,0.02,0,-0.12,0,1
3552,2023-01-20 10:50:00.600000,2023-01-20 10:50:00.600000,120602067,0,3,471018600,2245,13,0.78,39.8043841,32.3788021,732.24,0.014,0,-0.157,0,1
3633,2023-01-20 10:50:00.800000,2023-01-20 10:50:00.800000,120802091,0,3,471018800,2245,13,0.78,39.804384,32.3788024,732.18,0.118,0,-0.06900001,0,1
3708,2023-01-20 10:50:01.000000,2023-01-20 10:50:01.000000,121002128,0,3,471019000,2245,13,0.78,39.8043839,32.3788026,732.11,0.063,0,-0.175,0,1
3773,2023-01-20 10:50:01.200000,2023-01-20 10:50:01.200000,121202115,0,3,471019200,2245,13,0.78,39.8043839,32.3788027,732.06,0.12,0,-0.15,0,1
3836,2023-01-20 10:50:01.400000,2023-01-20 10:50:01.400000,121402223,0,3,471019400,2245,13,0.78,39.8043841,32.3788028,732.07,0.19,0,-0.229,0,1
3902,2023-01-20 10:50:01.600000,2023-01-20 10:50:01.600000,121602120,0,3,471019600,2245,13,0.78,39.8043843,32.3788028,732.12,0.071,0,-0.304,0,1
3967,2023-01-20 10:50:01.800000,2023-01-20 10:50:01.800000,121802116,0,3,471019800,2245,13,0.78,39.804384,32.3788029,732.1,0.098,0,-0.206,0,1
4032,2023-01-20 10:50:02.000000,2023-01-20 10:50:02.000000,122002267,0,3,471020000,2245,13,0.78,39.8043838,32.3788033,732.04,0.1,0,-0.067,0,1
4097,2023-01-20 10:50:02.200000,2023-01-20 10:50:02.200000,122202135,0,3,471020200,2245,13,0.78,39.804384,32.3788036,732.15,0.291,0,-0.488,0,1
4160,2023-01-20 10:50:02.400000,2023-01-20 10:50:02.400000,122402139,0,3,471020400,2245,13,0.78,39.8043837,32.3788042,732.1,0.08400001,0,-0.7180001,0,1
4226,2023-01-20 10:50:02.600000,2023-01-20 10:50:02.600000,122602937,0,3,471020600,2245,13,0.78,39.8043838,32.378804,732.21,0.146,0,-0.7,0,1
4292,2023-01-20 10:50:02.800000,2023-01-20 10:50:02.800000,122802863,0,3,471020800,2245,13,0.78,39.804384,32.3788042,732.42,0.267,0,-1.215,0,1
4357,2023-01-20 10:50:03.000000,2023-01-20 10:50:03.000000,123002913,0,3,471021000,2245,13,0.78,39.8043833,32.378805,732.62,0.637,0,-1.121,0,1
4422,2023-01-20 10:50:03.200000,2023-01-20 10:50:03.200000,123202917,0,3,471021200,2245,13,0.78,39.8043828,32.3788058,732.93,0.435,0,-1.268,0,1
4485,2023-01-20 10:50:03.400000,2023-01-20 10:50:03.400000,123402906,0,3,471021400,2245,13,0.78,39.8043821,32.3788065,732.95,0.27,0,-0.604,0,1
4550,2023-01-20 10:50:03.600000,2023-01-20 10:50:03.600000,123602879,0,3,471021600,2245,13,0.78,39.8043816,32.3788062,733.04,0.231,0,-0.409,0,1
4616,2023-01-20 10:50:03.800000,2023-01-20 10:50:03.800000,123802886,0,3,471021800,2245,13,0.78,39.8043815,32.3788055,733.1,0.434,0,-0.7820001,0,1
4681,2023-01-20 10:50:04.000000,2023-01-20 10:50:04.000000,124002265,0,3,471022000,2245,13,0.78,39.8043821,32.3788046,733.19,0.738,0,-1.015,0,1
4746,2023-01-20 10:50:04.200000,2023-01-20 10:50:04.200000,124202130,0,3,471022200,2245,13,0.78,39.804383,32.3788038,733.22,0.682,0,-0.827,0,1
4809,2023-01-20 10:50:04.400000,2023-01-20 10:50:04.400000,124402139,0,3,471022400,2245,13,0.78,39.8043835,32.3788037,733.18,0.322,0,-0.752,0,1
4875,2023-01-20 10:50:04.600000,2023-01-20 10:50:04.600000,124602219,0,3,471022600,2245,13,0.78,39.8043838,32.3788036,733.14,0.529,0,-0.892,0,1
4941,2023-01-20 10:50:04.800000,2023-01-20 10:50:04.800000,124802134,0,3,471022800,2245,13,0.78,39.8043839,32.378803,733.21,0.302,0,-1.163,0,1
5005,2023-01-20 10:50:05.000000,2023-01-20 10:50:05.000000,125002229,0,3,471023000,2245,13,0.78,39.8043838,32.378803,733.3,0.16,0,-0.786,0,1
5070,2023-01-20 10:50:05.200000,2023-01-20 10:50:05.200000,125202132,0,3,471023200,2245,13,0.78,39.8043837,32.3788033,733.49,0.167,0,-1,0,1
5133,2023-01-20 10:50:05.400000,2023-01-20 10:50:05.400000,125402142,0,3,471023400,2245,13,0.78,39.8043836,32.3788039,733.68,0.22,0,-1.176,0,1
5199,2023-01-20 10:50:05.600000,2023-01-20 10:50:05.600000,125602114,0,3,471023600,2245,13,0.78,39.8043834,32.3788042,733.86,0.274,0,-0.9950001,0,1
5265,2023-01-20 10:50:05.800000,2023-01-20 10:50:05.800000,125802109,0,3,471023800,2245,13,0.78,39.8043823,32.3788049,733.68,0.478,0,-0.567,0,1
5330,2023-01-20 10:50:06.000000,2023-01-20 10:50:06.000000,126022070,0,3,471024000,2245,13,0.78,39.8043818,32.3788055,733.68,0.122,0,-0.9590001,0,1
5395,2023-01-20 10:50:06.200000,2023-01-20 10:50:06.200000,126221998,0,3,471024200,2245,13,0.78,39.8043817,32.3788051,733.88,0.282,0,-0.757,0,1
5460,2023-01-20 10:50:06.400000,2023-01-20 10:50:06.400000,126424499,0,3,471024400,2245,13,0.78,39.8043813,32.3788048,733.89,0.223,0,-0.673,0,1
5526,2023-01-20 10:50:06.600000,2023-01-20 10:50:06.600000,126624523,0,3,471024600,2245,13,0.78,39.8043803,32.3788046,733.97,0.904,166.7451,-0.551,0,1
5591,2023-01-20 10:50:06.800000,2023-01-20 10:50:06.800000,126824652,0,3,471024800,2245,13,0.78,39.8043789,32.3788041,734.16,0.9860001,181.7963,-0.446,0,1
5655,2023-01-20 10:50:07.000000,2023-01-20 10:50:07.000000,127024831,0,3,471025000,2245,13,0.78,39.8043775,32.3788031,734.37,1.012,189.6722,-0.447,0,1
