LineNo,UTC_Approx,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
320,2023-01-20 10:49:56.202203,116185543,0,-0.00110909,-0.002927841,0.0003722008,0.004268475,0.2119226,-9.906707,0,0,26.79916,1,1,7975,996
480,2023-01-20 10:49:56.274936,116265509,0,-0.001801247,-0.003366931,0.000995671,0.008524433,0.2194521,-9.884665,0,0,26.79799,1,1,7975,996
789,2023-01-20 10:49:56.311684,116305911,0,-0.00206889,-0.003541977,-0.0001159964,0.01801076,0.1997459,-9.875162,0,0,26.79787,1,1,7975,996
946,2023-01-20 10:49:56.347811,116345631,0,-0.0006027147,-0.003763359,0.0001743196,0.01868325,0.2163313,-9.871488,0,0,26.79793,1,1,7975,996
1042,2023-01-20 10:49:56.384075,116385501,0,-0.001867738,-0.003613267,4.694446E-05,0.009336578,0.2032042,-9.889186,0,0,26.79809,1,1,7975,996
1086,2023-01-20 10:49:56.426615,116429387,0,-0.001578433,-0.003895305,0.000781184,0.008196039,0.2194979,-9.894416,0,0,26.79939,1,1,7975,996
1146,2023-01-20 10:49:56.473566,116475917,0,-0.001890802,-0.002616207,0.0004784617,0.007236685,0.2128762,-9.891197,0,0,26.80163,1,1,7975,996
1194,2023-01-20 10:49:56.522514,116524427,0,-0.002958777,-0.003348876,0.0003559322,0.01543021,0.2041678,-9.884186,0,0,26.80424,1,1,7975,996
1323,2023-01-20 10:49:56.562280,116563837,0,-0.002041356,-0.002368414,0.0005437824,0.01331552,0.2043679,-9.889366,0,0,26.80663,1,1,7975,996
1425,2023-01-20 10:49:56.602431,116603659,0,-0.0004644817,-0.003335704,0.0005418314,0.00232679,0.208371,-9.882698,0,0,26.80855,1,1,7975,996
1490,2023-01-20 10:49:56.643033,116644414,0,-0.001193734,-0.00346772,0.0006222217,0.02031887,0.207833,-9.893852,0,0,26.81049,1,1,7975,996
1791,2023-01-20 10:49:56.682873,116684404,0,-0.001739437,-0.002761472,0.001017096,0.01190358,0.2290568,-9.892616,0,0,26.81251,1,1,7975,996
