LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
1391,2023-01-20 10:49:56.585032,116586385,2,6682,201,0,6,0,7
2306,2023-01-20 10:49:57.588430,117589334,2,6763,202,0,6,0,7
2748,2023-01-20 10:49:58.589799,118591863,2,6845,203,0,6,0,7
3152,2023-01-20 10:49:59.592536,119594608,2,6926,204,0,6,0,7
3551,2023-01-20 10:50:00.594676,120596744,2,7008,205,0,6,0,7
3901,2023-01-20 10:50:01.597279,121599400,2,7089,206,0,6,0,7
4228,2023-01-20 10:50:02.600070,122603007,2,7171,207,0,6,0,7
4552,2023-01-20 10:50:03.601524,123604403,2,7252,208,0,6,0,7
4877,2023-01-20 10:50:04.604637,124606854,2,7333,209,0,6,0,7
5201,2023-01-20 10:50:05.606365,125608479,2,7414,210,0,6,0,7
5525,2023-01-20 10:50:06.584842,126609363,2,7496,211,0,6,0,7
5848,2023-01-20 10:50:07.589499,127614404,2,7577,212,0,6,0,7
6173,2023-01-20 10:50:08.591962,128616876,2,7658,213,0,6,0,7
6499,2023-01-20 10:50:09.590241,129617607,2,7739,214,0,6,0,7
6823,2023-01-20 10:50:10.591975,130620028,2,7821,215,0,6,0,7
7147,2023-01-20 10:50:11.594465,131622562,2,7905,216,0,6,0,7
7470,2023-01-20 10:50:12.596966,132625074,2,7986,217,0,6,0,7
7796,2023-01-20 10:50:13.600142,133628233,2,8067,218,0,6,0,7
8122,2023-01-20 10:50:14.601939,134630037,2,8148,219,0,6,0,7
8445,2023-01-20 10:50:15.604843,135632945,2,8229,220,0,6,0,7
8768,2023-01-20 10:50:16.606933,136635023,2,8310,221,0,6,0,7
9091,2023-01-20 10:50:17.609463,137637543,2,8391,222,0,6,0,7
9413,2023-01-20 10:50:18.593383,138640334,2,8472,223,0,6,0,7
9737,2023-01-20 10:50:19.594693,139642513,2,8553,224,0,6,0,7
10063,2023-01-20 10:50:20.597301,140645024,2,8637,225,0,6,0,7
10388,2023-01-20 10:50:21.600145,141647896,2,8720,226,0,6,0,7
10711,2023-01-20 10:50:22.602180,142649957,2,8803,227,0,6,0,7
11037,2023-01-20 10:50:23.605851,143653653,2,8886,228,0,6,0,7
11365,2023-01-20 10:50:24.607300,144655038,2,8969,229,0,6,0,7
11690,2023-01-20 10:50:25.609676,145657498,2,9051,230,0,6,0,7
12014,2023-01-20 10:50:26.612234,146660066,2,9132,231,0,6,0,7
12338,2023-01-20 10:50:27.595469,147662573,2,9213,232,0,6,0,7
12667,2023-01-20 10:50:28.616022,148665441,2,9294,233,0,6,0,7
12993,2023-01-20 10:50:29.600085,149667910,2,9375,234,0,6,0,7
13341,2023-01-20 10:50:30.602211,150670040,2,9457,235,0,6,0,7
13664,2023-01-20 10:50:31.604624,151672486,2,9538,236,0,6,0,7
13988,2023-01-20 10:50:32.607158,152675023,2,9624,237,0,6,0,7
14314,2023-01-20 10:50:33.610869,153678696,2,9711,238,0,6,0,7
14640,2023-01-20 10:50:34.612263,154680012,2,9792,239,0,6,0,7
14966,2023-01-20 10:50:35.614760,155682502,2,9876,240,0,6,0,7
15288,2023-01-20 10:50:36.617256,156684985,2,9959,241,0,6,0,7
15611,2023-01-20 10:50:37.619830,157687545,2,10042,242,0,6,0,7
15937,2023-01-20 10:50:38.603606,158691254,2,10125,243,0,6,0,7
16264,2023-01-20 10:50:39.604745,159692494,2,10208,244,0,6,0,7
16590,2023-01-20 10:50:40.607183,160695001,2,10292,245,0,6,0,7
16916,2023-01-20 10:50:41.609688,161697507,2,10375,246,0,6,0,7
17242,2023-01-20 10:50:42.612190,162700009,2,10458,247,0,6,0,7
17569,2023-01-20 10:50:43.617297,163705126,2,10541,248,0,6,0,7
17898,2023-01-20 10:50:44.619790,164707542,2,10624,249,0,6,0,7
18224,2023-01-20 10:50:45.622184,165710015,2,10707,250,0,6,0,7
18550,2023-01-20 10:50:46.624773,166712529,2,10790,251,0,6,0,7
18876,2023-01-20 10:50:47.608748,167716349,2,10873,252,0,6,0,7
19203,2023-01-20 10:50:48.609749,168717484,2,10956,253,0,6,0,7
19531,2023-01-20 10:50:49.612151,169719988,2,11039,254,0,6,0,7
19898,2023-01-20 10:50:50.614735,170722476,2,11126,255,0,6,0,7
20224,2023-01-20 10:50:51.617203,171725038,2,11209,256,0,6,0,7
20550,2023-01-20 10:50:52.620113,172727867,2,11292,257,0,6,0,7
20876,2023-01-20 10:50:53.622137,173729970,2,11375,258,0,6,0,7
21207,2023-01-20 10:50:54.625137,174732925,2,11458,259,0,6,0,7
21533,2023-01-20 10:50:55.627255,175735005,2,11541,260,0,6,0,7
21859,2023-01-20 10:50:56.609586,176737507,2,11624,261,0,6,0,7
22185,2023-01-20 10:50:57.613284,177741269,2,11707,262,0,6,0,7
22511,2023-01-20 10:50:58.614491,178742511,2,11790,263,0,6,0,7
22840,2023-01-20 10:50:59.616934,179745042,2,11873,264,0,6,0,7
23166,2023-01-20 10:51:00.619494,180747592,2,11957,265,0,6,0,7
23492,2023-01-20 10:51:01.621930,181750001,2,12040,266,0,6,0,7
23818,2023-01-20 10:51:02.621907,182750011,2,12123,267,0,6,0,7
24144,2023-01-20 10:51:03.624676,183752745,2,12206,268,0,6,0,7
24476,2023-01-20 10:51:04.626872,184754984,2,12291,269,0,6,0,7
24802,2023-01-20 10:51:05.629397,185757482,2,12374,270,0,6,0,7
25128,2023-01-20 10:51:06.612329,186759992,2,12457,271,0,6,0,7
25506,2023-01-20 10:51:07.631425,187762569,2,12540,272,0,6,0,7
25833,2023-01-20 10:51:08.617583,188765435,2,12623,273,0,6,0,7
26162,2023-01-20 10:51:09.619791,189767538,2,12706,274,0,6,0,8
26510,2023-01-20 10:51:10.622120,190769975,2,12790,275,0,6,0,8
26836,2023-01-20 10:51:11.622285,191770029,2,12873,276,0,6,0,8
27163,2023-01-20 10:51:12.624610,192772453,2,12956,277,0,6,0,8
27489,2023-01-20 10:51:13.627248,193774977,2,13039,278,0,6,0,8
27819,2023-01-20 10:51:14.629933,194777776,2,13122,279,0,6,0,8
28145,2023-01-20 10:51:15.632226,195779975,2,13205,280,0,6,0,8
28471,2023-01-20 10:51:16.612463,196780040,2,13288,281,0,6,0,8
28797,2023-01-20 10:51:17.614790,197782467,2,13371,282,0,6,0,8
29123,2023-01-20 10:51:18.617237,198784989,2,13454,283,0,6,0,8
29452,2023-01-20 10:51:19.619800,199787540,2,13537,284,0,6,0,8
29778,2023-01-20 10:51:20.622555,200790301,2,13621,284,0,6,0,8
30104,2023-01-20 10:51:21.624767,201792497,2,13704,284,0,6,0,8
30401,2023-01-20 10:51:22.627203,202794887,2,13786,284,0,6,0,8
30695,2023-01-20 10:51:23.629762,203797389,2,13867,284,0,6,0,8
31059,2023-01-20 10:51:24.632211,204799986,2,13951,289,0,6,0,8
31383,2023-01-20 10:51:25.637249,205804997,2,14034,289,0,6,0,8
31707,2023-01-20 10:51:26.617349,206805059,2,14117,289,0,6,0,8
32031,2023-01-20 10:51:27.619855,207807538,2,14200,289,0,6,0,8
32355,2023-01-20 10:51:28.622236,208809992,2,14283,289,0,6,0,8
32685,2023-01-20 10:51:29.624761,209812497,2,14366,290,0,6,0,8
33011,2023-01-20 10:51:30.627696,210815474,2,14456,290,0,6,0,8
33323,2023-01-20 10:51:31.629749,211817399,2,14545,290,0,6,0,8
33618,2023-01-20 10:51:32.632255,212819896,2,14626,290,0,6,0,8
33912,2023-01-20 10:51:33.634700,213822406,2,14707,290,0,6,0,8
34241,2023-01-20 10:51:34.637217,214824986,2,14795,293,0,6,0,8
34566,2023-01-20 10:51:35.617458,215825047,2,14880,293,0,6,0,8
34890,2023-01-20 10:51:36.620143,216827868,2,14963,293,0,6,0,8
