LineNo,UTC_Approx,TimeUS,Mode,ModeNum,Rsn
1849,2023-01-20 10:49:56.698547,116700137,Loiter,5,1
9964,2023-01-20 10:50:20.274776,140322570,Auto,3,1
11426,2023-01-20 10:50:24.737173,144785017,Loiter,5,1
14707,2023-01-20 10:50:34.889641,154957512,Auto,3,1
30105,2023-01-20 10:51:21.639716,201807444,Stabilize,0,1
30845,2023-01-20 10:51:24.136606,204304338,Auto,3,1
33180,2023-01-20 10:51:31.179774,211367441,Stabilize,0,1
33940,2023-01-20 10:51:33.697180,213884914,Auto,3,1
34987,2023-01-20 10:51:36.944973,217152704,Stabilize,0,1
35191,2023-01-20 10:51:37.587137,217794901,Auto,3,1
35388,2023-01-20 10:51:38.189806,218397462,Stabilize,0,1
35749,2023-01-20 10:51:39.434774,219642436,Auto,3,1
37439,2023-01-20 10:51:44.617226,224824958,Stabilize,0,1
37559,2023-01-20 10:51:45.017238,225224908,Auto,3,1
265023,2023-01-20 11:03:13.927133,915585538,Loiter,5,1
267777,2023-01-20 11:03:22.472322,924150602,RTL,6,2
