LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
375,2023-01-20 10:49:56.259243,116248256,0.9701302,0.9817661,1,0.02924092,2
965,2023-01-20 10:49:56.350230,116348291,0.9701674,0.981789,1,0.02924092,2
1123,2023-01-20 10:49:56.452177,116454720,0.9702445,0.9818364,1,0.02924092,2
1342,2023-01-20 10:49:56.564872,116566406,0.970235,0.9818306,1,0.02924092,2
1562,2023-01-20 10:49:56.665680,116667146,0.9702047,0.9818119,1,0.02924092,2
1882,2023-01-20 10:49:56.765277,116767118,0.9701826,0.9817984,1,0.02924092,2
1927,2023-01-20 10:49:56.865171,116867142,0.9701677,0.9817892,1,0.02924092,2
1975,2023-01-20 10:49:56.965142,116967114,0.9701555,0.9817817,1,0.02924092,2
2025,2023-01-20 10:49:57.065170,117067129,0.9701468,0.9817764,1,0.02924092,2
2071,2023-01-20 10:49:57.165267,117167205,0.970142,0.9817734,1,0.02924092,2
2121,2023-01-20 10:49:57.272370,117267115,0.9701375,0.9817706,1,0.02924092,2
2180,2023-01-20 10:49:57.383478,117367190,0.9701336,0.9817682,1,0.02924092,2
2236,2023-01-20 10:49:57.477405,117467212,0.9701297,0.9817658,1,0.02924092,2
2295,2023-01-20 10:49:57.568233,117567118,0.9701282,0.9817649,1,0.02924092,2
2351,2023-01-20 10:49:57.665071,117667146,0.9701282,0.9817649,1,0.02924092,2
2409,2023-01-20 10:49:57.765145,117767241,0.9701282,0.9817649,1,0.02924092,2
2452,2023-01-20 10:49:57.865011,117867135,0.9701282,0.9817649,1,0.02924092,2
2497,2023-01-20 10:49:57.964962,117967115,0.9701282,0.9817649,1,0.02924092,2
2536,2023-01-20 10:49:58.065046,118067156,0.9701282,0.9817649,1,0.02924092,2
2578,2023-01-20 10:49:58.165128,118167156,0.9701282,0.9817649,1,0.02924092,2
2618,2023-01-20 10:49:58.265099,118267118,0.9701298,0.9817659,1,0.02924092,2
2658,2023-01-20 10:49:58.365087,118367136,0.9701303,0.9817662,1,0.02924092,2
2697,2023-01-20 10:49:58.465164,118467225,0.9696648,0.9814799,1,0.02924092,2
2738,2023-01-20 10:49:58.565058,118567121,0.9688827,0.9809988,1,0.02924092,2
2780,2023-01-20 10:49:58.665059,118667140,0.9686378,0.9808481,1,0.02924092,2
2819,2023-01-20 10:49:58.765127,118767235,0.9686972,0.9808847,1,0.02924092,2
2863,2023-01-20 10:49:58.865027,118867143,0.9687408,0.9809115,1,0.02924092,2
2902,2023-01-20 10:49:58.965000,118967115,0.9687698,0.9809293,1,0.02924092,2
2941,2023-01-20 10:49:59.065067,119067164,0.9687213,0.9808995,1,0.02924092,2
2982,2023-01-20 10:49:59.165078,119167148,0.9681848,0.9805693,1,0.02924092,2
3021,2023-01-20 10:49:59.265050,119267112,0.9667636,0.9796943,1,0.02924092,2
3060,2023-01-20 10:49:59.365074,119367137,0.9664183,0.9794816,1,0.02924092,2
3100,2023-01-20 10:49:59.465142,119467208,0.9663605,0.979446,1,0.02924092,2
3141,2023-01-20 10:49:59.565049,119567120,0.9663454,0.9794367,1,0.02924092,2
3182,2023-01-20 10:49:59.665067,119667151,0.966361,0.9794463,1,0.02924092,2
3221,2023-01-20 10:49:59.765133,119767236,0.9663633,0.9794477,1,0.02924092,2
3260,2023-01-20 10:49:59.865068,119867180,0.9663408,0.9794338,1,0.02924092,2
3299,2023-01-20 10:49:59.964988,119967105,0.9663528,0.9794412,1,0.02924092,2
3338,2023-01-20 10:50:00.065097,120067198,0.9663147,0.9794178,1,0.02924092,2
3380,2023-01-20 10:50:00.165079,120167153,0.9663141,0.9794174,1,0.02924092,2
3419,2023-01-20 10:50:00.265043,120267113,0.9663663,0.9794496,1,0.02924092,2
3458,2023-01-20 10:50:00.365059,120367137,0.9663998,0.9794702,1,0.02924092,2
3498,2023-01-20 10:50:00.465048,120467124,0.9664108,0.979477,1,0.02924092,2
3538,2023-01-20 10:50:00.565047,120567116,0.9664087,0.9794757,1,0.02924092,2
3581,2023-01-20 10:50:00.665068,120667143,0.9663716,0.9794528,1,0.02924092,2
3620,2023-01-20 10:50:00.765145,120767232,0.9663194,0.9794207,1,0.02924092,2
3661,2023-01-20 10:50:00.865015,120867118,0.9662826,0.979398,1,0.02924092,2
3698,2023-01-20 10:50:00.964995,120967117,0.9662989,0.9794081,1,0.02924092,2
3730,2023-01-20 10:50:01.065114,121067238,0.9663418,0.9794345,1,0.02924092,2
3763,2023-01-20 10:50:01.165131,121167248,0.9663211,0.9794217,1,0.05851309,2
3795,2023-01-20 10:50:01.265073,121267223,0.9661364,0.9793079,1,0.1035477,2
3826,2023-01-20 10:50:01.365083,121367287,0.9655285,0.9789333,1,0.148582,2
3858,2023-01-20 10:50:01.465029,121467219,0.9632127,0.9775053,1,0.1936118,2
3891,2023-01-20 10:50:01.565032,121567170,0.9600715,0.9755657,1,0.2386459,2
3926,2023-01-20 10:50:01.665176,121667295,0.9566419,0.9734445,1,0.2836709,2
3957,2023-01-20 10:50:01.765415,121767532,0.9529748,0.9711725,1,0.3327345,2
3990,2023-01-20 10:50:01.865368,121867533,0.9493834,0.9689433,1,0.3827387,2
4022,2023-01-20 10:50:01.965325,121967566,0.945649,0.9666211,1,0.4104791,2
4054,2023-01-20 10:50:02.065308,122067532,0.9422074,0.9644771,1,0.3117728,2
4087,2023-01-20 10:50:02.165396,122167554,0.9399672,0.9630795,1,0.2969184,2
4119,2023-01-20 10:50:02.265451,122267587,0.9402006,0.9632252,1,0.3113724,2
4150,2023-01-20 10:50:02.365382,122367520,0.9408583,0.9636356,1,0.2950099,2
4182,2023-01-20 10:50:02.465122,122467521,0.9412476,0.9638785,1,0.2909764,2
4215,2023-01-20 10:50:02.564498,122567293,0.9419283,0.9643031,1,0.2915663,2
4251,2023-01-20 10:50:02.664346,122667259,0.942436,0.9646196,1,0.3031462,2
4281,2023-01-20 10:50:02.764378,122767254,0.9426566,0.9647571,1,0.3079499,2
4316,2023-01-20 10:50:02.864387,122867266,0.9426731,0.9647674,1,0.3183323,2
4346,2023-01-20 10:50:02.964330,122967234,0.9424573,0.9646329,1,0.3271438,2
4379,2023-01-20 10:50:03.064337,123067251,0.9420674,0.9643898,1,0.3249213,2
4411,2023-01-20 10:50:03.164402,123167318,0.9417194,0.9641727,1,0.3251293,2
4444,2023-01-20 10:50:03.264313,123267226,0.9414203,0.9639862,1,0.3370036,2
4474,2023-01-20 10:50:03.364340,123367248,0.9411626,0.9638255,1,0.3299835,2
4507,2023-01-20 10:50:03.464343,123467240,0.9407845,0.9635895,1,0.3367975,2
4539,2023-01-20 10:50:03.564338,123567222,0.9406432,0.9635014,1,0.3546653,2
4575,2023-01-20 10:50:03.664385,123667266,0.9402379,0.9632484,1,0.3761271,2
4605,2023-01-20 10:50:03.764372,123767257,0.9395407,0.9628133,1,0.3798122,2
4639,2023-01-20 10:50:03.864569,123867255,0.9387963,0.9623484,1,0.3750533,2
4671,2023-01-20 10:50:03.964903,123967277,0.9382505,0.9620075,1,0.3698538,2
4704,2023-01-20 10:50:04.065012,124067233,0.9380009,0.9618515,1,0.3450219,2
4736,2023-01-20 10:50:04.165119,124167273,0.937991,0.9618453,1,0.3344859,2
4769,2023-01-20 10:50:04.265143,124267276,0.9383484,0.9620686,1,0.3151238,2
4799,2023-01-20 10:50:04.365111,124367248,0.9387673,0.9623303,1,0.3093303,2
4832,2023-01-20 10:50:04.465065,124467230,0.9393816,0.9627139,1,0.3376594,2
4865,2023-01-20 10:50:04.565035,124567240,0.9397686,0.9629555,1,0.3423195,2
4901,2023-01-20 10:50:04.665063,124667254,0.9396637,0.96289,1,0.3481725,2
4931,2023-01-20 10:50:04.765112,124767261,0.9393602,0.9627005,1,0.3485435,2
4965,2023-01-20 10:50:04.865126,124867291,0.9391159,0.962548,1,0.3371251,2
4995,2023-01-20 10:50:04.965019,124967231,0.9388822,0.962402,1,0.3375371,2
5028,2023-01-20 10:50:05.065065,125067262,0.9387675,0.9623304,1,0.338406,2
5060,2023-01-20 10:50:05.165115,125167264,0.9387921,0.9623458,1,0.345757,2
5093,2023-01-20 10:50:05.265090,125267225,0.9387071,0.9622927,1,0.340078,2
5123,2023-01-20 10:50:05.365429,125367569,0.9384518,0.9621332,1,0.3316755,2
5156,2023-01-20 10:50:05.465102,125467235,0.9384046,0.9621037,1,0.3230968,2
5188,2023-01-20 10:50:05.565117,125567236,0.9383906,0.962095,1,0.3237032,2
5225,2023-01-20 10:50:05.665148,125667261,0.9384891,0.9621565,1,0.3258886,2
5255,2023-01-20 10:50:05.765426,125767536,0.9385473,0.9621928,1,0.3162347,2
5289,2023-01-20 10:50:05.859494,125867541,0.9384584,0.9621373,1,0.3030868,2
5319,2023-01-20 10:50:05.950395,125967514,0.9385638,0.9622031,1,0.3078918,2
5352,2023-01-20 10:50:06.045483,126067537,0.9387637,0.962328,1,0.3155119,2
5384,2023-01-20 10:50:06.145249,126167267,0.9388614,0.9623891,1,0.3056042,2
5417,2023-01-20 10:50:06.244685,126267242,0.938828,0.9623682,1,0.3070981,2
5449,2023-01-20 10:50:06.343698,126367493,0.9388491,0.9623814,1,0.3023672,2
5482,2023-01-20 10:50:06.442734,126467238,0.9389009,0.9624137,1,0.3018106,2
5514,2023-01-20 10:50:06.542721,126567237,0.9390113,0.9624827,1,0.3236271,2
5550,2023-01-20 10:50:06.642758,126667309,0.9389911,0.9624701,1,0.2946675,2
5580,2023-01-20 10:50:06.742639,126767254,0.9387686,0.9623311,1,0.2883902,2
5614,2023-01-20 10:50:06.842557,126867247,0.9390578,0.9625117,1,0.291834,2
5644,2023-01-20 10:50:06.942461,126967240,0.9394192,0.9627374,1,0.3082621,2
5677,2023-01-20 10:50:07.042466,127067305,0.9394475,0.962755,1,0.3003956,2
5709,2023-01-20 10:50:07.142393,127167250,0.9392766,0.9626483,1,0.3032357,2
5742,2023-01-20 10:50:07.242396,127267236,0.9391488,0.9625685,1,0.31708,2
5772,2023-01-20 10:50:07.342744,127367521,0.9390073,0.9624802,1,0.3129301,2
5805,2023-01-20 10:50:07.442441,127467219,0.9387066,0.9622924,1,0.3089501,2
5837,2023-01-20 10:50:07.542367,127567231,0.9385725,0.9622086,1,0.3166221,2
5873,2023-01-20 10:50:07.647127,127667267,0.9384941,0.9621596,1,0.3231379,2
5903,2023-01-20 10:50:07.758373,127767242,0.9382299,0.9619945,1,0.3228785,2
5937,2023-01-20 10:50:07.856822,127867241,0.9379226,0.9618025,1,0.3368759,2
5969,2023-01-20 10:50:07.947611,127967243,0.9377366,0.9616863,1,0.335732,2
6002,2023-01-20 10:50:08.042298,128067254,0.9374613,0.9615143,1,0.3230338,2
6034,2023-01-20 10:50:08.142337,128167311,0.9372659,0.9613922,1,0.3321562,2
6067,2023-01-20 10:50:08.242261,128267228,0.9372244,0.9613662,1,0.3499495,2
6097,2023-01-20 10:50:08.342597,128367522,0.936981,0.9612141,1,0.3386273,2
6130,2023-01-20 10:50:08.442329,128467233,0.9366589,0.9610127,1,0.3429545,2
6162,2023-01-20 10:50:08.542328,128567238,0.9365352,0.9609354,1,0.3429267,2
6198,2023-01-20 10:50:08.642347,128667265,0.9363957,0.9608481,1,0.3400106,2
6228,2023-01-20 10:50:08.742307,128767233,0.9363184,0.9607998,1,0.3409827,2
6262,2023-01-20 10:50:08.842396,128867286,0.9362778,0.9607744,1,0.3388798,2
6295,2023-01-20 10:50:08.942440,128967231,0.9360886,0.960656,1,0.3260804,2
6328,2023-01-20 10:50:09.042533,129067252,0.9360946,0.9606598,1,0.3307146,2
6360,2023-01-20 10:50:09.142574,129167254,0.9361925,0.960721,1,0.3343852,2
