LineNo,UTC_Approx,TimeUS,Message
1769,2023-01-20 10:49:56.675777,116677281,ArduCopter V4.3.2 (fcef79e7)
1770,2023-01-20 10:49:56.675808,116677312,ChibiOS: 66e5de0d
1772,2023-01-20 10:49:56.675895,116677400,MatekF405-Wing 0036002D 30315114 36383236
1773,2023-01-20 10:49:56.675932,116677437,Param space used: 736/8960
1774,2023-01-20 10:49:56.675962,116677467,RC Protocol: PPM
1775,2023-01-20 10:49:56.675983,116677488,New mission
1846,2023-01-20 10:49:56.698475,116700064,New rally
1847,2023-01-20 10:49:56.698495,116700084,New fence
1848,2023-01-20 10:49:56.698529,116700119,Frame: QUAD/X
1852,2023-01-20 10:49:56.698662,116700252,GPS 1: detected as u-blox at 230400 baud
1853,2023-01-20 10:49:56.698704,116700294,u-blox 1 HW: 00080000 SW: ROM CORE 3.01 (107888)
5427,2023-01-20 10:50:06.278938,126301923,EKF3 IMU0 MAG0 in-flight yaw alignment complete
9965,2023-01-20 10:50:20.276932,140324725,Mission: 1 WP
14708,2023-01-20 10:50:34.891860,154959731,Mission: 1 WP
30846,2023-01-20 10:51:24.137120,204304852,Mission: 1 WP
33941,2023-01-20 10:51:33.699567,213887302,Mission: 1 WP
35192,2023-01-20 10:51:37.589565,217797330,Mission: 1 WP
35750,2023-01-20 10:51:39.437165,219644828,Mission: 1 WP
37560,2023-01-20 10:51:45.019888,225227559,Mission: 1 WP
39798,2023-01-20 10:51:51.881601,232109720,Reached command #1
39799,2023-01-20 10:51:51.881742,232109861,Mission: 2 SetCamTrigDst
39801,2023-01-20 10:51:51.881877,232109996,Mission: 3 WP
41008,2023-01-20 10:51:55.614634,235862291,Reached command #3
41009,2023-01-20 10:51:55.614701,235862358,Mission: 4 SetCamTrigDst
41011,2023-01-20 10:51:55.614835,235862492,Mission: 5 WP
74097,2023-01-20 10:53:35.697001,336144820,Reached command #5
74098,2023-01-20 10:53:35.697067,336144886,Mission: 6 WP
75302,2023-01-20 10:53:39.329700,339777521,Reached command #6
75303,2023-01-20 10:53:39.329763,339777584,Mission: 7 WP
77553,2023-01-20 10:53:46.261892,346729737,Reached command #7
77554,2023-01-20 10:53:46.262023,346729868,Mission: 8 WP
78755,2023-01-20 10:53:49.956695,350440050,Reached command #8
78756,2023-01-20 10:53:49.956802,350440167,Mission: 9 SetCamTrigDst
78758,2023-01-20 10:53:49.956929,350440307,Mission: 10 WP
111654,2023-01-20 10:55:29.403149,450090970,Reached command #10
111655,2023-01-20 10:55:29.403213,450091034,Mission: 11 WP
112829,2023-01-20 10:55:33.036889,453724742,Reached command #11
112830,2023-01-20 10:55:33.037034,453724887,Mission: 12 WP
115056,2023-01-20 10:55:39.707458,460415267,Reached command #12
115057,2023-01-20 10:55:39.707522,460415331,Mission: 13 WP
116232,2023-01-20 10:55:43.349232,464057279,Reached command #13
116233,2023-01-20 10:55:43.349314,464057361,Mission: 14 SetCamTrigDst
116235,2023-01-20 10:55:43.349449,464057496,Mission: 15 WP
148984,2023-01-20 10:57:22.501547,563419261,Reached command #15
148985,2023-01-20 10:57:22.501611,563419325,Mission: 16 WP
150207,2023-01-20 10:57:26.114417,567051719,Reached command #16
150208,2023-01-20 10:57:26.114563,567051866,Mission: 17 WP
152484,2023-01-20 10:57:33.051915,573989259,Reached command #17
152485,2023-01-20 10:57:33.051983,573989327,Mission: 18 WP
153690,2023-01-20 10:57:36.772137,577729516,Reached command #18
153691,2023-01-20 10:57:36.772207,577729586,Mission: 19 SetCamTrigDst
153693,2023-01-20 10:57:36.772357,577729735,Mission: 20 WP
186294,2023-01-20 10:59:15.381936,676539273,Reached command #20
186295,2023-01-20 10:59:15.382020,676539357,Mission: 21 WP
187500,2023-01-20 10:59:19.014262,680171691,Reached command #21
187501,2023-01-20 10:59:19.014349,680171778,Mission: 22 WP
189681,2023-01-20 10:59:25.716940,686894250,Reached command #22
189682,2023-01-20 10:59:25.717007,686894317,Mission: 23 WP
190853,2023-01-20 10:59:29.354957,690536726,Reached command #23
190854,2023-01-20 10:59:29.355099,690536854,Mission: 24 SetCamTrigDst
190856,2023-01-20 10:59:29.355242,690536983,Mission: 25 WP
223360,2023-01-20 11:01:07.604521,789002778,Reached command #25
223361,2023-01-20 11:01:07.604624,789002881,Mission: 26 WP
224535,2023-01-20 11:01:11.234429,792632751,Reached command #26
224536,2023-01-20 11:01:11.234549,792632871,Mission: 27 WP
226781,2023-01-20 11:01:18.138988,799557729,Reached command #27
226782,2023-01-20 11:01:18.139115,799557855,Mission: 28 WP
227987,2023-01-20 11:01:21.831511,803250290,Reached command #28
227988,2023-01-20 11:01:21.831585,803250364,Mission: 29 SetCamTrigDst
227990,2023-01-20 11:01:21.831717,803250497,Mission: 30 WP
260330,2023-01-20 11:02:59.569001,901187733,Reached command #30
260331,2023-01-20 11:02:59.569122,901187854,Mission: 31 WP
261503,2023-01-20 11:03:03.184453,904822711,Reached command #31
261504,2023-01-20 11:03:03.184577,904822835,Mission: 32 WP
263683,2023-01-20 11:03:09.896909,911535289,Reached command #32
263684,2023-01-20 11:03:09.896993,911535373,Mission: 33 WP
264887,2023-01-20 11:03:13.531928,915190309,Reached command #33
264888,2023-01-20 11:03:13.531995,915190376,Mission: 34 SetCamTrigDst
264890,2023-01-20 11:03:13.532128,915190509,Mission: 35 WP
