LineNo,UTC_Approx,TimeUS,Id,Mult
1601,2023-01-20 10:49:56.666576,116668045,45,0
1602,2023-01-20 10:49:56.666590,116668060,63,1
1603,2023-01-20 10:49:56.666605,116668074,50,100
1604,2023-01-20 10:49:56.666618,116668088,49,10
1605,2023-01-20 10:49:56.666633,116668103,48,1
1606,2023-01-20 10:49:56.666662,116668132,65,0.100000001490116
1607,2023-01-20 10:49:56.666676,116668146,66,0.00999999977648258
1608,2023-01-20 10:49:56.666740,116668210,67,0.00100000004749745
1609,2023-01-20 10:49:56.666754,116668224,68,9.99999974737875E-05
1610,2023-01-20 10:49:56.666768,116668238,69,9.99999974737875E-06
1611,2023-01-20 10:49:56.666783,116668253,70,9.99999997475243E-07
1612,2023-01-20 10:49:56.666797,116668267,71,1.0000000116861E-07
1613,2023-01-20 10:49:56.666815,116668285,73,9.99999971718069E-10
1614,2023-01-20 10:49:56.666829,116668299,33,3.59999990463257
1615,2023-01-20 10:49:56.666843,116668313,47,3600
