LineNo,UTC_Approx,TimeUS,Name,Value,Default
154,2023-01-20 10:49:56.172667,116153070,FORMAT_VERSION,120,120
155,2023-01-20 10:49:56.172698,116153104,SYSID_THISMAV,1,1
156,2023-01-20 10:49:56.172723,116153131,SYSID_MYGCS,255,255
157,2023-01-20 10:49:56.172795,116153210,PILOT_THR_FILT,0,0
158,2023-01-20 10:49:56.172823,116153241,PILOT_TKOFF_ALT,0,0
159,2023-01-20 10:49:56.172847,116153268,PILOT_THR_BHV,7,0
160,2023-01-20 10:49:56.172874,116153298,SERIAL0_BAUD,115,115
161,2023-01-20 10:49:56.172905,116153332,SERIAL0_PROTOCOL,2,2
162,2023-01-20 10:49:56.172935,116153364,SERIAL1_PROTOCOL,-1,2
163,2023-01-20 10:49:56.172965,116153397,SERIAL1_BAUD,57,57
164,2023-01-20 10:49:56.172995,116153430,SERIAL2_PROTOCOL,2,2
165,2023-01-20 10:49:56.173026,116153464,SERIAL2_BAUD,57,57
166,2023-01-20 10:49:56.173063,116153505,SERIAL3_PROTOCOL,5,5
167,2023-01-20 10:49:56.173095,116153540,SERIAL3_BAUD,38,38
168,2023-01-20 10:49:56.173127,116153576,SERIAL4_PROTOCOL,1,5
169,2023-01-20 10:49:56.173161,116153613,SERIAL4_BAUD,57,38
170,2023-01-20 10:49:56.173195,116153650,SERIAL5_PROTOCOL,20,-1
171,2023-01-20 10:49:56.173232,116153691,SERIAL5_BAUD,115,57
172,2023-01-20 10:49:56.173267,116153730,SERIAL6_PROTOCOL,-1,-1
173,2023-01-20 10:49:56.173356,116153827,SERIAL6_BAUD,57,57
174,2023-01-20 10:49:56.173395,116153870,SERIAL1_OPTIONS,0,0
175,2023-01-20 10:49:56.173432,116153911,SERIAL2_OPTIONS,0,0
176,2023-01-20 10:49:56.173470,116153953,SERIAL3_OPTIONS,0,0
177,2023-01-20 10:49:56.175089,116155733,SERIAL3_OPTIONS,0,0
178,2023-01-20 10:49:56.175183,116155836,SERIAL4_OPTIONS,0,0
179,2023-01-20 10:49:56.175222,116155879,SERIAL5_OPTIONS,0,0
180,2023-01-20 10:49:56.175267,116155928,SERIAL6_OPTIONS,0,0
181,2023-01-20 10:49:56.175309,116155975,SERIAL_PASS1,0,0
182,2023-01-20 10:49:56.175349,116156019,SERIAL_PASS2,-1,-1
183,2023-01-20 10:49:56.175409,116156084,SERIAL_PASSTIMO,15,15
184,2023-01-20 10:49:56.175460,116156141,SERIAL7_PROTOCOL,-1,-1
185,2023-01-20 10:49:56.175548,116156237,SERIAL7_BAUD,57,57
186,2023-01-20 10:49:56.175593,116156287,SERIAL7_OPTIONS,0,0
187,2023-01-20 10:49:56.175633,116156331,TELEM_DELAY,0,0
188,2023-01-20 10:49:56.175657,116156357,GCS_PID_MASK,0,0
189,2023-01-20 10:49:56.175681,116156384,RTL_ALT,1000,1500
190,2023-01-20 10:49:56.175705,116156410,RTL_CONE_SLOPE,3,3
191,2023-01-20 10:49:56.175730,116156437,RTL_SPEED,0,0
192,2023-01-20 10:49:56.175756,116156466,RTL_ALT_FINAL,0,0
193,2023-01-20 10:49:56.175781,116156493,RTL_CLIMB_MIN,0,0
194,2023-01-20 10:49:56.175805,116156520,RTL_LOIT_TIME,5000,5000
195,2023-01-20 10:49:56.175830,116156547,RTL_ALT_TYPE,0,0
196,2023-01-20 10:49:56.175853,116156573,FS_GCS_ENABLE,0,0
197,2023-01-20 10:49:56.175882,116156604,GPS_HDOP_GOOD,140,140
198,2023-01-20 10:49:56.175909,116156634,SUPER_SIMPLE,0,0
199,2023-01-20 10:49:56.175933,116156661,WP_YAW_BEHAVIOR,2,2
200,2023-01-20 10:49:56.175958,116156688,LAND_SPEED,50,50
201,2023-01-20 10:49:56.175982,116156714,LAND_SPEED_HIGH,0,0
202,2023-01-20 10:49:56.177089,116157932,LAND_SPEED_HIGH,0,0
203,2023-01-20 10:49:56.177114,116157959,PILOT_SPEED_UP,250,250
204,2023-01-20 10:49:56.190762,116172964,PILOT_ACCEL_Z,250,250
205,2023-01-20 10:49:56.190786,116172991,FS_THR_ENABLE,1,1
206,2023-01-20 10:49:56.190811,116173018,FS_THR_VALUE,975,975
207,2023-01-20 10:49:56.190835,116173045,THR_DZ,100,100
208,2023-01-20 10:49:56.190859,116173071,FLTMODE1,3,0
209,2023-01-20 10:49:56.190883,116173097,FLTMODE2,0,0
210,2023-01-20 10:49:56.190909,116173126,FLTMODE3,0,0
211,2023-01-20 10:49:56.190934,116173153,FLTMODE4,5,0
212,2023-01-20 10:49:56.191013,116173240,FLTMODE5,0,0
213,2023-01-20 10:49:56.191037,116173267,FLTMODE6,2,0
214,2023-01-20 10:49:56.191064,116173296,FLTMODE_CH,5,5
215,2023-01-20 10:49:56.191087,116173322,INITIAL_MODE,0,0
216,2023-01-20 10:49:56.191112,116173349,SIMPLE,0,0
217,2023-01-20 10:49:56.191136,116173375,LOG_BITMASK,176126,176126
218,2023-01-20 10:49:56.191160,116173402,ESC_CALIBRATION,0,0
219,2023-01-20 10:49:56.191198,116173444,TUNE,0,0
220,2023-01-20 10:49:56.191231,116173480,FRAME_TYPE,1,1
221,2023-01-20 10:49:56.191259,116173511,ARMING_ACCTHRESH,0.75,0.75
222,2023-01-20 10:49:56.191288,116173543,ARMING_RUDDER,2,2
223,2023-01-20 10:49:56.191318,116173575,ARMING_MIS_ITEMS,0,0
224,2023-01-20 10:49:56.191348,116173609,ARMING_CHECK,65534,1
225,2023-01-20 10:49:56.191382,116173646,ARMING_OPTIONS,0,0
226,2023-01-20 10:49:56.191409,116173676,DISARM_DELAY,10,10
227,2023-01-20 10:49:56.191434,116173703,ANGLE_MAX,3000,3000
228,2023-01-20 10:49:56.191458,116173729,PHLD_BRAKE_RATE,8,8
229,2023-01-20 10:49:56.191538,116173817,PHLD_BRAKE_ANGLE,3000,3000
230,2023-01-20 10:49:56.191562,116173844,LAND_REPOSITION,1,1
231,2023-01-20 10:49:56.191587,116173871,FS_EKF_ACTION,1,1
232,2023-01-20 10:49:56.191611,116173898,FS_EKF_THRESH,0.8,0.8
233,2023-01-20 10:49:56.191636,116173925,FS_CRASH_CHECK,1,1
234,2023-01-20 10:49:56.191660,116173952,RC_SPEED,490,490
235,2023-01-20 10:49:56.193062,116175493,RC_SPEED,490,490
236,2023-01-20 10:49:56.193086,116175519,ACRO_BAL_ROLL,1,1
237,2023-01-20 10:49:56.193113,116175549,ACRO_BAL_PITCH,1,1
238,2023-01-20 10:49:56.193142,116175581,ACRO_TRAINER,2,2
239,2023-01-20 10:49:56.193169,116175611,CAM_TRIGG_TYPE,0,0
240,2023-01-20 10:49:56.193197,116175642,CAM_DURATION,1,10
241,2023-01-20 10:49:56.193227,116175674,CAM_SERVO_ON,2000,1300
242,2023-01-20 10:49:56.193257,116175707,CAM_SERVO_OFF,1000,1100
243,2023-01-20 10:49:56.193292,116175746,CAM_TRIGG_DIST,0,0
244,2023-01-20 10:49:56.193372,116175834,CAM_RELAY_ON,1,1
245,2023-01-20 10:49:56.193404,116175869,CAM_MIN_INTERVAL,0,0
246,2023-01-20 10:49:56.193439,116175907,CAM_MAX_ROLL,0,0
247,2023-01-20 10:49:56.193471,116175943,CAM_FEEDBACK_PIN,-1,-1
248,2023-01-20 10:49:56.193505,116175980,CAM_FEEDBACK_POL,1,1
