LineNo,UTC_Approx,TimeUS,LR,NLon,NL,MaxT,Mem,Load,ErrL,IntE,ErrC,SPIC,I2CC,I2CI,Ex
4849,2023-01-20 10:50:04.560327,124562530,400,16,4000,25002,21880,371,0,0,0,379160,32605,142345,0
8092,2023-01-20 10:50:14.534751,134562849,400,0,4000,2853,21880,358,0,0,0,413391,35175,153695,0
11333,2023-01-20 10:50:24.515040,144562828,400,0,4000,2664,21880,346,0,0,0,447439,37745,165045,0
14579,2023-01-20 10:50:34.495066,154562847,400,0,4000,2643,21880,355,0,0,0,481481,40313,176385,0
17836,2023-01-20 10:50:44.475030,164562778,400,0,4000,2678,21880,351,0,0,0,515457,42883,187735,0
21144,2023-01-20 10:50:54.455114,174562868,400,0,4000,2699,21880,352,0,0,0,549692,45453,199085,0
24410,2023-01-20 10:51:04.434699,184562773,400,0,4000,2776,21880,360,0,0,0,583852,48023,210435,0
27727,2023-01-20 10:51:14.415072,194562826,400,0,4000,2654,21880,361,0,0,0,617891,50593,221785,0
30918,2023-01-20 10:51:24.395162,204562940,400,0,4000,2626,21880,345,0,0,0,651988,53163,233135,0
34146,2023-01-20 10:51:34.375067,214562823,400,0,4000,2637,21880,345,0,0,0,686037,55733,244485,0
37344,2023-01-20 10:51:44.355014,224562835,400,0,4000,2792,21880,344,0,0,0,720005,58303,255835,0
40587,2023-01-20 10:51:54.327622,234562836,400,0,4000,2792,21880,352,0,0,0,754212,60862,267136,0
43897,2023-01-20 10:52:04.304726,244562834,400,0,4000,2679,21880,351,0,0,0,788177,63429,278471,0
47170,2023-01-20 10:52:14.283607,254562873,400,0,4000,2640,21880,354,0,0,0,822279,66000,289826,0
50489,2023-01-20 10:52:24.255411,264563100,400,0,4000,2653,21880,360,0,0,0,856432,68570,301176,0
53809,2023-01-20 10:52:34.234842,274562853,400,0,4000,2774,21880,374,0,0,0,890440,71139,312521,0
57082,2023-01-20 10:52:44.215140,284562894,400,0,4000,2643,21880,376,0,0,0,924593,73710,323876,0
60399,2023-01-20 10:52:54.194989,294562849,400,0,4000,2708,21880,361,0,0,0,958638,76280,335226,0
63671,2023-01-20 10:53:04.175084,304562846,400,0,4000,2637,21880,358,0,0,0,992650,78849,346571,0
66992,2023-01-20 10:53:14.155084,314562861,400,0,4000,2678,21880,356,0,0,0,1026742,81421,357926,0
70312,2023-01-20 10:53:24.134742,324562848,400,0,4000,2787,21880,358,0,0,0,1060907,83991,369276,0
73582,2023-01-20 10:53:34.115031,334562830,400,0,4000,2664,21880,363,0,0,0,1094981,86560,380621,0
76841,2023-01-20 10:53:44.094968,344562835,400,0,4000,2655,21880,361,0,0,0,1129111,89132,391981,0
80150,2023-01-20 10:53:54.075009,354562836,400,0,4000,2669,21880,358,0,0,0,1163128,91703,403336,0
83421,2023-01-20 10:54:04.054964,364562834,400,0,4000,2658,21880,356,0,0,0,1197243,94271,414679,0
86742,2023-01-20 10:54:14.034735,374562836,400,0,4000,2747,21880,366,0,0,0,1231365,96842,426034,0
90013,2023-01-20 10:54:24.014894,384562748,400,0,4000,2632,21880,366,0,0,0,1265402,99412,437384,0
93331,2023-01-20 10:54:33.995017,394562861,400,0,4000,2602,21880,350,0,0,0,1299508,101981,448729,0
96653,2023-01-20 10:54:43.974990,404562833,400,0,4000,2655,21880,348,0,0,0,1333633,104552,460084,0
99924,2023-01-20 10:54:53.954968,414562825,400,0,4000,2636,21880,349,0,0,0,1367637,107122,471434,0
103242,2023-01-20 10:55:03.934704,424562828,400,0,4000,2738,21880,350,0,0,0,1401886,109691,482779,0
106515,2023-01-20 10:55:13.915029,434562824,400,0,4000,2620,21880,352,0,0,0,1435943,112262,494134,0
109835,2023-01-20 10:55:23.894996,444562839,400,0,4000,2616,21880,358,0,0,0,1470012,114832,505484,0
113095,2023-01-20 10:55:33.868295,454562830,400,0,4000,2643,21880,359,0,0,0,1503958,117401,516829,0
116404,2023-01-20 10:55:43.835522,464563488,400,0,4000,2824,21880,383,0,0,0,1538146,119970,528174,0
119671,2023-01-20 10:55:53.827738,474564471,400,0,4000,2865,21880,384,0,0,0,1573187,122540,539524,0
122988,2023-01-20 10:56:03.808709,484565354,400,0,4000,2695,21880,370,0,0,0,1608503,125109,550869,0
126259,2023-01-20 10:56:13.787574,494564255,400,0,4000,2664,21880,366,0,0,0,1643994,127680,562224,0
129580,2023-01-20 10:56:23.767473,504564145,400,0,4000,2682,21880,370,0,0,0,1679398,130250,573574,0
132898,2023-01-20 10:56:33.747162,514564853,400,0,4000,2826,21880,352,0,0,0,1714503,132808,584872,0
136170,2023-01-20 10:56:43.727574,524564892,400,0,4000,2658,21880,351,0,0,0,1748639,135379,596227,0
