LineNo,UTC_Approx,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
374,2023-01-20 10:49:56.259223,116248234,39.8043837,32.3788029,734.25,0.009082854,0.6490828
964,2023-01-20 10:49:56.350214,116348273,39.8043837,32.3788028,734.26,0.01372361,0.6537236
1122,2023-01-20 10:49:56.452160,116454703,39.8043837,32.3788027,734.27,0.01996362,0.6599636
1341,2023-01-20 10:49:56.564854,116566388,39.8043837,32.3788026,734.27,0.02648377,0.6664838
1561,2023-01-20 10:49:56.665662,116667128,39.8043837,32.3788025,734.28,0.03468299,0.674683
1881,2023-01-20 10:49:56.765260,116767100,39.8043837,32.3788024,734.29,0.04287595,0.6828759
1926,2023-01-20 10:49:56.865153,116867124,39.8043837,32.3788023,734.3,0.05208337,0.6920834
1974,2023-01-20 10:49:56.965124,116967096,39.8043837,32.3788022,734.31,0.06052434,0.7005243
2024,2023-01-20 10:49:57.065152,117067111,39.8043837,32.378802,734.32,0.07062674,0.7106267
2070,2023-01-20 10:49:57.165200,117167138,39.8043838,32.378802,734.33,0.08021075,0.7202107
2120,2023-01-20 10:49:57.272347,117267094,39.8043838,32.3788019,734.33,0.08921432,0.7292143
2179,2023-01-20 10:49:57.383459,117367172,39.8043839,32.3788019,734.34,0.09689456,0.7368945
2235,2023-01-20 10:49:57.477345,117467146,39.804384,32.3788019,734.35,0.1074092,0.7474092
2294,2023-01-20 10:49:57.568218,117567101,39.8043842,32.3788018,734.36,0.1158642,0.7558642
2350,2023-01-20 10:49:57.665055,117667129,39.8043842,32.3788018,734.37,0.1259791,0.7659791
2408,2023-01-20 10:49:57.765128,117767224,39.8043842,32.3788017,734.38,0.1353753,0.7753752
2451,2023-01-20 10:49:57.864995,117867118,39.8043843,32.3788017,734.39,0.1462034,0.7862034
2496,2023-01-20 10:49:57.964943,117967097,39.8043844,32.3788016,734.4,0.15611,0.79611
2535,2023-01-20 10:49:58.065028,118067138,39.8043844,32.3788015,734.41,0.1651342,0.8051342
2577,2023-01-20 10:49:58.165110,118167138,39.8043845,32.3788015,734.42,0.172546,0.812546
2617,2023-01-20 10:49:58.265082,118267101,39.8043845,32.3788014,734.43,0.1821784,0.8221784
2657,2023-01-20 10:49:58.365070,118367119,39.8043846,32.3788014,734.44,0.1914248,0.8314248
2696,2023-01-20 10:49:58.465146,118467207,39.8043846,32.3788013,734.45,0.2015546,0.8415546
2737,2023-01-20 10:49:58.565037,118567100,39.8043847,32.3788012,734.46,0.2105016,0.8505016
2779,2023-01-20 10:49:58.665041,118667122,39.8043847,32.3788011,734.46,0.2196936,0.8596936
2818,2023-01-20 10:49:58.765110,118767218,39.8043848,32.3788011,734.47,0.2277279,0.8677279
2862,2023-01-20 10:49:58.865010,118867126,39.8043848,32.3788011,734.48,0.2350277,0.8750277
2901,2023-01-20 10:49:58.964983,118967098,39.8043848,32.378801,734.49,0.2409326,0.8809326
2940,2023-01-20 10:49:59.065050,119067147,39.8043849,32.3788011,734.49,0.2489166,0.8889166
2981,2023-01-20 10:49:59.165061,119167131,39.8043849,32.3788011,734.5,0.2563208,0.8963208
3020,2023-01-20 10:49:59.265033,119267095,39.804385,32.378801,734.51,0.2641129,0.9041129
3059,2023-01-20 10:49:59.365056,119367119,39.8043851,32.3788009,734.52,0.2705298,0.9105298
3099,2023-01-20 10:49:59.465075,119467142,39.8043852,32.3788008,734.52,0.277181,0.917181
3140,2023-01-20 10:49:59.565031,119567102,39.8043852,32.3788008,734.53,0.2823963,0.9223962
3181,2023-01-20 10:49:59.665050,119667134,39.8043853,32.3788007,734.53,0.288717,0.928717
3220,2023-01-20 10:49:59.765115,119767218,39.8043854,32.3788007,734.54,0.2939741,0.9339741
3259,2023-01-20 10:49:59.864982,119867094,39.8043854,32.3788007,734.54,0.296923,0.936923
3298,2023-01-20 10:49:59.964971,119967088,39.8043854,32.3788008,734.54,0.2980639,0.9380639
3337,2023-01-20 10:50:00.065077,120067178,39.8043855,32.3788008,734.54,0.2974986,0.9374986
3379,2023-01-20 10:50:00.165062,120167136,39.8043855,32.3788008,734.54,0.2956147,0.9356146
3418,2023-01-20 10:50:00.265026,120267096,39.8043856,32.3788009,734.54,0.2935658,0.9335658
3457,2023-01-20 10:50:00.365042,120367120,39.8043856,32.378801,734.54,0.2912696,0.9312696
3497,2023-01-20 10:50:00.465031,120467107,39.8043856,32.3788011,734.53,0.2896562,0.9296562
3537,2023-01-20 10:50:00.565029,120567099,39.8043855,32.3788012,734.53,0.2880178,0.9280178
3580,2023-01-20 10:50:00.665051,120667126,39.8043855,32.3788012,734.53,0.2878606,0.9278606
3619,2023-01-20 10:50:00.765075,120767162,39.8043855,32.3788012,734.53,0.2876835,0.9276835
3660,2023-01-20 10:50:00.864997,120867100,39.8043854,32.3788013,734.53,0.2864167,0.9264167
3697,2023-01-20 10:50:00.964978,120967100,39.8043854,32.3788014,734.53,0.2841973,0.9241973
3729,2023-01-20 10:50:01.065096,121067220,39.8043853,32.3788015,734.53,0.2836029,0.9236029
3762,2023-01-20 10:50:01.165114,121167231,39.8043853,32.3788015,734.53,0.282752,0.922752
3794,2023-01-20 10:50:01.265003,121267153,39.8043853,32.3788015,734.53,0.2822556,0.9222556
3825,2023-01-20 10:50:01.365066,121367270,39.8043853,32.3788016,734.53,0.281078,0.921078
3857,2023-01-20 10:50:01.464962,121467152,39.8043853,32.3788016,734.53,0.2817792,0.9217792
3890,2023-01-20 10:50:01.565015,121567153,39.8043855,32.3788017,734.53,0.2822731,0.9222731
3925,2023-01-20 10:50:01.665158,121667277,39.8043855,32.3788017,734.53,0.2864023,0.9264023
3956,2023-01-20 10:50:01.765398,121767515,39.8043855,32.3788017,734.54,0.2902796,0.9302796
3989,2023-01-20 10:50:01.865350,121867515,39.8043854,32.3788017,734.54,0.2952275,0.9352275
4021,2023-01-20 10:50:01.965308,121967549,39.8043854,32.3788018,734.55,0.3034948,0.9434947
4053,2023-01-20 10:50:02.065291,122067515,39.8043854,32.3788019,734.57,0.3243877,0.9643877
4086,2023-01-20 10:50:02.165378,122167536,39.8043854,32.378802,734.61,0.362754,1.002754
4118,2023-01-20 10:50:02.265434,122267570,39.8043854,32.3788023,734.65,0.4067645,1.046764
4149,2023-01-20 10:50:02.365362,122367500,39.8043854,32.3788025,734.69,0.447666,1.087666
4181,2023-01-20 10:50:02.465104,122467503,39.8043854,32.3788026,734.73,0.4896139,1.129614
4214,2023-01-20 10:50:02.564481,122567276,39.8043853,32.3788028,734.77,0.5260129,1.166013
4250,2023-01-20 10:50:02.664329,122667242,39.8043853,32.3788028,734.81,0.5608195,1.200819
4280,2023-01-20 10:50:02.764358,122767234,39.8043853,32.3788028,734.83,0.5893338,1.229334
4315,2023-01-20 10:50:02.864370,122867249,39.8043853,32.3788028,734.87,0.6298819,1.269882
4345,2023-01-20 10:50:02.964313,122967217,39.8043853,32.3788029,734.91,0.6681144,1.308114
4378,2023-01-20 10:50:03.064320,123067234,39.804385,32.3788031,734.96,0.7165314,1.356531
4410,2023-01-20 10:50:03.164385,123167301,39.8043847,32.3788033,735.01,0.7632512,1.403251
4443,2023-01-20 10:50:03.264296,123267209,39.8043845,32.3788037,735.07,0.8257594,1.465759
4473,2023-01-20 10:50:03.364323,123367231,39.8043843,32.378804,735.12,0.8766309,1.516631
4506,2023-01-20 10:50:03.464325,123467222,39.804384,32.3788043,735.16,0.9163681,1.556368
4538,2023-01-20 10:50:03.564320,123567204,39.8043838,32.3788046,735.19,0.942651,1.582651
4574,2023-01-20 10:50:03.664367,123667248,39.8043836,32.3788047,735.21,0.9636813,1.603681
4604,2023-01-20 10:50:03.764355,123767240,39.8043835,32.3788046,735.23,0.9846287,1.624629
4638,2023-01-20 10:50:03.864551,123867237,39.8043835,32.3788044,735.26,1.017107,1.657107
4670,2023-01-20 10:50:03.964886,123967260,39.8043835,32.3788042,735.3,1.058404,1.698404
4703,2023-01-20 10:50:04.064995,124067216,39.8043835,32.3788038,735.36,1.113739,1.753739
4735,2023-01-20 10:50:04.165102,124167255,39.8043837,32.3788035,735.42,1.175533,1.815533
4768,2023-01-20 10:50:04.265126,124267259,39.804384,32.3788032,735.49,1.240106,1.880106
4798,2023-01-20 10:50:04.365094,124367231,39.8043843,32.378803,735.55,1.303599,1.943599
4831,2023-01-20 10:50:04.464994,124467159,39.8043845,32.3788029,735.61,1.362394,2.002394
4864,2023-01-20 10:50:04.565017,124567222,39.8043847,32.3788029,735.66,1.415571,2.055571
4900,2023-01-20 10:50:04.665045,124667237,39.804385,32.3788028,735.71,1.46946,2.10946
4930,2023-01-20 10:50:04.765095,124767244,39.8043851,32.3788027,735.77,1.524022,2.164021
4964,2023-01-20 10:50:04.865109,124867274,39.8043851,32.3788027,735.83,1.585831,2.225831
4994,2023-01-20 10:50:04.964952,124967164,39.8043851,32.3788026,735.9,1.652733,2.292733
5027,2023-01-20 10:50:05.065048,125067245,39.8043851,32.3788025,735.97,1.721712,2.361712
5059,2023-01-20 10:50:05.165098,125167247,39.804385,32.3788026,736.03,1.78954,2.42954
5092,2023-01-20 10:50:05.265023,125267158,39.8043848,32.3788026,736.1,1.858652,2.498652
5122,2023-01-20 10:50:05.365412,125367552,39.8043846,32.3788027,736.17,1.929742,2.569741
5155,2023-01-20 10:50:05.465085,125467218,39.8043845,32.3788029,736.25,2.005111,2.645111
5187,2023-01-20 10:50:05.565100,125567219,39.8043843,32.3788031,736.32,2.078355,2.718355
5224,2023-01-20 10:50:05.665132,125667244,39.8043841,32.3788033,736.39,2.149837,2.789838
5254,2023-01-20 10:50:05.765409,125767519,39.8043838,32.3788034,736.46,2.21799,2.85799
5288,2023-01-20 10:50:05.859479,125867524,39.8043835,32.3788036,736.53,2.280269,2.920269
5318,2023-01-20 10:50:05.950378,125967496,39.8043831,32.3788038,736.58,2.339231,2.97923
5351,2023-01-20 10:50:06.045466,126067520,39.8043828,32.3788039,736.64,2.398685,3.038685
5383,2023-01-20 10:50:06.145232,126167250,39.8043825,32.3788038,736.7,2.457031,3.097031
5416,2023-01-20 10:50:06.244668,126267225,39.8043821,32.3788037,736.76,2.513085,3.153085
5448,2023-01-20 10:50:06.343681,126367476,39.8043817,32.3788035,736.81,2.56811,3.20811
5481,2023-01-20 10:50:06.442705,126467209,39.8043814,32.3788032,736.87,2.621197,3.261197
5513,2023-01-20 10:50:06.542704,126567220,39.804381,32.378803,736.92,2.672184,3.312184
5549,2023-01-20 10:50:06.642740,126667291,39.8043805,32.3788027,736.97,2.721886,3.361886
5579,2023-01-20 10:50:06.742621,126767236,39.8043797,32.3788025,737.02,2.770961,3.410961
5613,2023-01-20 10:50:06.842539,126867229,39.8043789,32.3788023,737.06,2.816838,3.456838
5643,2023-01-20 10:50:06.942444,126967223,39.8043779,32.3788019,737.1,2.857493,3.497493
5676,2023-01-20 10:50:07.042449,127067288,39.8043769,32.3788016,737.14,2.891922,3.531922
5708,2023-01-20 10:50:07.142376,127167233,39.8043759,32.3788011,737.17,2.92282,3.56282
5741,2023-01-20 10:50:07.242378,127267218,39.8043748,32.3788005,737.2,2.951093,3.591093
5771,2023-01-20 10:50:07.342727,127367504,39.8043737,32.3787998,737.22,2.978992,3.618992
5804,2023-01-20 10:50:07.442424,127467202,39.8043726,32.3787991,737.25,3.002664,3.642664
5836,2023-01-20 10:50:07.542349,127567213,39.8043714,32.3787984,737.27,3.022887,3.662887
5872,2023-01-20 10:50:07.647109,127667250,39.8043702,32.3787976,737.28,3.037258,3.677258
5902,2023-01-20 10:50:07.758348,127767220,39.8043688,32.3787969,737.29,3.049199,3.689199
5936,2023-01-20 10:50:07.856807,127867224,39.8043674,32.3787962,737.3,3.058265,3.698265
5968,2023-01-20 10:50:07.947595,127967225,39.8043659,32.3787954,737.31,3.067456,3.707456
6001,2023-01-20 10:50:08.042281,128067237,39.8043644,32.3787945,737.32,3.079133,3.719132
6033,2023-01-20 10:50:08.142316,128167290,39.8043627,32.3787936,737.34,3.093826,3.733826
6066,2023-01-20 10:50:08.242195,128267162,39.804361,32.3787925,737.35,3.108645,3.748645
6096,2023-01-20 10:50:08.342577,128367502,39.8043592,32.3787914,737.37,3.126811,3.766811
6129,2023-01-20 10:50:08.442311,128467215,39.8043575,32.3787902,737.39,3.145741,3.78574
6161,2023-01-20 10:50:08.542311,128567221,39.8043558,32.378789,737.41,3.164852,3.804852
6197,2023-01-20 10:50:08.642330,128667248,39.8043541,32.3787878,737.43,3.185121,3.825121
6227,2023-01-20 10:50:08.742290,128767216,39.8043526,32.3787864,737.45,3.20798,3.84798
6261,2023-01-20 10:50:08.842380,128867269,39.804351,32.378785,737.48,3.231888,3.871888
6294,2023-01-20 10:50:08.942423,128967214,39.8043496,32.3787835,737.51,3.260279,3.900279
6327,2023-01-20 10:50:09.042512,129067231,39.804348,32.3787819,737.53,3.289392,3.929392
6359,2023-01-20 10:50:09.142557,129167237,39.8043463,32.3787803,737.57,3.322438,3.962438
6392,2023-01-20 10:50:09.242484,129267218,39.8043445,32.3787786,737.6,3.353508,3.993508
6422,2023-01-20 10:50:09.342566,129367480,39.8043427,32.378777,737.63,3.385539,4.025538
6455,2023-01-20 10:50:09.442293,129467833,39.8043407,32.3787753,737.67,3.423118,4.063118
6487,2023-01-20 10:50:09.541139,129567899,39.8043388,32.3787738,737.7,3.453099,4.093099
6523,2023-01-20 10:50:09.640422,129667909,39.804337,32.3787724,737.73,3.481478,4.121478
6553,2023-01-20 10:50:09.740398,129767886,39.8043353,32.3787711,737.75,3.508262,4.148262
6587,2023-01-20 10:50:09.840464,129867962,39.8043336,32.3787697,737.78,3.532822,4.172822
6618,2023-01-20 10:50:09.940381,129967901,39.804332,32.3787683,737.8,3.553881,4.193881
6651,2023-01-20 10:50:10.040385,130067908,39.8043304,32.378767,737.82,3.572042,4.212042
6683,2023-01-20 10:50:10.140494,130167992,39.8043288,32.3787658,737.83,3.589203,4.229203
6716,2023-01-20 10:50:10.240315,130267902,39.8043273,32.3787646,737.85,3.606885,4.246885
6746,2023-01-20 10:50:10.340150,130367996,39.8043258,32.3787634,737.87,3.622687,4.262687
6779,2023-01-20 10:50:10.439913,130467925,39.8043244,32.3787622,737.88,3.639103,4.279103
6811,2023-01-20 10:50:10.539901,130567940,39.8043231,32.378761,737.9,3.656932,4.296932
6847,2023-01-20 10:50:10.639905,130667967,39.8043218,32.3787598,737.92,3.670343,4.310343
