LineNo,UTC_Approx,TimeUS,Vcc,VServo,Flags,AccFlags,Safety,MTemp,MVolt,MVmin,MVmax
321,2023-01-20 10:49:56.254683,116243242,0,0,4,4,6,0,0,0,0
936,2023-01-20 10:49:56.345693,116343302,0,0,4,4,6,0,0,0,0
1101,2023-01-20 10:49:56.445910,116448509,0,0,4,4,6,0,0,0,0
1310,2023-01-20 10:49:56.559828,116561407,0,0,4,4,6,0,0,0,0
1516,2023-01-20 10:49:56.660676,116662123,0,0,4,4,6,0,0,0,0
1863,2023-01-20 10:49:56.760289,116762111,0,0,4,4,6,0,0,0,0
1909,2023-01-20 10:49:56.860139,116862110,0,0,4,4,6,0,0,0,0
1956,2023-01-20 10:49:56.960130,116962102,0,0,4,4,6,0,0,0,0
2004,2023-01-20 10:49:57.060152,117062112,0,0,4,4,6,0,0,0,0
2050,2023-01-20 10:49:57.160158,117162097,0,0,4,4,6,0,0,0,0
2101,2023-01-20 10:49:57.266808,117262105,0,0,4,4,6,0,0,0,0
2161,2023-01-20 10:49:57.377951,117362211,0,0,4,4,6,0,0,0,0
2218,2023-01-20 10:49:57.472404,117461711,0,0,4,4,6,0,0,0,0
2274,2023-01-20 10:49:57.563329,117561724,0,0,4,4,6,0,0,0,0
2331,2023-01-20 10:49:57.659768,117661841,0,0,4,4,6,0,0,0,0
2386,2023-01-20 10:49:57.759652,117761747,0,0,4,4,6,0,0,0,0
2433,2023-01-20 10:49:57.859660,117861782,0,0,4,4,6,0,0,0,0
2476,2023-01-20 10:49:57.959571,117961723,0,0,4,4,6,0,0,0,0
2518,2023-01-20 10:49:58.059608,118061723,0,0,4,4,6,0,0,0,0
2557,2023-01-20 10:49:58.159680,118161712,0,0,4,4,6,0,0,0,0
2600,2023-01-20 10:49:58.259719,118261736,0,0,4,4,6,0,0,0,0
2638,2023-01-20 10:49:58.359823,118361871,0,0,4,4,6,0,0,0,0
2679,2023-01-20 10:49:58.459753,118461814,0,0,4,4,6,0,0,0,0
