LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
381,2023-01-20 10:49:56.259343,116248365,-0.6490828,-0.6490828,-0.02300413,-0.02300413,-0.02300413,0.001871109,0.001871109,0.001871109
971,2023-01-20 10:49:56.350342,116348414,-0.6537236,-0.6537236,-0.0232251,-0.0232251,-0.0232251,0.01689339,0.01689339,0.01689339
1129,2023-01-20 10:49:56.452342,116454883,-0.6599636,-0.6599636,-0.0259636,-0.0259636,-0.0259636,-0.00406456,-0.00406456,-0.00406456
1348,2023-01-20 10:49:56.564986,116566519,-0.6664838,-0.6664838,-0.02780981,-0.02780981,-0.02780981,0.0007715225,0.0007715225,0.0007715225
1568,2023-01-20 10:49:56.665846,116667313,-0.674683,-0.674683,-0.03029707,-0.03029707,-0.03029707,-0.004910469,-0.004910469,-0.004910469
1888,2023-01-20 10:49:56.765448,116767289,-0.6828759,-0.6828759,-0.03283044,-0.03283044,-0.03283044,-0.0008096695,-0.0008096695,-0.0008096695
1933,2023-01-20 10:49:56.865330,116867301,-0.6920834,-0.6920834,-0.03504983,-0.03504983,-0.03504983,-0.00130558,-0.00130558,-0.00130558
1981,2023-01-20 10:49:56.965301,116967273,-0.7005243,-0.7005243,-0.03528036,-0.03528036,-0.03528036,0.01262951,0.01262951,0.01262951
2031,2023-01-20 10:49:57.065341,117067300,-0.7106267,-0.7106267,-0.03810063,-0.03810063,-0.03810063,0.007854462,0.007854462,0.007854462
2077,2023-01-20 10:49:57.165378,117167316,-0.7202107,-0.7202107,-0.04018411,-0.04018411,-0.04018411,0.01303196,0.01303196,0.01303196
2127,2023-01-20 10:49:57.272544,117267271,-0.7292143,-0.7292143,-0.04320331,-0.04320331,-0.04320331,-0.002221107,-0.002221107,-0.002221107
2186,2023-01-20 10:49:57.383604,117367303,-0.7368945,-0.7368945,-0.04459681,-0.04459681,-0.04459681,-0.001386642,-0.001386642,-0.001386642
2242,2023-01-20 10:49:57.477506,117467323,-0.7474092,-0.7474092,-0.04749349,-0.04749349,-0.04749349,-0.001156807,-0.001156807,-0.001156807
2301,2023-01-20 10:49:57.568375,117567274,-0.7558641,-0.7558641,-0.04861818,-0.04861818,-0.04861818,0.0108881,0.0108881,0.0108881
