LineNo,UTC_Approx,TimeUS,TPE,PE,DVE,TVE,VE,DAE,TAE,AE
380,2023-01-20 10:49:56.259327,116248348,-0.3641514,-0.3641514,-0.05524498,-0.05524498,-0.05524498,0,-0.0006857148,-0.00134744
970,2023-01-20 10:49:56.350328,116348398,-0.3727289,-0.3727289,-0.05674209,-0.05674209,-0.05674209,0,-0.0003688147,-0.001487864
1128,2023-01-20 10:49:56.452325,116454866,-0.3806837,-0.3806837,-0.05749848,-0.05749848,-0.05749848,0,-0.0001983686,-0.001700345
1347,2023-01-20 10:49:56.564969,116566502,-0.3880846,-0.3880846,-0.05771517,-0.05771517,-0.05771517,0,-0.0001066934,-0.001953929
1567,2023-01-20 10:49:56.665830,116667297,-0.3964916,-0.3964916,-0.05930052,-0.05930052,-0.05930052,0,-5.738552E-05,-0.001938437
1887,2023-01-20 10:49:56.765432,116767273,-0.4055727,-0.4055727,-0.06161651,-0.06161651,-0.06161651,0,-3.086506E-05,-0.001653238
1932,2023-01-20 10:49:56.865314,116867285,-0.4161433,-0.4161433,-0.06453757,-0.06453757,-0.06453757,0,-1.660091E-05,-0.001521435
1980,2023-01-20 10:49:56.965285,116967257,-0.4268971,-0.4268971,-0.06774444,-0.06774444,-0.06774444,0,-8.928871E-06,-0.001343837
2030,2023-01-20 10:49:57.065325,117067284,-0.4362289,-0.4362289,-0.06992977,-0.06992977,-0.06992977,0,-4.802433E-06,-0.001218528
2076,2023-01-20 10:49:57.165358,117167296,-0.4446959,-0.4446959,-0.07084243,-0.07084243,-0.07084243,0,-2.583009E-06,-0.00108726
2126,2023-01-20 10:49:57.272526,117267255,-0.4483723,-0.4483723,-0.06789022,-0.06789022,-0.06789022,0,-1.389283E-06,-0.0009732615
2185,2023-01-20 10:49:57.383586,117367287,-0.4502469,-0.4502469,-0.06481873,-0.06481873,-0.06481873,0,-7.472318E-07,-0.0008830869
2241,2023-01-20 10:49:57.477491,117467307,-0.4528073,-0.4528073,-0.06179043,-0.06179043,-0.06179043,0,-4.01902E-07,-0.0008553315
2300,2023-01-20 10:49:57.568360,117567258,-0.4559528,-0.4559528,-0.05988283,-0.05988283,-0.05988283,0,-2.161648E-07,-0.0007648191
2356,2023-01-20 10:49:57.665217,117667291,-0.4593209,-0.4593209,-0.05808853,-0.05808853,-0.05808853,0,-1.162652E-07,-0.0006950118
2414,2023-01-20 10:49:57.765239,117767336,-0.4630058,-0.4630058,-0.05731583,-0.05731583,-0.05731583,0,-6.253374E-08,-0.0006151612
2457,2023-01-20 10:49:57.865160,117867283,-0.4681031,-0.4681031,-0.05767038,-0.05767038,-0.05767038,0,-3.363405E-08,-0.0005137803
2502,2023-01-20 10:49:57.965106,117967259,-0.4739306,-0.4739306,-0.05850834,-0.05850834,-0.05850834,0,-1.809022E-08,-0.0004757931
2541,2023-01-20 10:49:58.065193,118067303,-0.478917,-0.478917,-0.05887357,-0.05887357,-0.05887357,0,-9.729906E-09,-0.0004652626
2583,2023-01-20 10:49:58.165268,118167296,-0.4836585,-0.4836585,-0.05856252,-0.05856252,-0.05856252,0,-5.233272E-09,-0.0004251447
2623,2023-01-20 10:49:58.265244,118267263,-0.4877086,-0.4877086,-0.05731781,-0.05731781,-0.05731781,0,-2.814738E-09,-0.0004263451
2663,2023-01-20 10:49:58.365234,118367283,-0.4917088,-0.4917088,-0.05593515,-0.05593515,-0.05593515,0,-1.51392E-09,-0.0004276795
2702,2023-01-20 10:49:58.465258,118467319,-0.4999929,-0.4999929,-0.05838745,-0.05838745,-0.05838745,0,-8.142684E-10,-0.0004291154
2743,2023-01-20 10:49:58.565198,118567261,-0.510218,-0.510218,-0.06515661,-0.06515661,-0.06515661,0,-4.379578E-10,-0.0004299881
2785,2023-01-20 10:49:58.665208,118667289,-0.5160888,-0.5160888,-0.06678367,-0.06678367,-0.06678367,0,-2.355575E-10,-0.0004310725
2824,2023-01-20 10:49:58.765222,118767330,-0.5199459,-0.5199459,-0.06544361,-0.06544361,-0.06544361,0,-1.266956E-10,-0.0004321937
2868,2023-01-20 10:49:58.865170,118867286,-0.5215098,-0.5215098,-0.06182865,-0.06182865,-0.06182865,0,-6.814376E-11,-0.0004334667
2907,2023-01-20 10:49:58.965144,118967259,-0.5224524,-0.5224524,-0.05534559,-0.05534559,-0.05534559,0,-3.665143E-11,-0.0004340078
2946,2023-01-20 10:49:59.065213,119067310,-0.5207576,-0.5207576,-0.04658228,-0.04658228,-0.04658228,0,-1.971313E-11,-0.0004345509
2987,2023-01-20 10:49:59.165223,119167293,-0.5184913,-0.5184913,-0.04264847,-0.04264847,-0.04264847,0,-1.060279E-11,-0.0004341486
3026,2023-01-20 10:49:59.265194,119267256,-0.5241886,-0.5241886,-0.04233303,-0.04233303,-0.04233303,0,-5.70276E-12,-0.0004345214
3065,2023-01-20 10:49:59.365220,119367283,-0.5335766,-0.5335766,-0.04065249,-0.04065249,-0.04065249,0,-3.067254E-12,-0.0004342875
3105,2023-01-20 10:49:59.465232,119467299,-0.5403186,-0.5403186,-0.05212331,-0.05212331,-0.05212331,0,-1.649736E-12,-0.0004338862
3146,2023-01-20 10:49:59.565193,119567264,-0.5458573,-0.5458573,-0.05990361,-0.05990361,-0.05990361,0,-8.873177E-13,-0.0004343238
3187,2023-01-20 10:49:59.665224,119667308,-0.5500014,-0.5500014,-0.04505022,-0.04505022,-0.04505022,0,-4.772477E-13,-0.0004343194
3226,2023-01-20 10:49:59.765230,119767333,-0.5536937,-0.5536937,-0.05238932,-0.05238932,-0.05238932,0,-2.566898E-13,-0.0004338383
3265,2023-01-20 10:49:59.865159,119867271,-0.5499544,-0.5499544,-0.06238125,-0.06238125,-0.06238125,0,-1.380617E-13,-0.0004342474
3304,2023-01-20 10:49:59.965156,119967273,-0.5437767,-0.5437767,-0.04283287,-0.04283287,-0.04283287,0,-7.42571E-14,-0.0004344482
3343,2023-01-20 10:50:00.065191,120067292,-0.5370764,-0.5370764,-0.02782945,-0.02782945,-0.02782945,0,-3.99395E-14,-0.0004339682
3385,2023-01-20 10:50:00.165219,120167293,-0.5312479,-0.5312479,-0.0306772,-0.0306772,-0.0306772,0,-2.148164E-14,-0.0004344156
3424,2023-01-20 10:50:00.265195,120267265,-0.5240792,-0.5240792,-0.01211813,-0.01211813,-0.01211813,0,-1.155399E-14,-0.0004348193
3463,2023-01-20 10:50:00.365206,120367284,-0.517249,-0.517249,-0.01587976,-0.01587976,-0.01587976,0,-6.214366E-15,-0.0004341268
3503,2023-01-20 10:50:00.465188,120467264,-0.5118957,-0.5118957,-0.02861856,-0.02861856,-0.02861856,0,-3.342424E-15,-0.000434116
3543,2023-01-20 10:50:00.565198,120567268,-0.5080413,-0.5080413,-0.0170012,-0.0170012,-0.0170012,0,-1.797738E-15,-0.0004343404
3586,2023-01-20 10:50:00.665212,120667287,-0.5043781,-0.5043781,0.00306371,0.00306371,0.00306371,0,-9.66921E-16,-0.0004342851
3625,2023-01-20 10:50:00.765236,120767323,-0.5014384,-0.5014384,-0.00305154,-0.00305154,-0.00305154,0,-5.200627E-16,-0.0004344861
3666,2023-01-20 10:50:00.865170,120867273,-0.4936018,-0.4936018,-0.0007858251,-0.0007858251,-0.0007858251,0,-2.79718E-16,-0.0004347221
3703,2023-01-20 10:50:00.965140,120967262,-0.4843817,-0.4843817,0.00834957,0.00834957,0.00834957,0,-1.504476E-16,-0.0004343222
3735,2023-01-20 10:50:01.065226,121067350,-0.4787893,-0.4787893,0.0001062689,0.0001062689,0.0001062689,0,-8.091888E-17,-0.0004339565
3768,2023-01-20 10:50:01.165237,121167354,-0.4770057,-0.4754573,0.000393387,-0.001155075,0.003860297,-0.0003946554,-0.05781612,-0.02482001
