LineNo,UTC_Approx,TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
379,2023-01-20 10:49:56.259314,116248333,-0.8328345,-0.8328345,-0.02263117,-0.02263117,-0.02263117,0,0.00105547,0.001957848
969,2023-01-20 10:49:56.350308,116348376,-0.830404,-0.830404,-0.02342067,-0.02342067,-0.02342067,0,0.0005676888,0.001853382
1127,2023-01-20 10:49:56.452309,116454851,-0.8287175,-0.8287175,-0.02355558,-0.02355558,-0.02355558,0,0.0003053339,0.001660599
1346,2023-01-20 10:49:56.564951,116566484,-0.8282635,-0.8282635,-0.02537738,-0.02537738,-0.02537738,0,0.0001642252,0.001353117
1566,2023-01-20 10:49:56.665815,116667282,-0.8293458,-0.8293458,-0.02692939,-0.02692939,-0.02692939,0,8.832922E-05,0.001173438
1886,2023-01-20 10:49:56.765417,116767258,-0.8312737,-0.8312737,-0.02842018,-0.02842018,-0.02842018,0,4.750826E-05,0.001137203
1931,2023-01-20 10:49:56.865297,116867268,-0.8302302,-0.8302302,-0.02853699,-0.02853699,-0.02853699,0,2.555253E-05,0.001119736
1979,2023-01-20 10:49:56.965271,116967243,-0.8283218,-0.8283218,-0.0274324,-0.0274324,-0.0274324,0,1.374354E-05,0.001098148
2029,2023-01-20 10:49:57.065311,117067270,-0.8242853,-0.8242853,-0.0246502,-0.0246502,-0.0246502,0,7.392022E-06,0.001084328
2075,2023-01-20 10:49:57.165343,117167281,-0.8198606,-0.8198606,-0.02066288,-0.02066288,-0.02066288,0,3.975832E-06,0.001069103
2125,2023-01-20 10:49:57.272509,117267240,-0.813089,-0.813089,-0.01527376,-0.01527376,-0.01527376,0,2.138419E-06,0.001055815
2184,2023-01-20 10:49:57.383571,117367273,-0.8059739,-0.8059739,-0.009398829,-0.009398829,-0.009398829,0,1.150158E-06,0.001045872
2240,2023-01-20 10:49:57.477479,117467293,-0.7957664,-0.7957664,-0.0005893547,-0.0005893547,-0.0005893547,0,6.186173E-07,0.001042496
2299,2023-01-20 10:49:57.568347,117567244,-0.7869272,-0.7869272,0.005404554,0.005404554,0.005404554,0,3.32726E-07,0.001032328
2355,2023-01-20 10:49:57.665202,117667276,-0.7778846,-0.7778846,0.01289383,0.01289383,0.01289383,0,1.789582E-07,0.001024213
2413,2023-01-20 10:49:57.765225,117767321,-0.7692624,-0.7692624,0.01924135,0.01924135,0.01924135,0,9.625344E-08,0.001015221
2456,2023-01-20 10:49:57.865145,117867269,-0.7615407,-0.7615407,0.02485674,0.02485674,0.02485674,0,5.177035E-08,0.001003263
2501,2023-01-20 10:49:57.965091,117967245,-0.7546003,-0.7546003,0.02945194,0.02945194,0.02945194,0,2.784491E-08,0.0009991787
2540,2023-01-20 10:49:58.065178,118067288,-0.7487621,-0.7487621,0.0337956,0.0337956,0.0337956,0,1.497651E-08,0.0009980764
2582,2023-01-20 10:49:58.165253,118167281,-0.7434958,-0.7434958,0.0371017,0.0371017,0.0371017,0,8.055183E-09,0.0009935566
2622,2023-01-20 10:49:58.265229,118267248,-0.7362378,-0.7362378,0.04229639,0.04229639,0.04229639,0,4.332513E-09,0.0009930421
2662,2023-01-20 10:49:58.365219,118367268,-0.7279478,-0.7279478,0.04997434,0.04997434,0.04997434,0,2.33026E-09,0.0009924694
2701,2023-01-20 10:49:58.465240,118467301,-0.7237719,-0.7237719,0.05291939,0.05291939,0.05291939,0,1.253341E-09,0.0009918516
