LineNo,UTC_Approx,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
363,2023-01-20 10:49:56.258984,116247971,9.968421,0.004681881,0.02333778,-2.144846,0.02044341,-0.005735969,35.85516,0.0172952,0.04131338,-0.1871109,-0.1871109,0
953,2023-01-20 10:49:56.349966,116348000,9.857821,0.03083526,0.02301922,-3.190625,-0.03303786,-0.007957418,81.82545,0.00546791,0.1417903,-1.689339,-1.689339,0
1111,2023-01-20 10:49:56.451937,116454482,9.757064,-0.01699293,0.02306664,-4.241122,-0.02336029,-0.01020203,131.2121,0.05439936,0.2804453,0.406456,0.406456,0
1330,2023-01-20 10:49:56.564570,116566106,9.654388,-0.01047178,0.02251718,-5.299437,0.001886186,-0.01283007,178.0344,0.07780146,0.4272291,-0.07715225,-0.07715225,0
1548,2023-01-20 10:49:56.665405,116666870,9.551404,-0.0452402,0.02251376,-6.342715,0.03699234,-0.01575804,212.3441,0.05974403,0.5646413,0.4910469,0.4910469,0
1870,2023-01-20 10:49:56.765028,116766868,9.449041,-0.0008985701,0.02218842,-7.381138,-0.001039603,-0.01795369,239.3235,0.005001539,0.6678956,0.08096695,0.08096695,0
1915,2023-01-20 10:49:56.864910,116866881,9.335491,-0.04950173,0.02199564,-8.42028,-0.02110479,-0.01994704,266.3032,0.03809144,0.7580267,0.130558,0.130558,0
1963,2023-01-20 10:49:56.964895,116966867,9.289351,0.002603883,0.02191231,-8.747508,0.01692093,-0.0207522,274.9528,0.0407695,0.830681,-1.262951,-1.262951,0
2013,2023-01-20 10:49:57.064924,117066883,9.29107,0.04488144,0.02164548,-8.549338,-0.06207013,-0.01976012,270.0535,0.007827158,0.8508639,-0.7854462,-0.7854462,0
2057,2023-01-20 10:49:57.164957,117166895,9.248557,-0.02142814,0.02192863,-8.851223,0.02890017,-0.0212559,277.7703,0.01395329,0.858656,-1.303196,-1.303196,0
2109,2023-01-20 10:49:57.272113,117266883,9.230544,-0.03707403,0.02203775,-8.86639,0.0132531,-0.02103574,277.7704,0.01236798,0.8684926,0.2221107,0.2221107,0
2168,2023-01-20 10:49:57.383149,117366893,9.215398,0.0141069,0.02148803,-8.88502,-0.03677894,-0.02094826,277.7703,0.05869444,0.871361,0.1386642,0.1386642,0
2224,2023-01-20 10:49:57.477136,117466916,9.201475,-0.0283171,0.0220124,-8.904484,0.01045774,-0.02110919,277.7703,0.0899682,0.8719448,0.1156807,0.1156807,0
2283,2023-01-20 10:49:57.568008,117566871,9.190574,-0.01473935,0.02166312,-8.89846,-0.05394176,-0.02068501,277.7706,0.1053497,0.8723461,-1.08881,-1.08881,0
2337,2023-01-20 10:49:57.664804,117666878,9.186972,-0.02214528,0.02185022,-8.886346,-0.03401731,-0.02073664,277.7708,0.03304884,0.8724878,0.03471375,0.03471375,0
2396,2023-01-20 10:49:57.764845,117766941,9.192375,0.04407163,0.02132612,-8.880749,0.000228251,-0.0208427,277.7708,0.01449098,0.8725072,-0.3807068,-0.3807068,0
2440,2023-01-20 10:49:57.864774,117866898,9.191131,-0.009608888,0.0216463,-8.869775,0.04294791,-0.02134913,277.771,0.06759425,0.8724719,-2.39439,-2.39439,0
2485,2023-01-20 10:49:57.964725,117966878,9.205031,-0.03958239,0.02187574,-8.856786,-0.028348,-0.02073742,277.771,0.00352437,0.872538,0.1922607,0.1922607,0
2524,2023-01-20 10:49:58.064811,118066921,9.216599,0.01781925,0.02148507,-8.844743,-0.003784311,-0.02086413,277.771,0.00912803,0.8725678,-0.4158974,-0.4158974,0
2564,2023-01-20 10:49:58.164848,118166876,10.00571,-0.03323114,0.02508169,-1.032239,-0.02851493,0.009113152,0.6626137,0.05323345,0.7463487,0.1461983,0.1461983,0
2606,2023-01-20 10:49:58.264848,118266867,10.01635,0.01364745,0.02350493,-1.032746,-0.02889317,-0.002186859,0.6626031,0.01015329,0.221119,-0.1589775,-0.1589775,0
2646,2023-01-20 10:49:58.364852,118366901,9.98601,0.2001906,0.02321588,-1.06504,0.534867,-0.006234063,0.6620076,1.395433,0.06624365,-0.03757477,-0.03757477,0
2685,2023-01-20 10:49:58.464877,118466938,9.987017,-0.03114948,0.02343767,-1.025067,-0.3526196,-0.0005882194,0.6628067,-2.544928,0.02097633,-1.106548,-1.106548,0
2726,2023-01-20 10:49:58.564818,118566881,9.989346,-0.4019341,0.02652411,-1.040928,-0.3226076,0.0001916181,0.662511,-0.9106523,0.00692678,-0.5358696,-0.5358696,0
2766,2023-01-20 10:49:58.664799,118666880,9.984892,-0.08944836,0.02524279,-1.041791,-0.060816,-0.0007966578,0.6624956,0.7771335,0.003080391,-0.2857208,-0.2857208,0
2807,2023-01-20 10:49:58.764826,118766934,9.988941,-0.0618705,0.02462538,-1.040982,0.08727244,-0.002524582,0.6625249,1.505642,0.001931287,-0.4464149,-0.4464149,0
2851,2023-01-20 10:49:58.864767,118866883,10.0021,-0.189371,0.02500046,-1.024983,0.07807721,-0.003461786,0.6628095,0.7085455,0.001680871,0.004386902,0.004386902,0
2890,2023-01-20 10:49:58.964753,118966868,10.00418,-0.02522038,0.02298388,-0.980163,0.01196007,-0.002829811,-0.01895592,-1.041602,0.0006268284,-1.332951,-1.332951,0
2929,2023-01-20 10:49:59.064830,119066927,9.996778,0.5126457,0.01953588,-0.98285,0.5835824,-0.006180642,0.06489351,-2.372611,0.001125033,-0.8211136,-0.8211136,0
2968,2023-01-20 10:49:59.164810,119166880,10.0293,-0.6951453,0.03114074,-0.9451506,-1.581273,0.01029602,-0.03923957,-4.706448,-0.001376636,0.05989075,0.05989075,0
3009,2023-01-20 10:49:59.264822,119266884,9.964801,0.5638462,0.0242813,-0.9604904,-0.3275181,0.000354027,0.05767969,-3.824386,0.0001543708,5.822277,5.822277,0
3048,2023-01-20 10:49:59.364839,119366902,9.986891,0.04963804,0.02673761,-0.9538955,0.074643,-0.004292632,-0.003131449,-1.376969,0.0004897217,5.7477,5.7477,0
3088,2023-01-20 10:49:59.464847,119466914,9.985849,0.2434253,0.0256925,-0.9439753,0.09647603,-0.003736862,-0.1075366,2.694718,-0.0003529133,-1.163387,-1.163387,0
3129,2023-01-20 10:49:59.564821,119566892,10.0225,-0.9213068,0.0351575,-0.9290947,-0.3025811,-0.0009792247,0.006775505,-1.354059,-0.000130054,-5.04818,-5.04818,0
3168,2023-01-20 10:49:59.664807,119666891,10.01088,-0.09613574,0.02640525,-0.9475327,0.2148595,-0.006294834,0.00526695,0.3678754,0.0004671985,2.874947,2.874947,0
3209,2023-01-20 10:49:59.764829,119766932,9.999794,0.1950608,0.0245271,-0.9640944,0.8585485,-0.008050358,-0.1203884,4.273489,-0.000588308,-2.892399,-2.892399,0
3248,2023-01-20 10:49:59.864769,119866881,9.995682,0.4119207,0.02392524,-0.923687,-0.7373232,0.004912604,-0.0130384,-1.026262,-0.0009119452,-6.260777,-6.260777,0
3287,2023-01-20 10:49:59.964756,119966873,10.0317,-0.1403518,0.02854536,-0.9150771,-0.3071285,-0.001225331,0.03939012,-2.695406,0.0002269965,3.524017,3.524017,0
