LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
376,2023-01-20 10:49:56.259262,116248276,1506,1505,1057,1956,1505,1505,1055,1054,0,0,0,0,0,0
966,2023-01-20 10:49:56.350249,116348311,1505,1505,1058,1956,1505,1505,1054,1055,0,0,0,0,0,0
1124,2023-01-20 10:49:56.452198,116454740,1505,1505,1058,1955,1506,1505,1054,1054,0,0,0,0,0,0
1343,2023-01-20 10:49:56.564893,116566426,1506,1505,1056,1956,1505,1505,1054,1055,0,0,0,0,0,0
1563,2023-01-20 10:49:56.665758,116667224,1505,1505,1057,1956,1505,1505,1054,1055,0,0,0,0,0,0
1883,2023-01-20 10:49:56.765305,116767146,1505,1505,1056,1954,1506,1505,1054,1054,0,0,0,0,0,0
1928,2023-01-20 10:49:56.865190,116867161,1506,1505,1056,1953,1505,1505,1055,1054,0,0,0,0,0,0
1976,2023-01-20 10:49:56.965165,116967137,1505,1505,1056,1950,1505,1505,1054,1054,0,0,0,0,0,0
2026,2023-01-20 10:49:57.065190,117067149,1505,1505,1054,1937,1505,1506,1054,1054,0,0,0,0,0,0
2072,2023-01-20 10:49:57.165286,117167224,1505,1506,1054,1956,1505,1505,1055,1054,0,0,0,0,0,0
2122,2023-01-20 10:49:57.272393,117267135,1505,1505,1054,1957,1505,1505,1054,1054,0,0,0,0,0,0
2181,2023-01-20 10:49:57.383504,117367213,1505,1505,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
2237,2023-01-20 10:49:57.477423,117467232,1505,1506,1054,1956,1505,1505,1055,1054,0,0,0,0,0,0
2296,2023-01-20 10:49:57.568251,117567138,1505,1505,1054,1957,1505,1505,1054,1054,0,0,0,0,0,0
2352,2023-01-20 10:49:57.665146,117667220,1505,1505,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
2410,2023-01-20 10:49:57.765168,117767264,1505,1506,1054,1956,1505,1505,1055,1055,0,0,0,0,0,0
2453,2023-01-20 10:49:57.865085,117867209,1505,1505,1055,1956,1505,1505,1054,1054,0,0,0,0,0,0
2498,2023-01-20 10:49:57.964981,117967134,1505,1505,1054,1956,1506,1505,1054,1054,0,0,0,0,0,0
2537,2023-01-20 10:49:58.065117,118067227,1506,1505,1054,1956,1505,1505,1054,1055,0,0,0,0,0,0
2579,2023-01-20 10:49:58.165197,118167225,1505,1505,1055,1956,1505,1505,1054,1055,0,0,0,0,0,0
2619,2023-01-20 10:49:58.265123,118267142,1505,1505,1054,1956,1506,1505,1054,1054,0,0,0,0,0,0
2659,2023-01-20 10:49:58.365156,118367205,1506,1505,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
2698,2023-01-20 10:49:58.465183,118467244,1505,1506,1054,1956,1505,1505,1054,1055,0,0,0,0,0,0
2739,2023-01-20 10:49:58.565078,118567141,1505,1505,1054,1957,1505,1505,1054,1054,0,0,0,0,0,0
2781,2023-01-20 10:49:58.665136,118667217,1505,1505,1054,1956,1505,1506,1054,1054,0,0,0,0,0,0
2820,2023-01-20 10:49:58.765147,118767255,1505,1506,1066,1919,1505,1505,1054,1055,0,0,0,0,0,0
2864,2023-01-20 10:49:58.865096,118867212,1505,1505,1325,1632,1505,1506,1054,1054,0,0,0,0,0,0
2903,2023-01-20 10:49:58.965020,118967135,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
2942,2023-01-20 10:49:59.065136,119067233,1505,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
2983,2023-01-20 10:49:59.165152,119167222,1506,1505,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
3022,2023-01-20 10:49:59.265070,119267132,1505,1505,1506,1505,1505,1505,1054,1055,0,0,0,0,0,0
3061,2023-01-20 10:49:59.365143,119367206,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
3101,2023-01-20 10:49:59.465161,119467228,1505,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
3142,2023-01-20 10:49:59.565072,119567143,1506,1505,1505,1505,1505,1505,1054,1055,0,0,0,0,0,0
3183,2023-01-20 10:49:59.665136,119667220,1505,1505,1506,1505,1505,1505,1054,1055,0,0,0,0,0,0
3222,2023-01-20 10:49:59.765152,119767255,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
3261,2023-01-20 10:49:59.865087,119867199,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
3300,2023-01-20 10:49:59.965023,119967140,1506,1505,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
3339,2023-01-20 10:50:00.065116,120067217,1505,1506,1505,1505,1505,1505,1055,1054,0,0,0,0,0,0
3381,2023-01-20 10:50:00.165148,120167222,1505,1505,1505,1506,1505,1505,1054,1054,0,0,0,0,0,0
3420,2023-01-20 10:50:00.265063,120267133,1505,1505,1505,1505,1506,1505,1054,1054,0,0,0,0,0,0
3459,2023-01-20 10:50:00.365079,120367157,1505,1505,1505,1505,1505,1506,1054,1054,0,0,0,0,0,0
