LineNo,UTC_Approx,TimeUS,C15,C16,C17,C18
378,2023-01-20 10:49:56.259293,116248310,0,0,0,0
968,2023-01-20 10:49:56.350283,116348349,0,0,0,0
1126,2023-01-20 10:49:56.452286,116454828,0,0,0,0
1345,2023-01-20 10:49:56.564927,116566460,0,0,0,0
1565,2023-01-20 10:49:56.665792,116667259,0,0,0,0
1885,2023-01-20 10:49:56.765390,116767231,0,0,0,0
1930,2023-01-20 10:49:56.865274,116867245,0,0,0,0
1978,2023-01-20 10:49:56.965248,116967220,0,0,0,0
2028,2023-01-20 10:49:57.065288,117067247,0,0,0,0
2074,2023-01-20 10:49:57.165320,117167258,0,0,0,0
2124,2023-01-20 10:49:57.272484,117267217,0,0,0,0
2183,2023-01-20 10:49:57.383545,117367250,0,0,0,0
2239,2023-01-20 10:49:57.477454,117467266,0,0,0,0
2298,2023-01-20 10:49:57.568326,117567221,0,0,0,0
2354,2023-01-20 10:49:57.665179,117667253,0,0,0,0
2412,2023-01-20 10:49:57.765202,117767298,0,0,0,0
2455,2023-01-20 10:49:57.865119,117867243,0,0,0,0
2500,2023-01-20 10:49:57.965069,117967222,0,0,0,0
2539,2023-01-20 10:49:58.065155,118067265,0,0,0,0
2581,2023-01-20 10:49:58.165230,118167258,0,0,0,0
2621,2023-01-20 10:49:58.265206,118267225,0,0,0,0
2661,2023-01-20 10:49:58.365196,118367245,0,0,0,0
2700,2023-01-20 10:49:58.465217,118467278,0,0,0,0
2741,2023-01-20 10:49:58.565161,118567224,0,0,0,0
2783,2023-01-20 10:49:58.665170,118667251,0,0,0,0
2822,2023-01-20 10:49:58.765184,118767292,0,0,0,0
2866,2023-01-20 10:49:58.865129,118867245,0,0,0,0
2905,2023-01-20 10:49:58.965107,118967222,0,0,0,0
2944,2023-01-20 10:49:59.065173,119067270,0,0,0,0
2985,2023-01-20 10:49:59.165186,119167256,0,0,0,0
3024,2023-01-20 10:49:59.265157,119267219,0,0,0,0
3063,2023-01-20 10:49:59.365179,119367242,0,0,0,0
3103,2023-01-20 10:49:59.465194,119467261,0,0,0,0
3144,2023-01-20 10:49:59.565155,119567226,0,0,0,0
3185,2023-01-20 10:49:59.665182,119667266,0,0,0,0
3224,2023-01-20 10:49:59.765189,119767292,0,0,0,0
3263,2023-01-20 10:49:59.865121,119867233,0,0,0,0
3302,2023-01-20 10:49:59.965110,119967227,0,0,0,0
3341,2023-01-20 10:50:00.065150,120067251,0,0,0,0
3383,2023-01-20 10:50:00.165182,120167256,0,0,0,0
3422,2023-01-20 10:50:00.265158,120267228,0,0,0,0
3461,2023-01-20 10:50:00.365165,120367243,0,0,0,0
3501,2023-01-20 10:50:00.465151,120467227,0,0,0,0
3541,2023-01-20 10:50:00.565161,120567231,0,0,0,0
3584,2023-01-20 10:50:00.665171,120667246,0,0,0,0
3623,2023-01-20 10:50:00.765198,120767285,0,0,0,0
3664,2023-01-20 10:50:00.865132,120867235,0,0,0,0
3701,2023-01-20 10:50:00.965098,120967220,0,0,0,0
3733,2023-01-20 10:50:01.065167,121067291,0,0,0,0
3766,2023-01-20 10:50:01.165184,121167301,0,0,0,0
3798,2023-01-20 10:50:01.265127,121267277,0,0,0,0
3829,2023-01-20 10:50:01.365143,121367347,0,0,0,0
3861,2023-01-20 10:50:01.465083,121467272,0,0,0,0
3894,2023-01-20 10:50:01.565139,121567277,0,0,0,0
3929,2023-01-20 10:50:01.665229,121667348,0,0,0,0
3960,2023-01-20 10:50:01.765471,121767588,0,0,0,0
3993,2023-01-20 10:50:01.865421,121867586,0,0,0,0
4025,2023-01-20 10:50:01.965379,121967620,0,0,0,0
4057,2023-01-20 10:50:02.065362,122067586,0,0,0,0
4090,2023-01-20 10:50:02.165449,122167607,0,0,0,0
4122,2023-01-20 10:50:02.265505,122267641,0,0,0,0
4153,2023-01-20 10:50:02.365435,122367573,0,0,0,0
4185,2023-01-20 10:50:02.465175,122467574,0,0,0,0
4218,2023-01-20 10:50:02.564561,122567357,0,0,0,0
4254,2023-01-20 10:50:02.664403,122667316,0,0,0,0
4284,2023-01-20 10:50:02.764432,122767308,0,0,0,0
4319,2023-01-20 10:50:02.864454,122867333,0,0,0,0
4349,2023-01-20 10:50:02.964387,122967291,0,0,0,0
4382,2023-01-20 10:50:03.064393,123067307,0,0,0,0
4414,2023-01-20 10:50:03.164479,123167395,0,0,0,0
4447,2023-01-20 10:50:03.264369,123267283,0,0,0,0
4477,2023-01-20 10:50:03.364394,123367302,0,0,0,0
4510,2023-01-20 10:50:03.464404,123467301,0,0,0,0
4542,2023-01-20 10:50:03.564395,123567279,0,0,0,0
4578,2023-01-20 10:50:03.664438,123667319,0,0,0,0
4608,2023-01-20 10:50:03.764434,123767319,0,0,0,0
4642,2023-01-20 10:50:03.864623,123867308,0,0,0,0
4674,2023-01-20 10:50:03.964961,123967335,0,0,0,0
4707,2023-01-20 10:50:04.065076,124067297,0,0,0,0
4739,2023-01-20 10:50:04.165173,124167326,0,0,0,0
4772,2023-01-20 10:50:04.265215,124267348,0,0,0,0
4802,2023-01-20 10:50:04.365175,124367312,0,0,0,0
4835,2023-01-20 10:50:04.465119,124467284,0,0,0,0
4868,2023-01-20 10:50:04.565092,124567297,0,0,0,0
4904,2023-01-20 10:50:04.665124,124667315,0,0,0,0
4934,2023-01-20 10:50:04.765166,124767315,0,0,0,0
4968,2023-01-20 10:50:04.865179,124867344,0,0,0,0
4998,2023-01-20 10:50:04.965072,124967284,0,0,0,0
5031,2023-01-20 10:50:05.065119,125067316,0,0,0,0
5063,2023-01-20 10:50:05.165169,125167318,0,0,0,0
5096,2023-01-20 10:50:05.265151,125267286,0,0,0,0
5126,2023-01-20 10:50:05.365482,125367622,0,0,0,0
5159,2023-01-20 10:50:05.465155,125467288,0,0,0,0
5191,2023-01-20 10:50:05.565183,125567302,0,0,0,0
5228,2023-01-20 10:50:05.665202,125667314,0,0,0,0
5258,2023-01-20 10:50:05.765488,125767598,0,0,0,0
5292,2023-01-20 10:50:05.859547,125867599,0,0,0,0
5322,2023-01-20 10:50:05.950443,125967567,0,0,0,0
5355,2023-01-20 10:50:06.045545,126067599,0,0,0,0
5387,2023-01-20 10:50:06.145303,126167321,0,0,0,0
5420,2023-01-20 10:50:06.244739,126267296,0,0,0,0
5452,2023-01-20 10:50:06.343759,126367555,0,0,0,0
5485,2023-01-20 10:50:06.442788,126467292,0,0,0,0
5517,2023-01-20 10:50:06.542780,126567296,0,0,0,0
5553,2023-01-20 10:50:06.642811,126667362,0,0,0,0
5583,2023-01-20 10:50:06.742692,126767307,0,0,0,0
5617,2023-01-20 10:50:06.842617,126867307,0,0,0,0
5647,2023-01-20 10:50:06.942514,126967294,0,0,0,0
5680,2023-01-20 10:50:07.042520,127067359,0,0,0,0
5712,2023-01-20 10:50:07.142450,127167307,0,0,0,0
5745,2023-01-20 10:50:07.242449,127267289,0,0,0,0
5775,2023-01-20 10:50:07.342798,127367575,0,0,0,0
5808,2023-01-20 10:50:07.442499,127467277,0,0,0,0
5840,2023-01-20 10:50:07.542420,127567284,0,0,0,0
5876,2023-01-20 10:50:07.647187,127667321,0,0,0,0
5906,2023-01-20 10:50:07.758432,127767295,0,0,0,0
5940,2023-01-20 10:50:07.856871,127867294,0,0,0,0
5972,2023-01-20 10:50:07.947659,127967296,0,0,0,0
6005,2023-01-20 10:50:08.042351,128067307,0,0,0,0
6037,2023-01-20 10:50:08.142390,128167364,0,0,0,0
6070,2023-01-20 10:50:08.242315,128267282,0,0,0,0
6100,2023-01-20 10:50:08.342650,128367575,0,0,0,0
6133,2023-01-20 10:50:08.442386,128467290,0,0,0,0
6165,2023-01-20 10:50:08.542382,128567292,0,0,0,0
6201,2023-01-20 10:50:08.642401,128667319,0,0,0,0
6231,2023-01-20 10:50:08.742365,128767291,0,0,0,0
6265,2023-01-20 10:50:08.842451,128867340,0,0,0,0
6298,2023-01-20 10:50:08.942494,128967285,0,0,0,0
6331,2023-01-20 10:50:09.042589,129067308,0,0,0,0
6363,2023-01-20 10:50:09.142628,129167308,0,0,0,0
6396,2023-01-20 10:50:09.242554,129267289,0,0,0,0
6426,2023-01-20 10:50:09.342657,129367572,0,0,0,0
6459,2023-01-20 10:50:09.442367,129467908,0,0,0,0
6491,2023-01-20 10:50:09.541213,129567974,0,0,0,0
6527,2023-01-20 10:50:09.640493,129667980,0,0,0,0
6557,2023-01-20 10:50:09.740469,129767957,0,0,0,0
6591,2023-01-20 10:50:09.840535,129868033,0,0,0,0
6622,2023-01-20 10:50:09.940452,129967972,0,0,0,0
6655,2023-01-20 10:50:10.040471,130067994,0,0,0,0
6687,2023-01-20 10:50:10.140565,130168063,0,0,0,0
6720,2023-01-20 10:50:10.240386,130267973,0,0,0,0
6750,2023-01-20 10:50:10.340221,130368067,0,0,0,0
6783,2023-01-20 10:50:10.439984,130467996,0,0,0,0
6815,2023-01-20 10:50:10.539976,130568015,0,0,0,0
6851,2023-01-20 10:50:10.639976,130668038,0,0,0,0
6881,2023-01-20 10:50:10.739925,130768005,0,0,0,0
6915,2023-01-20 10:50:10.839949,130868075,0,0,0,0
6945,2023-01-20 10:50:10.939806,130968021,0,0,0,0
6978,2023-01-20 10:50:11.039788,131068021,0,0,0,0
7010,2023-01-20 10:50:11.139948,131168095,0,0,0,0
7044,2023-01-20 10:50:11.239910,131268008,0,0,0,0
