LineNo,UTC_Approx,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
377,2023-01-20 10:49:56.259280,116248296,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
967,2023-01-20 10:49:56.350267,116348331,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1125,2023-01-20 10:49:56.452258,116454800,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1344,2023-01-20 10:49:56.564913,116566446,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1564,2023-01-20 10:49:56.665778,116667244,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1884,2023-01-20 10:49:56.765376,116767217,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1929,2023-01-20 10:49:56.865260,116867231,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
1977,2023-01-20 10:49:56.965234,116967206,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2027,2023-01-20 10:49:57.065270,117067229,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2073,2023-01-20 10:49:57.165306,117167244,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2123,2023-01-20 10:49:57.272468,117267203,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2182,2023-01-20 10:49:57.383528,117367235,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2238,2023-01-20 10:49:57.477440,117467251,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2297,2023-01-20 10:49:57.568269,117567158,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2353,2023-01-20 10:49:57.665164,117667239,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2411,2023-01-20 10:49:57.765188,117767284,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2454,2023-01-20 10:49:57.865105,117867229,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2499,2023-01-20 10:49:57.965004,117967158,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2538,2023-01-20 10:49:58.065141,118067251,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0
2580,2023-01-20 10:49:58.165216,118167244,1006,1006,1006,1006,1000,0,0,0,0,0,0,0,0,0
2620,2023-01-20 10:49:58.265192,118267211,1036,1036,1036,1036,1000,0,0,0,0,0,0,0,0,0
2660,2023-01-20 10:49:58.365182,118367231,1066,1066,1066,1066,1000,0,0,0,0,0,0,0,0,0
2699,2023-01-20 10:49:58.465203,118467264,1096,1096,1096,1096,1000,0,0,0,0,0,0,0,0,0
2740,2023-01-20 10:49:58.565147,118567210,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2782,2023-01-20 10:49:58.665156,118667237,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2821,2023-01-20 10:49:58.765166,118767274,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2865,2023-01-20 10:49:58.865115,118867231,1100,1100,1100,1100,1000,0,0,0,0,0,0,0,0,0
2904,2023-01-20 10:49:58.965039,118967154,1122,1122,1122,1122,1000,0,0,0,0,0,0,0,0,0
2943,2023-01-20 10:49:59.065155,119067252,1162,1150,1208,1193,1000,0,0,0,0,0,0,0,0,0
2984,2023-01-20 10:49:59.165172,119167242,1150,1171,1216,1239,1000,0,0,0,0,0,0,0,0,0
3023,2023-01-20 10:49:59.265089,119267151,1150,1151,1206,1206,1000,0,0,0,0,0,0,0,0,0
3062,2023-01-20 10:49:59.365162,119367225,1159,1150,1219,1209,1000,0,0,0,0,0,0,0,0,0
3102,2023-01-20 10:49:59.465180,119467247,1160,1150,1216,1209,1000,0,0,0,0,0,0,0,0,0
3143,2023-01-20 10:49:59.565141,119567212,1152,1150,1229,1227,1000,0,0,0,0,0,0,0,0,0
3184,2023-01-20 10:49:59.665159,119667243,1164,1150,1222,1209,1000,0,0,0,0,0,0,0,0,0
3223,2023-01-20 10:49:59.765174,119767277,1171,1150,1222,1207,1000,0,0,0,0,0,0,0,0,0
3262,2023-01-20 10:49:59.865107,119867219,1150,1160,1203,1215,1000,0,0,0,0,0,0,0,0,0
3301,2023-01-20 10:49:59.965096,119967213,1152,1150,1216,1214,1000,0,0,0,0,0,0,0,0,0
3340,2023-01-20 10:50:00.065136,120067237,1165,1150,1221,1209,1000,0,0,0,0,0,0,0,0,0
3382,2023-01-20 10:50:00.165167,120167241,1150,1155,1217,1223,1000,0,0,0,0,0,0,0,0,0
3421,2023-01-20 10:50:00.265082,120267152,1150,1154,1209,1209,1000,0,0,0,0,0,0,0,0,0
