LineNo,UTC_Approx,TimeUS,Active,NumPts,MaxPts,Action,N,E,D
5198,2023-01-20 10:50:05.589743,125591859,1,2,300,0,-0.7795408,-0.3300708,-2.73588
5947,2023-01-20 10:50:07.904126,127919345,1,3,300,0,-2.743816,-0.9744787,-3.702208
6274,2023-01-20 10:50:08.892003,128916844,1,4,300,0,-4.556384,-1.957788,-3.886178
6598,2023-01-20 10:50:09.887134,129914642,1,5,300,0,-6.502345,-3.255633,-4.176744
7020,2023-01-20 10:50:11.216910,131245006,1,6,300,0,-8.34493,-4.508969,-4.350751
10905,2023-01-20 10:50:23.189793,143237570,1,7,300,0,-8.248678,-2.419727,-4.422604
11133,2023-01-20 10:50:23.857150,143904988,1,8,300,0,-7.733704,-0.4220264,-4.653996
11358,2023-01-20 10:50:24.522162,144569945,1,9,300,0,-7.169256,2.461121,-5.129726
11558,2023-01-20 10:50:25.189713,145237552,1,10,300,0,-6.171421,5.894673,-5.661579
11785,2023-01-20 10:50:25.857193,145905053,1,11,300,0,-5.525533,8.730364,-5.689269
12432,2023-01-20 10:50:27.837427,147905017,1,12,300,0,-4.910008,10.57352,-6.226653
12856,2023-01-20 10:50:29.169777,149237527,1,13,300,0,-4.567031,10.29473,-8.561496
13305,2023-01-20 10:50:30.502153,150569977,1,14,300,0,-4.683353,9.967007,-11.10755
13730,2023-01-20 10:50:31.837170,151905016,1,15,300,0,-4.945648,9.73656,-13.50264
15678,2023-01-20 10:50:37.837221,157904979,1,16,300,0,-5.070745,12.08224,-14.77937
15901,2023-01-20 10:50:38.482374,158569985,1,17,300,0,-4.814022,14.22656,-15.05226
16102,2023-01-20 10:50:39.154392,159237525,1,18,300,0,-4.009363,17.18841,-15.40062
16328,2023-01-20 10:50:39.817178,159905039,1,19,300,0,-2.748762,20.88837,-15.83119
16427,2023-01-20 10:50:40.149743,160237513,1,20,300,0,-2.04519,22.91511,-16.04446
16553,2023-01-20 10:50:40.482120,160569954,1,21,300,0,-1.333678,25.02756,-16.27726
16654,2023-01-20 10:50:40.817266,160905057,1,22,300,0,-0.7217829,27.2104,-16.52114
16753,2023-01-20 10:50:41.149705,161237486,1,23,300,0,-0.259524,29.34077,-16.77137
16879,2023-01-20 10:50:41.482177,161569950,1,24,300,0,0.2660875,31.47824,-16.98298
16980,2023-01-20 10:50:41.817273,161905026,1,25,300,0,0.8353573,33.68758,-17.18017
17079,2023-01-20 10:50:42.149725,162237500,1,26,300,0,1.398346,35.92541,-17.36287
17205,2023-01-20 10:50:42.482108,162569943,1,27,300,0,1.988638,38.17153,-17.53167
17306,2023-01-20 10:50:42.817204,162905034,1,28,300,0,2.601046,40.46585,-17.69195
17404,2023-01-20 10:50:43.149699,163237480,1,29,300,0,3.233111,42.71447,-17.85765
17532,2023-01-20 10:50:43.482161,163569938,1,30,300,0,3.824882,44.91293,-18.02785
17633,2023-01-20 10:50:43.817183,163905008,1,31,300,0,4.326529,47.12446,-18.2174
17733,2023-01-20 10:50:44.149705,164237480,1,32,300,0,4.818771,49.27945,-18.50318
17861,2023-01-20 10:50:44.482184,164569932,1,33,300,0,5.280489,51.43576,-18.83871
17962,2023-01-20 10:50:44.817231,164905023,1,34,300,0,5.865298,53.63291,-19.1235
18060,2023-01-20 10:50:45.149722,165237486,1,35,300,0,6.480845,55.82756,-19.4059
18187,2023-01-20 10:50:45.482151,165569938,1,36,300,0,7.110412,58.06268,-19.65251
18288,2023-01-20 10:50:45.817265,165905020,1,37,300,0,7.745614,60.36722,-19.81465
18386,2023-01-20 10:50:46.149687,166237509,1,38,300,0,8.378367,62.69994,-20.01823
18513,2023-01-20 10:50:46.482219,166569946,1,39,300,0,9.047628,65.02481,-20.22523
18614,2023-01-20 10:50:46.815641,166905015,1,40,300,0,9.651525,67.36189,-20.43977
18712,2023-01-20 10:50:47.129867,167237497,1,41,300,0,10.24971,69.6812,-20.65646
18839,2023-01-20 10:50:47.462362,167569961,1,42,300,0,10.92356,72.02498,-20.85221
18938,2023-01-20 10:50:47.797397,167904958,1,43,300,0,11.58538,74.36514,-20.99283
19038,2023-01-20 10:50:48.129865,168237505,1,44,300,0,12.21994,76.68793,-21.12002
19164,2023-01-20 10:50:48.462246,168569960,1,45,300,0,12.85466,79.00293,-21.26974
19264,2023-01-20 10:50:48.797214,168905013,1,46,300,0,13.32725,81.26318,-21.43728
19367,2023-01-20 10:50:49.129672,169237505,1,47,300,0,13.82726,83.47532,-21.56671
19493,2023-01-20 10:50:49.462268,169569998,1,48,300,0,14.35904,85.70214,-21.77635
19592,2023-01-20 10:50:49.797218,169904961,1,49,300,0,14.8814,87.91496,-22.08876
19693,2023-01-20 10:50:50.129641,170237497,1,50,300,0,15.35547,90.13916,-22.44438
19694,2023-01-20 10:50:50.133770,170241626,1,50,300,2,-4.556384,-1.957788,-3.886178
19695,2023-01-20 10:50:50.133784,170241640,1,50,300,2,-6.502345,-3.255633,-4.176744
19696,2023-01-20 10:50:50.133797,170241653,1,50,300,2,-8.248678,-2.419727,-4.422604
19697,2023-01-20 10:50:50.133810,170241666,1,50,300,2,-7.733704,-0.4220264,-4.653996
19698,2023-01-20 10:50:50.133824,170241680,1,50,300,2,-7.169256,2.461121,-5.129726
19699,2023-01-20 10:50:50.133837,170241693,1,50,300,2,-6.171421,5.894673,-5.661579
19700,2023-01-20 10:50:50.133850,170241706,1,50,300,2,-5.525533,8.730364,-5.689269
19701,2023-01-20 10:50:50.133866,170241722,1,50,300,2,-4.567031,10.29473,-8.561496
19702,2023-01-20 10:50:50.133884,170241740,1,50,300,2,-4.683353,9.967007,-11.10755
19703,2023-01-20 10:50:50.133918,170241774,1,50,300,2,-4.814022,14.22656,-15.05226
19704,2023-01-20 10:50:50.133974,170241830,1,50,300,2,-4.009363,17.18841,-15.40062
19705,2023-01-20 10:50:50.133988,170241844,1,50,300,2,-2.748762,20.88837,-15.83119
19706,2023-01-20 10:50:50.134825,170242681,1,50,300,2,-2.04519,22.91511,-16.04446
19707,2023-01-20 10:50:50.134838,170242694,1,50,300,2,-1.333678,25.02756,-16.27726
19708,2023-01-20 10:50:50.134851,170242707,1,50,300,2,-0.7217829,27.2104,-16.52114
19709,2023-01-20 10:50:50.134865,170242721,1,50,300,2,-0.259524,29.34077,-16.77137
19710,2023-01-20 10:50:50.134878,170242734,1,50,300,2,0.2660875,31.47824,-16.98298
19711,2023-01-20 10:50:50.134891,170242747,1,50,300,2,0.8353573,33.68758,-17.18017
19712,2023-01-20 10:50:50.134964,170242820,1,50,300,2,1.398346,35.92541,-17.36287
19713,2023-01-20 10:50:50.134977,170242833,1,50,300,2,1.988638,38.17153,-17.53167
19714,2023-01-20 10:50:50.134993,170242849,1,50,300,2,2.601046,40.46585,-17.69195
19715,2023-01-20 10:50:50.135015,170242871,1,50,300,2,3.233111,42.71447,-17.85765
19716,2023-01-20 10:50:50.135028,170242884,1,50,300,2,3.824882,44.91293,-18.02785
19717,2023-01-20 10:50:50.135041,170242897,1,50,300,2,4.326529,47.12446,-18.2174
19718,2023-01-20 10:50:50.135055,170242911,1,50,300,2,4.818771,49.27945,-18.50318
19719,2023-01-20 10:50:50.135071,170242927,1,50,300,2,5.280489,51.43576,-18.83871
19720,2023-01-20 10:50:50.135083,170242940,1,50,300,2,5.865298,53.63291,-19.1235
19721,2023-01-20 10:50:50.135097,170242953,1,50,300,2,6.480845,55.82756,-19.4059
19722,2023-01-20 10:50:50.135111,170242967,1,50,300,2,7.110412,58.06268,-19.65251
19723,2023-01-20 10:50:50.135123,170242980,1,50,300,2,7.745614,60.36722,-19.81465
19724,2023-01-20 10:50:50.135137,170242993,1,50,300,2,8.378367,62.69994,-20.01823
19725,2023-01-20 10:50:50.135150,170243007,1,50,300,2,9.047628,65.02481,-20.22523
19726,2023-01-20 10:50:50.135167,170243023,1,50,300,2,9.651525,67.36189,-20.43977
19727,2023-01-20 10:50:50.135180,170243036,1,50,300,2,10.24971,69.6812,-20.65646
19728,2023-01-20 10:50:50.135193,170243049,1,50,300,2,10.92356,72.02498,-20.85221
19729,2023-01-20 10:50:50.135206,170243063,1,50,300,2,11.58538,74.36514,-20.99283
19730,2023-01-20 10:50:50.135220,170243076,1,50,300,2,12.21994,76.68793,-21.12002
19731,2023-01-20 10:50:50.135232,170243089,1,50,300,2,12.85466,79.00293,-21.26974
19732,2023-01-20 10:50:50.135248,170243105,1,50,300,2,13.32725,81.26318,-21.43728
19733,2023-01-20 10:50:50.135262,170243119,1,50,300,2,13.82726,83.47532,-21.56671
19734,2023-01-20 10:50:50.135276,170243132,1,50,300,2,14.35904,85.70214,-21.77635
19735,2023-01-20 10:50:50.135293,170243149,1,50,300,2,14.8814,87.91496,-22.08876
19861,2023-01-20 10:50:50.462195,170569960,1,9,300,0,15.92797,92.35486,-22.77747
19960,2023-01-20 10:50:50.797278,170905023,1,10,300,0,16.53819,94.57011,-23.06985
20061,2023-01-20 10:50:51.129690,171237485,1,11,300,0,17.18444,96.77983,-23.3339
20187,2023-01-20 10:50:51.462211,171569991,1,12,300,0,17.76936,98.99675,-23.5866
20286,2023-01-20 10:50:51.797248,171904978,1,13,300,0,18.2966,101.1908,-23.84896
20387,2023-01-20 10:50:52.129675,172237537,1,14,300,0,19.01915,103.4003,-24.09408
20513,2023-01-20 10:50:52.462165,172569931,1,15,300,0,19.73035,105.6411,-24.33887
