LineNo,UTC_Approx,TimeUS,Id,Pri,Total,Free,Name
1859,2023-01-20 10:49:56.743806,116745566,1,1,352,144,idle
1906,2023-01-20 10:49:56.843613,116845584,2,60,1104,768,UART_RX
1950,2023-01-20 10:49:56.943603,116945575,3,60,656,400,OTG1
2001,2023-01-20 10:49:57.043960,117045923,4,183,1360,1016,monitor
2047,2023-01-20 10:49:57.145001,117146943,5,181,1872,1488,timer
2096,2023-01-20 10:49:57.250003,117246969,6,181,848,592,rcout
2154,2023-01-20 10:49:57.361038,117346978,7,177,1360,912,rcin
2213,2023-01-20 10:49:57.460264,117448358,8,58,2384,1456,io
2271,2023-01-20 10:49:57.552151,117549429,9,59,1360,824,storage
2326,2023-01-20 10:49:57.647407,117649477,10,60,656,248,UART3
2382,2023-01-20 10:49:57.748451,117750544,11,60,656,264,UART4
2431,2023-01-20 10:49:57.848450,117850569,12,60,656,264,UART5
2473,2023-01-20 10:49:57.949759,117951908,13,176,1360,856,I2C0
2516,2023-01-20 10:49:58.049825,118051948,14,59,1616,896,OSD
2555,2023-01-20 10:49:58.150993,118153032,15,59,1912,392,log_io
2598,2023-01-20 10:49:58.252881,118254896,16,181,1360,720,SPI1
2636,2023-01-20 10:49:58.352432,118354478,255,255,1536,1264,ISR
2677,2023-01-20 10:49:58.452404,118454465,0,182,7168,5368,ArduCopter
2715,2023-01-20 10:49:58.553465,118555528,1,1,352,144,idle
2758,2023-01-20 10:49:58.655208,118657287,2,60,1104,768,UART_RX
2799,2023-01-20 10:49:58.755197,118757302,3,60,656,400,OTG1
2841,2023-01-20 10:49:58.856214,118858330,4,183,1360,1016,monitor
2881,2023-01-20 10:49:58.957365,118959480,5,181,1872,1488,timer
2921,2023-01-20 10:49:59.057361,119059460,6,181,848,592,rcout
2959,2023-01-20 10:49:59.158405,119160477,7,177,1360,912,rcin
3002,2023-01-20 10:49:59.258424,119260486,8,58,2384,1456,io
3040,2023-01-20 10:49:59.358479,119360542,9,59,1360,824,storage
3083,2023-01-20 10:49:59.460004,119462070,10,60,656,248,UART3
3123,2023-01-20 10:49:59.561256,119563327,11,60,656,264,UART4
3165,2023-01-20 10:49:59.662554,119664638,12,60,656,264,UART5
3207,2023-01-20 10:49:59.763634,119765736,13,176,1360,856,I2C0
3269,2023-01-20 10:49:59.865322,119867434,14,59,1616,896,OSD
3308,2023-01-20 10:49:59.965341,119967458,15,59,1912,392,log_io
3348,2023-01-20 10:50:00.068835,120070935,16,181,1360,720,SPI1
3389,2023-01-20 10:50:00.170152,120172225,255,255,1536,1264,ISR
3428,2023-01-20 10:50:00.270824,120272895,0,182,7168,5368,ArduCopter
3467,2023-01-20 10:50:00.371190,120373269,1,1,352,144,idle
3507,2023-01-20 10:50:00.471037,120473113,2,60,1104,768,UART_RX
3548,2023-01-20 10:50:00.572458,120574527,3,60,656,400,OTG1
3590,2023-01-20 10:50:00.673095,120675171,4,183,1360,1016,monitor
3630,2023-01-20 10:50:00.774858,120776946,5,181,1872,1488,timer
3670,2023-01-20 10:50:00.877614,120879720,6,181,848,592,rcout
3707,2023-01-20 10:50:00.978426,120980550,7,177,1360,912,rcin
3739,2023-01-20 10:50:01.080236,121082359,8,58,2384,1456,io
3772,2023-01-20 10:50:01.180278,121182394,9,59,1360,824,storage
3804,2023-01-20 10:50:01.280222,121282380,10,60,656,248,UART3
3835,2023-01-20 10:50:01.381241,121383454,11,60,656,264,UART4
3868,2023-01-20 10:50:01.482414,121484594,12,60,656,264,UART5
3900,2023-01-20 10:50:01.582453,121584582,13,176,1360,856,I2C0
3936,2023-01-20 10:50:01.683559,121685677,14,59,1616,896,OSD
3966,2023-01-20 10:50:01.784889,121787005,15,59,1912,392,log_io
4000,2023-01-20 10:50:01.884859,121887039,16,181,1360,720,SPI1
4031,2023-01-20 10:50:01.984768,121987024,255,255,1536,1264,ISR
4064,2023-01-20 10:50:02.085977,122088187,0,182,7168,5368,ArduCopter
4096,2023-01-20 10:50:02.187372,122189515,1,1,352,144,idle
4129,2023-01-20 10:50:02.288425,122290562,2,60,1104,768,UART_RX
4159,2023-01-20 10:50:02.388532,122390671,3,60,656,400,OTG1
4192,2023-01-20 10:50:02.489850,122492347,4,183,1360,1016,monitor
4225,2023-01-20 10:50:02.589198,122592092,5,181,1872,1488,timer
4261,2023-01-20 10:50:02.690126,122693030,6,181,848,592,rcout
4291,2023-01-20 10:50:02.790280,122793147,7,177,1360,912,rcin
4326,2023-01-20 10:50:02.891631,122894517,8,58,2384,1456,io
4356,2023-01-20 10:50:02.991733,122994644,9,59,1360,824,storage
4389,2023-01-20 10:50:03.092666,123095581,10,60,656,248,UART3
4421,2023-01-20 10:50:03.192745,123195662,11,60,656,264,UART4
4454,2023-01-20 10:50:03.294097,123297009,12,60,656,264,UART5
4484,2023-01-20 10:50:03.394209,123397115,13,176,1360,856,I2C0
4517,2023-01-20 10:50:03.495148,123498041,14,59,1616,896,OSD
4549,2023-01-20 10:50:03.595274,123598154,15,59,1912,392,log_io
4585,2023-01-20 10:50:03.696689,123699571,16,181,1360,720,SPI1
4615,2023-01-20 10:50:03.796662,123799548,255,255,1536,1264,ISR
4651,2023-01-20 10:50:03.907270,123909823,0,182,7168,5368,ArduCopter
4684,2023-01-20 10:50:04.011145,124013402,1,1,352,144,idle
4714,2023-01-20 10:50:04.111423,124113613,2,60,1104,768,UART_RX
4749,2023-01-20 10:50:04.212445,124214576,3,60,656,400,OTG1
