LineNo,UTC_Approx,TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded,ROfs
1314,2023-01-20 10:49:56.560038,116561615,2,39.8043837,32.3788026,100,734.2518,0.02451271,0,504,-8.45717
2278,2023-01-20 10:49:57.563612,117562035,2,39.8043842,32.3788018,100,734.2562,0.1094432,0,504,-8.45717
2720,2023-01-20 10:49:58.559956,118562019,2,39.8043847,32.3788012,100,734.2599,0.2002259,0,504,-8.45717
3122,2023-01-20 10:49:59.559945,119562015,2,39.8043852,32.3788008,100,734.2626,0.2693891,0,504,-8.45717
3521,2023-01-20 10:50:00.559948,120562018,2,39.8043855,32.3788012,100,734.2614,0.2762502,0,504,-8.45717
3874,2023-01-20 10:50:01.559938,121562079,2,39.8043855,32.3788017,100,734.259,0.2729892,0,504,-8.45717
4198,2023-01-20 10:50:02.559312,122562087,2,39.8043854,32.3788027,100,734.2545,0.5200701,0,504,-8.45717
4523,2023-01-20 10:50:03.559206,123562091,2,39.8043839,32.3788045,100,734.2438,0.9472257,0,504,-8.45717
4848,2023-01-20 10:50:04.560221,124562424,2,39.8043847,32.3788029,100,734.2523,1.41041,0,504,-8.45717
5172,2023-01-20 10:50:05.559967,125562087,2,39.8043843,32.3788031,100,734.2509,2.074492,0,504,-8.45717
5498,2023-01-20 10:50:06.537583,126562099,2,39.804381,32.378803,100,734.245,2.672981,0,504,-8.45717
5821,2023-01-20 10:50:07.537501,127562361,2,39.8043715,32.3787984,100,734.2475,3.026649,0,504,-8.45717
6146,2023-01-20 10:50:08.537436,128562346,2,39.8043558,32.3787891,100,734.2603,3.155578,0,504,-8.45717
6472,2023-01-20 10:50:09.535698,129562391,2,39.8043389,32.3787739,100,734.2974,3.400996,0,504,-8.45717
6796,2023-01-20 10:50:10.534654,130562691,2,39.8043231,32.3787611,100,734.3265,3.575072,0,504,-8.45717
7119,2023-01-20 10:50:11.534578,131562679,2,39.8043143,32.3787522,100,734.3514,3.644946,0,504,-8.45717
7442,2023-01-20 10:50:12.534579,132562682,2,39.8043105,32.3787478,100,734.3647,3.739655,0,504,-8.45717
7766,2023-01-20 10:50:13.534599,133562690,2,39.8043098,32.378748,100,734.3626,3.711469,0,504,-8.45717
8091,2023-01-20 10:50:14.534581,134562679,2,39.8043095,32.3787495,100,734.3551,3.554209,0,504,-8.45717
8415,2023-01-20 10:50:15.534587,135562687,2,39.8043091,32.3787498,100,734.3529,3.559101,0,504,-8.45717
8738,2023-01-20 10:50:16.534565,136562693,2,39.8043082,32.3787508,100,734.3469,3.564213,0,504,-8.45717
9061,2023-01-20 10:50:17.534643,137562730,2,39.8043082,32.3787499,100,734.351,3.524076,0,504,-8.45717
9385,2023-01-20 10:50:18.522647,138562690,2,39.8043092,32.3787502,100,734.3514,3.564563,0,504,-8.45717
9710,2023-01-20 10:50:19.514882,139562660,2,39.8043105,32.3787516,100,734.3474,3.587762,0,504,-8.45717
