LineNo,UTC_Approx,TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt,config
2842,2023-01-20 10:49:58.859810,118861926,0,98,6,1,0,0
4648,2023-01-20 10:50:03.879247,123881887,0,98,5,1,0,0
6271,2023-01-20 10:50:08.860028,128884900,0,98,6,1,0,0
7893,2023-01-20 10:50:13.879503,133907663,0,98,7,1,0,0
9511,2023-01-20 10:50:18.859922,138907609,0,99,4,1,0,0
11134,2023-01-20 10:50:23.880098,143927940,0,99,5,1,0,0
12758,2023-01-20 10:50:28.860272,148927955,0,99,8,1,0,0
14381,2023-01-20 10:50:33.879782,153947642,0,99,3,1,0,0
16005,2023-01-20 10:50:38.866597,158947665,0,92,5,1,0,0
17637,2023-01-20 10:50:43.859786,163947618,0,91,9,1,0,0
19275,2023-01-20 10:50:48.859783,168967612,0,98,4,1,0,0
20950,2023-01-20 10:50:53.859882,173967642,0,98,5,1,0,0
22606,2023-01-20 10:50:58.859599,178987662,0,98,5,1,0,0
24239,2023-01-20 10:51:03.859571,183987653,0,98,6,1,0,0
25923,2023-01-20 10:51:08.859782,189007627,0,98,4,1,0,0
27555,2023-01-20 10:51:13.859861,194007671,0,98,5,1,0,0
29190,2023-01-20 10:51:18.860124,199027957,0,98,4,1,0,0
30756,2023-01-20 10:51:23.879729,204047400,0,98,4,1,0,0
32423,2023-01-20 10:51:28.859834,209047661,0,98,6,1,0,0
33984,2023-01-20 10:51:33.879800,214067611,0,98,5,1,0,0
35576,2023-01-20 10:51:38.859842,219067475,0,97,5,1,0,0
37205,2023-01-20 10:51:43.879810,224087597,0,97,5,1,0,0
38822,2023-01-20 10:51:48.879500,229107611,0,97,4,1,0,0
40450,2023-01-20 10:51:53.879510,234107673,0,97,5,1,0,0
42080,2023-01-20 10:51:58.859797,239107627,0,97,5,1,0,0
43758,2023-01-20 10:52:03.880115,244127949,0,98,5,1,0,0
45395,2023-01-20 10:52:08.860164,249127949,0,98,4,1,0,0
47032,2023-01-20 10:52:13.879768,254147620,0,98,5,1,0,0
48722,2023-01-20 10:52:18.879816,259167600,0,98,5,1,0,0
50357,2023-01-20 10:52:23.859925,264167578,0,98,6,1,0,0
51992,2023-01-20 10:52:28.859772,269167590,0,98,5,1,0,0
