LineNo,UTC_Approx,TimeUS,Instance,ofsI,magI,ofsQ,magQ
2843,2023-01-20 10:49:58.859920,118862036,0,-61,155,-27,171
4649,2023-01-20 10:50:03.879347,123881987,0,-67,154,-24,170
6272,2023-01-20 10:50:08.860109,128884981,0,-48,181,-32,161
7894,2023-01-20 10:50:13.879589,133907749,0,-56,167,-49,154
9512,2023-01-20 10:50:18.860019,138907706,0,-63,153,-34,165
11135,2023-01-20 10:50:23.880182,143928024,0,-61,153,-30,166
12759,2023-01-20 10:50:28.860360,148928043,0,-68,153,-33,157
14382,2023-01-20 10:50:33.879863,153947723,0,-63,153,-32,157
16006,2023-01-20 10:50:38.866688,158947747,0,-63,157,-39,150
17638,2023-01-20 10:50:43.859871,163947704,0,-49,171,-30,165
19276,2023-01-20 10:50:48.859871,168967700,0,-45,180,-48,147
20951,2023-01-20 10:50:53.859977,173967737,0,-52,163,-47,144
22607,2023-01-20 10:50:58.859680,178987743,0,-51,163,-46,150
24240,2023-01-20 10:51:03.879464,184007553,0,-60,153,-28,173
25924,2023-01-20 10:51:08.859866,189007711,0,-57,153,-28,173
27558,2023-01-20 10:51:13.880077,194027899,0,-55,161,-32,170
29191,2023-01-20 10:51:18.879676,199047510,0,-49,177,-32,163
30757,2023-01-20 10:51:23.879814,204047485,0,-67,159,-37,159
32424,2023-01-20 10:51:28.859915,209047742,0,-38,180,-35,161
33985,2023-01-20 10:51:33.879892,214067703,0,-55,163,-35,167
35577,2023-01-20 10:51:38.859952,219067585,0,-53,161,-43,156
37206,2023-01-20 10:51:43.879895,224087682,0,-51,164,-42,164
38823,2023-01-20 10:51:48.879580,229107692,0,-45,171,-37,167
40451,2023-01-20 10:51:53.879611,234107774,0,-57,158,-27,174
42081,2023-01-20 10:51:58.859882,239107712,0,-60,159,-26,173
43759,2023-01-20 10:52:03.880197,244128031,0,-51,174,-25,172
45396,2023-01-20 10:52:08.860246,249128031,0,-58,160,-28,169
47033,2023-01-20 10:52:13.879853,254147705,0,-52,172,-37,163
48723,2023-01-20 10:52:18.879921,259167705,0,-51,174,-41,154
50358,2023-01-20 10:52:23.860050,264167703,0,-41,184,-40,153
51993,2023-01-20 10:52:28.859873,269167691,0,-48,173,-41,146
53653,2023-01-20 10:52:33.859732,274187702,0,-45,179,-44,144
55340,2023-01-20 10:52:38.859603,279187706,0,-52,170,-49,145
56976,2023-01-20 10:52:43.860100,284207750,0,-45,173,-32,167
58612,2023-01-20 10:52:48.859847,289207706,0,-51,170,-45,153
60297,2023-01-20 10:52:53.860340,294228098,0,-56,163,-43,153
61933,2023-01-20 10:52:58.879933,299247723,0,-58,158,-26,171
63569,2023-01-20 10:53:03.859936,304247723,0,-63,153,-26,171
65261,2023-01-20 10:53:08.879869,309267715,0,-60,156,-25,172
66896,2023-01-20 10:53:13.859842,314267705,0,-45,169,-31,171
68555,2023-01-20 10:53:18.879699,319287552,0,-67,154,-35,160
70189,2023-01-20 10:53:23.859560,324287704,0,-61,153,-32,165
71875,2023-01-20 10:53:28.879583,329307749,0,-57,164,-35,162
73510,2023-01-20 10:53:33.859922,334307726,0,-55,167,-37,157
75138,2023-01-20 10:53:38.880220,339328001,0,-58,167,-31,164
76770,2023-01-20 10:53:43.860220,344328031,0,-54,171,-44,151
78399,2023-01-20 10:53:48.879867,349347727,0,-53,169,-36,157
80078,2023-01-20 10:53:53.859970,354347741,0,-54,170,-43,151
81719,2023-01-20 10:53:58.872752,359367711,0,-54,168,-50,155
83378,2023-01-20 10:54:03.879952,364387819,0,-45,171,-38,157
85063,2023-01-20 10:54:08.859765,369387710,0,-43,183,-41,161
86699,2023-01-20 10:54:13.859640,374387732,0,-49,168,-41,153
88335,2023-01-20 10:54:18.860072,379407721,0,-57,162,-37,166
89972,2023-01-20 10:54:23.880168,384428025,0,-53,166,-31,171
91656,2023-01-20 10:54:28.860356,389428055,0,-59,166,-32,168
93291,2023-01-20 10:54:33.879758,394447543,0,-56,159,-28,168
94928,2023-01-20 10:54:38.859929,399447723,0,-53,162,-33,163
96620,2023-01-20 10:54:43.879793,404467585,0,-56,160,-25,171
98255,2023-01-20 10:54:48.859826,409467693,0,-57,166,-35,165
99891,2023-01-20 10:54:53.859972,414467751,0,-46,177,-30,164
101598,2023-01-20 10:54:58.859600,419487698,0,-43,177,-41,165
103234,2023-01-20 10:55:03.879633,424507738,0,-41,177,-31,170
104870,2023-01-20 10:55:08.859868,429507707,0,-50,167,-47,155
106507,2023-01-20 10:55:13.880221,434528002,0,-42,175,-45,162
108191,2023-01-20 10:55:18.860240,439528014,0,-43,179,-43,157
109829,2023-01-20 10:55:23.879873,444547716,0,-54,162,-36,168
111462,2023-01-20 10:55:28.859979,449547751,0,-53,161,-34,165
113099,2023-01-20 10:55:33.872725,454567700,0,-54,165,-32,171
114772,2023-01-20 10:55:38.859853,459567699,0,-59,164,-30,167
116431,2023-01-20 10:55:43.860401,464588382,0,-45,171,-43,159
118062,2023-01-20 10:55:48.859800,469590906,0,-54,166,-34,169
119698,2023-01-20 10:55:53.859849,474596581,0,-60,156,-30,163
121333,2023-01-20 10:55:58.859968,479616626,0,-62,153,-34,159
123018,2023-01-20 10:56:03.879827,484636499,0,-59,158,-18,173
124652,2023-01-20 10:56:08.859704,489636596,0,-49,167,-31,163
126290,2023-01-20 10:56:13.859961,494636641,0,-42,177,-41,154
127974,2023-01-20 10:56:18.859665,499656641,0,-44,176,-38,160
129610,2023-01-20 10:56:23.860299,504656979,0,-45,173,-43,160
131275,2023-01-20 10:56:28.860284,509676930,0,-53,168,-47,150
132960,2023-01-20 10:56:33.859576,514677312,0,-65,160,-31,167
134595,2023-01-20 10:56:38.859890,519697251,0,-55,159,-29,165
136234,2023-01-20 10:56:43.880143,524717500,0,-51,170,-35,164
137869,2023-01-20 10:56:48.860299,529717661,0,-58,165,-35,162
139554,2023-01-20 10:56:53.879717,534737083,0,-44,175,-29,167
141189,2023-01-20 10:56:58.859933,539737261,0,-48,175,-36,164
142827,2023-01-20 10:57:03.879919,544757276,0,-43,175,-47,152
144512,2023-01-20 10:57:08.860022,549757331,0,-44,175,-39,160
146174,2023-01-20 10:57:13.879768,554777082,0,-44,172,-46,161
147811,2023-01-20 10:57:18.859489,559777272,0,-45,172,-46,156
149444,2023-01-20 10:57:23.872483,564797250,0,-44,169,-40,162
151120,2023-01-20 10:57:28.859928,569797252,0,-47,172,-33,179
152750,2023-01-20 10:57:33.873148,574817688,0,-62,154,-37,167
154378,2023-01-20 10:57:38.860258,579817634,0,-63,153,-29,169
156013,2023-01-20 10:57:43.860187,584837308,0,-64,158,-34,159
157651,2023-01-20 10:57:48.859944,589837263,0,-70,149,-35,156
159332,2023-01-20 10:57:53.860140,594857291,0,-60,162,-33,162
160966,2023-01-20 10:57:58.859992,599857293,0,-62,161,-26,166
162631,2023-01-20 10:58:03.859656,604877255,0,-49,172,-42,160
164315,2023-01-20 10:58:08.879515,609897252,0,-45,172,-39,154
165950,2023-01-20 10:58:13.860068,614897262,0,-47,179,-42,156
167589,2023-01-20 10:58:18.880123,619917469,0,-51,165,-44,160
169274,2023-01-20 10:58:23.860374,624917664,0,-43,180,-29,179
170909,2023-01-20 10:58:28.879685,629937033,0,-57,159,-33,173
172545,2023-01-20 10:58:33.860129,634937411,0,-64,160,-28,171
174181,2023-01-20 10:58:38.879775,639957118,0,-60,154,-23,174
175865,2023-01-20 10:58:43.860017,644957338,0,-59,159,-33,167
177530,2023-01-20 10:58:48.879740,649977057,0,-62,159,-26,169
179166,2023-01-20 10:58:53.859496,654977243,0,-43,172,-40,161
180851,2023-01-20 10:58:58.879424,659997160,0,-39,178,-44,162
182487,2023-01-20 10:59:03.859890,664997230,0,-44,178,-37,169
184122,2023-01-20 10:59:08.880221,670017534,0,-50,165,-35,171
185805,2023-01-20 10:59:13.860221,675017631,0,-51,164,-48,157
187436,2023-01-20 10:59:18.879942,680037318,0,-46,172,-35,168
189066,2023-01-20 10:59:23.859939,685037267,0,-65,154,-35,168
190693,2023-01-20 10:59:28.872730,690057288,0,-59,165,-30,167
192327,2023-01-20 10:59:33.859969,695057283,0,-54,172,-27,168
193991,2023-01-20 10:59:38.879895,700077244,0,-44,178,-32,165
195672,2023-01-20 10:59:43.859569,705077282,0,-42,185,-39,161
197309,2023-01-20 10:59:48.860143,710097878,0,-41,172,-39,163
198945,2023-01-20 10:59:53.859951,715097938,0,-55,169,-30,179
200631,2023-01-20 10:59:58.859780,720117901,0,-62,151,-29,170
202266,2023-01-20 11:00:03.859585,725117922,0,-61,153,-30,171
203901,2023-01-20 11:00:08.860073,730137922,0,-65,161,-31,167
205538,2023-01-20 11:00:13.859952,735137919,0,-57,166,-20,178
207223,2023-01-20 11:00:18.873029,740158254,0,-45,177,-30,163
208860,2023-01-20 11:00:23.860234,745158242,0,-54,169,-42,151
210525,2023-01-20 11:00:28.860177,750177963,0,-48,171,-51,140
