LineNo,UTC_Approx,TimeUS,Id,Label
1542,2023-01-20 10:49:56.663975,116665435,45,
1543,2023-01-20 10:49:56.664007,116665467,63,UNKNOWN
1544,2023-01-20 10:49:56.664030,116665490,65,A
1545,2023-01-20 10:49:56.664049,116665509,97,Ah
1546,2023-01-20 10:49:56.664072,116665532,100,deg
1571,2023-01-20 10:49:56.665911,116667378,100,deg
1572,2023-01-20 10:49:56.665930,116667397,98,B
1573,2023-01-20 10:49:56.665950,116667417,107,deg/s
1574,2023-01-20 10:49:56.665974,116667441,68,deglatitude
1575,2023-01-20 10:49:56.666002,116667469,101,deg/s/s
1576,2023-01-20 10:49:56.666023,116667490,69,rad/s
1577,2023-01-20 10:49:56.666042,116667509,71,Gauss
1578,2023-01-20 10:49:56.666062,116667529,104,degheading
1579,2023-01-20 10:49:56.666082,116667550,105,A.s
1580,2023-01-20 10:49:56.666101,116667569,74,W.s
1581,2023-01-20 10:49:56.666121,116667589,76,rad/s/s
1582,2023-01-20 10:49:56.666141,116667609,109,m
1583,2023-01-20 10:49:56.666161,116667629,110,m/s
1584,2023-01-20 10:49:56.666181,116667649,111,m/s/s
1585,2023-01-20 10:49:56.666200,116667668,79,degC
1586,2023-01-20 10:49:56.666220,116667688,37,%
1587,2023-01-20 10:49:56.666240,116667708,83,satellites
1588,2023-01-20 10:49:56.666264,116667732,115,s
1589,2023-01-20 10:49:56.666284,116667752,113,rpm
1590,2023-01-20 10:49:56.666356,116667825,114,rad
1591,2023-01-20 10:49:56.666376,116667845,85,deglongitude
1592,2023-01-20 10:49:56.666397,116667866,117,ppm
1593,2023-01-20 10:49:56.666417,116667886,118,V
1594,2023-01-20 10:49:56.666436,116667905,80,Pa
1595,2023-01-20 10:49:56.666456,116667925,119,Ohm
1596,2023-01-20 10:49:56.666476,116667945,87,Watt
1597,2023-01-20 10:49:56.666495,116667964,88,W.h
1598,2023-01-20 10:49:56.666515,116667984,89,us
1599,2023-01-20 10:49:56.666539,116668008,122,Hz
1600,2023-01-20 10:49:56.666558,116668027,35,instance
