LineNo,UTC_Approx,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
382,2023-01-20 10:49:56.259355,116248378,0,0.02044095,0.02149572,0.03366153,0
972,2023-01-20 10:49:56.350355,116348428,0,0.01959333,0.02326482,0.02924933,0
1130,2023-01-20 10:49:56.452359,116454900,0,0.01928061,0.02089668,0.0382351,0
1349,2023-01-20 10:49:56.565000,116566532,0,0.02200599,0.02003925,0.03446948,0
1569,2023-01-20 10:49:56.665859,116667326,0,0.0233126,0.025349,0.03157602,0
1889,2023-01-20 10:49:56.765461,116767302,0,0.02530849,0.02343538,0.03035863,0
1934,2023-01-20 10:49:56.865343,116867314,0,0.02158268,0.02193341,0.03132844,0
1982,2023-01-20 10:49:56.965314,116967286,0,0.02061363,0.02236374,0.02923271,0
2032,2023-01-20 10:49:57.065354,117067313,0,0.01787457,0.02090404,0.02922057,0
2078,2023-01-20 10:49:57.165391,117167329,0,0.02227197,0.0214558,0.02789043,0
2128,2023-01-20 10:49:57.272558,117267284,0,0.02126648,0.02376123,0.02529991,0
2187,2023-01-20 10:49:57.383618,117367316,0,0.0211471,0.021179,0.03069775,0
2243,2023-01-20 10:49:57.477518,117467336,0,0.02185109,0.02245771,0.02988449,0
2302,2023-01-20 10:49:57.568387,117567287,0,0.01918357,0.02602537,0.03150881,0
2358,2023-01-20 10:49:57.665246,117667320,0,0.02155872,0.0249899,0.02870945,0
2416,2023-01-20 10:49:57.765269,117767365,0,0.02212055,0.0204202,0.02666704,0
2459,2023-01-20 10:49:57.865188,117867312,0,0.02097278,0.02319712,0.02511339,0
2504,2023-01-20 10:49:57.965134,117967288,0,0.02197759,0.02747775,0.02988351,0
2543,2023-01-20 10:49:58.065237,118067347,0,0.0215173,0.02671845,0.03135701,0
2585,2023-01-20 10:49:58.165301,118167329,0,0.01787231,0.02254851,0.03353766,0
2625,2023-01-20 10:49:58.265273,118267292,0,0.0213555,0.02622987,0.03111602,0
2665,2023-01-20 10:49:58.365263,118367312,0,0.267626,0.255418,0.2281222,0
2704,2023-01-20 10:49:58.465288,118467349,0,0.2751754,0.241561,0.2180561,0
2745,2023-01-20 10:49:58.565228,118567291,0,0.2693574,0.2483609,0.1747861,0
2787,2023-01-20 10:49:58.665252,118667333,0,0.2903818,0.2781155,0.1450582,0
2826,2023-01-20 10:49:58.765251,118767359,0,0.2774681,0.3229333,0.1389556,0
2870,2023-01-20 10:49:58.865199,118867315,0,0.2660765,0.3950166,0.1573255,0
2909,2023-01-20 10:49:58.965174,118967289,0,0.2342285,0.4251899,0.2139954,0
2948,2023-01-20 10:49:59.065243,119067340,0,0.3518627,0.3391044,0.2504911,0
2989,2023-01-20 10:49:59.165252,119167322,0,0.721517,0.7225581,0.4187447,0
3028,2023-01-20 10:49:59.265223,119267285,0,1.084467,1.219462,0.4702701,0
3067,2023-01-20 10:49:59.365258,119367321,0,1.305073,1.450399,0.5345086,0
3107,2023-01-20 10:49:59.465261,119467328,0,1.084636,1.457356,0.6155756,0
3148,2023-01-20 10:49:59.565222,119567293,0,0.7932895,1.190012,0.5913535,0
3189,2023-01-20 10:49:59.665268,119667352,0,0.8706385,1.00955,0.5220259,0
3228,2023-01-20 10:49:59.765259,119767362,0,1.262303,1.096772,0.5614289,0
3267,2023-01-20 10:49:59.865188,119867300,0,1.329948,1.223129,0.6212319,0
3306,2023-01-20 10:49:59.965185,119967302,0,1.359994,1.383433,0.7338479,0
3345,2023-01-20 10:50:00.065220,120067321,0,1.069733,1.195843,0.7670578,0
3387,2023-01-20 10:50:00.165248,120167322,0,0.9363133,0.9839552,0.6510097,0
3426,2023-01-20 10:50:00.265224,120267294,0,1.08312,0.9007114,0.6342017,0
3465,2023-01-20 10:50:00.365235,120367313,0,1.35378,1.258866,0.5149658,0
3505,2023-01-20 10:50:00.465218,120467294,0,1.446649,1.412422,0.5383716,0
3545,2023-01-20 10:50:00.565228,120567298,0,1.511844,1.539999,0.5595623,0
3588,2023-01-20 10:50:00.665241,120667316,0,1.347447,1.392044,0.7020108,0
3627,2023-01-20 10:50:00.765269,120767356,0,1.044244,1.120832,0.6415415,0
3668,2023-01-20 10:50:00.865201,120867304,0,0.8775742,0.977992,0.6063367,0
3705,2023-01-20 10:50:00.965169,120967291,0,1.08326,1.057422,0.5299032,0
3737,2023-01-20 10:50:01.065255,121067379,0,1.357981,1.372193,0.5408236,0
3770,2023-01-20 10:50:01.165266,121167383,0,1.50086,1.558738,0.6740524,0
3802,2023-01-20 10:50:01.265208,121267358,0,1.398368,1.376178,0.5792216,0
3833,2023-01-20 10:50:01.365209,121367413,0,1.479287,1.15925,0.7354208,0
3865,2023-01-20 10:50:01.465150,121467339,0,2.140384,3.163548,1.913525,0
3898,2023-01-20 10:50:01.565206,121567344,0,2.299329,5.309456,3.469708,0
3933,2023-01-20 10:50:01.665296,121667415,0,11.39428,9.625522,6.06292,0
3964,2023-01-20 10:50:01.765542,121767659,0,11.85168,10.3077,7.751253,0
3997,2023-01-20 10:50:01.865488,121867653,0,7.951486,8.97235,13.64226,0
4029,2023-01-20 10:50:01.965446,121967687,0,7.330165,7.834259,9.447715,0
4061,2023-01-20 10:50:02.065434,122067658,0,8.654351,7.280458,10.22255,0
4094,2023-01-20 10:50:02.165516,122167674,0,12.19557,6.60941,11.52905,0
4126,2023-01-20 10:50:02.265572,122267708,0,15.90357,7.054662,8.474881,0
4157,2023-01-20 10:50:02.365506,122367644,0,14.70599,7.357949,9.090324,0
4189,2023-01-20 10:50:02.465242,122467641,0,14.37184,6.018685,5.990993,0
4222,2023-01-20 10:50:02.564627,122567423,0,14.71557,6.061638,6.65152,0
4258,2023-01-20 10:50:02.664470,122667383,0,10.94551,6.37955,8.659699,0
4288,2023-01-20 10:50:02.764498,122767374,0,8.743969,6.592983,6.771255,0
4323,2023-01-20 10:50:02.864523,122867402,0,13.88237,5.840633,8.606534,0
4353,2023-01-20 10:50:02.964454,122967358,0,10.61224,6.864771,16.68733,0
4386,2023-01-20 10:50:03.064479,123067393,0,8.91829,9.330386,11.50036,0
4418,2023-01-20 10:50:03.164550,123167466,0,7.539613,6.291463,8.784912,0
4451,2023-01-20 10:50:03.264452,123267365,0,13.16294,5.796447,7.538982,0
4481,2023-01-20 10:50:03.364464,123367372,0,13.82974,5.477594,9.61486,0
4514,2023-01-20 10:50:03.464471,123467368,0,14.58753,5.719261,12.58244,0
4546,2023-01-20 10:50:03.564462,123567346,0,13.55273,6.747679,18.22239,0
4582,2023-01-20 10:50:03.664509,123667390,0,9.875221,9.318182,16.18219,0
4612,2023-01-20 10:50:03.764500,123767385,0,13.53161,10.09372,14.80058,0
4646,2023-01-20 10:50:03.864693,123867378,0,11.93323,10.95735,16.57762,0
4678,2023-01-20 10:50:03.965027,123967401,0,13.98143,11.64388,18.41994,0
4711,2023-01-20 10:50:04.065142,124067363,0,12.21412,10.54837,14.49248,0
4743,2023-01-20 10:50:04.165240,124167393,0,12.57038,11.76965,16.46434,0
4776,2023-01-20 10:50:04.265281,124267414,0,10.02146,10.42242,12.21279,0
4806,2023-01-20 10:50:04.365245,124367382,0,10.51478,8.708667,14.61674,0
