LineNo,UTC_Approx,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
367,2023-01-20 10:49:56.258497,116247435,0,-2.22,0.22,219.56,-0.02263117,-0.05524498,-0.02300413,-0.03492786,-0.8328345,-0.3641514,-0.6490828,-0.08,-0.16,0,733.43
957,2023-01-20 10:49:56.349466,116347450,0,-2.22,0.22,219.56,-0.02342067,-0.05674209,-0.0232251,-0.05381823,-0.830404,-0.3727289,-0.6537236,-0.08,-0.16,0,733.43
1115,2023-01-20 10:49:56.451414,116453964,0,-2.22,0.22,219.56,-0.02355558,-0.05749848,-0.0259636,-0.06168355,-0.8287176,-0.3806837,-0.6599636,-0.08,-0.16,0,733.43
1334,2023-01-20 10:49:56.564043,116565584,0,-2.22,0.22,219.56,-0.02537738,-0.05771517,-0.02780981,-0.06825386,-0.8282636,-0.3880846,-0.6664838,-0.08,-0.16,0,733.43
1552,2023-01-20 10:49:56.664880,116666343,0,-2.22,0.22,219.56,-0.02692939,-0.05930052,-0.03029707,-0.08027662,-0.8293458,-0.3964917,-0.674683,-0.08,-0.16,0,733.43
1874,2023-01-20 10:49:56.764500,116766338,0,-2.22,0.22,219.56,-0.02842018,-0.06161652,-0.03283044,-0.09347161,-0.8312737,-0.4055727,-0.6828759,-0.08,-0.16,0,733.43
1919,2023-01-20 10:49:56.864372,116866343,0,-2.22,0.22,219.55,-0.02853699,-0.06453757,-0.03504983,-0.09433383,-0.8302302,-0.4161433,-0.6920834,-0.08,-0.16,0,733.43
1967,2023-01-20 10:49:56.964368,116966340,0,-2.22,0.22,219.55,-0.02743241,-0.06774444,-0.03528036,-0.09398934,-0.8283219,-0.4268971,-0.7005243,-0.08,-0.16,0,733.43
2017,2023-01-20 10:49:57.064380,117066339,0,-2.22,0.22,219.55,-0.0246502,-0.06992977,-0.03810063,-0.09806953,-0.8242853,-0.4362289,-0.7106267,-0.08,-0.16,0,733.43
2061,2023-01-20 10:49:57.164406,117166344,0,-2.21,0.22,219.55,-0.02066288,-0.07084243,-0.04018411,-0.1045244,-0.8198606,-0.4446959,-0.7202107,-0.08,-0.16,0,733.43
2113,2023-01-20 10:49:57.271510,117266340,0,-2.21,0.22,219.55,-0.01527376,-0.06789022,-0.04320331,-0.09365687,-0.813089,-0.4483723,-0.7292143,-0.08,-0.16,0,733.43
2172,2023-01-20 10:49:57.382565,117366367,0,-2.21,0.23,219.55,-0.009398829,-0.06481873,-0.04459682,-0.08048043,-0.8059739,-0.4502469,-0.7368945,-0.08,-0.16,0,733.43
2228,2023-01-20 10:49:57.476613,117466341,0,-2.21,0.23,219.55,-0.0005893547,-0.06179043,-0.04749349,-0.09657318,-0.7957664,-0.4528073,-0.7474092,-0.08,-0.16,0,733.43
2287,2023-01-20 10:49:57.567525,117566339,0,-2.21,0.23,219.54,0.005404555,-0.05988283,-0.04861818,-0.09170812,-0.7869273,-0.4559528,-0.7558642,-0.08,-0.16,0,733.43
2341,2023-01-20 10:49:57.664269,117666343,0,-2.21,0.23,219.54,0.01289383,-0.05808854,-0.05133052,-0.09619169,-0.7778846,-0.4593209,-0.7659791,-0.08,-0.16,0,733.43
2400,2023-01-20 10:49:57.764245,117766341,0,-2.21,0.23,219.54,0.01924135,-0.05731583,-0.05279587,-0.09980141,-0.7692624,-0.4630058,-0.7753752,-0.08,-0.16,0,733.43
2444,2023-01-20 10:49:57.864220,117866343,0,-2.21,0.23,219.54,0.02485674,-0.05767038,-0.05416277,-0.1034978,-0.7615407,-0.4681031,-0.7862034,-0.08,-0.16,0,733.43
2489,2023-01-20 10:49:57.964187,117966340,0,-2.21,0.22,219.54,0.02945195,-0.05850834,-0.05672798,-0.1078219,-0.7546004,-0.4739306,-0.79611,-0.08,-0.16,0,733.43
2528,2023-01-20 10:49:58.064248,118066359,0,-2.21,0.22,219.54,0.0337956,-0.05887357,-0.05834373,-0.09155505,-0.7487621,-0.478917,-0.8051342,-0.08,-0.16,0,733.43
2568,2023-01-20 10:49:58.164315,118166343,0,-2.21,0.22,219.53,0.0371017,-0.05856252,-0.05923188,-0.07477721,-0.7434958,-0.4836585,-0.812546,-0.08,-0.16,0,733.43
2610,2023-01-20 10:49:58.264328,118266346,0,-2.22,0.22,219.53,0.04229639,-0.05731782,-0.06122066,-0.08561036,-0.7362378,-0.4877086,-0.8221784,-0.08,-0.16,0,733.43
