LineNo,UTC_Approx,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
368,2023-01-20 10:49:56.258497,116247435,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
958,2023-01-20 10:49:56.349466,116347450,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
1116,2023-01-20 10:49:56.451414,116453964,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
1335,2023-01-20 10:49:56.564043,116565584,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
1553,2023-01-20 10:49:56.664880,116666343,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
1875,2023-01-20 10:49:56.764500,116766338,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
1920,2023-01-20 10:49:56.864372,116866343,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
1968,2023-01-20 10:49:56.964368,116966340,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
2018,2023-01-20 10:49:57.064380,117066339,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
2062,2023-01-20 10:49:57.164406,117166344,0,0,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
2114,2023-01-20 10:49:57.271510,117266340,0,0.01,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
2173,2023-01-20 10:49:57.382565,117366367,0,0.01,0,-0.08,0,0,253,25,401,0,0,0,0,0,0
2229,2023-01-20 10:49:57.476613,117466341,0,0.02,-0.01,-0.08,0,0,253,25,401,0,0,0,0,0,0
2288,2023-01-20 10:49:57.567525,117566339,0,0.02,-0.01,-0.08,0,0,253,25,401,0,0,0,0,0,0
2342,2023-01-20 10:49:57.664269,117666343,0,0.02,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2401,2023-01-20 10:49:57.764245,117766341,0,0.02,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2445,2023-01-20 10:49:57.864220,117866343,0,0.02,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2490,2023-01-20 10:49:57.964187,117966340,0,0.02,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2529,2023-01-20 10:49:58.064248,118066359,0,0.03,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2569,2023-01-20 10:49:58.164315,118166343,0,0.03,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2611,2023-01-20 10:49:58.264328,118266346,0,0.03,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
2651,2023-01-20 10:49:58.364299,118366348,0,0.03,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
2690,2023-01-20 10:49:58.464282,118466343,0,0.02,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
2731,2023-01-20 10:49:58.564280,118566343,0,0.02,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
2771,2023-01-20 10:49:58.664277,118666358,0,0.03,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
2812,2023-01-20 10:49:58.764239,118766347,0,0.03,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
2856,2023-01-20 10:49:58.864246,118866362,0,0.03,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2895,2023-01-20 10:49:58.964232,118966347,0,0.03,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2934,2023-01-20 10:49:59.064260,119066357,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
2973,2023-01-20 10:49:59.164279,119166350,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3014,2023-01-20 10:49:59.264288,119266350,0,0.03,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
3053,2023-01-20 10:49:59.364301,119366364,0,0.03,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
3093,2023-01-20 10:49:59.464283,119466350,0,0.04,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
3134,2023-01-20 10:49:59.564294,119566365,0,0.04,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
3173,2023-01-20 10:49:59.664291,119666375,0,0.04,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
3214,2023-01-20 10:49:59.764251,119766353,0,0.04,-0.02,-0.07,0,0,253,25,401,0,0,0,0,0,0
3253,2023-01-20 10:49:59.864240,119866352,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3292,2023-01-20 10:49:59.964237,119966354,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3331,2023-01-20 10:50:00.064254,120066356,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3371,2023-01-20 10:50:00.164280,120166355,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3412,2023-01-20 10:50:00.264293,120266363,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3451,2023-01-20 10:50:00.364270,120366348,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3491,2023-01-20 10:50:00.464283,120466359,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3531,2023-01-20 10:50:00.564280,120566349,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3572,2023-01-20 10:50:00.664271,120666346,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3613,2023-01-20 10:50:00.764268,120766355,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3654,2023-01-20 10:50:00.864250,120866353,0,0.04,0,-0.07,0,0,253,25,401,0,0,0,0,0,0
3691,2023-01-20 10:50:00.964226,120966347,0,0.04,0,-0.07,0,0,253,25,401,0,0,0,0,0,0
3723,2023-01-20 10:50:01.064251,121066375,0,0.04,0,-0.07,0,0,253,25,401,0,0,0,0,0,0
3754,2023-01-20 10:50:01.164248,121166365,0,0.04,0,-0.07,0,0,253,25,401,0,0,0,0,0,0
3788,2023-01-20 10:50:01.264210,121266360,0,0.04,0,-0.07,0,0,253,25,401,0,0,0,0,0,0
3819,2023-01-20 10:50:01.364148,121366352,0,0.04,0,-0.07,0,0,253,25,401,0,0,0,0,0,0
3851,2023-01-20 10:50:01.464163,121466353,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3884,2023-01-20 10:50:01.564214,121566352,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
3917,2023-01-20 10:50:01.664229,121666348,0,0.04,-0.01,-0.07,0,0,253,25,401,0,0,0,0,0,0
