LineNo,UTC_Approx,TimeUS,C,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT,RErr,ErSc
369,2023-01-20 10:49:56.258497,116247435,0,-0.07,0.02,0.22,0.06,0.06,-0.15,0,0,0,1.14,0,0,0.003091912
959,2023-01-20 10:49:56.349466,116347450,0,-0.07,0.02,0.22,0.06,0.06,-0.17,0,0,0,1.08,0,0,0.003091912
1117,2023-01-20 10:49:56.451414,116453964,0,-0.04,-0.04,0.18,0.07,0.05,-0.16,0,0,0,0.86,0,0,0.002022645
1336,2023-01-20 10:49:56.564043,116565584,0,-0.04,-0.04,0.18,0.07,0.05,-0.17,0,0,0,0.95,0,0,0.002022645
1554,2023-01-20 10:49:56.664880,116666343,0,-0.01,0.05,0.27,0.07,0.04,-0.16,0,0,0,1.17,0,0,0.004204738
1876,2023-01-20 10:49:56.764500,116766338,0,-0.01,0.05,0.27,0.07,0.04,-0.22,0,0,0,1.36,0,0,0.004204738
1921,2023-01-20 10:49:56.864372,116866343,0,-0.15,0.05,0.22,0.08,0.04,-0.2,0,0,0,1.16,0,0,0.003829068
1969,2023-01-20 10:49:56.964368,116966340,0,-0.15,0.05,0.22,0.08,0.04,-0.2,0,0,0,0.91,0,0,0.003829068
2019,2023-01-20 10:49:57.064380,117066339,0,-0.14,-0.04,0.28,0.08,0.04,-0.25,0,0,0,1.22,0,0,0.005075364
2063,2023-01-20 10:49:57.164406,117166344,0,-0.14,-0.04,0.28,0.08,0.04,-0.22,0,0,0,1.04,0,0,0.005075364
2115,2023-01-20 10:49:57.271510,117266340,0,-0.14,-0.14,0.12,0.08,0.03,-0.24,0,0,0,1.35,0,0,0.002612036
2174,2023-01-20 10:49:57.382565,117366367,0,-0.14,-0.14,0.12,0.08,0.03,-0.25,0,0,0,1.17,0,0,0.002612036
2230,2023-01-20 10:49:57.476613,117466341,0,-0.14,0,0.24,0.08,0.01,-0.26,0,0,0,1.23,0,0,0.003643319
2289,2023-01-20 10:49:57.567525,117566339,0,-0.14,0,0.24,0.08,0.01,-0.23,0,0,0,1.5,0,0,0.003643319
2343,2023-01-20 10:49:57.664269,117666343,0,-0.09,-0.01,0.24,0.09,0,-0.27,0,0,0,1.47,0,0,0.002842852
2402,2023-01-20 10:49:57.764245,117766341,0,-0.09,-0.01,0.24,0.09,0,-0.26,0,0,0,0.99,0,0,0.002842852
2446,2023-01-20 10:49:57.864220,117866343,0,-0.04,0.03,0.24,0.09,-0.01,-0.27,0,0,0,1.36,0,0,0.002562246
2491,2023-01-20 10:49:57.964187,117966340,0,-0.04,0.03,0.24,0.09,-0.01,-0.27,0,0,0,1.13,0,0,0.002562246
2530,2023-01-20 10:49:58.064248,118066359,0,-0.03,-0.02,0.1,0.11,-0.01,-0.29,0,0,0,1.19,0,0,0.0004940945
2570,2023-01-20 10:49:58.164315,118166343,0,-0.03,-0.02,0.1,0.11,-0.01,-0.29,0,0,0,1.2,0,0,0.0004940945
2612,2023-01-20 10:49:58.264328,118266346,0,-0.11,-0.02,0.25,0.13,-0.01,-0.32,0,0,0,1.35,0,0,0.003197339
