LineNo,UTC_Approx,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
364,2023-01-20 10:49:56.258497,116247435,0,0.07,0,0,0.01,0,0.007494377,0.08909588,0.02049057,0,48,109375,0,0
954,2023-01-20 10:49:56.349466,116347450,0,0.07,0,0,0.01,0,0.007570705,0.08909588,0.02049057,0,48,109375,0,0
1112,2023-01-20 10:49:56.451414,116453964,0,0.06,0,0,0,0,0.007511974,0.08909588,0.02049057,0,48,109375,0,0
1331,2023-01-20 10:49:56.564043,116565584,0,0.06,0,0,0.01,0,0.007595407,0.08909588,0.02049057,0,48,109375,0,0
1549,2023-01-20 10:49:56.664880,116666343,0,0.09,0,0,0.01,0,0.007526253,0.08909588,0.02049057,0,48,109375,0,0
1871,2023-01-20 10:49:56.764500,116766338,0,0.09,0,0.01,0.01,0,0.007602551,0.08909588,0.02049057,0,48,109375,0,0
1916,2023-01-20 10:49:56.864372,116866343,0,0.08,0,0.01,0.01,0,0.007545664,0.08909588,0.02049057,0,48,109375,0,0
1964,2023-01-20 10:49:56.964368,116966340,0,0.08,0,0.01,0.01,0,0.007622692,0.08909588,0.02049057,0,48,109375,0,0
2014,2023-01-20 10:49:57.064380,117066339,0,0.1,0,0.01,0.01,0,0.007576779,0.08909588,0.02049057,0,48,109375,0,0
2058,2023-01-20 10:49:57.164406,117166344,0,0.1,0,0.01,0.01,0,0.007653413,0.08909588,0.02049057,0,48,109375,0,0
2110,2023-01-20 10:49:57.271510,117266340,0,0.07,0,0.01,0.01,0,0.007611153,0.08909588,0.02049057,0,48,109375,0,0
2169,2023-01-20 10:49:57.382565,117366367,0,0.07,0,0.01,0.01,0,0.007687731,0.08909588,0.02049057,0,48,109375,0,0
2225,2023-01-20 10:49:57.476613,117466341,0,0.08,0,0.01,0.01,0,0.007668541,0.08909588,0.02049057,0,48,109375,0,0
2284,2023-01-20 10:49:57.567525,117566339,0,0.08,0,0.01,0.01,0,0.007744108,0.08909588,0.02049057,0,48,109375,0,0
2338,2023-01-20 10:49:57.664269,117666343,0,0.07,0,0.01,0.01,0,0.00773644,0.08909588,0.02049057,0,48,109375,0,0
2397,2023-01-20 10:49:57.764245,117766341,0,0.07,0,0.01,0.01,0,0.00781258,0.08909588,0.02049057,0,48,109375,0,0
2441,2023-01-20 10:49:57.864220,117866343,0,0.07,0,0.01,0.01,0,0.007817875,0.08909588,0.02049057,0,48,109375,0,0
2486,2023-01-20 10:49:57.964187,117966340,0,0.07,0,0.01,0.01,0,0.007894675,0.08909588,0.02049057,0,48,109375,0,0
2525,2023-01-20 10:49:58.064248,118066359,0,0.03,0,0.01,0.01,0,0.007912165,0.08909588,0.02049057,0,48,109375,0,0
2565,2023-01-20 10:49:58.164315,118166343,0,0.03,0,0.01,0.01,0,0.007988941,0.08909588,0.02049057,0,48,109375,0,0
2607,2023-01-20 10:49:58.264328,118266346,0,0.07,0,0.01,0.01,0,0.008016716,0.08909588,0.02049057,0,48,109375,0,0
2647,2023-01-20 10:49:58.364299,118366348,0,0.07,0,0.01,0.01,0,0.008092804,0.08909588,0.02049057,0,48,109375,0,0
2686,2023-01-20 10:49:58.464282,118466343,0,0.06,0,0.01,0.02,0,0.008130419,0.08909588,0.02049057,0,48,109375,0,0
2727,2023-01-20 10:49:58.564280,118566343,0,0.06,0,0.01,0.01,0,0.00820701,0.08909588,0.02049057,0,48,109375,0,0
2767,2023-01-20 10:49:58.664277,118666358,0,0.06,0,0.01,0.01,0,0.008253502,0.08909588,0.02049057,0,48,109375,0,0
2808,2023-01-20 10:49:58.764239,118766347,0,0.06,0,0.01,0.01,0,0.008329761,0.08909588,0.02049057,0,48,109375,0,0
2852,2023-01-20 10:49:58.864246,118866362,0,0.03,0,0.01,0.01,0,0.008382383,0.08909588,0.02049057,0,48,109375,0,0
2891,2023-01-20 10:49:58.964232,118966347,0,0.03,0,0.01,0.01,0,0.008458578,0.08909588,0.02049057,0,48,109375,0,0
2930,2023-01-20 10:49:59.064260,119066357,0,0.06,0,0.01,0.01,0,0.008516254,0.08909588,0.02049057,0,48,109375,0,0
2969,2023-01-20 10:49:59.164279,119166350,0,0.06,0,0.01,0.01,0,0.008592798,0.08909588,0.02049057,0,48,109375,0,0
3010,2023-01-20 10:49:59.264288,119266350,0,0.06,0,0.01,0.01,0,0.008653644,0.08909588,0.02049057,0,48,109375,0,0
3049,2023-01-20 10:49:59.364301,119366364,0,0.06,0,0.02,0.01,0,0.008729714,0.08909588,0.02049057,0,48,109375,0,0
3089,2023-01-20 10:49:59.464283,119466350,0,0.04,0,0.02,0.01,0,0.008794245,0.08909588,0.02049057,0,48,109375,0,0
3130,2023-01-20 10:49:59.564294,119566365,0,0.04,0,0.02,0.01,0,0.008870779,0.08909588,0.02049057,0,48,109375,0,0
3169,2023-01-20 10:49:59.664291,119666375,0,0.05,0,0.02,0.01,0,0.008936546,0.08909588,0.02049057,0,48,109375,0,0
3210,2023-01-20 10:49:59.764251,119766353,0,0.05,0,0.02,0,0,0.009013201,0.08909588,0.02049057,0,48,109375,0,0
3249,2023-01-20 10:49:59.864240,119866352,0,0.05,0,0.03,0,0,0.009081127,0.08909588,0.02049057,0,48,109375,0,0
3288,2023-01-20 10:49:59.964237,119966354,0,0.05,0,0.02,0.01,0,0.009157041,0.08909588,0.02049057,0,48,109375,0,0
3327,2023-01-20 10:50:00.064254,120066356,0,0.02,0,0.02,0,0,0.009226308,0.08909588,0.02049057,0,48,109375,0,0
3367,2023-01-20 10:50:00.164280,120166355,0,0.02,0,0.02,0.01,0,0.009302817,0.08909588,0.02049057,0,48,109375,0,0
3408,2023-01-20 10:50:00.264293,120266363,0,0.03,0,0.02,0.01,0,0.009372504,0.08909588,0.02049057,0,48,109375,0,0
