LineNo,UTC_Approx,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
370,2023-01-20 10:49:56.258497,116247435,0,0,0,0,0,1,0.16,0,0,0.5,0.0002190237,0.007878903,0.02005153
960,2023-01-20 10:49:56.349466,116347450,0,0,0,0,0,1,0.16,0,0,0.5,0.0001546164,0.004799361,0.01393988
1118,2023-01-20 10:49:56.451414,116453964,0,0,0,0,0,1.01,0.16,0,0,0.5,0.0001266019,0.005102446,0.01624628
1337,2023-01-20 10:49:56.564043,116565584,0,0,0,0,0,1.01,0.16,0,0,0.5,0.0001213141,0.002323099,0.01064385
1555,2023-01-20 10:49:56.664880,116666343,0,0,0,0,0,1.03,0.16,0,0,0.5,0.0001536673,0.007130187,0.02242218
1877,2023-01-20 10:49:56.764500,116766338,0,0,0,0,0,1.03,0.16,0,0,0.5,0.0001810005,0.004382622,0.01496973
1922,2023-01-20 10:49:56.864372,116866343,0,0,0,0,0,1.04,0.16,0,0,0.5,0.0002492807,0.01131103,0.02423455
1970,2023-01-20 10:49:56.964368,116966340,0,0,0,0,0,1.04,0.16,0,0,0.5,0.0001954608,0.006866478,0.01543614
2020,2023-01-20 10:49:57.064380,117066339,0,0,0,0,0,1.06,0.16,0,0,0.5,0.0002357902,0.01332778,0.02468339
2064,2023-01-20 10:49:57.164406,117166344,0,0,0,0,0,1.06,0.16,0,0,0.5,0.0001838514,0.007698552,0.01481566
2116,2023-01-20 10:49:57.271510,117266340,0,0,0,0,0,1.07,0.16,0,0,0.5,0.000281467,0.0195568,0.02613586
2175,2023-01-20 10:49:57.382565,117366367,0,0,0,0,0,1.07,0.16,0,0,0.5,0.0002227394,0.01210846,0.01660536
2231,2023-01-20 10:49:57.476613,117466341,0,0,0,0,0,1.09,0.16,0,0,0.5,0.0002260009,0.01638791,0.02290489
2290,2023-01-20 10:49:57.567525,117566339,0,0,0,0,0,1.09,0.16,0,0,0.5,0.000206027,0.009063818,0.01321963
2344,2023-01-20 10:49:57.664269,117666343,0,0,0,0,0,1.11,0.16,0,0,0.5,0.0002178047,0.01266214,0.01864621
2403,2023-01-20 10:49:57.764245,117766341,0,0,0,0,0,1.11,0.16,0,0,0.5,0.0001756887,0.006177397,0.008896746
2447,2023-01-20 10:49:57.864220,117866343,0,0,0,0,0,1.13,0.16,0,0,0.5,0.0001773226,0.007602692,0.01383658
2492,2023-01-20 10:49:57.964187,117966340,0,0,0,0,0,1.13,0.16,0,0,0.5,0.0001669818,0.003146046,0.005065269
2531,2023-01-20 10:49:58.064248,118066359,0,0,0,0,0,1.14,0.16,0,0,0.5,0.0001619758,0.001608028,0.006583859
2571,2023-01-20 10:49:58.164315,118166343,0,0,0,0,0,1.14,0.16,0,0,0.5,0.0001636529,0.001886958,0.005964048
2613,2023-01-20 10:49:58.264328,118266346,0,0,0,0,0,1.16,0.16,0,0,0.5,0.0001830774,0.008281732,0.01012123
2653,2023-01-20 10:49:58.364299,118366348,0,0,0,0,0,1.16,0.16,0,0,0.5,0.0001849004,0.003003039,0.002744919
2692,2023-01-20 10:49:58.464282,118466343,0,0,0,0,0,1.18,0.16,0,0,0.5,0.0002460667,0.01437917,0.02171707
2733,2023-01-20 10:49:58.564280,118566343,0,0,0,0,0,1.18,0.16,0,0,0.5,0.0002557047,0.01142385,0.01713045
2773,2023-01-20 10:49:58.664277,118666358,0,0,0,0,0,1.19,0.16,0,0,0.5,0.0002008092,0.006369933,0.008811475
2814,2023-01-20 10:49:58.764239,118766347,0,0,0,0,0,1.19,0.16,0,0,0.5,0.0001655428,0.003861512,0.007775297
2858,2023-01-20 10:49:58.864246,118866362,0,0,0,0,0,1.2,0.16,0,0,0.5,0.0001801717,0.01420409,0.02351841
2897,2023-01-20 10:49:58.964232,118966347,0,0,0,0,0,1.2,0.16,0,0,0.5,0.0001842408,0.01133657,0.02019022
2936,2023-01-20 10:49:59.064260,119066357,0,0,0,0,0,1.22,0.16,0,0,0.5,0.0001689809,0.01249419,0.02033769
2975,2023-01-20 10:49:59.164279,119166350,0,0,0,0,0,1.22,0.16,0,0,0.5,0.0001384805,0.008231185,0.01563899
3016,2023-01-20 10:49:59.264288,119266350,0,0,0,0,0,1.23,0.16,0,0,0.5,0.0001626514,0.01612066,0.01525745
3055,2023-01-20 10:49:59.364301,119366364,0,0,0,0,0,1.23,0.16,0,0,0.5,0.000176922,0.01107137,0.01468745
3095,2023-01-20 10:49:59.464283,119466350,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001488474,0.002654076,0.005636918
3136,2023-01-20 10:49:59.564294,119566365,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001504271,0.003773879,0.01192528
3175,2023-01-20 10:49:59.664291,119666375,0,0,0,0,0,1.25,0.16,0,0,0.5,0.0001951593,0.005736212,0.01263545
3216,2023-01-20 10:49:59.764251,119766353,0,0,0,0,0,1.25,0.16,0,0,0.5,0.0001571301,0.006405965,0.01475875
3255,2023-01-20 10:49:59.864240,119866352,0,0,0,0,0,1.25,0.16,0,0,0.5,5.357751E-05,0.02318799,0.03852371
3294,2023-01-20 10:49:59.964237,119966354,0,0,0,0,0,1.25,0.16,0,0,0.5,8.981802E-05,0.01670571,0.03162902
3333,2023-01-20 10:50:00.064254,120066356,0,0,0,0,0,1.25,0.16,0,0,0.5,0.0001152427,0.01327501,0.03105203
3373,2023-01-20 10:50:00.164280,120166355,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001449051,0.009463999,0.02670599
3414,2023-01-20 10:50:00.264293,120266363,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001971516,0.01825706,0.0371407
3453,2023-01-20 10:50:00.364270,120366348,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001456762,0.01338781,0.02938026
3493,2023-01-20 10:50:00.464283,120466359,0,0,0,0,0,1.24,0.16,0,0,0.5,9.813601E-05,0.01880274,0.03570694
3533,2023-01-20 10:50:00.564280,120566349,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001298043,0.01389789,0.02802609
3574,2023-01-20 10:50:00.664271,120666346,0,0,0,0,0,1.25,0.16,0,0,0.5,0.0001107751,0.0159334,0.03028926
3615,2023-01-20 10:50:00.764268,120766355,0,0,0,0,0,1.25,0.16,0,0,0.5,0.0001299567,0.01165705,0.0229633
3656,2023-01-20 10:50:00.864250,120866353,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001488241,0.02073661,0.04003089
3693,2023-01-20 10:50:00.964226,120966347,0,0,0,0,0,1.24,0.16,0,0,0.5,8.569095E-05,0.01382113,0.02853288
3725,2023-01-20 10:50:01.064251,121066375,0,0,0,0,0,1.25,0.16,0,0,0.5,9.585027E-05,0.01195494,0.02393311
3756,2023-01-20 10:50:01.164248,121166365,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001171484,0.0087682,0.01852109
3790,2023-01-20 10:50:01.264210,121266360,0,0,0,0,0,1.24,0.16,0,0,0.5,0.0001222287,0.002328505,0.008423458
3821,2023-01-20 10:50:01.364148,121366352,0,0,0,0,0,1.24,0.16,0,0,0.5,0.000171971,0.003678769,0.01174822
3853,2023-01-20 10:50:01.464163,121466353,0,0,0,0,0,1.25,0.16,0,0,0.5,0.0001951467,0.01102745,0.0152208
3886,2023-01-20 10:50:01.564214,121566352,0,0,0,0,0,1.25,0.16,0,0,0.5,0.0002565018,0.008272113,0.01592034
3919,2023-01-20 10:50:01.664229,121666348,0,0,0,0,0,1.27,0.16,0,0,0.5,0.0002490094,0.01038667,0.01696635
3952,2023-01-20 10:50:01.764239,121766356,0,0,0,0,0,1.26,0.16,0,0,0.5,0.0003466239,0.007416905,0.01222669
3985,2023-01-20 10:50:01.864187,121866351,0,0,0,0,0,1.27,0.16,0,0,0.5,0.0005186552,0.01094252,0.02212968
4017,2023-01-20 10:50:01.964107,121966347,0,0,0,0,0,1.27,0.16,0,0,0.5,0.0003446311,0.00686698,0.01222001
4049,2023-01-20 10:50:02.064130,122066355,0,0,0,0,0,1.26,0.16,0,0,0.5,0.0003095465,0.003293752,0.01230111
4080,2023-01-20 10:50:02.164194,122166353,0,0,0,0,0,1.28,0.16,0,0,0.5,0.0003757765,0.003924495,0.01415633
4114,2023-01-20 10:50:02.264211,122266347,0,0,0,0,0,1.32,0.16,0,0,0.5,0.000280155,0.0184855,0.03923208
4145,2023-01-20 10:50:02.364215,122366353,0,0,0,0,0,1.36,0.16,0,0,0.5,0.0002853849,0.01121958,0.02583517
4177,2023-01-20 10:50:02.463957,122466351,0,0,0,0,0,1.42,0.16,0,0,0.5,0.0004948443,0.003859242,0.01288714
4210,2023-01-20 10:50:02.563582,122566374,0,0,0,0,0,1.46,0.16,0,0,0.5,0.0004352107,0.001213722,0.004519736
4244,2023-01-20 10:50:02.663437,122666351,0,0,0,0,0,1.53,0.16,0,0,0.5,0.0003508267,0.01135292,0.02920836
4276,2023-01-20 10:50:02.763489,122766365,0,0,0,0,0,1.56,0.16,0,0,0.5,0.0003239544,0.008280287,0.02013266
4310,2023-01-20 10:50:02.863453,122866332,0,0,0,0,0,1.67,0.16,0,0,0.5,0.0002270567,0.02799856,0.0918119
4341,2023-01-20 10:50:02.963446,122966350,0,0,0,0,0,1.68,0.16,0,0,0.5,0.0001587648,0.01697723,0.05930736
4374,2023-01-20 10:50:03.063464,123066378,0,0,0,0,0,1.79,0.16,0,0,0.5,0.0003702406,0.05681038,0.1495015
4404,2023-01-20 10:50:03.163459,123166375,0,0,0,0,0,1.8,0.16,0,0,0.5,0.0004738284,0.03555729,0.09654409
4439,2023-01-20 10:50:03.263447,123266360,0,0,0,0,0,1.93,0.16,0,0,0.5,0.0004665376,0.06188788,0.178762
4469,2023-01-20 10:50:03.363447,123366355,0,0,0,0,0,1.9,0.16,0,0,0.5,0.0003492714,0.03484505,0.09307866
4502,2023-01-20 10:50:03.463467,123466364,0,0,0,0,0,1.92,0.16,0,0,0.5,0.0002369235,0.03484299,0.08816328
4534,2023-01-20 10:50:03.563463,123566347,0,0,0,0,0,1.91,0.16,0,0,0.5,0.0003879769,0.01747778,0.04146445
4568,2023-01-20 10:50:03.663474,123666355,0,0,0,0,0,1.92,0.16,0,0,0.5,0.0005008108,0.02153419,0.04949876
4600,2023-01-20 10:50:03.763479,123766364,0,0,0,0,0,1.91,0.16,0,0,0.5,0.0004126364,0.01322495,0.03658696
4634,2023-01-20 10:50:03.863665,123866353,0,0,0,0,0,1.95,0.16,0,0,0.5,0.0005049889,0.02555676,0.05181183
4666,2023-01-20 10:50:03.963980,123966357,0,0,0,0,0,1.97,0.16,0,0,0.5,0.0002708023,0.01951285,0.04481338
4699,2023-01-20 10:50:04.064140,124066362,0,0,0,0,0,2.04,0.16,0,0,0.5,0.0002996403,0.0340666,0.06939214
4729,2023-01-20 10:50:04.164192,124166346,0,0,0,0,0,2.08,0.16,0,0,0.5,0.0002937272,0.02654086,0.06043648
4764,2023-01-20 10:50:04.264233,124266366,0,0,0,0,0,2.14,0.16,0,0,0.5,0.0003367246,0.04033138,0.08794881
4794,2023-01-20 10:50:04.364227,124366364,0,0,0,0,0,2.2,0.16,0,0,0.5,0.0003336159,0.03009584,0.07219841
4827,2023-01-20 10:50:04.464185,124466350,0,0,0,0,0,2.26,0.16,0,0,0.5,0.0003813962,0.02675854,0.06372031
4860,2023-01-20 10:50:04.564144,124566349,0,0,0,0,0,2.31,0.16,0,0,0.5,0.000478562,0.02035838,0.05378885
4894,2023-01-20 10:50:04.664165,124666357,0,0,0,0,0,2.38,0.16,0,0,0.5,0.0005358157,0.03712254,0.08497106
4926,2023-01-20 10:50:04.764212,124766361,0,0,0,0,0,2.43,0.16,0,0,0.5,0.0004758543,0.02634108,0.06508813
4960,2023-01-20 10:50:04.864187,124866351,0,0,0,0,0,2.52,0.16,0,0,0.5,0.0003330484,0.03179071,0.07373783
4990,2023-01-20 10:50:04.964149,124966361,0,0,0,0,0,2.57,0.16,0,0,0.5,0.000378983,0.02198824,0.05508978
5023,2023-01-20 10:50:05.064161,125066359,0,0,0,0,0,2.64,0.16,0,0,0.5,0.0003144572,0.01047848,0.02768172
5053,2023-01-20 10:50:05.164199,125166348,0,0,0,0,0,2.7,0.16,0,0,0.5,0.0002094742,0.007170392,0.02060547
5088,2023-01-20 10:50:05.264224,125266359,0,0,0,0,0,2.78,0.16,0,0,0.5,0.0002061786,0.004585235,0.01549883
5118,2023-01-20 10:50:05.364216,125366356,0,0,0,0,0,2.84,0.16,0,0,0.5,0.000204141,0.002526229,0.01129526
5151,2023-01-20 10:50:05.464215,125466348,0,0,0,0,0,2.93,0.16,0,0,0.5,0.0003833517,0.012043,0.032873
5183,2023-01-20 10:50:05.564249,125566368,0,0,0,0,0,3,0.16,0,0,0.5,0.000479474,0.006839606,0.02084635
5218,2023-01-20 10:50:05.664237,125666350,0,0,0,0,0,3.08,0.16,0,0,0.5,0.0003006243,0.0115405,0.028368
5250,2023-01-20 10:50:05.764243,125766353,0,0,0,0,0,3.15,0.16,0,0,0.5,0.0001649205,0.007171957,0.01822385
5284,2023-01-20 10:50:05.858431,125866372,0,0,0,0,0,3.21,0.16,0,0,0.5,0.0003683606,0.008022536,0.02106763
5314,2023-01-20 10:50:05.949344,125966358,0,0,0,0,0,3.27,0.16,0,0,0.5,0.0003930441,0.005687395,0.01425612
5347,2023-01-20 10:50:06.044301,126066355,0,0,0,0,0,3.35,0.16,0,0,0.5,0.0003903494,0.01323712,0.03474437
5377,2023-01-20 10:50:06.144339,126166357,0,0,0,0,0,3.41,0.16,0,0,0.5,0.0003018698,0.008506366,0.02838601
5412,2023-01-20 10:50:06.243805,126266351,0,0,0,0,0,3.48,0.16,0,0,0.5,0.0003534181,0.02022355,0.05194493
5444,2023-01-20 10:50:06.342574,126366355,0,0,0,0,0,3.53,0.16,0,0,0.5,0.0002452555,0.009211152,0.04127096
5477,2023-01-20 10:50:06.441850,126466354,0,0,0,0,0,3.6,0.16,0,0,0.5,0.02420206,0.02717892,0.07415095
5509,2023-01-20 10:50:06.541842,126566358,0,0,0,0,0,3.66,0.16,0,0,0.5,0.003925544,0.01897248,0.05976438
5543,2023-01-20 10:50:06.641816,126666366,0,0,0,0,0,3.73,0.16,0,0,0.5,0.006846638,0.01703098,0.0635613
5575,2023-01-20 10:50:06.741744,126766358,0,0,0,0,0,3.78,0.16,0,0,0.5,0.01302635,0.01111273,0.05444393
