LineNo,UTC_Approx,TimeUS,C,MI,BI,GI,AI,SS
371,2023-01-20 10:49:56.258497,116247435,0,0,0,0,0,0
961,2023-01-20 10:49:56.349466,116347450,0,0,0,0,0,0
1119,2023-01-20 10:49:56.451414,116453964,0,0,0,0,0,0
1338,2023-01-20 10:49:56.564043,116565584,0,0,0,0,0,0
1556,2023-01-20 10:49:56.664880,116666343,0,0,0,0,0,0
1878,2023-01-20 10:49:56.764500,116766338,0,0,0,0,0,0
1923,2023-01-20 10:49:56.864372,116866343,0,0,0,0,0,0
1971,2023-01-20 10:49:56.964368,116966340,0,0,0,0,0,0
2021,2023-01-20 10:49:57.064380,117066339,0,0,0,0,0,0
2065,2023-01-20 10:49:57.164406,117166344,0,0,0,0,0,0
2117,2023-01-20 10:49:57.271510,117266340,0,0,0,0,0,0
2176,2023-01-20 10:49:57.382565,117366367,0,0,0,0,0,0
2232,2023-01-20 10:49:57.476613,117466341,0,0,0,0,0,0
2291,2023-01-20 10:49:57.567525,117566339,0,0,0,0,0,0
2345,2023-01-20 10:49:57.664269,117666343,0,0,0,0,0,0
2404,2023-01-20 10:49:57.764245,117766341,0,0,0,0,0,0
2448,2023-01-20 10:49:57.864220,117866343,0,0,0,0,0,0
2493,2023-01-20 10:49:57.964187,117966340,0,0,0,0,0,0
2532,2023-01-20 10:49:58.064248,118066359,0,0,0,0,0,0
2572,2023-01-20 10:49:58.164315,118166343,0,0,0,0,0,0
2614,2023-01-20 10:49:58.264328,118266346,0,0,0,0,0,0
2654,2023-01-20 10:49:58.364299,118366348,0,0,0,0,0,0
2693,2023-01-20 10:49:58.464282,118466343,0,0,0,0,0,0
2734,2023-01-20 10:49:58.564280,118566343,0,0,0,0,0,0
2774,2023-01-20 10:49:58.664277,118666358,0,0,0,0,0,0
2815,2023-01-20 10:49:58.764239,118766347,0,0,0,0,0,0
2859,2023-01-20 10:49:58.864246,118866362,0,0,0,0,0,0
2898,2023-01-20 10:49:58.964232,118966347,0,0,0,0,0,0
2937,2023-01-20 10:49:59.064260,119066357,0,0,0,0,0,0
2976,2023-01-20 10:49:59.164279,119166350,0,0,0,0,0,0
3017,2023-01-20 10:49:59.264288,119266350,0,0,0,0,0,0
3056,2023-01-20 10:49:59.364301,119366364,0,0,0,0,0,0
3096,2023-01-20 10:49:59.464283,119466350,0,0,0,0,0,0
3137,2023-01-20 10:49:59.564294,119566365,0,0,0,0,0,0
3176,2023-01-20 10:49:59.664291,119666375,0,0,0,0,0,0
3217,2023-01-20 10:49:59.764251,119766353,0,0,0,0,0,0
3256,2023-01-20 10:49:59.864240,119866352,0,0,0,0,0,0
3295,2023-01-20 10:49:59.964237,119966354,0,0,0,0,0,0
3334,2023-01-20 10:50:00.064254,120066356,0,0,0,0,0,0
3374,2023-01-20 10:50:00.164280,120166355,0,0,0,0,0,0
3415,2023-01-20 10:50:00.264293,120266363,0,0,0,0,0,0
3454,2023-01-20 10:50:00.364270,120366348,0,0,0,0,0,0
3494,2023-01-20 10:50:00.464283,120466359,0,0,0,0,0,0
3534,2023-01-20 10:50:00.564280,120566349,0,0,0,0,0,0
3575,2023-01-20 10:50:00.664271,120666346,0,0,0,0,0,0
3616,2023-01-20 10:50:00.764268,120766355,0,0,0,0,0,0
3657,2023-01-20 10:50:00.864250,120866353,0,0,0,0,0,0
3694,2023-01-20 10:50:00.964226,120966347,0,0,0,0,0,0
3726,2023-01-20 10:50:01.064251,121066375,0,0,0,0,0,0
3757,2023-01-20 10:50:01.164248,121166365,0,0,0,0,0,0
3791,2023-01-20 10:50:01.264210,121266360,0,0,0,0,0,0
3822,2023-01-20 10:50:01.364148,121366352,0,0,0,0,0,0
3854,2023-01-20 10:50:01.464163,121466353,0,0,0,0,0,0
3887,2023-01-20 10:50:01.564214,121566352,0,0,0,0,0,0
3920,2023-01-20 10:50:01.664229,121666348,0,0,0,0,0,0
3953,2023-01-20 10:50:01.764239,121766356,0,0,0,0,0,0
3986,2023-01-20 10:50:01.864187,121866351,0,0,0,0,0,0
4018,2023-01-20 10:50:01.964107,121966347,0,0,0,0,0,0
4050,2023-01-20 10:50:02.064130,122066355,0,0,0,0,0,0
4081,2023-01-20 10:50:02.164194,122166353,0,0,0,0,0,0
4115,2023-01-20 10:50:02.264211,122266347,0,0,0,0,0,0
4146,2023-01-20 10:50:02.364215,122366353,0,0,0,0,0,0
4178,2023-01-20 10:50:02.463957,122466351,0,0,0,0,0,0
4211,2023-01-20 10:50:02.563582,122566374,0,0,0,0,0,0
4245,2023-01-20 10:50:02.663437,122666351,0,0,0,0,0,0
4277,2023-01-20 10:50:02.763489,122766365,0,0,0,0,0,0
4311,2023-01-20 10:50:02.863453,122866332,0,0,0,0,0,0
4342,2023-01-20 10:50:02.963446,122966350,0,0,0,0,0,0
4375,2023-01-20 10:50:03.063464,123066378,0,0,0,0,0,0
4405,2023-01-20 10:50:03.163459,123166375,0,0,0,0,0,0
4440,2023-01-20 10:50:03.263447,123266360,0,0,0,0,0,0
4470,2023-01-20 10:50:03.363447,123366355,0,0,0,0,0,0
4503,2023-01-20 10:50:03.463467,123466364,0,0,0,0,0,0
4535,2023-01-20 10:50:03.563463,123566347,0,0,0,0,0,0
4569,2023-01-20 10:50:03.663474,123666355,0,0,0,0,0,0
4601,2023-01-20 10:50:03.763479,123766364,0,0,0,0,0,0
4635,2023-01-20 10:50:03.863665,123866353,0,0,0,0,0,0
4667,2023-01-20 10:50:03.963980,123966357,0,0,0,0,0,0
4700,2023-01-20 10:50:04.064140,124066362,0,0,0,0,0,0
4730,2023-01-20 10:50:04.164192,124166346,0,0,0,0,0,0
4765,2023-01-20 10:50:04.264233,124266366,0,0,0,0,0,0
4795,2023-01-20 10:50:04.364227,124366364,0,0,0,0,0,0
4828,2023-01-20 10:50:04.464185,124466350,0,0,0,0,0,0
4861,2023-01-20 10:50:04.564144,124566349,0,0,0,0,0,0
4895,2023-01-20 10:50:04.664165,124666357,0,0,0,0,0,0
