LineNo,UTC_Approx,TimeUS,C,Q1,Q2,Q3,Q4
372,2023-01-20 10:49:56.258497,116247435,0,0.3384375,-0.00454544,0.0105256,-0.9409191
962,2023-01-20 10:49:56.349466,116347450,0,0.3384254,-0.004555919,0.0105076,-0.9409236
1120,2023-01-20 10:49:56.451414,116453964,0,0.3384098,-0.004566744,0.01050884,-0.9409291
1339,2023-01-20 10:49:56.564043,116565584,0,0.3384042,-0.004564749,0.01051529,-0.940931
1557,2023-01-20 10:49:56.664880,116666343,0,0.3384095,-0.004581907,0.01050739,-0.9409292
1879,2023-01-20 10:49:56.764500,116766338,0,0.3383987,-0.00460339,0.01050132,-0.940933
1924,2023-01-20 10:49:56.864372,116866343,0,0.3383735,-0.004603093,0.0104784,-0.9409423
1972,2023-01-20 10:49:56.964368,116966340,0,0.338359,-0.004596154,0.01046298,-0.9409477
2022,2023-01-20 10:49:57.064380,117066339,0,0.3383558,-0.004582176,0.0104461,-0.9409492
2066,2023-01-20 10:49:57.164406,117166344,0,0.3383453,-0.004565148,0.0104438,-0.9409531
2118,2023-01-20 10:49:57.271510,117266340,0,0.3383251,-0.004530862,0.01045491,-0.9409603
2177,2023-01-20 10:49:57.382565,117366367,0,0.3383138,-0.004497236,0.01047153,-0.9409644
2233,2023-01-20 10:49:57.476613,117466341,0,0.3383094,-0.004463677,0.01048639,-0.940966
2292,2023-01-20 10:49:57.567525,117566339,0,0.338291,-0.004455325,0.01047415,-0.9409727
2346,2023-01-20 10:49:57.664269,117666343,0,0.3382655,-0.004461132,0.01045941,-0.9409821
2405,2023-01-20 10:49:57.764245,117766341,0,0.3382519,-0.00447343,0.01046041,-0.9409869
2449,2023-01-20 10:49:57.864220,117866343,0,0.3382618,-0.004482173,0.01045053,-0.9409834
2494,2023-01-20 10:49:57.964187,117966340,0,0.3382463,-0.004510951,0.01044703,-0.9409888
2533,2023-01-20 10:49:58.064248,118066359,0,0.3382225,-0.004535577,0.01044173,-0.9409973
2573,2023-01-20 10:49:58.164315,118166343,0,0.3382104,-0.004534749,0.01044786,-0.9410017
2615,2023-01-20 10:49:58.264328,118266346,0,0.3381962,-0.00454072,0.01046756,-0.9410065
2655,2023-01-20 10:49:58.364299,118366348,0,0.3381188,-0.004460987,0.01043383,-0.9410351
2694,2023-01-20 10:49:58.464282,118466343,0,0.3379916,-0.004533172,0.01040989,-0.9410807
2735,2023-01-20 10:49:58.564280,118566343,0,0.338133,-0.004507393,0.01042383,-0.9410298
2775,2023-01-20 10:49:58.664277,118666358,0,0.3381726,-0.004503494,0.01041659,-0.9410157
2816,2023-01-20 10:49:58.764239,118766347,0,0.3381944,-0.004507881,0.01042308,-0.9410077
2860,2023-01-20 10:49:58.864246,118866362,0,0.3381432,-0.004545009,0.01043591,-0.9410259
2899,2023-01-20 10:49:58.964232,118966347,0,0.3380241,-0.004577508,0.01042389,-0.9410686
2938,2023-01-20 10:49:59.064260,119066357,0,0.3377658,-0.004564847,0.01041326,-0.9411616
2977,2023-01-20 10:49:59.164279,119166350,0,0.3379564,-0.00465715,0.01044727,-0.9410923
3018,2023-01-20 10:49:59.264288,119266350,0,0.3377793,-0.004585076,0.01034101,-0.9411573
3057,2023-01-20 10:49:59.364301,119366364,0,0.3378904,-0.00461249,0.01037519,-0.941117
3097,2023-01-20 10:49:59.464283,119466350,0,0.3380811,-0.004632062,0.01036599,-0.9410486
3138,2023-01-20 10:49:59.564294,119566365,0,0.3378726,-0.004680921,0.01042421,-0.9411225
3177,2023-01-20 10:49:59.664291,119666375,0,0.3378751,-0.004639795,0.01041547,-0.9411219
3218,2023-01-20 10:49:59.764251,119766353,0,0.3381042,-0.004604783,0.01040466,-0.9410399
3257,2023-01-20 10:49:59.864240,119866352,0,0.3379089,-0.004673599,0.01037143,-0.9411101
3296,2023-01-20 10:49:59.964237,119966354,0,0.3378133,-0.004711998,0.01043265,-0.9411436
3335,2023-01-20 10:50:00.064254,120066356,0,0.3380415,-0.004716271,0.01045724,-0.9410613
3375,2023-01-20 10:50:00.164280,120166355,0,0.3378283,-0.004775942,0.01048969,-0.9411372
3416,2023-01-20 10:50:00.264293,120266363,0,0.3376355,-0.004835936,0.01046933,-0.9412063
3455,2023-01-20 10:50:00.364270,120366348,0,0.3379656,-0.004764791,0.01045557,-0.9410884
3495,2023-01-20 10:50:00.464283,120466359,0,0.3379702,-0.004826571,0.01048539,-0.941086
3535,2023-01-20 10:50:00.564280,120566349,0,0.337864,-0.004811443,0.01052534,-0.9411239
3576,2023-01-20 10:50:00.664271,120666346,0,0.3378901,-0.004813308,0.01051642,-0.9411146
3617,2023-01-20 10:50:00.764268,120766355,0,0.3377933,-0.004944282,0.01054899,-0.9411483
3658,2023-01-20 10:50:00.864250,120866353,0,0.3376808,-0.004986329,0.01058686,-0.941188
3695,2023-01-20 10:50:00.964226,120966347,0,0.3378717,-0.004906909,0.01057804,-0.94112
3727,2023-01-20 10:50:01.064251,121066375,0,0.3380452,-0.004957349,0.01061784,-0.9410569
3758,2023-01-20 10:50:01.164248,121166365,0,0.3378915,-0.004949841,0.01055124,-0.9411129
3792,2023-01-20 10:50:01.264210,121266360,0,0.3378401,-0.005063296,0.01058909,-0.9411304
3823,2023-01-20 10:50:01.364148,121366352,0,0.3377973,-0.005125387,0.01053325,-0.941146
3855,2023-01-20 10:50:01.464163,121466353,0,0.3376802,-0.005185957,0.01012221,-0.9411922
3888,2023-01-20 10:50:01.564214,121566352,0,0.3377067,-0.004519096,0.01033606,-0.9411837
3921,2023-01-20 10:50:01.664229,121666348,0,0.3372283,-0.003418704,0.01012277,-0.9413623
3954,2023-01-20 10:50:01.764239,121766356,0,0.3346791,-0.003733871,0.01001414,-0.9422715
3987,2023-01-20 10:50:01.864187,121866351,0,0.3418364,-0.002359545,0.009115889,-0.9397123
4019,2023-01-20 10:50:01.964107,121966347,0,0.3461325,0.002185528,0.002644377,-0.9381795
4051,2023-01-20 10:50:02.064130,122066355,0,0.3479016,0.006201344,-0.002824958,-0.9375064
4082,2023-01-20 10:50:02.164194,122166353,0,0.3480656,0.007426582,-0.009089894,-0.9373968
4116,2023-01-20 10:50:02.264211,122266347,0,0.3471791,-0.0002775512,-0.01022359,-0.9377431
4147,2023-01-20 10:50:02.364215,122366353,0,0.3461415,-0.003840202,-0.009261789,-0.9381288
4179,2023-01-20 10:50:02.463957,122466351,0,0.34738,-0.006199515,-0.01348257,-0.9376071
4212,2023-01-20 10:50:02.563582,122566374,0,0.3505211,-0.007360545,-0.009716441,-0.9364755
4246,2023-01-20 10:50:02.663437,122666351,0,0.3545394,-0.008303748,-0.007250646,-0.9349761
4278,2023-01-20 10:50:02.763489,122766365,0,0.3585716,-0.004718355,-0.007252355,-0.9334621
4312,2023-01-20 10:50:02.863453,122866332,0,0.3611211,0.0002650382,-0.009437155,-0.9324712
4343,2023-01-20 10:50:02.963446,122966350,0,0.3619748,-0.0009901786,-0.01183934,-0.9321122
4376,2023-01-20 10:50:03.063464,123066378,0,0.3611396,-0.003187406,-0.01459514,-0.9323921
4406,2023-01-20 10:50:03.163459,123166375,0,0.3588866,0.002384546,-0.01755691,-0.933213
4441,2023-01-20 10:50:03.263447,123266360,0,0.3568358,0.009660894,-0.01873342,-0.9339293
4471,2023-01-20 10:50:03.363447,123366355,0,0.3575677,0.01357627,-0.02071235,-0.9335588
4504,2023-01-20 10:50:03.463467,123466364,0,0.3602464,0.01354281,-0.02504582,-0.9324226
4536,2023-01-20 10:50:03.563463,123566347,0,0.3646793,0.01280114,-0.02849748,-0.9306089
4570,2023-01-20 10:50:03.663474,123666355,0,0.3696882,0.01081164,-0.02635146,-0.9287193
4602,2023-01-20 10:50:03.763479,123766364,0,0.3743149,0.01021364,-0.02418849,-0.92693
4636,2023-01-20 10:50:03.863665,123866353,0,0.3769931,0.009608055,-0.02000824,-0.9259501
4668,2023-01-20 10:50:03.963980,123966357,0,0.3788118,0.009043272,-0.01452875,-0.9253156
4701,2023-01-20 10:50:04.064140,124066362,0,0.3774746,0.006245509,-0.007002783,-0.9259725
4731,2023-01-20 10:50:04.164192,124166346,0,0.3734212,0.001652276,0.00843179,-0.9276222
4766,2023-01-20 10:50:04.264233,124266366,0,0.3694931,-0.005058598,0.0234543,-0.9289236
4796,2023-01-20 10:50:04.364227,124366364,0,0.3661263,-0.01621579,0.02947108,-0.9299571
4829,2023-01-20 10:50:04.464185,124466350,0,0.3632149,-0.02244957,0.03274952,-0.930859
4862,2023-01-20 10:50:04.564144,124566349,0,0.359685,-0.02220151,0.02534074,-0.9324654
4896,2023-01-20 10:50:04.664165,124666357,0,0.3565128,-0.01564131,0.01346692,-0.9340625
4928,2023-01-20 10:50:04.764212,124766361,0,0.3512405,-0.01126775,0.004789578,-0.9362052
4962,2023-01-20 10:50:04.864187,124866351,0,0.3441816,-0.008217962,0.0002237251,-0.9388671
4992,2023-01-20 10:50:04.964149,124966361,0,0.3416689,-0.007634886,0.005330198,-0.9397743
5025,2023-01-20 10:50:05.064161,125066359,0,0.3450357,-0.007355858,0.0121151,-0.9384826
5055,2023-01-20 10:50:05.164199,125166348,0,0.351759,-0.006645103,0.01488647,-0.9359487
5090,2023-01-20 10:50:05.264224,125266359,0,0.3595117,-0.005269874,0.01452443,-0.9330127
5120,2023-01-20 10:50:05.364216,125366356,0,0.3644736,-0.002821464,0.01149511,-0.9311385
5153,2023-01-20 10:50:05.464215,125466348,0,0.3664556,0.003185511,0.005928155,-0.9304112
5185,2023-01-20 10:50:05.564249,125566368,0,0.3641748,0.004552087,0.002624446,-0.9313158
5220,2023-01-20 10:50:05.664237,125666350,0,0.3596269,-0.003258601,-0.001830649,-0.9330888
5252,2023-01-20 10:50:05.764243,125766353,0,0.3530048,-0.01114146,-0.007002387,-0.935529
5286,2023-01-20 10:50:05.858431,125866372,0,0.3453636,-0.01786336,-0.01152111,-0.9382282
5316,2023-01-20 10:50:05.949344,125966358,0,0.336751,-0.01556273,-0.01622549,-0.9413252
5349,2023-01-20 10:50:06.044301,126066355,0,0.327217,-0.01452232,-0.01637305,-0.9446958
5379,2023-01-20 10:50:06.144339,126166357,0,0.3174043,-0.01442151,-0.01897448,-0.9479908
5414,2023-01-20 10:50:06.243805,126266351,0,0.3094319,-0.01626306,-0.01890029,-0.9505947
5446,2023-01-20 10:50:06.342574,126366355,0,0.2784059,-0.02088724,-0.0135803,-0.9601403
5479,2023-01-20 10:50:06.441850,126466354,0,0.279562,-0.02377159,-0.005673519,-0.9598166
