LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
2406,2023-01-20 10:49:57.764245,117766341,0,404,0.0025,0.0025,0.01235511,0.01251271,0.01103416,0.01304059,0.01003117,0.01304054
4313,2023-01-20 10:50:02.863453,122866332,0,409,0.0025,0.0025,0.01242177,0.01251193,0.01103425,0.01304069,0.01003107,0.01304062
5966,2023-01-20 10:50:07.946816,127966367,0,409,0.0025,0.0025,0.01239785,0.01250458,0.0110343,0.01304069,0.01003118,0.01304062
7586,2023-01-20 10:50:12.938811,132967000,0,401,0.0025,0.0025,0.01239322,0.01251102,0.01103428,0.01304074,0.01003129,0.0130407
9238,2023-01-20 10:50:18.021482,138067027,0,408,0.0025,0.0025,0.01248434,0.01251253,0.01103437,0.01304084,0.01103432,0.01304078
10891,2023-01-20 10:50:23.119206,143167019,0,408,0.0025,0.0025,0.01248496,0.01251289,0.01103444,0.01304093,0.0110344,0.01304088
12549,2023-01-20 10:50:28.199356,148267000,0,408,0.0025,0.0025,0.01248484,0.01251231,0.01103452,0.01304102,0.01103448,0.01304097
14200,2023-01-20 10:50:33.299181,153367002,0,408,0.0025,0.0025,0.01248468,0.01251221,0.01103459,0.0130412,0.01103455,0.01304116
15855,2023-01-20 10:50:38.379427,158467012,0,408,0.0025,0.0025,0.01248463,0.01251227,0.01103473,0.01304126,0.01103473,0.01304126
17520,2023-01-20 10:50:43.479235,163567011,0,408,0.0025,0.0025,0.01248439,0.01251228,0.01103481,0.01304136,0.01103481,0.01304135
19187,2023-01-20 10:50:48.559275,168667002,0,408,0.0025,0.0025,0.01248458,0.01251236,0.01103492,0.01304148,0.01103488,0.01304144
20895,2023-01-20 10:50:53.659195,173767005,0,408,0.0025,0.0025,0.01248468,0.01251245,0.01103498,0.01304163,0.01103495,0.01304159
22559,2023-01-20 10:50:58.738973,178867002,0,408,0.0025,0.0025,0.01248487,0.01251244,0.0110351,0.01304169,0.01103507,0.01304166
24225,2023-01-20 10:51:03.838920,183966995,0,408,0.0025,0.0025,0.01248469,0.01251261,0.01103516,0.01304176,0.01103517,0.01304177
25943,2023-01-20 10:51:08.919160,189067005,0,408,0.0025,0.0025,0.01248507,0.01251268,0.0110352,0.01304181,0.01103521,0.01304187
27610,2023-01-20 10:51:14.019114,194166999,0,408,0.0025,0.0025,0.01248507,0.01251279,0.01103525,0.01304191,0.0110353,0.01304192
29244,2023-01-20 10:51:18.999167,199167008,0,400,0.0025,0.0025,0.01248524,0.01251291,0.01103532,0.01304195,0.01103533,0.01304196
30834,2023-01-20 10:51:24.099273,204266995,0,408,0.0025,0.0025,0.01248527,0.01251296,0.01103536,0.01304199,0.01103536,0.01304203
32538,2023-01-20 10:51:29.179194,209367001,0,408,0.0025,0.0025,0.0124853,0.01251298,0.01103539,0.01304206,0.01103543,0.01304207
34125,2023-01-20 10:51:34.279191,214466999,0,408,0.0025,0.0025,0.01248517,0.01251307,0.01103545,0.01304209,0.01103545,0.0130421
35735,2023-01-20 10:51:39.359354,219566995,0,408,0.0025,0.0025,0.01248535,0.01251304,0.01103547,0.01304212,0.01103548,0.01304213
37358,2023-01-20 10:51:44.359195,224567018,0,400,0.0025,0.0025,0.01248533,0.01251296,0.01103549,0.01304215,0.0110355,0.01304218
39008,2023-01-20 10:51:49.438903,229666999,0,408,0.0025,0.0025,0.01248514,0.01251303,0.01103553,0.01304219,0.01103554,0.0130422
40636,2023-01-20 10:51:54.435459,234667012,0,400,0.0025,0.0025,0.01248506,0.01251295,0.0110356,0.01304227,0.01103556,0.01304222
42298,2023-01-20 10:51:59.519167,239767009,0,408,0.0025,0.0025,0.01248538,0.0125129,0.01103561,0.01304229,0.01103557,0.01304224
44009,2023-01-20 10:52:04.599447,244867007,0,408,0.0025,0.0025,0.01248534,0.01251289,0.01103562,0.01304231,0.01103565,0.01304233
45677,2023-01-20 10:52:09.699227,249967006,0,408,0.0025,0.0025,0.01248532,0.01251292,0.0110357,0.01304238,0.01103566,0.01304234
47345,2023-01-20 10:52:14.781291,255067010,0,408,0.0025,0.0025,0.01248523,0.01251285,0.0110357,0.01304246,0.01103573,0.01304242
49063,2023-01-20 10:52:19.879147,260167000,0,408,0.0025,0.0025,0.01248528,0.01251287,0.01103576,0.01304246,0.01103579,0.01304249
50732,2023-01-20 10:52:24.959138,265267003,0,408,0.0025,0.0025,0.01248525,0.01251286,0.01103581,0.01304253,0.01103578,0.01304254
52399,2023-01-20 10:52:30.059126,270366999,0,408,0.0025,0.0025,0.01248526,0.01251288,0.01103586,0.01304258,0.01103583,0.01304254
54083,2023-01-20 10:52:35.038814,275367017,0,400,0.0025,0.0025,0.01248527,0.01251289,0.0110359,0.01304263,0.01103588,0.01304265
55752,2023-01-20 10:52:40.138878,280467009,0,408,0.0025,0.0025,0.01248526,0.0125129,0.01103595,0.01304268,0.01103592,0.01304264
57422,2023-01-20 10:52:45.219193,285567015,0,408,0.0025,0.0025,0.01248531,0.01251276,0.01103603,0.01304277,0.01103596,0.01304274
59090,2023-01-20 10:52:50.319155,290666999,0,408,0.0025,0.0025,0.01248532,0.01251283,0.01103602,0.01304276,0.01103608,0.01304283
60775,2023-01-20 10:52:55.299158,295667000,0,400,0.0025,0.0025,0.0124852,0.01251306,0.01103606,0.01304284,0.01103606,0.01304283
62442,2023-01-20 10:53:00.399257,300766996,0,408,0.0025,0.0025,0.01248534,0.01251305,0.01103612,0.01304292,0.01103616,0.01304289
64076,2023-01-20 10:53:05.379249,305767000,0,400,0.0025,0.0025,0.0124864,0.01251271,0.01203948,0.01304295,0.01103616,0.01304293
65795,2023-01-20 10:53:10.479246,310867004,0,408,0.0025,0.0025,0.01248586,0.01251248,0.01103625,0.01304303,0.01103619,0.013043
67462,2023-01-20 10:53:15.559251,315966996,0,408,0.0025,0.0025,0.01248551,0.01251199,0.01103627,0.01304308,0.01203955,0.01304306
69096,2023-01-20 10:53:20.559240,320967000,0,400,0.0025,0.0025,0.01248553,0.01251195,0.01103632,0.01304311,0.0120396,0.01304309
70815,2023-01-20 10:53:25.638899,326066997,0,408,0.0025,0.0025,0.01248556,0.01251259,0.01103634,0.01304315,0.01103635,0.01304314
72449,2023-01-20 10:53:30.635436,331067000,0,400,0.0025,0.0025,0.01248508,0.01251267,0.0110364,0.0130432,0.01103637,0.01304318
74118,2023-01-20 10:53:35.719194,336167003,0,408,0.0025,0.0025,0.01248523,0.01251269,0.0110365,0.01304331,0.01103647,0.01304329
75780,2023-01-20 10:53:40.799358,341266995,0,408,0.0025,0.0025,0.01248522,0.01251273,0.01103651,0.01304333,0.01103651,0.01304331
77437,2023-01-20 10:53:45.899196,346366997,0,408,0.0025,0.0025,0.01248548,0.01251283,0.01103653,0.01304336,0.01103652,0.01304334
79069,2023-01-20 10:53:50.879264,351367001,0,400,0.0025,0.0025,0.01248516,0.012513,0.0110367,0.01304338,0.01103653,0.01304336
80781,2023-01-20 10:53:55.979138,356466993,0,408,0.0025,0.0025,0.01248541,0.01251353,0.01103657,0.0130434,0.01103657,0.01304346
82416,2023-01-20 10:54:00.959162,361467025,0,400,0.0025,0.0025,0.01248629,0.01251312,0.01103659,0.0130434,0.01103663,0.01304346
84088,2023-01-20 10:54:06.059141,366567007,0,408,0.0025,0.0025,0.01248577,0.01251363,0.01103659,0.01304342,0.01103657,0.0130434
85806,2023-01-20 10:54:11.138916,371666999,0,408,0.0025,0.0025,0.01248582,0.01251369,0.0110366,0.01304343,0.01103658,0.01304341
87442,2023-01-20 10:54:16.138922,376667002,0,400,0.0025,0.0025,0.01248596,0.01251368,0.01103654,0.01304337,0.01103659,0.01304341
89109,2023-01-20 10:54:21.219146,381766998,0,408,0.0025,0.0025,0.01248609,0.01251367,0.01103649,0.01304337,0.01103653,0.01304336
90825,2023-01-20 10:54:26.319153,386867005,0,408,0.0025,0.0025,0.01248598,0.01251385,0.0110365,0.01304332,0.01103648,0.01304336
92493,2023-01-20 10:54:31.399255,391966994,0,408,0.0025,0.0025,0.01248619,0.0125138,0.01103645,0.01304325,0.01103644,0.0130433
