LineNo,UTC_Approx,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
1558,2023-01-20 10:49:56.664880,116666343,0,0.0002379293,7.078503E-06,7.048654E-06,3.589581E-05,0.04905101,0.0490513,0.01512436,0.4252145,0.4252151,0.1787619,4.21342E-11,4.216109E-11
2067,2023-01-20 10:49:57.164406,117166344,0,0.0002374148,7.319946E-06,7.290243E-06,3.577572E-05,0.07166692,0.07166667,0.01624609,0.4468372,0.446838,0.2042356,4.245895E-11,4.248549E-11
2347,2023-01-20 10:49:57.664269,117666343,0,0.0002369115,7.479743E-06,7.450165E-06,3.565496E-05,0.08529325,0.08529211,0.01683444,0.4339496,0.4339504,0.2269142,4.266082E-11,4.268724E-11
2574,2023-01-20 10:49:58.164315,118166343,0,0.0002364149,7.97596E-06,7.946623E-06,3.554011E-05,0.1028545,0.1028527,0.01765108,0.4610253,0.4610261,0.2522721,4.329989E-11,4.332625E-11
2776,2023-01-20 10:49:58.664277,118666358,0,0.0002359076,8.513434E-06,8.484004E-06,3.544404E-05,0.09644849,0.09644695,0.01781238,0.4440808,0.4440812,0.2717486,4.395082E-11,4.397747E-11
2978,2023-01-20 10:49:59.164279,119166350,0,0.0002354765,9.227789E-06,9.198362E-06,3.528596E-05,0.09991352,0.09991204,0.01825378,0.4695688,0.4695691,0.2935869,4.481772E-11,4.484458E-11
3178,2023-01-20 10:49:59.664291,119666375,0,0.0002349861,9.981295E-06,9.952015E-06,3.519801E-05,0.08648899,0.08648743,0.01808224,0.4486608,0.448661,0.3082403,4.569509E-11,4.572255E-11
3376,2023-01-20 10:50:00.164280,120166355,0,0.000234571,1.081645E-05,1.078652E-05,3.504562E-05,0.08564076,0.08563974,0.01828183,0.4721237,0.4721234,0.3256098,4.663998E-11,4.666786E-11
3577,2023-01-20 10:50:00.664271,120666346,0,0.0002340889,1.1682E-05,1.165131E-05,3.496911E-05,0.07300283,0.07300236,0.01788316,0.4482843,0.4482841,0.3347465,4.757427E-11,4.760316E-11
3759,2023-01-20 10:50:01.164248,121166365,0,0.0002336867,1.260517E-05,1.25737E-05,3.482444E-05,0.07188077,0.07187938,0.01795722,0.470484,0.4704833,0.3478143,4.853765E-11,4.856722E-11
3922,2023-01-20 10:50:01.664229,121666348,0,0.0002332783,1.356096E-05,1.352692E-05,3.469563E-05,0.06302122,0.06301925,0.0175522,0.4495516,0.4495508,0.3536667,4.948333E-11,4.951428E-11
4083,2023-01-20 10:50:02.164194,122166353,0,0.0002309313,1.455919E-05,1.457149E-05,3.666196E-05,0.06144833,0.06144487,0.01751828,0.469359,0.469358,0.3632142,5.044582E-11,5.047776E-11
4247,2023-01-20 10:50:02.663437,122666351,0,0.0002299713,1.561372E-05,1.559094E-05,3.710048E-05,0.0542386,0.05423424,0.01702458,0.4466559,0.4466549,0.364994,5.136127E-11,5.139479E-11
4407,2023-01-20 10:50:03.163459,123166375,0,0.0002273588,1.672037E-05,1.666478E-05,3.918697E-05,0.05319777,0.05318868,0.01695037,0.4640959,0.464095,0.3708706,5.229336E-11,5.232773E-11
4571,2023-01-20 10:50:03.663474,123666355,0,0.0002260343,1.794688E-05,1.782413E-05,3.981995E-05,0.04751949,0.04750665,0.01462485,0.4416327,0.4416323,0.2939754,5.318444E-11,5.322103E-11
4732,2023-01-20 10:50:04.164192,124166346,0,0.0002229853,1.892623E-05,1.893123E-05,4.252823E-05,0.04908689,0.04909332,0.01360607,0.4658614,0.4658595,0.2432093,5.40613E-11,5.409988E-11
4897,2023-01-20 10:50:04.664165,124666357,0,0.0002260039,2.020555E-05,2.013336E-05,3.880389E-05,0.04613999,0.04614073,0.0129283,0.4524153,0.4524142,0.2111402,5.4838E-11,5.487871E-11
5056,2023-01-20 10:50:05.164199,125166348,0,0.0002287939,2.125141E-05,2.120363E-05,3.574316E-05,0.04687561,0.04691635,0.01270292,0.4733313,0.4733309,0.1912327,5.560983E-11,5.565049E-11
5221,2023-01-20 10:50:05.664237,125666350,0,0.0002244103,2.229797E-05,2.229678E-05,3.959189E-05,0.04356604,0.04364375,0.01238194,0.4545013,0.4545019,0.1762836,5.617797E-11,5.62171E-11
5380,2023-01-20 10:50:06.144339,126166357,0,0.0002311602,2.352515E-05,2.34922E-05,3.237508E-05,0.04445094,0.0446033,0.01239595,0.4766128,0.4766215,0.1679402,5.685426E-11,5.689178E-11
5546,2023-01-20 10:50:06.641816,126666366,0,0.01020543,0.0001029294,0.0001108729,0.0009507744,0.04271922,0.04371432,0.01221247,0.4586538,0.4586663,0.1604594,5.744007E-11,5.747523E-11
5705,2023-01-20 10:50:07.141493,127166349,0,0.008420437,8.234668E-05,0.0001077403,0.0007204463,0.05610216,0.06488727,0.01237364,0.4770823,0.4772541,0.1562508,5.83513E-11,5.838477E-11
5869,2023-01-20 10:50:07.646106,127666349,0,0.007623381,7.69494E-05,9.75937E-05,0.0006351444,0.06777857,0.07885537,0.01229457,0.4567855,0.4570451,0.1522363,5.929982E-11,5.933517E-11
6030,2023-01-20 10:50:08.141378,128166352,0,0.007157518,6.529488E-05,8.317911E-05,0.0006243183,0.08626321,0.09887765,0.01245753,0.4771477,0.4783243,0.1506993,6.021695E-11,6.02529E-11
6194,2023-01-20 10:50:08.641444,128666362,0,0.006680424,5.321246E-05,8.893768E-05,0.0006935982,0.0867173,0.0932223,0.01218542,0.4579975,0.4589843,0.1484706,6.104634E-11,6.106975E-11
6356,2023-01-20 10:50:09.141672,129166352,0,0.006528188,5.041163E-05,6.28792E-05,0.0006580797,0.09282092,0.09730575,0.01206938,0.4773402,0.4787979,0.1476217,6.189023E-11,6.18947E-11
6520,2023-01-20 10:50:09.639155,129666642,0,0.006235614,4.652215E-05,9.524317E-05,0.0007201534,0.08458608,0.08481132,0.01161176,0.4590171,0.4600472,0.146257,6.272206E-11,6.269481E-11
6680,2023-01-20 10:50:10.139156,130166654,0,0.005797645,3.792384E-05,8.378513E-05,0.0007808409,0.0918658,0.09189507,0.01137905,0.4830532,0.4839028,0.1460853,6.361643E-11,6.356651E-11
6844,2023-01-20 10:50:10.638947,130667009,0,0.005137661,3.226747E-05,6.21506E-05,0.0007017559,0.08331647,0.08469565,0.01104616,0.4648716,0.4655588,0.1446433,6.450183E-11,6.441754E-11
7003,2023-01-20 10:50:11.138863,131167011,0,0.004492452,3.626365E-05,0.0001068176,0.000570179,0.09271733,0.103966,0.01093574,0.4892265,0.4895813,0.1446494,6.54372E-11,6.532852E-11
