LineNo,UTC_Approx,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
365,2023-01-20 10:49:56.258497,116247435,0,167.9515,14.61458,216.0025,288.0025,0.002492592,72.00249,144.0025,0.2,0.2,0.2,0.2,0.2
955,2023-01-20 10:49:56.349466,116347450,0,198.8988,14.4459,216.0058,288.0058,0.005809412,72.00581,144.0058,0.2,0.2,0.2,0.2,0.2
1113,2023-01-20 10:49:56.451414,116453964,0,145.9873,14.26941,216.0049,288.0063,0.01132752,72.01305,144.0091,0.2000129,0.1999703,0.1999687,0.2000104,0.2000377
1332,2023-01-20 10:49:56.564043,116565584,0,146.0127,14.2695,216.0064,288.0078,0.01279504,72.01451,144.0106,0.2000129,0.1999703,0.1999687,0.2000104,0.2000377
1550,2023-01-20 10:49:56.664880,116666343,0,243.1261,14.70855,216.0171,288.0064,0.004670307,72.01435,144.0221,0.2000728,0.200058,0.199963,0.1999191,0.199987
1872,2023-01-20 10:49:56.764500,116766338,0,243.1354,14.7087,216.0225,288.0118,0.01005719,72.01974,144.0275,0.2000728,0.200058,0.199963,0.1999191,0.199987
1917,2023-01-20 10:49:56.864372,116866343,0,342.45,14.45146,216.0356,288.0358,0.01615717,72.00388,144.0159,0.1999077,0.2000904,0.2001481,0.2000011,0.1998526
1965,2023-01-20 10:49:56.964368,116966340,0,342.4479,14.45158,216.038,288.0382,0.01856905,72.00629,144.0183,0.1999077,0.2000904,0.2001481,0.2000011,0.1998526
2015,2023-01-20 10:49:57.064380,117066339,0,33.78132,14.94088,216.028,288.0572,0.04433023,72.00721,143.9972,0.1997209,0.1999241,0.2002324,0.2002194,0.1999033
2059,2023-01-20 10:49:57.164406,117166344,0,33.77992,14.94067,216.0325,288.0616,0.04879179,72.01167,144.0016,0.1997209,0.1999241,0.2002324,0.2002194,0.1999033
2111,2023-01-20 10:49:57.271510,117266340,0,72.43925,14.24989,215.9892,288.0793,0.1077224,72.03526,143.9621,0.1994551,0.1994495,0.2002045,0.2006775,0.2002135
2170,2023-01-20 10:49:57.382565,117366367,0,72.44234,14.24992,215.9919,288.0819,0.1103484,72.03789,143.9647,0.1994551,0.1994495,0.2002045,0.2006775,0.2002135
2226,2023-01-20 10:49:57.476613,117466341,0,61.83243,14.3089,215.9992,288.109,0.12407,72.02372,143.9466,0.1992454,0.1994198,0.2003961,0.2008256,0.2001132
