LineNo,UTC_Approx,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
366,2023-01-20 10:49:56.258497,116247435,0,0,0,0,0,0,0,0,0,0,0
956,2023-01-20 10:49:56.349466,116347450,0,0,0,0,0,0,0,0,0,0,0
1114,2023-01-20 10:49:56.451414,116453964,0,0.02410955,0.0271733,0.0313795,0.03091535,0.02642229,-0.05839484,-0.06182204,-0.05996731,-0.05539384,-0.05442199
1333,2023-01-20 10:49:56.564043,116565584,0,0.02410955,0.0271733,0.0313795,0.03091535,0.02642229,-0.05839484,-0.06182204,-0.05996731,-0.05539384,-0.05442199
1551,2023-01-20 10:49:56.664880,116666343,0,0.04109056,0.04553874,0.05223219,0.05191988,0.04503435,0.06239697,0.05680453,0.05930732,0.06644627,0.06835531
1873,2023-01-20 10:49:56.764500,116766338,0,0.04109056,0.04553874,0.05223219,0.05191988,0.04503435,0.06239697,0.05680453,0.05930732,0.06644627,0.06835531
1918,2023-01-20 10:49:56.864372,116866343,0,-0.1087571,-0.1028822,-0.09423885,-0.09477253,-0.1037467,0.04589303,0.0387152,0.04208396,0.05134643,0.05369972
1966,2023-01-20 10:49:56.964368,116966340,0,-0.1087571,-0.1028822,-0.09423885,-0.09477253,-0.1037467,0.04589303,0.0387152,0.04208396,0.05134643,0.05369972
2016,2023-01-20 10:49:57.064380,117066339,0,-0.08639947,-0.07835376,-0.06620683,-0.06673819,-0.07921939,-0.05082216,-0.06098218,-0.05647295,-0.04352588,-0.04002932
2060,2023-01-20 10:49:57.164406,117166344,0,-0.08639947,-0.07835376,-0.06620683,-0.06673819,-0.07921939,-0.05082216,-0.06098218,-0.05647295,-0.04352588,-0.04002932
2112,2023-01-20 10:49:57.271510,117266340,0,-0.0817129,-0.07140655,-0.0576859,-0.05950177,-0.07434699,-0.1435886,-0.1546748,-0.1482999,-0.1332845,-0.1303644
2171,2023-01-20 10:49:57.382565,117366367,0,-0.0817129,-0.07140655,-0.0576859,-0.05950177,-0.07434699,-0.1435886,-0.1546748,-0.1482999,-0.1332845,-0.1303644
2227,2023-01-20 10:49:57.476613,117466341,0,-0.080607,-0.07010517,-0.05491319,-0.05602344,-0.07188024,0.006275397,-0.006304562,-0.0001929514,0.01612465,0.02013126
2286,2023-01-20 10:49:57.567525,117566339,0,-0.080607,-0.07010517,-0.05491319,-0.05602344,-0.07188024,0.006275397,-0.006304562,-0.0001929514,0.01612465,0.02013126
2340,2023-01-20 10:49:57.664269,117666343,0,-0.03442111,-0.02213866,-0.004530251,-0.005915977,-0.02435973,-0.00108403,-0.015637,-0.008441772,0.01050292,0.01506907
2399,2023-01-20 10:49:57.764245,117766341,0,-0.03442111,-0.02213866,-0.004530251,-0.005915977,-0.02435973,-0.00108403,-0.015637,-0.008441772,0.01050292,0.01506907
2443,2023-01-20 10:49:57.864220,117866343,0,0.001537807,0.01460237,0.03431432,0.03344963,0.01322784,0.04235049,0.02583432,0.03316851,0.05415217,0.05984947
2488,2023-01-20 10:49:57.964187,117966340,0,0.001537807,0.01460237,0.03431432,0.03344963,0.01322784,0.04235049,0.02583432,0.03316851,0.05415217,0.05984947
2527,2023-01-20 10:49:58.064248,118066359,0,0.007425535,0.02191867,0.04299617,0.0415564,0.01959994,-0.01619828,-0.03368462,-0.02529878,-0.002684806,0.002965786
2567,2023-01-20 10:49:58.164315,118166343,0,0.007425535,0.02191867,0.04299617,0.0415564,0.01959994,-0.01619828,-0.03368462,-0.02529878,-0.002684806,0.002965786
2609,2023-01-20 10:49:58.264328,118266346,0,-0.08125196,-0.06569249,-0.04349457,-0.04531765,-0.06862413,-0.01351139,-0.03182596,-0.02267812,0.001235679,0.006921565
2649,2023-01-20 10:49:58.364299,118366348,0,-0.08125196,-0.06569249,-0.04349457,-0.04531765,-0.06862413,-0.01351139,-0.03182596,-0.02267812,0.001235679,0.006921565
2688,2023-01-20 10:49:58.464282,118466343,0,0.07657586,0.09336315,0.1178075,0.1161614,0.09072199,0.1071765,0.08688034,0.09658566,0.1227961,0.1293774
2729,2023-01-20 10:49:58.564280,118566343,0,0.07657586,0.09336315,0.1178075,0.1161614,0.09072199,0.1071765,0.08688034,0.09658566,0.1227961,0.1293774
2769,2023-01-20 10:49:58.664277,118666358,0,-0.08836811,-0.07222477,-0.04926141,-0.05117479,-0.07534901,-0.09257085,-0.1114843,-0.1019908,-0.07721333,-0.0713686
2810,2023-01-20 10:49:58.764239,118766347,0,-0.08836811,-0.07222477,-0.04926141,-0.05117479,-0.07534901,-0.09257085,-0.1114843,-0.1019908,-0.07721333,-0.0713686
2854,2023-01-20 10:49:58.864246,118866362,0,0.06239751,0.0797457,0.1017807,0.09808441,0.07376979,-0.05667227,-0.07423919,-0.06316636,-0.03880968,-0.03476613
2893,2023-01-20 10:49:58.964232,118966347,0,0.06239751,0.0797457,0.1017807,0.09808441,0.07376979,-0.05667227,-0.07423919,-0.06316636,-0.03880968,-0.03476613
2932,2023-01-20 10:49:59.064260,119066357,0,-0.07663016,-0.05740069,-0.03433255,-0.03931921,-0.06542561,-0.07480557,-0.09283236,-0.08009192,-0.0542454,-0.0509762
2971,2023-01-20 10:49:59.164279,119166350,0,-0.07663016,-0.05740069,-0.03433255,-0.03931921,-0.06542561,-0.07480557,-0.09283236,-0.08009192,-0.0542454,-0.0509762
3012,2023-01-20 10:49:59.264288,119266350,0,-0.1056606,-0.09323506,-0.07206313,-0.07143006,-0.09214053,0.1636627,0.1454104,0.1516241,0.1736343,0.1810747
3051,2023-01-20 10:49:59.364301,119366364,0,-0.1056606,-0.09323506,-0.07206313,-0.07143006,-0.09214053,0.1636627,0.1454104,0.1516241,0.1736343,0.1810747
3091,2023-01-20 10:49:59.464283,119466350,0,-0.03214341,-0.02929738,-0.000623554,0.01426104,-0.005149335,-0.04145347,-0.07073531,-0.07704367,-0.05178193,-0.02975753
3132,2023-01-20 10:49:59.564294,119566365,0,-0.03214341,-0.02929738,-0.000623554,0.01426104,-0.005149335,-0.04145347,-0.07073531,-0.07704367,-0.05178193,-0.02975753
3171,2023-01-20 10:49:59.664291,119666375,0,-0.003224351,0.02165269,0.05199749,0.04593646,0.01186699,-0.01797699,-0.04187423,-0.02558853,0.008253228,0.01301663
3212,2023-01-20 10:49:59.764251,119766353,0,-0.003224351,0.02165269,0.05199749,0.04593646,0.01186699,-0.01797699,-0.04187423,-0.02558853,0.008253228,0.01301663
3251,2023-01-20 10:49:59.864240,119866352,0,0.03508461,0.06725048,0.09442294,0.07911872,0.04249914,-0.1713512,-0.1895429,-0.1645672,-0.1310521,-0.1351835
3290,2023-01-20 10:49:59.964237,119966354,0,0.03508461,0.06725048,0.09442294,0.07911872,0.04249914,-0.1713512,-0.1895429,-0.1645672,-0.1310521,-0.1351835
3329,2023-01-20 10:50:00.064254,120066356,0,-0.09611253,-0.08227196,-0.04891552,-0.04230753,-0.07132774,-0.03893368,-0.06954436,-0.06570768,-0.03292518,-0.01643822
3369,2023-01-20 10:50:00.164280,120166355,0,-0.09611253,-0.08227196,-0.04891552,-0.04230753,-0.07132774,-0.03893368,-0.06954436,-0.06570768,-0.03292518,-0.01643822
3410,2023-01-20 10:50:00.264293,120266363,0,0.06630978,0.09493074,0.1291712,0.1216245,0.08301254,-0.05752981,-0.08437309,-0.06529388,-0.02703639,-0.02221803
3449,2023-01-20 10:50:00.364270,120366348,0,0.06630978,0.09493074,0.1291712,0.1216245,0.08301254,-0.05752981,-0.08437309,-0.06529388,-0.02703639,-0.02221803
3489,2023-01-20 10:50:00.464283,120466359,0,0.06432374,0.08526622,0.1118081,0.1070793,0.07792775,-0.000536466,-0.02169867,-0.008155888,0.02110541,0.02575404
3529,2023-01-20 10:50:00.564280,120566349,0,0.06432374,0.08526622,0.1118081,0.1070793,0.07792775,-0.000536466,-0.02169867,-0.008155888,0.02110541,0.02575404
3570,2023-01-20 10:50:00.664271,120666346,0,0.02905883,0.0514359,0.08543872,0.08375321,0.0491145,-0.008251741,-0.03673821,-0.0240453,0.0120399,0.02165768
3611,2023-01-20 10:50:00.764268,120766355,0,0.02905883,0.0514359,0.08543872,0.08375321,0.0491145,-0.008251741,-0.03673821,-0.0240453,0.0120399,0.02165768
3652,2023-01-20 10:50:00.864250,120866353,0,0.06721925,0.08897566,0.1231049,0.1220688,0.0877154,-0.1278607,-0.1566431,-0.1446265,-0.108613,-0.09843277
3689,2023-01-20 10:50:00.964226,120966347,0,0.06721925,0.08897566,0.1231049,0.1220688,0.0877154,-0.1278607,-0.1566431,-0.1446265,-0.108613,-0.09843277
3721,2023-01-20 10:50:01.064251,121066375,0,-0.002067842,0.01485384,0.04688097,0.04923385,0.01915646,0.06096886,0.03290358,0.04058534,0.07326949,0.08558726
3752,2023-01-20 10:50:01.164248,121166365,0,-0.002067842,0.01485384,0.04688097,0.04923385,0.01915646,0.06096886,0.03290358,0.04058534,0.07326949,0.08558726
3786,2023-01-20 10:50:01.264210,121266360,0,-0.1026563,-0.06801331,-0.03783637,-0.0543034,-0.09405372,-0.02664398,-0.04713088,-0.02019592,0.01656184,0.01237008
3817,2023-01-20 10:50:01.364148,121366352,0,-0.1026563,-0.06801331,-0.03783637,-0.0543034,-0.09405372,-0.02664398,-0.04713088,-0.02019592,0.01656184,0.01237008
3849,2023-01-20 10:50:01.464163,121466353,0,-0.1603654,-0.1417455,-0.1083963,-0.1068532,-0.1387927,0.02407757,-0.004863193,0.004142391,0.03848922,0.05057739
3882,2023-01-20 10:50:01.564214,121566352,0,-0.1603654,-0.1417455,-0.1083963,-0.1068532,-0.1387927,0.02407757,-0.004863193,0.004142391,0.03848922,0.05057739
3915,2023-01-20 10:50:01.664229,121666348,0,0.07336239,0.1006302,0.1304794,0.1213765,0.08634333,0.04950658,0.02691073,0.04609462,0.08018319,0.08219442
3948,2023-01-20 10:50:01.764239,121766356,0,0.07336239,0.1006302,0.1304794,0.1213765,0.08634333,0.04950658,0.02691073,0.04609462,0.08018319,0.08219442
3981,2023-01-20 10:50:01.864187,121866351,0,0.0710437,0.1577228,0.2201439,0.1713284,0.07986875,-0.1085552,-0.1462145,-0.07481864,0.006020993,-0.01506913
4013,2023-01-20 10:50:01.964107,121966347,0,0.0710437,0.1577228,0.2201439,0.1713284,0.07986875,-0.1085552,-0.1462145,-0.07481864,0.006020993,-0.01506913
4045,2023-01-20 10:50:02.064130,122066355,0,-0.07908631,-0.1108175,-0.05265565,0.0137028,-0.00321833,0.003701482,-0.06668955,-0.1185073,-0.07869878,-0.004215159
4076,2023-01-20 10:50:02.164194,122166353,0,-0.07908631,-0.1108175,-0.05265565,0.0137028,-0.00321833,0.003701482,-0.06668955,-0.1185073,-0.07869878,-0.004215159
4110,2023-01-20 10:50:02.264211,122266347,0,0.001879964,-0.01748788,-0.002080176,0.02642112,0.02848384,-0.2631809,-0.2851928,-0.310496,-0.3033268,-0.2744672
4141,2023-01-20 10:50:02.364215,122366353,0,0.001879964,-0.01748788,-0.002080176,0.02642112,0.02848384,-0.2631809,-0.2851928,-0.310496,-0.3033268,-0.2744672
4173,2023-01-20 10:50:02.463957,122466351,0,-0.00384786,-0.03259429,-0.06874433,-0.06092802,-0.02127182,0.03916999,0.06751513,0.04824781,0.008298091,0.00344295
4206,2023-01-20 10:50:02.563582,122566374,0,-0.00384786,-0.03259429,-0.06874433,-0.06092802,-0.02127182,0.03916999,0.06751513,0.04824781,0.008298091,0.00344295
4240,2023-01-20 10:50:02.663437,122666351,0,0.01586245,0.1256001,0.1482327,0.05058644,-0.02874398,0.1021442,0.1130062,0.22266,0.2759337,0.2010567
4272,2023-01-20 10:50:02.763489,122766365,0,0.01586245,0.1256001,0.1482327,0.05058644,-0.02874398,0.1021442,0.1130062,0.22266,0.2759337,0.2010567
4306,2023-01-20 10:50:02.863453,122866332,0,-0.1003217,0.03691927,0.09178108,-0.01705013,-0.1327001,-0.3313704,-0.3441795,-0.2142291,-0.1245442,-0.1994308
4337,2023-01-20 10:50:02.963446,122966350,0,-0.1003217,0.03691927,0.09178108,-0.01705013,-0.1327001,-0.3313704,-0.3441795,-0.2142291,-0.1245442,-0.1994308
4370,2023-01-20 10:50:03.063464,123066378,0,0.5490291,0.6599665,0.7060739,0.621567,0.5276242,-0.3128812,-0.3267364,-0.2231577,-0.1500089,-0.2057396
