LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
686,2023-01-20 11:08:47.421992,161676735,-2.1,0.38,173.57,740.04,39.8044363,32.3787903,0.05596792,-0.004349688,-0.01814226,0.9982582
1037,2023-01-20 11:08:47.516980,161776723,-2.08,0.32,173.57,740.05,39.8044362,32.3787903,0.05594153,-0.003882848,-0.01800086,0.9982643
1153,2023-01-20 11:08:47.631581,161894072,-2.1,0.27,173.57,740.06,39.8044358,32.3787911,0.05596725,-0.00338857,-0.01819254,0.9982611
1416,2023-01-20 11:08:47.739549,161996495,-2.25,0.23,173.57,740.05,39.8044357,32.3787914,0.05600297,-0.003140026,-0.01951203,0.998235
1835,2023-01-20 11:08:47.843064,162097009,-2.31,0.27,173.57,740.05,39.804436,32.3787913,0.05594591,-0.00351486,-0.01999689,0.9982274
1882,2023-01-20 11:08:47.942866,162197053,-2.23,0.42,173.58,740.07,39.8044362,32.3787914,0.05587706,-0.004836782,-0.01924187,0.9982405
1927,2023-01-20 11:08:48.042676,162297000,-2.17,0.38,173.58,740.05,39.8044346,32.3787917,0.05588507,-0.00442637,-0.0187514,0.9982513
1973,2023-01-20 11:08:48.142689,162397009,-2.14,0.05,173.58,740.04,39.8044343,32.3787918,0.05591999,-0.001496306,-0.01870184,0.9982589
2026,2023-01-20 11:08:48.242700,162497003,-2.14,-0.12,173.58,740.01,39.8044339,32.3787923,0.05590985,5.929133E-05,-0.01876447,0.9982595
2067,2023-01-20 11:08:48.342759,162597029,-2.17,-0.06,173.59,740.01,39.8044337,32.3787925,0.05587757,-0.0005320765,-0.01902295,0.9982563
2125,2023-01-20 11:08:48.438930,162697050,-2.16,0.06,173.59,740.02,39.8044342,32.3787921,0.05583932,-0.001591344,-0.01881893,0.9982611
2184,2023-01-20 11:08:48.529856,162797015,-2.06,0.27,173.59,740,39.8044343,32.3787921,0.055781,-0.003404342,-0.01789233,0.9982769
2244,2023-01-20 11:08:48.622914,162897041,-1.99,0.42,173.59,740,39.8044339,32.3787921,0.05573513,-0.004716674,-0.01715527,0.9982871
2298,2023-01-20 11:08:48.722885,162996992,-2,0.33,173.59,740,39.8044339,32.3787921,0.05574562,-0.003896666,-0.01730691,0.9982874
2354,2023-01-20 11:08:48.822922,163097014,-2,0.27,173.59,740.01,39.8044337,32.3787918,0.05578615,-0.003359081,-0.01734058,0.9982865
2409,2023-01-20 11:08:48.922953,163197044,-1.93,0.34,173.59,739.99,39.8044337,32.3787916,0.05575707,-0.003993105,-0.01670554,0.9982966
2449,2023-01-20 11:08:49.022907,163297001,-1.91,0.39,173.59,740,39.8044335,32.3787921,0.05580141,-0.004378607,-0.0164665,0.9982965
2493,2023-01-20 11:08:49.122888,163396998,-2.05,0.31,173.58,740.02,39.8044335,32.3787922,0.05584196,-0.003742174,-0.01776646,0.9982745
2535,2023-01-20 11:08:49.225393,163496992,-2.17,0.23,173.58,740.03,39.804433,32.3787924,0.05585274,-0.003135654,-0.01880687,0.998257
2575,2023-01-20 11:08:49.336437,163596999,-2.16,0.19,173.59,740.02,39.8044329,32.3787925,0.05582772,-0.002725993,-0.01876522,0.9982604
2618,2023-01-20 11:08:49.442760,163697033,-2.14,0.18,173.59,740.01,39.8044328,32.3787925,0.05584104,-0.002692354,-0.01856378,0.9982634
2656,2023-01-20 11:08:49.542702,163797040,-2.09,0.25,173.58,740.01,39.8044327,32.3787925,0.05590126,-0.003236787,-0.01809261,0.9982671
2696,2023-01-20 11:08:49.638796,163896996,-2.07,0.27,173.58,739.99,39.8044324,32.3787928,0.05590693,-0.003365536,-0.01791246,0.9982696
2734,2023-01-20 11:08:49.729850,163997026,-2.08,0.22,173.59,739.95,39.8044322,32.3787928,0.05584222,-0.002942376,-0.01807068,0.9982717
