LineNo,UTC_Approx,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
673,2023-01-20 11:08:47.421773,161676505,0,-2.08,-0.01,0.43,175.08,173.64,0.01,0,3
1026,2023-01-20 11:08:47.516772,161776504,0,-2.08,0,0.43,179.23,173.64,0.01,0,3
1142,2023-01-20 11:08:47.631305,161893810,0,-2.08,0,0.43,186.08,173.64,0.03,0,3
1405,2023-01-20 11:08:47.739239,161996201,0,-2.09,0,0.43,195.64,173.64,0.03,0,3
1824,2023-01-20 11:08:47.842783,162096728,-0.01,-2.09,0,0.42,200.64,173.64,0.05,0,3
1869,2023-01-20 11:08:47.942548,162196735,-0.01,-2.1,0,0.43,200.71,173.64,0.05,0,3
1916,2023-01-20 11:08:48.042418,162296742,-0.01,-2.1,0,0.42,200.78,173.64,0.1,0,3
1962,2023-01-20 11:08:48.142412,162396732,-0.01,-2.1,0,0.42,200.81,173.64,0.1,0,3
2015,2023-01-20 11:08:48.242432,162496735,-0.01,-2.1,0,0.41,200.81,173.64,0.09,0,3
2056,2023-01-20 11:08:48.342500,162596770,-0.01,-2.11,0,0.4,200.81,173.64,0.09,0,3
2112,2023-01-20 11:08:48.438663,162696757,-0.01,-2.11,0,0.39,200.81,173.64,0.11,0,3
2173,2023-01-20 11:08:48.529625,162796761,-0.01,-2.11,0,0.39,200.81,173.64,0.11,0,3
2233,2023-01-20 11:08:48.622658,162896785,-0.01,-2.11,0,0.4,200.81,173.64,0.11,0,3
2287,2023-01-20 11:08:48.722624,162996731,-0.01,-2.1,0,0.39,200.81,173.64,0.11,0,3
2342,2023-01-20 11:08:48.822631,163096723,-0.01,-2.1,0,0.39,200.81,173.64,0.1,0,3
2396,2023-01-20 11:08:48.922664,163196755,-0.01,-2.1,0,0.39,200.8,173.65,0.1,0,3
2438,2023-01-20 11:08:49.022640,163296734,-0.01,-2.1,0,0.39,200.73,173.64,0.11,0,3
2482,2023-01-20 11:08:49.122639,163396749,-0.01,-2.1,0,0.39,200.67,173.65,0.11,0,3
2524,2023-01-20 11:08:49.225112,163496739,-0.01,-2.1,0,0.38,200.6,173.65,0.1,0,3
2564,2023-01-20 11:08:49.336147,163596738,-0.01,-2.1,0,0.38,173.64,173.65,0.1,0,3
