LineNo,UTC_Approx,TimeUS,I,Alt,Press,Temp,CRt,SMS,Offset,GndTemp,Health
671,2023-01-20 11:08:47.421521,161676240,0,0.6420898,92861.95,29.01,0.0164398,161676,0,27.36973,1
1024,2023-01-20 11:08:47.516489,161776206,0,0.6503571,92861.86,28.99,-0.05987089,161776,0,27.36973,1
1140,2023-01-20 11:08:47.631068,161893585,0,0.6641358,92861.71,28.99,-0.1045827,161893,0,27.36973,1
1403,2023-01-20 11:08:47.739008,161995982,0,0.6558685,92861.8,29,-0.07922123,161995,0,27.36973,1
1822,2023-01-20 11:08:47.842573,162096517,0,0.6586243,92861.77,29,-0.005776126,162096,0,27.36973,1
1867,2023-01-20 11:08:47.942318,162196504,0,0.6751588,92861.61,29,0.02588436,162196,0,27.36973,1
1914,2023-01-20 11:08:48.042181,162296505,0,0.6531128,92861.83,29.02,0.02437495,162296,0,27.36973,1
1960,2023-01-20 11:08:48.142167,162396487,0,0.6420898,92861.95,29.03,0.01381467,162396,0,27.36973,1
2013,2023-01-20 11:08:48.242179,162496482,0,0.6172881,92862.22,29.04,-0.04035933,162496,0,27.36973,1
2054,2023-01-20 11:08:48.342255,162596525,0,0.6145323,92862.23,29.05,-0.1162367,162596,0,27.36973,1
2110,2023-01-20 11:08:48.438410,162696479,0,0.6255553,92862.14,29.06,-0.1420933,162696,0,27.36973,1
2171,2023-01-20 11:08:48.529392,162796504,0,0.6062651,92862.34,29.07,-0.09903474,162796,0,27.36973,1
2231,2023-01-20 11:08:48.622404,162896531,0,0.6062651,92862.34,29.08,-0.04650327,162896,0,27.36973,1
2285,2023-01-20 11:08:48.722370,162996477,0,0.6062651,92862.33,29.08,-0.03789149,162996,0,27.36973,1
2340,2023-01-20 11:08:48.822413,163096505,0,0.6145323,92862.25,29.09,-0.04133616,163096,0,27.36973,1
2394,2023-01-20 11:08:48.922421,163196512,0,0.595242,92862.46,29.09,-0.01980694,163196,0,27.36973,1
2436,2023-01-20 11:08:49.022403,163296497,0,0.6090208,92862.29,29.1,-0.006028302,163296,0,27.36973,1
2480,2023-01-20 11:08:49.122394,163396504,0,0.6255553,92862.14,29.11,-0.00775069,163396,0,27.36973,1
2522,2023-01-20 11:08:49.224847,163496500,0,0.6338226,92862.05,29.12,0.02411273,163496,0,27.36973,1
2562,2023-01-20 11:08:49.335881,163596499,0,0.628311,92862.11,29.12,0.07836665,163596,0,27.36973,1
2603,2023-01-20 11:08:49.442236,163696508,0,0.6117765,92862.28,29.13,0.07922789,163696,0,27.36973,1
2643,2023-01-20 11:08:49.542215,163796552,0,0.6145323,92862.25,29.13,0.01377879,163796,0,27.36973,1
2683,2023-01-20 11:08:49.638338,163896492,0,0.5979978,92862.44,29.13,-0.05167034,163896,0,27.36973,1
2721,2023-01-20 11:08:49.729392,163996522,0,0.5566615,92862.84,29.13,-0.08783955,163996,0,27.36973,1
2764,2023-01-20 11:08:49.822396,164096492,0,0.5704403,92862.72,29.13,-0.1308981,164096,0,27.36973,1
2802,2023-01-20 11:08:49.922370,164196490,0,0.5346155,92863.1,29.14,-0.1713732,164196,0,27.36973,1
2844,2023-01-20 11:08:50.022368,164296498,0,0.5043023,92863.41,29.14,-0.1765403,164296,0,27.36973,1
2883,2023-01-20 11:08:50.122405,164396497,0,0.5291041,92863.14,29.13,-0.1782627,164396,0,27.36973,1
2926,2023-01-20 11:08:50.222446,164496518,0,0.5594173,92862.83,29.11,-0.1498439,164496,0,27.36973,1
2964,2023-01-20 11:08:50.322387,164596500,0,0.5594173,92862.82,29.1,-0.02152922,164596,0,27.36973,1
3004,2023-01-20 11:08:50.422337,164696491,0,0.5649288,92862.77,29.09,0.1153971,164696,0,27.36973,1
3046,2023-01-20 11:08:50.522283,164796485,0,0.5539058,92862.88,29.06,0.1291758,164796,0,27.36973,1
3086,2023-01-20 11:08:50.622262,164896488,0,0.4905235,92863.56,29.06,0.03530797,164896,0,27.36973,1
3124,2023-01-20 11:08:50.722326,164996494,0,0.4987908,92863.47,29.05,-0.1042018,164996,0,27.36973,1
3165,2023-01-20 11:08:50.822345,165096482,0,0.496035,92863.48,29.06,-0.2118483,165096,0,27.36973,1
3203,2023-01-20 11:08:50.922343,165196545,0,0.4491873,92863.99,29.05,-0.2066812,165196,0,27.36973,1
3245,2023-01-20 11:08:51.022248,165296497,0,0.4795005,92863.69,29.05,-0.1489827,165296,0,27.36973,1
3283,2023-01-20 11:08:51.122246,165396480,0,0.5373713,92863.06,29.04,-0.0964513,165396,0,27.36973,1
3326,2023-01-20 11:08:51.222306,165496539,0,0.363759,92864.9,29.04,-0.01722348,165496,0,27.36973,1
3364,2023-01-20 11:08:51.322236,165596513,0,0.3472245,92865.07,29.04,-0.07492196,165596,0,27.36973,1
3404,2023-01-20 11:08:51.422202,165696517,0,0.385805,92864.67,29.05,-0.3427464,165696,0,27.36973,1
3444,2023-01-20 11:08:51.522181,165796512,0,0.4436758,92864.05,29.04,-0.415946,165796,0,27.36973,1
3485,2023-01-20 11:08:51.622166,165896509,0,0.451943,92863.97,29.04,-0.0912842,165896,0,27.36973,1
3522,2023-01-20 11:08:51.722164,165996500,0,0.4546988,92863.94,29.05,0.2350999,165996,0,27.36973,1
3565,2023-01-20 11:08:51.822191,166096522,0,0.3499803,92865.03,29.05,0.2333775,166096,0,27.36973,1
3603,2023-01-20 11:08:51.922185,166196519,0,0.407851,92864.43,29.05,-0.00861177,166196,0,27.36973,1
3645,2023-01-20 11:08:52.022170,166296504,0,0.462966,92863.84,29.03,-0.179985,166296,0,27.36973,1
3681,2023-01-20 11:08:52.122183,166396510,0,0.462966,92863.84,29.02,-0.05339265,166396,0,27.36973,1
3716,2023-01-20 11:08:52.222222,166496544,0,0.4712333,92863.75,29,0.1929025,166496,0,27.36973,1
3746,2023-01-20 11:08:52.322177,166596502,0,0.473989,92863.72,29,0.2437117,166596,0,27.36973,1
3779,2023-01-20 11:08:52.422203,166696536,0,0.5043023,92863.41,29.01,0.1438157,166696,0,27.36973,1
3811,2023-01-20 11:08:52.522196,166796554,0,0.5125695,92863.32,29.01,0.1016183,166796,0,27.36973,1
3844,2023-01-20 11:08:52.622123,166896494,0,0.5015466,92863.43,29.02,0.1257311,166896,0,27.36973,1
3874,2023-01-20 11:08:52.722157,166996495,0,0.5428828,92862.99,29.03,0.1231477,166996,0,27.36973,1
3909,2023-01-20 11:08:52.822182,167096494,0,0.4905235,92863.55,29.04,0.08783963,167096,0,27.36973,1
3939,2023-01-20 11:08:52.922179,167196489,0,0.5015466,92863.45,29.03,0.03875279,167196,0,27.36973,1
3974,2023-01-20 11:08:53.022202,167296518,0,0.584219,92862.55,29.03,-0.006028202,167296,0,27.36973,1
4004,2023-01-20 11:08:53.122142,167396489,0,0.5456386,92862.98,29.02,0.04908679,167396,0,27.36973,1
4039,2023-01-20 11:08:53.222170,167496539,0,0.5153253,92863.29,29.02,0.1541498,167496,0,27.36973,1
4069,2023-01-20 11:08:53.322193,167596552,0,0.4712333,92863.77,29.02,0.07750548,167596,0,27.36973,1
4102,2023-01-20 11:08:53.422174,167696534,0,0.4795005,92863.67,29.04,-0.1489827,167696,0,27.36973,1
4134,2023-01-20 11:08:53.522149,167796549,0,0.496035,92863.5,29.04,-0.2488788,167796,0,27.36973,1
4167,2023-01-20 11:08:53.622150,167896575,0,0.5787075,92862.63,29.04,-0.119703,167896,0,27.36973,1
4197,2023-01-20 11:08:53.722160,167996553,0,0.4023395,92864.5,29.03,0.07319956,167996,0,27.36973,1
4232,2023-01-20 11:08:53.822195,168096567,0,0.407851,92864.41,29.03,0.03530801,168096,0,27.36973,1
4262,2023-01-20 11:08:53.922188,168196576,0,0.374782,92864.77,29.02,-0.2661021,168196,0,27.36973,1
4298,2023-01-20 11:08:54.022201,168296605,0,-0.0055115,92868.78,28.99,-0.5700957,168296,0,27.36973,1
4329,2023-01-20 11:08:54.122140,168396557,0,-0.264552,92871.51,28.97,-1.011016,168396,0,27.36973,1
4364,2023-01-20 11:08:54.222115,168496536,0,0.485012,92863.61,28.94,-1.508773,168496,0,27.36973,1
4394,2023-01-20 11:08:54.322194,168596591,0,0.9149091,92859.06,28.93,-0.7423303,168596,0,27.36973,1
4427,2023-01-20 11:08:54.422162,168696548,0,0.9093975,92859.13,28.92,1.598335,168696,0,27.36973,1
4459,2023-01-20 11:08:54.522131,168796555,0,1.171194,92856.37,28.91,3.235423,168796,0,27.36973,1
4492,2023-01-20 11:08:54.622134,168896584,0,1.281424,92855.22,28.91,2.859952,168896,0,27.36973,1
4522,2023-01-20 11:08:54.722119,168996552,0,1.286935,92855.14,28.92,1.880799,168996,0,27.36973,1
4557,2023-01-20 11:08:54.822145,169096563,0,1.521174,92852.66,28.92,1.370125,169096,0,27.36973,1
4587,2023-01-20 11:08:54.922190,169196597,0,1.601091,92851.84,28.93,1.159999,169196,0,27.36973,1
4622,2023-01-20 11:08:55.022161,169296557,0,1.631404,92851.52,28.92,1.137608,169296,0,27.36973,1
4652,2023-01-20 11:08:55.122173,169396559,0,1.669985,92851.11,28.91,1.084216,169396,0,27.36973,1
4687,2023-01-20 11:08:55.222166,169496545,0,1.74439,92850.33,28.88,0.795723,169496,0,27.36973,1
4717,2023-01-20 11:08:55.322179,169596564,0,1.821551,92849.52,28.85,0.5537335,169596,0,27.36973,1
4750,2023-01-20 11:08:55.422170,169696565,0,1.978629,92847.86,28.83,0.5950696,169696,0,27.36973,1
4784,2023-01-20 11:08:55.522141,169796564,0,2.061301,92846.97,28.81,0.8146686,169796,0,27.36973,1
4817,2023-01-20 11:08:55.622119,169896557,0,2.011698,92847.5,28.8,0.9739856,169896,0,27.36973,1
4847,2023-01-20 11:08:55.722214,169996623,0,1.986896,92847.75,28.8,0.8077793,169996,0,27.36973,1
4882,2023-01-20 11:08:55.822158,170096545,0,1.986896,92847.75,28.79,0.3341346,170096,0,27.36973,1
4912,2023-01-20 11:08:55.922196,170196586,0,2.028232,92847.31,28.79,-0.0413363,170196,0,27.36973,1
4947,2023-01-20 11:08:56.022195,170296586,0,2.102637,92846.53,28.79,-0.04133623,170296,0,27.36973,1
4977,2023-01-20 11:08:56.122166,170396550,0,2.251448,92844.97,28.78,0.2376833,170396,0,27.36973,1
5012,2023-01-20 11:08:56.222190,170496569,0,2.265227,92844.81,28.8,0.5907637,170496,0,27.36973,1
5042,2023-01-20 11:08:56.322198,170596579,0,2.256959,92844.92,28.8,0.7810829,170596,0,27.36973,1
5075,2023-01-20 11:08:56.422168,170696558,0,2.306563,92844.38,28.81,0.6398509,170696,0,27.36973,1
5107,2023-01-20 11:08:56.522200,170796622,0,2.375457,92843.66,28.83,0.3720264,170796,0,27.36973,1
5140,2023-01-20 11:08:56.622128,170896568,0,2.474664,92842.61,28.86,0.335857,170896,0,27.36973,1
5170,2023-01-20 11:08:56.722163,170996569,0,2.546313,92841.84,28.89,0.5390936,170996,0,27.36973,1
5205,2023-01-20 11:08:56.822193,171096574,0,2.62623,92841,28.93,0.7371634,171096,0,27.36973,1
5235,2023-01-20 11:08:56.922186,171196575,0,2.686857,92840.38,28.97,0.8008903,171196,0,27.36973,1
5270,2023-01-20 11:08:57.022161,171296554,0,2.799842,92839.16,28.99,0.7802219,171296,0,27.36973,1
5301,2023-01-20 11:08:57.122160,171396545,0,2.841178,92838.74,29.04,0.7716098,171396,0,27.36973,1
5336,2023-01-20 11:08:57.222162,171496540,0,2.940386,92837.69,29.06,0.7853885,171496,0,27.36973,1
5366,2023-01-20 11:08:57.322220,171596596,0,3.064394,92836.39,29.1,0.7957228,171596,0,27.36973,1
5399,2023-01-20 11:08:57.422171,171696554,0,3.180136,92835.17,29.12,0.8646169,171696,0,27.36973,1
5431,2023-01-20 11:08:57.522125,171796544,0,3.339969,92833.48,29.15,1.028239,171796,0,27.36973,1
5464,2023-01-20 11:08:57.622118,171896558,0,3.406107,92832.78,29.16,1.187556,171896,0,27.36973,1
5494,2023-01-20 11:08:57.722144,171996551,0,3.535628,92831.41,29.17,1.229753,171996,0,27.36973,1
5529,2023-01-20 11:08:57.822244,172096626,0,3.731286,92829.34,29.18,1.189278,172096,0,27.36973,1
5559,2023-01-20 11:08:57.922191,172196578,0,3.869073,92827.89,29.22,1.246116,172196,0,27.36973,1
5596,2023-01-20 11:08:58.022187,172296577,0,3.935211,92827.2,29.23,1.405433,172296,0,27.36973,1
5626,2023-01-20 11:08:58.122211,172396598,0,4.180473,92824.61,29.25,1.445046,172396,0,27.36973,1
5661,2023-01-20 11:08:58.222184,172496569,0,4.552499,92820.69,29.27,1.482937,172496,0,27.36973,1
5691,2023-01-20 11:08:58.322181,172596567,0,4.522186,92821.01,29.28,1.821378,172596,0,27.36973,1
5724,2023-01-20 11:08:58.422167,172696561,0,4.588324,92820.31,29.28,2.048728,172696,0,27.36973,1
5756,2023-01-20 11:08:58.522142,172796571,0,4.952083,92816.45,29.29,1.688759,172796,0,27.36973,1
5789,2023-01-20 11:08:58.622119,172896567,0,5.147741,92814.39,29.29,1.399405,172896,0,27.36973,1
5819,2023-01-20 11:08:58.722142,172996553,0,5.288285,92812.92,29.3,1.761958,172996,0,27.36973,1
5854,2023-01-20 11:08:58.822186,173096572,0,5.483943,92810.86,29.3,2.122789,173096,0,27.36973,1
5884,2023-01-20 11:08:58.922174,173196577,0,5.547325,92810.17,29.3,1.965195,173196,0,27.36973,1
5919,2023-01-20 11:08:59.020142,173296574,0,5.690624,92808.66,29.3,1.613837,173296,0,27.36973,1
5951,2023-01-20 11:08:59.111071,173396609,0,5.599684,92809.64,29.31,1.28573,173396,0,27.36973,1
5986,2023-01-20 11:08:59.202134,173496578,0,5.687869,92808.69,29.32,0.8809785,173496,0,27.36973,1
6016,2023-01-20 11:08:59.302117,173596558,0,5.762274,92807.93,29.32,0.4848397,173596,0,27.36973,1
6049,2023-01-20 11:08:59.402414,173696610,0,5.836679,92807.14,29.32,0.3746101,173696,0,27.36973,1
6080,2023-01-20 11:08:59.513474,173796559,0,6.00478,92805.36,29.32,0.5795692,173796,0,27.36973,1
6113,2023-01-20 11:08:59.620118,173896559,0,6.126033,92804.09,29.32,0.8749509,173896,0,27.36973,1
6143,2023-01-20 11:08:59.711018,173996555,0,6.126033,92804.08,29.33,1.091105,173996,0,27.36973,1
6179,2023-01-20 11:08:59.802149,174096590,0,6.123277,92804.09,29.33,1.042879,174096,0,27.36973,1
6209,2023-01-20 11:08:59.902078,174196549,0,6.079185,92804.58,29.34,0.6467403,174196,0,27.36973,1
6244,2023-01-20 11:09:00.002076,174296578,0,6.109498,92804.25,29.35,0.1739568,174296,0,27.36973,1
6274,2023-01-20 11:09:00.102023,174396598,0,6.11501,92804.19,29.36,-0.05942136,174396,0,27.36973,1
6309,2023-01-20 11:09:00.201958,174496604,0,6.214217,92803.13,29.37,-0.007751287,174496,0,27.36973,1
6339,2023-01-20 11:09:00.301955,174596550,0,6.236263,92802.92,29.37,0.2040975,174596,0,27.36973,1
6372,2023-01-20 11:09:00.402051,174696596,0,6.313424,92802.09,29.37,0.4193909,174696,0,27.36973,1
6406,2023-01-20 11:09:00.501982,174796582,0,6.365783,92801.55,29.38,0.5339267,174796,0,27.36973,1
6439,2023-01-20 11:09:00.601947,174896599,0,6.434677,92800.81,29.38,0.5700953,174896,0,27.36973,1
6469,2023-01-20 11:09:00.701946,174996566,0,6.539395,92799.71,29.38,0.6105703,174996,0,27.36973,1
6505,2023-01-20 11:09:00.802005,175096593,0,6.690961,92798.13,29.39,0.7173561,175096,0,27.36973,1
6535,2023-01-20 11:09:00.902014,175196626,0,6.881108,92796.1,29.38,0.944706,175196,0,27.36973,1
6570,2023-01-20 11:09:01.001961,175296596,0,7.112591,92793.67,29.37,1.294342,175296,0,27.36973,1
6600,2023-01-20 11:09:01.102009,175396568,0,7.071255,92794.11,29.35,1.60178,175396,0,27.36973,1
6635,2023-01-20 11:09:01.202125,175496611,0,7.074011,92794.06,29.32,1.523414,175496,0,27.36973,1
6665,2023-01-20 11:09:01.302000,175596554,0,7.401945,92790.63,29.3,1.045463,175596,0,27.36973,1
6698,2023-01-20 11:09:01.401966,175696587,0,7.349586,92791.18,29.27,0.7965844,175696,0,27.36973,1
6730,2023-01-20 11:09:01.501898,175796546,0,7.250379,92792.2,29.25,0.9283435,175796,0,27.36973,1
6763,2023-01-20 11:09:01.601948,175896623,0,7.313761,92791.55,29.23,0.717356,175896,0,27.36973,1
6793,2023-01-20 11:09:01.701874,175996543,0,7.43777,92790.24,29.19,0.1774012,175996,0,27.36973,1
6829,2023-01-20 11:09:01.801920,176096584,0,7.65823,92787.92,29.15,0.1713732,176096,0,27.36973,1
