LineNo,UTC_Approx,TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct
1018,2023-01-20 11:08:47.514210,161773808,0,16.66113,16.68241,0.5363305,23.49161,0.3914785,0,0.03967624,99
1135,2023-01-20 11:08:47.627353,161890061,0,16.65872,16.68,0.5363305,23.50893,0.3917671,0,0.03967624,99
1397,2023-01-20 11:08:47.736758,161993847,0,16.65936,16.68064,0.5363305,23.5244,0.3920247,0,0.03967624,99
1817,2023-01-20 11:08:47.840432,162094371,0,16.65936,16.68064,0.5363305,23.53938,0.3922742,0,0.03967624,99
1863,2023-01-20 11:08:47.940299,162194480,0,16.66113,16.68257,0.5363305,23.55429,0.3925227,0,0.03996276,99
1911,2023-01-20 11:08:48.040058,162294382,0,16.66113,16.68269,0.5363305,23.56918,0.3927707,0,0.04020141,99
1956,2023-01-20 11:08:48.140058,162394378,0,16.65936,16.68092,0.5363305,23.58407,0.3930189,0,0.04020141,99
2010,2023-01-20 11:08:48.240078,162494382,0,16.66025,16.68184,0.5363305,23.59897,0.3932671,0,0.040258,99
2052,2023-01-20 11:08:48.340108,162594379,0,16.66015,16.68185,0.5391683,23.61395,0.3935167,0,0.040258,99
2107,2023-01-20 11:08:48.436492,162694370,0,16.66025,16.68186,0.5363305,23.62885,0.3937649,0,0.04029666,99
2166,2023-01-20 11:08:48.527463,162794384,0,16.66025,16.68188,0.5363305,23.64375,0.3940131,0,0.04032888,99
2228,2023-01-20 11:08:48.620242,162894369,0,16.65759,16.67922,0.5363305,23.65865,0.3942612,0,0.04032888,99
2280,2023-01-20 11:08:48.720271,162994379,0,16.65847,16.6801,0.5363305,23.67355,0.3945095,0,0.04032888,99
2332,2023-01-20 11:08:48.820258,163094350,0,16.65916,16.68079,0.5363305,23.68844,0.3947576,0,0.04032888,99
2390,2023-01-20 11:08:48.920343,163194434,0,16.65936,16.68099,0.5363305,23.70336,0.395006,0,0.04032888,99
2433,2023-01-20 11:08:49.020289,163294382,0,16.66025,16.68196,0.5363305,23.71825,0.3952541,0,0.04048161,99
2478,2023-01-20 11:08:49.120260,163394370,0,16.66025,16.68203,0.5363305,23.73314,0.3955023,0,0.04060883,99
2519,2023-01-20 11:08:49.222489,163494377,0,16.66025,16.68208,0.5363305,23.74804,0.3957506,0,0.04071472,99
2560,2023-01-20 11:08:49.333520,163594372,0,16.66113,16.6831,0.5363305,23.76294,0.3959988,0,0.04096659,99
2599,2023-01-20 11:08:49.440138,163694409,0,16.65936,16.68133,0.5363305,23.77785,0.3962471,0,0.04096659,99
2641,2023-01-20 11:08:49.540050,163794386,0,16.63632,16.65829,0.5363305,23.79274,0.3964949,0,0.04096659,99
2680,2023-01-20 11:08:49.636410,163894375,0,16.61948,16.64145,0.5363305,23.80764,0.3967425,0,0.04096659,99
2719,2023-01-20 11:08:49.727434,163994372,0,16.62746,16.64943,0.5363305,23.82254,0.3969903,0,0.04096659,99
2758,2023-01-20 11:08:49.820276,164094372,0,16.63455,16.65652,0.5363305,23.83744,0.3972381,0,0.04096659,99
2800,2023-01-20 11:08:49.920328,164194447,0,16.63455,16.65652,0.5363305,23.85235,0.3974861,0,0.04096659,99
2841,2023-01-20 11:08:50.020256,164294386,0,16.63543,16.65821,0.5388845,23.86731,0.397735,0,0.04227202,99
2881,2023-01-20 11:08:50.120331,164394424,0,16.63455,16.65722,0.5363305,23.88222,0.3979829,0,0.04227202,99
2922,2023-01-20 11:08:50.220309,164494380,0,16.63543,16.6581,0.5363305,23.89711,0.3982307,0,0.04227202,99
2961,2023-01-20 11:08:50.320258,164594370,0,16.63553,16.6582,0.5363305,23.91201,0.3984785,0,0.04227202,99
3001,2023-01-20 11:08:50.420220,164694374,0,16.63455,16.65722,0.5363305,23.92691,0.3987263,0,0.04227202,99
3044,2023-01-20 11:08:50.520231,164794432,0,16.63277,16.65545,0.5363305,23.94181,0.3989743,0,0.04227202,99
3083,2023-01-20 11:08:50.620138,164894365,0,16.61328,16.6397,0.5720859,23.9577,0.3992381,0,0.04619301,99
3122,2023-01-20 11:08:50.720207,164994376,0,16.54061,16.60058,1.159496,23.98991,0.399771,0,0.05172243,99
3160,2023-01-20 11:08:50.820246,165094382,0,16.57743,16.62336,0.8456429,24.0134,0.4001604,0,0.05430895,99
3201,2023-01-20 11:08:50.920198,165194399,0,16.58669,16.62919,0.7585247,24.03448,0.40051,0,0.05603691,99
3242,2023-01-20 11:08:51.020141,165294390,0,16.58935,16.63098,0.7253232,24.05463,0.4008442,0,0.05739822,99
3281,2023-01-20 11:08:51.120147,165394382,0,16.59467,16.63553,0.7023377,24.07414,0.401168,0,0.05818462,99
3323,2023-01-20 11:08:51.220158,165494390,0,16.59023,16.63226,0.7099995,24.09386,0.4014952,0,0.05918334,99
3361,2023-01-20 11:08:51.320080,165594356,0,16.58925,16.63253,0.7207829,24.11388,0.4018273,0,0.06004464,99
3401,2023-01-20 11:08:51.420063,165694377,0,16.58758,16.63217,0.7329851,24.13425,0.4021651,0,0.06084247,99
3441,2023-01-20 11:08:51.520101,165794432,0,16.59023,16.63471,0.7253232,24.15441,0.4024996,0,0.06131655,99
3482,2023-01-20 11:08:51.620028,165894371,0,16.59201,16.63539,0.7074456,24.17405,0.4028255,0,0.06131655,99
3520,2023-01-20 11:08:51.720041,165994377,0,16.58846,16.63314,0.7227693,24.19413,0.4031586,0,0.06182165,99
