LineNo,UTC_Approx,UTC_GPS,TimeUS,GPSTime,GPSWeek,Lat,Lng,Alt,RelAlt,GPSAlt,Roll,Pitch,Yaw
27964,2023-01-20 11:10:06.191632,2023-01-20 11:10:06.000000,240606836,472224000,2245,39.8059124,32.3815857,794.07,54.67,781.01,2.72,3.4,208.58
29012,2023-01-20 11:10:09.442381,2023-01-20 11:10:09.400000,243876766,472227400,2245,39.8057953,32.3814981,794.5,55.1,783.27,-0.54,-6.82,212.42
29782,2023-01-20 11:10:11.623512,2023-01-20 11:10:11.600000,246057930,472229600,2245,39.8056771,32.3814102,794.61,55.21,783.4,1.98,-2.18,216.73
30499,2023-01-20 11:10:13.782332,2023-01-20 11:10:13.600000,248216719,472231600,2245,39.8055615,32.3813197,794.51,55.11,783.22,0.22,-2.88,213.31
31189,2023-01-20 11:10:15.902819,2023-01-20 11:10:15.800000,250357033,472233800,2245,39.8054439,32.3812321,794.31,54.91,783.15,1.53,-1.87,211.72
31881,2023-01-20 11:10:18.042573,2023-01-20 11:10:18.000000,252496956,472236000,2245,39.8053265,32.3811452,794.21,54.81,783.3,0.39,-3.02,212.93
32590,2023-01-20 11:10:20.182366,2023-01-20 11:10:20.000000,254636736,472238000,2245,39.805209,32.3810575,794.2,54.8,783.4,0.87,-3.25,212.12
33284,2023-01-20 11:10:22.322339,2023-01-20 11:10:22.200000,256776723,472240200,2245,39.8050912,32.3809694,794.2,54.8,783.93,0.33,-1.2,208.72
33999,2023-01-20 11:10:24.482342,2023-01-20 11:10:24.400000,258936730,472242400,2245,39.8049742,32.3808816,794.1,54.7,784.62,1.27,-2.72,209.34
34768,2023-01-20 11:10:26.642356,2023-01-20 11:10:26.600000,261116759,472244600,2245,39.804858,32.3807926,794.16,54.76,785.51,0.76,-3.06,209.61
35456,2023-01-20 11:10:28.782731,2023-01-20 11:10:28.600000,263257108,472246600,2245,39.8047396,32.380706,794.06,54.66,785.38,0.84,-2.7,209.5
36174,2023-01-20 11:10:30.942330,2023-01-20 11:10:30.800000,265416712,472248800,2245,39.8046228,32.3806172,794.07,54.67,785.87,0.92,-2.52,209.67
36860,2023-01-20 11:10:33.082681,2023-01-20 11:10:33.000000,267557040,472251000,2245,39.8045048,32.3805293,793.98,54.58,785.83,1.47,-1.38,209.65
37545,2023-01-20 11:10:35.182217,2023-01-20 11:10:35.000000,269676729,472253000,2245,39.804388,32.3804416,793.92,54.52,785.94,0.89,-1.22,209.02
38267,2023-01-20 11:10:37.342057,2023-01-20 11:10:37.200000,271836711,472255200,2245,39.8042716,32.3803531,793.92,54.52,786.02,0.29,-1.17,209.9
38984,2023-01-20 11:10:39.542063,2023-01-20 11:10:39.400000,274036737,472257400,2245,39.8041544,32.3802636,794.12,54.72,786.7,0.35,-2.22,208.81
39684,2023-01-20 11:10:41.702172,2023-01-20 11:10:41.600000,276196841,472259600,2245,39.8040364,32.3801757,794.12,54.72,787.11,-0.75,-1.79,209.35
40446,2023-01-20 11:10:43.842874,2023-01-20 11:10:43.800000,278357020,472261800,2245,39.8039191,32.380088,794.19,54.79,786.89,0.06,-1.85,209.5
41139,2023-01-20 11:10:45.982659,2023-01-20 11:10:45.800000,280497033,472263800,2245,39.8038011,32.3800009,794.21,54.81,786.34,1.25,-1.2,210.09
41849,2023-01-20 11:10:48.162356,2023-01-20 11:10:48.000000,282676726,472266000,2245,39.8036845,32.3799109,794.2,54.8,785.96,0.17,-2.78,210.27
42569,2023-01-20 11:10:50.322373,2023-01-20 11:10:50.200000,284836734,472268200,2245,39.8035677,32.3798214,794.26,54.86,786.12,0.49,-1.87,210.19
43260,2023-01-20 11:10:52.462355,2023-01-20 11:10:52.400000,286976722,472270400,2245,39.8034491,32.3797348,794.17,54.77,785.56,0.77,-1.48,210.11
43976,2023-01-20 11:10:54.602249,2023-01-20 11:10:54.600000,289136714,472272600,2245,39.8033315,32.3796462,794.1,54.7,785.47,0.31,-1.5,209.9
44667,2023-01-20 11:10:56.742331,2023-01-20 11:10:56.600000,291276733,472274600,2245,39.8032143,32.3795582,794.14,54.74,785.86,-0.21,-1.89,210.26
45381,2023-01-20 11:10:58.902367,2023-01-20 11:10:58.800000,293436736,472276800,2245,39.8030971,32.3794703,794.15,54.75,786.04,1.4,-1.9,209.9
46127,2023-01-20 11:11:01.062468,2023-01-20 11:11:01.000000,295596848,472279000,2245,39.8029801,32.3793808,794.17,54.77,786.67,0.05,-2.02,209.71
46837,2023-01-20 11:11:03.182625,2023-01-20 11:11:03.000000,297736798,472281000,2245,39.8028632,32.3792935,794.15,54.75,787.12,0.24,-1.72,209.73
47525,2023-01-20 11:11:05.322341,2023-01-20 11:11:05.200000,299876713,472283200,2245,39.8027453,32.379206,794.07,54.67,787.23,0.43,-0.66,209.98
48244,2023-01-20 11:11:07.502666,2023-01-20 11:11:07.400000,302057049,472285400,2245,39.8026278,32.379117,794.2,54.8,787.77,1.9,-1.54,211.07
48964,2023-01-20 11:11:09.662325,2023-01-20 11:11:09.600000,304216724,472287600,2245,39.802511,32.3790283,794.29,54.89,788.03,-0.94,-2,211.02
49657,2023-01-20 11:11:11.820392,2023-01-20 11:11:11.800000,306376741,472289800,2245,39.8023932,32.3789401,794.3,54.9,788.11,0.08,-2.49,210.19
50369,2023-01-20 11:11:13.947681,2023-01-20 11:11:13.800000,308516701,472291800,2245,39.8022759,32.378853,794.3,54.9,788.38,0.87,-1.03,210.7
51108,2023-01-20 11:11:16.102331,2023-01-20 11:11:16.000000,310676710,472294000,2245,39.8021586,32.3787644,794.25,54.85,788.26,0,-2.35,208.34
51827,2023-01-20 11:11:18.262347,2023-01-20 11:11:18.200000,312836733,472296200,2245,39.8020408,32.378676,794.35,54.95,788.15,1.22,-2.55,210.87
52522,2023-01-20 11:11:20.422465,2023-01-20 11:11:20.400000,314996841,472298400,2245,39.8019229,32.3785883,794.38,54.98,788.12,1.54,-3.13,212.03
53234,2023-01-20 11:11:22.562484,2023-01-20 11:11:22.400000,317157032,472300400,2245,39.8018059,32.3784993,794.4,55,787.45,1.35,-3.3,211.64
53952,2023-01-20 11:11:24.722053,2023-01-20 11:11:24.600000,319316707,472302600,2245,39.8016887,32.3784107,794.35,54.95,787.21,0.37,-4.56,210.87
54641,2023-01-20 11:11:26.842059,2023-01-20 11:11:26.800000,321436715,472304800,2245,39.8015715,32.3783227,794.17,54.77,787.03,0.38,-1.83,213.66
55326,2023-01-20 11:11:28.982073,2023-01-20 11:11:28.800000,323576712,472306800,2245,39.8014539,32.378234,794.26,54.86,787.39,0.09,-0.13,210.72
56046,2023-01-20 11:11:31.122602,2023-01-20 11:11:31.000000,325736775,472309000,2245,39.8013362,32.3781471,794.24,54.84,788.09,0.27,-1.77,209.81
56785,2023-01-20 11:11:33.262350,2023-01-20 11:11:33.200000,327876717,472311200,2245,39.8012185,32.3780608,794.44,55.04,788.01,1.72,0.35,207.4
57500,2023-01-20 11:11:35.422344,2023-01-20 11:11:35.400000,330036736,472313400,2245,39.801102,32.3779707,794.36,54.96,787.68,0.64,-1.99,207.59
58190,2023-01-20 11:11:37.562390,2023-01-20 11:11:37.400000,332176809,472315400,2245,39.8009833,32.3778844,794.11,54.71,787.14,2.72,-1.65,210.1
58909,2023-01-20 11:11:39.742711,2023-01-20 11:11:39.600000,334357106,472317600,2245,39.8008672,32.3777931,794.2,54.8,787.21,0.66,-2.56,208.6
59692,2023-01-20 11:11:42.102356,2023-01-20 11:11:42.000000,336736725,472320000,2245,39.8007507,32.3777042,794.09,54.69,787.12,-0.73,11.53,208.2
61553,2023-01-20 11:11:47.823536,2023-01-20 11:11:47.800000,342457922,472325800,2245,39.8006411,32.3776018,794.52,55.12,788.86,16.56,-10.98,284.77
62592,2023-01-20 11:11:50.962554,2023-01-20 11:11:50.800000,345616744,472328800,2245,39.8007118,32.3774512,794.75,55.35,788.66,4.53,-5.3,300.42
64449,2023-01-20 11:11:56.662276,2023-01-20 11:11:56.600000,351316683,472334600,2245,39.8008255,32.3773567,794.43,55.03,786.15,-3.44,-11.23,30.3
64846,2023-01-20 11:11:57.942090,2023-01-20 11:11:57.800000,352596476,472335800,2245,39.8008515,32.3773749,794.34,54.94,785.14,-3.14,-11.06,30.67
65963,2023-01-20 11:12:01.182790,2023-01-20 11:12:01.000000,355857133,472339000,2245,39.8009691,32.3774615,794.52,55.12,783.28,-1.5,-21.09,31.51
66650,2023-01-20 11:12:03.262366,2023-01-20 11:12:03.200000,357936732,472341200,2245,39.8010881,32.3775471,794.31,54.91,782.74,-0.88,-14,29.65
67373,2023-01-20 11:12:05.502319,2023-01-20 11:12:05.400000,360176709,472343400,2245,39.8012042,32.3776388,794.28,54.88,782.08,-3.91,-18.45,31.91
68068,2023-01-20 11:12:07.622437,2023-01-20 11:12:07.600000,362296848,472345600,2245,39.8013223,32.3777238,794.34,54.94,782.75,-2.08,-15.91,30.14
68775,2023-01-20 11:12:09.722224,2023-01-20 11:12:09.600000,364416694,472347600,2245,39.8014393,32.3778131,794.22,54.82,783.38,-2.65,-15.72,29.53
69470,2023-01-20 11:12:11.902335,2023-01-20 11:12:11.800000,366596938,472349800,2245,39.8015561,32.3779022,794.43,55.03,784.13,-2.78,-16.64,30.28
70185,2023-01-20 11:12:14.062418,2023-01-20 11:12:14.000000,368757014,472352000,2245,39.8016737,32.3779907,794.44,55.04,784.79,-3.9,-16.05,29.91
70902,2023-01-20 11:12:16.222100,2023-01-20 11:12:16.200000,370916692,472354200,2245,39.8017915,32.3780776,794.47,55.07,785.03,-1.61,-16.73,29.76
71673,2023-01-20 11:12:18.442107,2023-01-20 11:12:18.400000,373136722,472356400,2245,39.8019076,32.3781675,794.57,55.17,783.11,-3.8,-21.15,31.65
72334,2023-01-20 11:12:20.482595,2023-01-20 11:12:20.400000,375196901,472358400,2245,39.802027,32.3782527,794.68,55.28,782.59,0.41,-16.19,30.03
73022,2023-01-20 11:12:22.582554,2023-01-20 11:12:22.400000,377296968,472360400,2245,39.8021443,32.3783406,794.42,55.02,782.46,-1.29,-15.25,30.33
73733,2023-01-20 11:12:24.762372,2023-01-20 11:12:24.600000,379476745,472362600,2245,39.8022615,32.3784289,794.55,55.15,782.71,-1.67,-16.88,30.4
74458,2023-01-20 11:12:26.982488,2023-01-20 11:12:26.800000,381696848,472364800,2245,39.8023784,32.3785188,794.62,55.22,782.91,-1.92,-19.3,30.47
75169,2023-01-20 11:12:29.113726,2023-01-20 11:12:29.000000,383836698,472367000,2245,39.8024962,32.3786071,794.45,55.05,781.88,-1.85,-16.24,30.4
75861,2023-01-20 11:12:31.242402,2023-01-20 11:12:31.200000,385976766,472369200,2245,39.8026129,32.3786955,794.46,55.06,781.15,-1.57,-16.46,30.47
76577,2023-01-20 11:12:33.382344,2023-01-20 11:12:33.200000,388116715,472371200,2245,39.8027295,32.3787839,794.33,54.93,780.29,-2.29,-16.31,29.8
77324,2023-01-20 11:12:35.562485,2023-01-20 11:12:35.400000,390296901,472373400,2245,39.8028467,32.3788728,794.31,54.91,780.44,-2.32,-15.74,29.43
78034,2023-01-20 11:12:37.722617,2023-01-20 11:12:37.600000,392456999,472375600,2245,39.802964,32.3789599,794.41,55.01,780.31,-2.12,-16.78,29.32
78753,2023-01-20 11:12:39.902738,2023-01-20 11:12:39.800000,394657027,472377800,2245,39.8030809,32.37905,794.25,54.85,780.57,-2.3,-18.61,30.55
79471,2023-01-20 11:12:42.062387,2023-01-20 11:12:42.000000,396816756,472380000,2245,39.8031982,32.3791386,794.4,55,779.99,-2.19,-16.64,29.87
80162,2023-01-20 11:12:44.222347,2023-01-20 11:12:44.200000,398976725,472382200,2245,39.803316,32.3792253,794.42,55.02,779.05,-3.11,-18.23,31.25
80880,2023-01-20 11:12:46.362361,2023-01-20 11:12:46.200000,401116725,472384200,2245,39.8034316,32.3793155,794.34,54.94,778.16,-3.23,-17.87,31.41
81568,2023-01-20 11:12:48.442432,2023-01-20 11:12:48.400000,403216761,472386400,2245,39.8035504,32.3794005,794.36,54.96,778.21,-2.25,-15.78,29.9
82309,2023-01-20 11:12:50.602326,2023-01-20 11:12:50.600000,405376730,472388600,2245,39.8036672,32.3794896,794.28,54.88,777.83,-3.97,-16.38,28.45
83021,2023-01-20 11:12:52.762356,2023-01-20 11:12:52.600000,407536723,472390600,2245,39.8037845,32.3795794,794.21,54.81,777.94,-2.1,-12.6,29.33
83740,2023-01-20 11:12:54.942363,2023-01-20 11:12:54.800000,409716740,472392800,2245,39.803903,32.3796658,794.22,54.82,778.38,-2.13,-15.22,30.57
84436,2023-01-20 11:12:57.102397,2023-01-20 11:12:57.000000,411896836,472395000,2245,39.80402,32.3797531,794.27,54.87,778.1,-2.48,-15.45,29.02
85148,2023-01-20 11:12:59.282159,2023-01-20 11:12:59.200000,414076762,472397200,2245,39.804135,32.3798451,794.47,55.07,778.48,-4.3,-19.22,30.48
85838,2023-01-20 11:13:01.382103,2023-01-20 11:13:01.200000,416176729,472399200,2245,39.8042531,32.3799305,794.35,54.95,778.21,-1.32,-16.76,29.51
86557,2023-01-20 11:13:03.562386,2023-01-20 11:13:03.400000,418357021,472401400,2245,39.8043701,32.3800197,794.21,54.81,777.6,-4.56,-18.19,31.62
87245,2023-01-20 11:13:05.682071,2023-01-20 11:13:05.600000,420476708,472403600,2245,39.8044885,32.3801054,794.22,54.82,777.12,-0.8,-16.81,30.67
87984,2023-01-20 11:13:07.782655,2023-01-20 11:13:07.600000,422596988,472405600,2245,39.8046056,32.3801951,794.19,54.79,777.02,-2.75,-16.81,31.02
88698,2023-01-20 11:13:09.962346,2023-01-20 11:13:09.800000,424776722,472407800,2245,39.8047222,32.3802844,794.29,54.89,776.89,-3.43,-17.71,31.27
89391,2023-01-20 11:13:12.082468,2023-01-20 11:13:12.000000,426896826,472410000,2245,39.8048405,32.3803716,794.3,54.9,776.36,-2.59,-14.85,29.62
90101,2023-01-20 11:13:14.222348,2023-01-20 11:13:14.200000,429036720,472412200,2245,39.8049587,32.3804575,794.32,54.92,775.61,0.55,-14.41,29.95
90825,2023-01-20 11:13:16.384194,2023-01-20 11:13:16.200000,431216748,472414200,2245,39.805075,32.3805483,794.31,54.91,775.51,-2.8,-15.48,29.95
91519,2023-01-20 11:13:18.562476,2023-01-20 11:13:18.400000,433396836,472416400,2245,39.805192,32.3806359,794.29,54.89,775.51,-2.06,-17.26,29.52
92232,2023-01-20 11:13:20.722599,2023-01-20 11:13:20.600000,435556996,472418600,2245,39.8053098,32.3807227,794.34,54.94,776.08,-0.41,-17.04,30.12
92925,2023-01-20 11:13:22.862552,2023-01-20 11:13:22.800000,437696939,472420800,2245,39.8054267,32.3808111,794.25,54.85,776.68,-1.12,-15.75,30.29
93685,2023-01-20 11:13:25.002316,2023-01-20 11:13:25.000000,439836730,472423000,2245,39.8055433,32.3809011,794.22,54.82,777.58,-3.3,-14.76,30.49
94379,2023-01-20 11:13:27.142634,2023-01-20 11:13:27.000000,441996848,472425000,2245,39.8056606,32.3809892,794.24,54.84,777.76,-2.58,-15.75,30.28
95093,2023-01-20 11:13:29.302634,2023-01-20 11:13:29.200000,444157006,472427200,2245,39.8057783,32.381077,794.11,54.71,777.94,-2.44,-17.24,30.96
95792,2023-01-20 11:13:31.442527,2023-01-20 11:13:31.400000,446296940,472429400,2245,39.8058956,32.3811649,794.15,54.75,777.86,-1.39,-14.27,29.87
96602,2023-01-20 11:13:33.942605,2023-01-20 11:13:33.800000,448796972,472431800,2245,39.8060132,32.3812513,793.75,54.35,778.35,-2.31,5.16,29.04
98941,2023-01-20 11:13:41.062366,2023-01-20 11:13:41.000000,455936726,472439000,2245,39.806146,32.3812199,794.1,54.7,780.86,7.79,-14.71,298.27
99788,2023-01-20 11:13:43.702380,2023-01-20 11:13:43.600000,458576766,472441600,2245,39.8062106,32.3810659,794.18,54.78,782.12,2.46,4.43,294.76
101483,2023-01-20 11:13:48.876871,2023-01-20 11:13:48.800000,463771531,472446800,2245,39.8061562,32.3809504,794.27,54.87,783.24,0.26,1.87,207.59
102602,2023-01-20 11:13:52.122043,2023-01-20 11:13:52.000000,467016687,472450000,2245,39.8060376,32.3808644,794.42,55.02,784.95,-0.64,-5.99,212.22
103325,2023-01-20 11:13:54.322126,2023-01-20 11:13:54.200000,469216749,472452200,2245,39.8059208,32.3807751,794.67,55.27,785.71,-0.43,-3.63,211.93
104014,2023-01-20 11:13:56.442868,2023-01-20 11:13:56.400000,471357088,472454400,2245,39.8058042,32.380686,794.59,55.19,785.26,-0.61,-2.52,211.48
104730,2023-01-20 11:13:58.622296,2023-01-20 11:13:58.600000,473536736,472456600,2245,39.8056871,32.3805972,794.47,55.07,785.18,-0.87,-3.19,211.55
105425,2023-01-20 11:14:00.782475,2023-01-20 11:14:00.600000,475696842,472458600,2245,39.8055694,32.3805089,794.35,54.95,784.73,-0.7,-2.31,211.06
106136,2023-01-20 11:14:02.929913,2023-01-20 11:14:02.800000,477857090,472460800,2245,39.8054525,32.38042,794.25,54.85,784.65,-0.68,-2.39,209.78
106824,2023-01-20 11:14:05.042504,2023-01-20 11:14:05.000000,479976698,472463000,2245,39.805335,32.3803339,794.19,54.79,784.03,0.21,-0.75,209.55
107543,2023-01-20 11:14:07.202317,2023-01-20 11:14:07.200000,482136741,472465200,2245,39.8052187,32.3802452,794.13,54.73,784.15,-1.64,-2.46,209.68
108282,2023-01-20 11:14:09.342355,2023-01-20 11:14:09.200000,484276748,472467200,2245,39.8051014,32.3801577,794.1,54.7,783.85,0.04,-0.41,209.51
108999,2023-01-20 11:14:11.482319,2023-01-20 11:14:11.400000,486416717,472469400,2245,39.8049843,32.3800708,794.12,54.72,783.57,-1.2,-1.63,209.79
109688,2023-01-20 11:14:13.625005,2023-01-20 11:14:13.600000,488576712,472471600,2245,39.8048672,32.3799818,794.1,54.7,783.39,-0.86,-1.72,210.24
