LineNo,UTC_Approx,TimeUS,CTot,CNum,CId,Prm1,Prm2,Prm3,Prm4,Lat,Lng,Alt,Frame
1739,2023-01-20 11:08:47.810241,162064107,69,0,16,0,0,0,0,39.8044398,32.3787884,739.4,0
1740,2023-01-20 11:08:47.810277,162064143,69,1,16,0,0,0,0,39.8052619,32.3835486,54.92,3
1741,2023-01-20 11:08:47.810306,162064172,69,2,206,15.12,0,1,0,0,0,0,0
1742,2023-01-20 11:08:47.810338,162064204,69,3,16,0,0,0,0,39.805184,32.3834901,54.92,3
1743,2023-01-20 11:08:47.810367,162064233,69,4,206,15.12,0,1,0,0,0,0,0
1744,2023-01-20 11:08:47.810448,162064314,69,5,16,0,0,0,0,39.799844,32.3794768,54.92,3
1745,2023-01-20 11:08:47.810477,162064344,69,6,16,0,0,0,0,39.7997661,32.3794183,54.92,3
1746,2023-01-20 11:08:47.812734,162066606,69,7,16,0,0,0,0,39.7999107,32.3791182,54.92,3
1747,2023-01-20 11:08:47.812766,162066638,69,8,16,0,0,0,0,39.7999886,32.3791767,54.92,3
1748,2023-01-20 11:08:47.812809,162066681,69,9,206,15.12,0,1,0,0,0,0,0
1749,2023-01-20 11:08:47.812842,162066714,69,10,16,0,0,0,0,39.8053054,32.3831725,54.92,3
1750,2023-01-20 11:08:47.812874,162066746,69,11,16,0,0,0,0,39.8053833,32.3832311,54.92,3
1751,2023-01-20 11:08:47.812903,162066775,69,12,16,0,0,0,0,39.8055047,32.3829135,54.92,3
1752,2023-01-20 11:08:47.812935,162066807,69,13,16,0,0,0,0,39.8054268,32.382855,54.92,3
1753,2023-01-20 11:08:47.815575,162069454,69,14,206,15.12,0,1,0,0,0,0,0
1754,2023-01-20 11:08:47.815608,162069487,69,15,16,0,0,0,0,39.8001331,32.3788766,54.92,3
1755,2023-01-20 11:08:47.815640,162069519,69,16,16,0,0,0,0,39.8000552,32.3788181,54.92,3
1756,2023-01-20 11:08:47.815669,162069548,69,17,16,0,0,0,0,39.8001998,32.378518,54.92,3
1757,2023-01-20 11:08:47.815699,162069578,69,18,16,0,0,0,0,39.8002777,32.3785765,54.92,3
1758,2023-01-20 11:08:47.815730,162069609,69,19,206,15.12,0,1,0,0,0,0,0
1759,2023-01-20 11:08:47.815774,162069653,69,20,16,0,0,0,0,39.8055482,32.3825375,54.92,3
1760,2023-01-20 11:08:47.815814,162069694,69,21,16,0,0,0,0,39.8056261,32.382596,54.92,3
1761,2023-01-20 11:08:47.817734,162071618,69,22,16,0,0,0,0,39.8057475,32.3822785,54.92,3
1762,2023-01-20 11:08:47.817779,162071663,69,23,16,0,0,0,0,39.8056696,32.38222,54.92,3
1763,2023-01-20 11:08:47.817819,162071703,69,24,206,15.12,0,1,0,0,0,0,0
1764,2023-01-20 11:08:47.817852,162071736,69,25,16,0,0,0,0,39.8004222,32.3782764,54.92,3
1765,2023-01-20 11:08:47.817883,162071768,69,26,16,0,0,0,0,39.8003444,32.3782179,54.92,3
1766,2023-01-20 11:08:47.817919,162071804,69,27,16,0,0,0,0,39.8004889,32.3779178,54.92,3
1767,2023-01-20 11:08:47.817962,162071847,69,28,16,0,0,0,0,39.8005668,32.3779763,54.92,3
1768,2023-01-20 11:08:47.820227,162074117,69,29,206,15.12,0,1,0,0,0,0,0
1769,2023-01-20 11:08:47.820257,162074147,69,30,16,0,0,0,0,39.805791,32.3819024,54.92,3
1770,2023-01-20 11:08:47.820298,162074188,69,31,16,0,0,0,0,39.8058689,32.381961,54.92,3
1771,2023-01-20 11:08:47.820335,162074225,69,32,16,0,0,0,0,39.8059903,32.3816434,54.92,3
1772,2023-01-20 11:08:47.820416,162074307,69,33,16,0,0,0,0,39.8059124,32.3815849,54.92,3
1773,2023-01-20 11:08:47.820444,162074335,69,34,206,15.12,0,1,0,0,0,0,0
1774,2023-01-20 11:08:47.822726,162076622,69,35,16,0,0,0,0,39.8007114,32.3776762,54.92,3
1775,2023-01-20 11:08:47.822755,162076651,69,36,16,0,0,0,0,39.8006335,32.3776177,54.92,3
1776,2023-01-20 11:08:47.822785,162076681,69,37,16,0,0,0,0,39.800778,32.3773176,54.92,3
1777,2023-01-20 11:08:47.822814,162076710,69,38,16,0,0,0,0,39.8008559,32.3773761,54.92,3
1778,2023-01-20 11:08:47.822865,162076762,69,39,206,15.12,0,1,0,0,0,0,0
1779,2023-01-20 11:08:47.822898,162076795,69,40,16,0,0,0,0,39.8060338,32.3812674,54.92,3
1780,2023-01-20 11:08:47.822928,162076825,69,41,16,0,0,0,0,39.8061117,32.3813259,54.92,3
1781,2023-01-20 11:08:47.822977,162076874,69,42,16,0,0,0,0,39.8062331,32.3810084,54.92,3
1782,2023-01-20 11:08:47.825173,162079075,69,43,16,0,0,0,0,39.8061552,32.3809498,54.92,3
1783,2023-01-20 11:08:47.825215,162079117,69,44,206,15.12,0,1,0,0,0,0,0
1784,2023-01-20 11:08:47.825248,162079150,69,45,16,0,0,0,0,39.8010005,32.377076,54.92,3
1785,2023-01-20 11:08:47.825277,162079179,69,46,16,0,0,0,0,39.8009226,32.3770174,54.92,3
1786,2023-01-20 11:08:47.825306,162079208,69,47,16,0,0,0,0,39.8010671,32.3767173,54.92,3
1787,2023-01-20 11:08:47.825336,162079238,69,48,16,0,0,0,0,39.801145,32.3767759,54.92,3
1788,2023-01-20 11:08:47.825417,162079320,69,49,206,15.12,0,1,0,0,0,0,0
1789,2023-01-20 11:08:47.828055,162081964,69,50,16,0,0,0,0,39.8062766,32.3806323,54.92,3
1790,2023-01-20 11:08:47.828084,162081993,69,51,16,0,0,0,0,39.8063545,32.3806908,54.92,3
1791,2023-01-20 11:08:47.828113,162082022,69,52,16,0,0,0,0,39.8064759,32.3803733,54.92,3
1792,2023-01-20 11:08:47.828143,162082052,69,53,16,0,0,0,0,39.806398,32.3803147,54.92,3
1793,2023-01-20 11:08:47.828172,162082081,69,54,206,15.12,0,1,0,0,0,0,0
1794,2023-01-20 11:08:47.828201,162082110,69,55,16,0,0,0,0,39.8012896,32.3764757,54.92,3
1795,2023-01-20 11:08:47.828233,162082143,69,56,16,0,0,0,0,39.8012117,32.3764172,54.92,3
