LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
698,2023-01-20 11:08:47.422232,161676988,0.02193751,0.0002046148,0.005241254,0.0003607069,0.0116721
1047,2023-01-20 11:08:47.517218,161776974,0.02173237,0.0002165782,0.006384834,0.0004634197,0.05495618
1163,2023-01-20 11:08:47.631830,161894308,0.02142403,0.0002197241,0.007982473,0.0005283122,0.132161
1426,2023-01-20 11:08:47.739746,161996682,0.02107062,0.0002120089,0.009842942,0.0005564934,0.2333025
1845,2023-01-20 11:08:47.843263,162097209,0.02071766,0.0001992845,0.01183549,0.0006010996,0.3467717
1892,2023-01-20 11:08:47.943052,162197240,0.02035005,0.0002235112,0.01391972,0.0006108821,0.4562223
1937,2023-01-20 11:08:48.042879,162297203,0.01993392,0.0002216146,0.0160708,0.0006091153,0.5558124
1983,2023-01-20 11:08:48.142870,162397190,0.01955151,0.0002123404,0.01815706,0.0005723755,0.6475853
2036,2023-01-20 11:08:48.242888,162497191,0.01928423,0.000210942,0.01948467,0.0004781149,0.7213578
2077,2023-01-20 11:08:48.342951,162597221,0.019133,0.0002069644,0.02029128,0.0004005391,0.7723951
2135,2023-01-20 11:08:48.439094,162697231,0.01906875,0.0002213167,0.02078152,0.0003411649,0.8063275
2194,2023-01-20 11:08:48.530029,162797205,0.01904459,0.0002243352,0.02108361,0.0002883196,0.828706
2254,2023-01-20 11:08:48.623106,162897233,0.01899947,0.0002112677,0.02131559,0.0002513546,0.8434605
2308,2023-01-20 11:08:48.723066,162997173,0.01894694,0.000211918,0.02145006,0.0002270264,0.8532267
2364,2023-01-20 11:08:48.823107,163097199,0.01895928,0.0002121547,0.0215201,0.0002135692,0.8597036
2419,2023-01-20 11:08:48.923149,163197240,0.0189452,0.0001960017,0.0215399,0.0002044636,0.863994
2459,2023-01-20 11:08:49.023091,163297185,0.01902624,0.000209636,0.0210773,0.0003928785,0.8604154
2503,2023-01-20 11:08:49.123088,163397198,0.0192196,0.0002302872,0.02004463,0.0004959996,0.8383194
2545,2023-01-20 11:08:49.225627,163497203,0.0194977,0.0002187515,0.01863818,0.0005432746,0.7992635
2585,2023-01-20 11:08:49.336664,163597204,0.01994169,0.0004505776,0.01677709,0.002228026,0.7455738
2628,2023-01-20 11:08:49.442964,163697237,0.02072021,0.000402995,0.01391989,0.001994085,0.6338607
2666,2023-01-20 11:08:49.542909,163797247,0.02117418,0.0005496382,0.01161765,0.00169114,0.52087
2706,2023-01-20 11:08:49.638978,163897195,0.02150332,0.0005666843,0.009781168,0.001520153,0.4262725
2744,2023-01-20 11:08:49.730028,163997221,0.02171895,0.0006165798,0.008331748,0.001348267,0.3486762
2787,2023-01-20 11:08:49.823095,164097191,0.02185215,0.0006043114,0.00719972,0.00120864,0.2851873
2827,2023-01-20 11:08:49.923118,164197238,0.02194692,0.0006551667,0.006314232,0.00116178,0.2332569
2867,2023-01-20 11:08:50.023062,164297191,0.02201764,0.0006792345,0.005645272,0.001105359,0.1907827
2906,2023-01-20 11:08:50.123102,164397194,0.02205783,0.0007410404,0.005140989,0.001094311,0.1560427
2949,2023-01-20 11:08:50.223156,164497228,0.02206767,0.0007005996,0.004777591,0.001003723,0.1276287
2987,2023-01-20 11:08:50.323079,164597192,0.02207918,0.00068744,0.004520774,0.0008628774,0.1043887
3029,2023-01-20 11:08:50.423074,164697229,0.02209261,0.0007337395,0.004336274,0.0008026163,0.08538062
3069,2023-01-20 11:08:50.522985,164797187,0.02209817,0.0007643932,0.00419563,0.0008639611,0.06983387
3109,2023-01-20 11:08:50.622956,164897182,0.02211505,0.0008243151,0.004105689,0.00108771,0.05711915
3147,2023-01-20 11:08:50.723020,164997188,0.02197787,0.002074157,0.004377635,0.004004798,0.04672588
3188,2023-01-20 11:08:50.823042,165097180,0.02194379,0.003327221,0.004302884,0.003897466,0.03821957
