LineNo,UTC_Approx,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
672,2023-01-20 11:08:47.421614,161676338,-2.712011E-06,-1.872877E-09,0,0.3700503,0.4925524,0.4925524,0.64,NaN,0,0.01310179,0,0
1025,2023-01-20 11:08:47.516596,161776319,-2.712011E-06,-1.873104E-09,0,0.3700503,0.4961751,0.4961751,0.65,NaN,0,0.01678547,0,0
1141,2023-01-20 11:08:47.631128,161893642,-2.712011E-06,-1.873104E-09,0,0.3700503,0.4985459,0.4985459,0.66,NaN,0,0.02049902,0,0
1404,2023-01-20 11:08:47.739060,161996031,-2.712011E-06,-1.882881E-09,0,0.3700503,0.4984185,0.4984185,0.65,NaN,0,0.02122608,0,0
1823,2023-01-20 11:08:47.842622,162096566,-2.712011E-06,-1.89516E-09,0,0.3700503,0.5004557,0.5004557,0.65,NaN,0,0.02460608,0,0
1868,2023-01-20 11:08:47.942380,162196566,-2.712011E-06,-1.905846E-09,0,0.3700503,0.5039336,0.5039336,0.67,NaN,0,0.02851126,0,0
1915,2023-01-20 11:08:48.042230,162296554,-2.712011E-06,-1.90721E-09,0,0.3700503,0.5066692,0.5066692,0.65,NaN,0,0.0321624,0,0
1961,2023-01-20 11:08:48.142216,162396536,-2.712011E-06,-1.910394E-09,0,0.3700503,0.5088332,0.5088332,0.64,NaN,0,0.03560814,0,0
2014,2023-01-20 11:08:48.242241,162496544,-2.712011E-06,-1.909029E-09,0,0.3700503,0.510897,0.510897,0.61,NaN,0,0.03895363,0,0
2055,2023-01-20 11:08:48.342304,162596574,-2.712011E-06,-1.909484E-09,0,0.3700503,0.512727,0.512727,0.61,NaN,0,0.04157713,0,0
2111,2023-01-20 11:08:48.438455,162696528,-2.712011E-06,-1.910621E-09,0,0.3700503,0.5142857,0.5142857,0.62,NaN,0,0.04453966,0,0
2172,2023-01-20 11:08:48.529440,162796557,-2.712011E-06,-1.911985E-09,0,0.3700503,0.5157583,0.5157583,0.6,NaN,0,0.04650047,0,0
2232,2023-01-20 11:08:48.622472,162896599,-2.712011E-06,-1.90812E-09,0,0.3700503,0.5168285,0.5168285,0.6,NaN,0,0.04842517,0,0
2286,2023-01-20 11:08:48.722418,162996525,-2.712011E-06,-1.901981E-09,0,0.3700503,0.5172745,0.5172745,0.6,NaN,0,0.04966465,0,0
2341,2023-01-20 11:08:48.822467,163096559,-2.712011E-06,-1.9038E-09,0,0.3700503,0.5174465,0.5174465,0.61,NaN,0,0.05008081,0,0
2395,2023-01-20 11:08:48.922469,163196560,-2.712011E-06,-1.897433E-09,0,0.3700503,0.517074,0.517074,0.59,NaN,0,0.04983041,0,0
2437,2023-01-20 11:08:49.022451,163296545,-2.712011E-06,-1.894477E-09,0,0.3700503,0.5159099,0.5159099,0.6,NaN,0,0.04903242,0,0
2481,2023-01-20 11:08:49.122443,163396553,-2.712011E-06,-1.892886E-09,0,0.3700503,0.5124584,0.5124584,0.62,NaN,0,0.0462524,0,0
2523,2023-01-20 11:08:49.224901,163496549,-2.712011E-06,-1.892204E-09,0,0.3700503,0.5100386,0.5100386,0.63,NaN,0,0.04456499,0,0
2563,2023-01-20 11:08:49.335936,163596548,-2.712011E-06,-1.896069E-09,0,0.3700503,0.5080797,0.5080797,0.62,NaN,0,0.04346058,0,0
2604,2023-01-20 11:08:49.442285,163696557,-2.712011E-06,-1.896069E-09,0,0.3700503,0.5062889,0.5062889,0.61,NaN,0,0.0424023,0,0
2644,2023-01-20 11:08:49.542264,163796601,-2.712011E-06,-1.887429E-09,0,0.3700503,0.504741,0.504741,0.61,NaN,0,0.04183087,0,0
2684,2023-01-20 11:08:49.638381,163896540,-2.712011E-06,-1.887429E-09,0,0.3700503,0.5022631,0.5022631,0.59,NaN,0,0.04020748,0,0
2722,2023-01-20 11:08:49.729435,163996570,-2.712011E-06,-1.884473E-09,0,0.3700503,0.4992517,0.4992517,0.55,NaN,0,0.03798953,0,0
2765,2023-01-20 11:08:49.822449,164096545,-2.712011E-06,-1.885837E-09,0,0.3700503,0.4970453,0.4970453,0.57,NaN,0,0.03749207,0,0
2803,2023-01-20 11:08:49.922419,164196539,-2.712011E-06,-1.882881E-09,0,0.3700503,0.4956267,0.4956267,0.53,NaN,0,0.03631762,0,0
2845,2023-01-20 11:08:50.022417,164296547,-2.712011E-06,-1.884473E-09,0,0.3700503,0.4940476,0.4940476,0.5,NaN,0,0.03595927,0,0
2884,2023-01-20 11:08:50.122454,164396546,-2.712011E-06,-1.882654E-09,0,0.3700503,0.4916456,0.4916456,0.52,NaN,0,0.03386238,0,0
2927,2023-01-20 11:08:50.222495,164496567,-2.712011E-06,-1.878334E-09,0,0.3700503,0.4890541,0.4890541,0.55,NaN,0,0.03139296,0,0
2965,2023-01-20 11:08:50.322435,164596548,-2.712011E-06,-1.877424E-09,0,0.3700503,0.4860092,0.4860092,0.55,NaN,0,0.02883634,0,0
3005,2023-01-20 11:08:50.422385,164696540,-2.712011E-06,-1.88038E-09,0,0.3700503,0.4818705,0.4818705,0.56,NaN,0,0.02500287,0,0
3047,2023-01-20 11:08:50.522331,164796533,-2.712011E-06,-1.875151E-09,0,0.3700503,0.4743477,0.4743477,0.55,NaN,0,0.01796827,-1,-1
3087,2023-01-20 11:08:50.622311,164896537,-2.712011E-06,-1.87606E-09,0,0.3700503,0.4673579,0.4673579,0.49,NaN,0,0.01116166,-1,-1
3125,2023-01-20 11:08:50.722374,164996542,-2.712011E-06,-1.859689E-09,0,0.3700503,0.4584121,0.4584121,0.49,NaN,0,0.002765149,-1,-1
3166,2023-01-20 11:08:50.822392,165096530,-2.712011E-06,-1.833769E-09,0,0.3700503,0.4494173,0.4494173,0.49,NaN,0,-0.005680352,-2,-2
3204,2023-01-20 11:08:50.922392,165196594,-2.712011E-06,-1.836042E-09,0,0.3700503,0.4376843,0.4376843,0.44,NaN,0,-0.01649782,-2,-2
3246,2023-01-20 11:08:51.022297,165296546,-2.712011E-06,-1.845137E-09,0,0.3700503,0.425053,0.425053,0.47,NaN,0,-0.02790844,-2,-2
3284,2023-01-20 11:08:51.122298,165396532,-2.712011E-06,-1.855142E-09,0,0.3700503,0.407158,0.407158,0.53,NaN,0,-0.04476586,-3,-3
3327,2023-01-20 11:08:51.222374,165496607,-2.712011E-06,-1.847411E-09,0,0.3700503,0.3911358,0.3911358,0.36,NaN,0,-0.05968931,-3,-3
3365,2023-01-20 11:08:51.322285,165596562,-2.712011E-06,-1.841499E-09,0,0.3700503,0.371242,0.371242,0.34,NaN,0,-0.07860667,-3,-3
3405,2023-01-20 11:08:51.422251,165696566,-2.712011E-06,-1.85355E-09,0,0.3700503,0.3522867,0.3522867,0.38,NaN,0,-0.09664637,-4,-4
3445,2023-01-20 11:08:51.522230,165796561,-2.712011E-06,-1.842864E-09,0,0.3700503,0.3297184,0.3297184,0.44,NaN,0,-0.1181771,-5,-5
3486,2023-01-20 11:08:51.622216,165896558,-2.712011E-06,-1.84059E-09,0,0.3700503,0.3096932,0.3096932,0.45,NaN,0,-0.1378972,-5,-5
3523,2023-01-20 11:08:51.722214,165996549,-2.712011E-06,-1.823082E-09,0,0.3700503,0.2876307,0.2876307,0.45,NaN,0,-0.1597765,-6,-6
3566,2023-01-20 11:08:51.822244,166096575,-2.712011E-06,-1.832177E-09,0,0.3700503,0.2682185,0.2682185,0.34,NaN,0,-0.1790057,-6,-6
3604,2023-01-20 11:08:51.922237,166196571,-2.712011E-06,-1.848548E-09,0,0.3700503,0.2457033,0.2457033,0.4,NaN,0,-0.2007884,-6,-6
3646,2023-01-20 11:08:52.022218,166296553,-2.712011E-06,-1.829449E-09,0,0.3700503,0.2264393,0.2264393,0.46,NaN,0,-0.2198693,-7,-7
3682,2023-01-20 11:08:52.122236,166396563,-2.712011E-06,-1.84059E-09,0,0.3700503,0.2075785,0.2075785,0.46,NaN,0,-0.2379367,-7,-7
3717,2023-01-20 11:08:52.222270,166496592,-2.712011E-06,-1.820581E-09,0,0.3700503,0.1913698,0.1913698,0.47,NaN,0,-0.2537181,-8,-8
3747,2023-01-20 11:08:52.322226,166596551,-2.712011E-06,-1.826265E-09,0,0.3700503,0.1742457,0.1742457,0.47,NaN,0,-0.2708422,-8,-8
3780,2023-01-20 11:08:52.422252,166696585,-2.712011E-06,-1.822173E-09,0,0.3700503,0.16108,0.16108,0.5,NaN,0,-0.2838858,-8,-8
3812,2023-01-20 11:08:52.522244,166796602,-2.712011E-06,-1.828994E-09,0,0.3700503,0.1500735,0.1500735,0.51,NaN,0,-0.2944041,-8,-8
