LineNo,UTC_Approx,TimeUS,Dp,Blk,Bytes,FMn,FMx,FAv
1996,2023-01-20 11:08:48.190355,162444672,33,1966,83565,1002,16318,7195
2510,2023-01-20 11:08:49.172454,163446572,33,395,19511,11350,15994,13428
2914,2023-01-20 11:08:50.175046,164449118,33,402,19980,12098,16350,14038
3315,2023-01-20 11:08:51.177355,165451581,33,400,19853,12220,16311,14290
3709,2023-01-20 11:08:52.179830,166454153,33,393,19341,11172,16258,13473
4032,2023-01-20 11:08:53.182652,167457017,33,322,13127,11291,15545,13363
4357,2023-01-20 11:08:54.185211,168459636,33,324,13187,11630,16147,13740
4679,2023-01-20 11:08:55.187344,169461723,33,321,13094,11233,16264,13959
5004,2023-01-20 11:08:56.189846,170464226,33,324,13165,11240,15576,13523
5328,2023-01-20 11:08:57.192372,171466752,33,323,13156,11801,16055,13875
5653,2023-01-20 11:08:58.195219,172469604,33,324,13214,11112,16302,13753
5978,2023-01-20 11:08:59.179350,173471726,33,324,13204,11152,15652,13250
6302,2023-01-20 11:09:00.179556,174474188,33,323,13180,11617,16036,13921
6628,2023-01-20 11:09:01.182180,175476678,33,325,13194,12196,16350,14223
6952,2023-01-20 11:09:02.184561,176479195,33,323,13156,11257,15482,13320
7275,2023-01-20 11:09:03.187417,177482080,33,322,13127,11567,16144,13688
7600,2023-01-20 11:09:04.189506,178484194,33,324,13204,12109,16327,14314
7923,2023-01-20 11:09:05.192071,179486725,33,322,13127,11160,15534,13456
8249,2023-01-20 11:09:06.194736,180489414,33,325,13194,11755,15946,13789
8572,2023-01-20 11:09:07.197355,181491999,33,322,13127,12031,16278,14062
8902,2023-01-20 11:09:08.200287,182494971,33,329,13410,11159,15707,13298
9250,2023-01-20 11:09:09.184668,183497384,33,347,14115,11672,16037,13931
9575,2023-01-20 11:09:10.184910,184499158,33,324,13209,12153,16325,14120
9901,2023-01-20 11:09:11.187246,185501644,33,325,13194,11199,15415,13192
10223,2023-01-20 11:09:12.189716,186504163,33,321,13094,11707,16081,13958
10547,2023-01-20 11:09:13.192570,187506966,33,323,13156,12103,16349,14231
10870,2023-01-20 11:09:14.192618,188507011,33,322,13127,11231,15608,13422
11195,2023-01-20 11:09:15.194731,189509124,33,324,13204,11696,15921,13701
11523,2023-01-20 11:09:16.197306,190511674,33,327,13300,12074,16300,14293
11848,2023-01-20 11:09:17.200137,191514505,33,324,13213,11379,16290,13764
12172,2023-01-20 11:09:18.202030,192516632,33,323,13156,11589,15988,13775
12494,2023-01-20 11:09:19.185296,193519613,33,321,13070,12073,16298,14094
12822,2023-01-20 11:09:20.187280,194521635,33,327,13315,11225,16338,13455
13150,2023-01-20 11:09:21.189801,195524177,33,327,13252,11530,15829,13745
13476,2023-01-20 11:09:22.192223,196526637,33,325,13214,11830,16200,13999
13802,2023-01-20 11:09:23.194769,197529135,33,325,13214,11174,16327,13834
14127,2023-01-20 11:09:24.197666,198532082,33,324,13181,11326,15793,13334
14457,2023-01-20 11:09:25.200150,199534521,33,329,13402,11704,16020,13951
14785,2023-01-20 11:09:26.202240,200536653,33,327,13252,12042,16323,14169
15111,2023-01-20 11:09:27.204711,201539086,33,325,13214,11045,15364,13195
15437,2023-01-20 11:09:28.207252,202541606,33,325,13214,11500,15967,13534
15761,2023-01-20 11:09:29.192312,203546624,33,323,13128,11926,16242,14146
16089,2023-01-20 11:09:30.194717,204549115,33,327,13315,12243,16339,14281
16460,2023-01-20 11:09:31.197262,205551622,33,370,14499,10193,15800,12879
16788,2023-01-20 11:09:32.200134,206554494,33,327,13300,11792,16129,14026
17114,2023-01-20 11:09:33.203454,207557812,33,325,13214,12130,16347,14215
17440,2023-01-20 11:09:34.205174,208559528,33,325,13214,11171,15508,13319
17767,2023-01-20 11:09:35.207255,209561617,33,326,13262,11626,16035,13649
18095,2023-01-20 11:09:36.209784,210564137,33,327,13252,12004,16282,14211
18419,2023-01-20 11:09:37.192501,211566680,33,323,13128,11193,16313,13618
18745,2023-01-20 11:09:38.195096,212569433,33,325,13214,11345,15661,13498
19071,2023-01-20 11:09:39.197275,213571637,33,325,13214,11800,16236,13825
19403,2023-01-20 11:09:40.200155,214574517,33,331,13492,12226,16317,14349
19731,2023-01-20 11:09:41.202322,215576677,33,327,13252,11244,16262,13652
20057,2023-01-20 11:09:42.204780,216579140,33,325,13214,11396,15712,13543
20383,2023-01-20 11:09:43.208409,217582765,33,325,13214,11851,16287,13895
20709,2023-01-20 11:09:44.209737,218584094,33,325,13214,11319,16325,14065
21036,2023-01-20 11:09:45.212276,219586626,33,326,13262,11351,15619,13558
21362,2023-01-20 11:09:46.194685,220589101,33,325,13166,11641,15940,13766
21688,2023-01-20 11:09:47.197146,221591648,33,325,13214,12058,16254,14042
22068,2023-01-20 11:09:48.200213,222594817,33,379,14835,11099,15379,13284
22418,2023-01-20 11:09:49.202739,223597341,33,349,14170,11401,15717,13453
22746,2023-01-20 11:09:50.204540,224599148,33,327,13315,11957,16191,14131
23074,2023-01-20 11:09:51.206979,225601619,33,327,13252,12181,16338,14254
23400,2023-01-20 11:09:52.209502,226604114,33,325,13214,11184,15500,13326
23726,2023-01-20 11:09:53.213155,227607786,33,325,13214,11522,15838,13589
24052,2023-01-20 11:09:54.214504,228609098,33,325,13214,12097,16285,14255
24379,2023-01-20 11:09:55.217034,229611686,33,326,13258,11171,15460,13354
24708,2023-01-20 11:09:56.200210,230614355,33,328,13306,11429,15796,13571
25034,2023-01-20 11:09:57.202331,231616714,33,325,13214,11729,16068,13819
25360,2023-01-20 11:09:58.206192,232620558,33,325,13214,11344,16347,14070
25686,2023-01-20 11:09:59.207197,233621611,33,325,13214,11345,15661,13564
26014,2023-01-20 11:10:00.209826,234624186,33,327,13315,11737,16003,13802
26341,2023-01-20 11:10:01.212271,235626636,33,326,13223,11888,16195,13959
26665,2023-01-20 11:10:02.214772,236629149,33,323,13156,11243,16293,13513
26991,2023-01-20 11:10:03.217737,237632110,33,325,13323,11357,15731,13623
27315,2023-01-20 11:10:04.219782,238634159,33,323,13156,11836,16184,13958
27640,2023-01-20 11:10:05.202542,239636686,33,324,13204,11238,16338,13826
27971,2023-01-20 11:10:06.222515,240639120,33,330,13508,11197,15806,13364
28295,2023-01-20 11:10:07.207234,241641611,33,323,13156,11511,15877,13741
28620,2023-01-20 11:10:08.212253,242646636,33,324,13185,11961,16327,14072
28945,2023-01-20 11:10:09.214735,243649112,33,324,13185,11160,16305,13530
29323,2023-01-20 11:10:10.217259,244651645,33,377,14772,11312,15604,13367
29653,2023-01-20 11:10:11.219809,245654174,33,329,13354,11632,15910,13709
29979,2023-01-20 11:10:12.223461,246657841,33,325,13224,11846,16250,13928
30305,2023-01-20 11:10:13.225156,247659531,33,325,13214,11412,16338,14102
30632,2023-01-20 11:10:14.227262,248661616,33,326,13257,11419,15692,13623
30958,2023-01-20 11:10:15.229780,249664136,33,325,13214,11768,16084,13867
31288,2023-01-20 11:10:16.212510,250666699,33,329,13343,12020,16270,14032
