LineNo,UTC_Approx,TimeUS,Id,Value
1819,2023-01-20 11:08:47.840500,162094439,7,6350296
2334,2023-01-20 11:08:48.820354,163094446,7,6350296
2760,2023-01-20 11:08:49.820343,164094439,7,4253144
3162,2023-01-20 11:08:50.820313,165094449,7,4220408
3562,2023-01-20 11:08:51.820161,166094492,7,4220408
3906,2023-01-20 11:08:52.820187,167094499,7,4220408
4229,2023-01-20 11:08:53.820132,168094503,7,4220408
4554,2023-01-20 11:08:54.820084,169094502,7,4203896
4879,2023-01-20 11:08:55.820096,170094483,7,4203896
5202,2023-01-20 11:08:56.820120,171094501,7,4203896
5526,2023-01-20 11:08:57.820117,172094499,7,4203896
5851,2023-01-20 11:08:58.820074,173094460,7,4203896
6175,2023-01-20 11:08:59.800130,174094570,7,4203896
6502,2023-01-20 11:09:00.800135,175094723,7,4203896
6826,2023-01-20 11:09:01.800142,176094806,7,4203896
7149,2023-01-20 11:09:02.800126,177094759,7,4203896
7473,2023-01-20 11:09:03.800126,178094773,7,4203896
7797,2023-01-20 11:09:04.800131,179094756,7,4203896
8123,2023-01-20 11:09:05.800147,180094762,7,4203896
8446,2023-01-20 11:09:06.800131,181094805,7,4203896
8770,2023-01-20 11:09:07.800130,182094754,7,4203896
9093,2023-01-20 11:09:08.800130,183094766,7,4203896
9418,2023-01-20 11:09:09.780544,184094741,7,4203896
9744,2023-01-20 11:09:10.780265,185094617,7,4203896
10067,2023-01-20 11:09:11.780094,186094477,7,4203896
10391,2023-01-20 11:09:12.780083,187094458,7,4203896
10714,2023-01-20 11:09:13.780080,188094467,7,4203896
11039,2023-01-20 11:09:14.780097,189094476,7,4203896
11367,2023-01-20 11:09:15.780073,190094443,7,4203896
11690,2023-01-20 11:09:16.780125,191094499,7,4203896
12013,2023-01-20 11:09:17.780059,192094421,7,4203896
12338,2023-01-20 11:09:18.760188,193094437,7,4203896
12664,2023-01-20 11:09:19.760059,194094429,7,4203896
12992,2023-01-20 11:09:20.760047,195094431,7,4203896
13318,2023-01-20 11:09:21.760046,196094433,7,4203896
13644,2023-01-20 11:09:22.760053,197094441,7,4203896
13970,2023-01-20 11:09:23.760063,198094436,7,4203896
14297,2023-01-20 11:09:24.760023,199094435,7,4203896
14625,2023-01-20 11:09:25.760050,200094433,7,4203896
14951,2023-01-20 11:09:26.760021,201094439,7,4203896
15277,2023-01-20 11:09:27.760075,202094444,7,4203896
15603,2023-01-20 11:09:28.740120,203094441,7,4203896
15930,2023-01-20 11:09:29.740255,204094491,7,4203896
