LineNo,UTC_Approx,TimeUS,FmtType,UnitIds,MultIds
697,2023-01-20 11:08:47.422280,161677039,254,s?????,F?????
1580,2023-01-20 11:08:47.800337,162054179,128,-b---,-----
1581,2023-01-20 11:08:47.800355,162054197,112,s--,F--
1582,2023-01-20 11:08:47.800373,162054215,111,s---,F---
1583,2023-01-20 11:08:47.800392,162054234,113,s--,F--
1584,2023-01-20 11:08:47.800476,162054318,32,s---,F---
1585,2023-01-20 11:08:47.800494,162054336,87,s#---SmDUmnhnh-,F----0BGGB000--
1586,2023-01-20 11:08:47.800514,162054356,88,s#mmmnd-ssm,F-BBBB0-CC0
1587,2023-01-20 11:08:47.800534,162054376,92,s#-----,F------
1588,2023-01-20 11:08:47.800552,162054394,93,s#----,F-----
1589,2023-01-20 11:08:47.800570,162054413,89,s--S-------,F--0-------
1590,2023-01-20 11:08:47.800590,162054432,90,s-----,F-----
1591,2023-01-20 11:08:47.800608,162054451,91,s------------,F------------
1592,2023-01-20 11:08:47.800628,162054471,59,s-,F-
1593,2023-01-20 11:08:47.800645,162054488,60,sYYYYYYYYYYYYYY,F--------------
1594,2023-01-20 11:08:47.800665,162054508,61,sYY-,F---
1595,2023-01-20 11:08:47.800684,162054527,62,sYYYYYYYYYYYYYY,F--------------
1596,2023-01-20 11:08:47.800704,162054547,201,sYYYY,F----
1597,2023-01-20 11:08:47.800722,162054565,202,sYYYYYYYYYYYYYY,F--------------
1598,2023-01-20 11:08:47.800754,162054597,63,s--,F--
1599,2023-01-20 11:08:47.800772,162054615,64,s#mPOnsmO-,F-00B0C?0-
1600,2023-01-20 11:08:47.800792,162054635,190,s--mmnnmmms--,F--BBBBBBBC--
1601,2023-01-20 11:08:47.800811,162054654,65,svv---Ovvv,F00---0000
1602,2023-01-20 11:08:47.800831,162054674,74,s-------DUm-,F-------GG0-
1603,2023-01-20 11:08:47.800850,162054693,75,s---------------,F---------------
1604,2023-01-20 11:08:47.800871,162054714,76,s-------,F-------
1605,2023-01-20 11:08:47.800889,162054732,78,s--DUmmmddd,F--GGBBBBBB
1606,2023-01-20 11:08:47.800909,162054752,79,s--DUmmmddd,F--GGBBBBBB
1607,2023-01-20 11:08:47.800928,162054771,107,s#nPOPP-----,F-00B00-----
1608,2023-01-20 11:08:47.800948,162054791,83,s#vvAaXOw%,F-000C0?00
1609,2023-01-20 11:08:47.800967,162054810,84,s#vvvvvvvvvvvvv,F-0CCCCCCCCCCCC
1610,2023-01-20 11:08:47.800987,162054830,106,s#GGGGGGGGG-s,F-CCCCCCCCC-F
1611,2023-01-20 11:08:47.801030,162054874,115,s---,F---
1612,2023-01-20 11:08:47.801082,162054926,109,s#m--,F-B--
