LineNo,UTC_Approx,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
522,2023-01-20 11:08:47.400000,161653586,0,1.16,3.08,5.11,0.87,0,1,161582,200,-36.19
1117,2023-01-20 11:08:47.600000,161864113,0,1.16,3.09,5.11,0.82,0,1,161782,200,-36.19
1569,2023-01-20 11:08:47.800000,162053841,0,1.16,3.09,5.12,0.9,0,1,161982,200,-36.191
1903,2023-01-20 11:08:48.000000,162254326,0,1.16,3.09,5.12,1.02,0,1,162182,200,-36.19
2000,2023-01-20 11:08:48.200000,162454317,0,1.16,3.1,5.13,0.93,0,1,162382,200,-36.19
2095,2023-01-20 11:08:48.400000,162654251,0,1.16,3.1,5.14,0.92,0,1,162582,200,-36.19
2219,2023-01-20 11:08:48.600000,162874131,0,1.16,3.11,5.14,0.96,0,1,162782,200,-36.19
2327,2023-01-20 11:08:48.800000,163074092,0,1.16,3.11,5.15,0.64,0,1,162982,200,-36.19
2429,2023-01-20 11:08:49.000000,163274090,0,1.16,3.12,5.15,0.88,0,1,163182,200,-36.191
2516,2023-01-20 11:08:49.200000,163474123,0,1.16,3.12,5.16,0.94,0,1,163382,200,-36.19
2593,2023-01-20 11:08:49.400000,163654245,0,1.16,3.12,5.16,0.98,0,1,163582,200,-36.19
2674,2023-01-20 11:08:49.600000,163854375,0,1.16,3.13,5.17,0.97,0,1,163782,200,-36.19
2754,2023-01-20 11:08:49.800000,164074091,0,1.16,3.13,5.17,0.64,0,1,163982,200,-36.19
2838,2023-01-20 11:08:50.000000,164274138,0,1.16,3.14,5.18,0.69,0,1,164182,200,-36.19
2919,2023-01-20 11:08:50.200000,164474063,0,1.16,3.14,5.19,0.81,0,1,164382,200,-36.19
2997,2023-01-20 11:08:50.400000,164674144,0,1.16,3.14,5.19,0.84,0,1,164582,200,-36.19
3079,2023-01-20 11:08:50.600000,164874239,0,1.16,3.15,5.2,0.87,0,1,164782,200,-36.19
3157,2023-01-20 11:08:50.800000,165074123,0,1.16,3.15,5.21,0.89,0,1,164982,200,-36.19
3239,2023-01-20 11:08:51.000000,165274252,0,1.16,3.15,5.21,0.87,0,1,165182,200,-36.19
3319,2023-01-20 11:08:51.200000,165474223,0,1.16,3.16,5.22,0.87,0,1,165382,200,-36.19
3398,2023-01-20 11:08:51.400000,165674311,0,1.16,3.16,5.22,0.85,0,1,165582,200,-36.19
3478,2023-01-20 11:08:51.600000,165874344,0,1.16,3.16,5.23,0.83,0,1,165782,200,-36.19
3556,2023-01-20 11:08:51.800000,166074330,0,1.16,3.16,5.23,0.84,0,1,165982,200,-36.19
3639,2023-01-20 11:08:52.000000,166274336,0,1.16,3.17,5.23,0.83,0,1,166182,200,-36.19
3711,2023-01-20 11:08:52.200000,166474322,0,1.16,3.17,5.24,0.8,0,1,166382,200,-36.19
3774,2023-01-20 11:08:52.400000,166674327,0,1.16,3.17,5.24,0.84,0,1,166582,200,-36.19
3839,2023-01-20 11:08:52.600000,166874378,0,1.16,3.17,5.25,0.82,0,1,166782,200,-36.19
3902,2023-01-20 11:08:52.800000,167074312,0,1.16,3.18,5.25,0.89,0,1,166982,200,-36.19
3969,2023-01-20 11:08:53.000000,167274309,0,1.16,3.18,5.25,0.87,0,1,167182,200,-36.19
4034,2023-01-20 11:08:53.200000,167474371,0,1.16,3.18,5.26,0.87,0,1,167382,200,-36.19
4097,2023-01-20 11:08:53.400000,167674351,0,1.16,3.18,5.26,0.84,0,1,167582,200,-36.19
4162,2023-01-20 11:08:53.600000,167874432,0,1.16,3.19,5.27,0.83,0,1,167782,200,-36.19
4225,2023-01-20 11:08:53.800000,168074368,0,1.16,3.19,5.27,0.92,0,1,167982,200,-36.19
4293,2023-01-20 11:08:54.000000,168274401,0,1.16,3.19,5.28,0.95,0,1,168182,200,-36.19
4359,2023-01-20 11:08:54.200000,168474427,0,1.16,3.19,5.28,0.91,0,1,168382,200,-36.19
4422,2023-01-20 11:08:54.400000,168674378,0,1.16,3.19,5.28,0.84,0,1,168582,200,-36.19
4487,2023-01-20 11:08:54.600000,168874453,0,1.16,3.19,5.28,0.85,0,1,168782,200,-36.19
4550,2023-01-20 11:08:54.800000,169074420,0,1.16,3.2,5.28,0.78,0,1,168982,200,-36.19
4617,2023-01-20 11:08:55.000000,169274398,0,1.16,3.2,5.28,0.86,0,1,169182,200,-36.19
4682,2023-01-20 11:08:55.200000,169474378,0,1.16,3.19,5.28,0.83,0,1,169382,200,-36.19
4745,2023-01-20 11:08:55.400000,169674389,0,1.16,3.19,5.28,0.81,0,1,169582,200,-36.19
4812,2023-01-20 11:08:55.600000,169874444,0,1.16,3.19,5.28,0.83,0,1,169782,200,-36.19
4875,2023-01-20 11:08:55.800000,170074386,0,1.16,3.2,5.29,0.83,0,1,169982,200,-36.19
4942,2023-01-20 11:08:56.000000,170274392,0,1.16,3.2,5.29,0.81,0,1,170182,200,-36.19
5007,2023-01-20 11:08:56.200000,170474379,0,1.16,3.2,5.3,0.82,0,1,170382,200,-36.19
5069,2023-01-20 11:08:56.400000,170674383,0,1.16,3.2,5.3,0.83,0,1,170623,241,-36.19
5134,2023-01-20 11:08:56.600000,170874447,0,1.16,3.2,5.3,0.76,0,1,170823,200,-36.19
5197,2023-01-20 11:08:56.800000,171074379,0,1.16,3.2,5.3,0.82,0,1,171023,200,-36.19
5264,2023-01-20 11:08:57.000000,171274395,0,1.16,3.2,5.31,0.83,0,1,171223,200,-36.19
5330,2023-01-20 11:08:57.200000,171474379,0,1.16,3.2,5.31,0.78,0,1,171423,200,-36.19
5393,2023-01-20 11:08:57.400000,171674375,0,1.16,3.21,5.32,0.74,0,1,171623,200,-36.19
5458,2023-01-20 11:08:57.600000,171874447,0,1.16,3.21,5.32,0.8,0,1,171823,200,-36.19
5521,2023-01-20 11:08:57.800000,172074381,0,1.16,3.21,5.33,0.83,0,1,172023,200,-36.19
5590,2023-01-20 11:08:58.000000,172274391,0,1.16,3.21,5.33,0.83,0,1,172223,200,-36.19
5655,2023-01-20 11:08:58.200000,172474385,0,1.16,3.21,5.33,0.86,0,1,172423,200,-36.19
5718,2023-01-20 11:08:58.400000,172674386,0,1.16,3.21,5.33,0.85,0,1,172623,200,-36.19
5783,2023-01-20 11:08:58.600000,172874456,0,1.16,3.21,5.34,0.84,0,1,172823,200,-36.19
5846,2023-01-20 11:08:58.800000,173074383,0,1.16,3.21,5.34,0.8,0,1,173023,200,-36.19
5913,2023-01-20 11:08:59.000000,173274415,0,1.16,3.21,5.34,0.68,0,1,173223,200,-36.19
5980,2023-01-20 11:08:59.200000,173494444,0,1.16,3.21,5.34,0.76,0,1,173423,200,-36.19
6043,2023-01-20 11:08:59.400000,173694438,0,1.16,3.22,5.34,0.75,0,1,173623,200,-36.19
6108,2023-01-20 11:08:59.600000,173874428,0,1.16,3.22,5.34,0.79,0,1,173823,200,-36.19
6171,2023-01-20 11:08:59.800000,174094440,0,1.16,3.22,5.34,0.92,0,1,174023,200,-36.19
6239,2023-01-20 11:09:00.000000,174294500,0,1.16,3.22,5.33,0.86,0,1,174223,200,-36.19
6304,2023-01-20 11:09:00.200000,174494647,0,1.16,3.22,5.33,0.89,0,1,174423,200,-36.189
6367,2023-01-20 11:09:00.400000,174694544,0,1.16,3.22,5.32,0.9,0,1,174623,200,-36.19
6434,2023-01-20 11:09:00.600000,174894653,0,1.16,3.21,5.32,0.89,0,1,174823,200,-36.19
6498,2023-01-20 11:09:00.800000,175094588,0,1.16,3.21,5.32,0.9,0,1,175023,200,-36.19
6565,2023-01-20 11:09:01.000000,175294636,0,1.16,3.21,5.31,0.89,0,1,175223,200,-36.19
6630,2023-01-20 11:09:01.200000,175494485,0,1.16,3.21,5.31,0.85,0,1,175423,200,-36.19
6693,2023-01-20 11:09:01.400000,175694621,0,1.16,3.21,5.3,0.85,0,1,175623,200,-36.19
6758,2023-01-20 11:09:01.600000,175894675,0,1.16,3.21,5.3,0.85,0,1,175823,200,-36.19
6822,2023-01-20 11:09:01.800000,176094664,0,1.16,3.2,5.29,0.85,0,1,176023,200,-36.19
6889,2023-01-20 11:09:02.000000,176294656,0,1.16,3.2,5.29,0.86,0,1,176223,200,-36.19
6954,2023-01-20 11:09:02.200000,176494632,0,1.16,3.2,5.28,0.83,0,1,176423,200,-36.19
7017,2023-01-20 11:09:02.400000,176694625,0,1.16,3.2,5.27,0.84,0,1,176623,200,-36.19
7082,2023-01-20 11:09:02.600000,176894723,0,1.16,3.2,5.27,0.81,0,1,176823,200,-36.19
7145,2023-01-20 11:09:02.800000,177094633,0,1.16,3.19,5.26,0.84,0,1,177023,200,-36.19
7212,2023-01-20 11:09:03.000000,177294642,0,1.16,3.19,5.26,0.82,0,1,177223,200,-36.19
7277,2023-01-20 11:09:03.200000,177494665,0,1.16,3.19,5.25,0.85,0,1,177423,200,-36.19
7340,2023-01-20 11:09:03.400000,177694674,0,1.16,3.19,5.24,0.84,0,1,177623,200,-36.19
7405,2023-01-20 11:09:03.600000,177894672,0,1.16,3.19,5.24,0.85,0,1,177823,200,-36.19
7469,2023-01-20 11:09:03.800000,178094647,0,1.16,3.19,5.23,0.84,0,1,178023,200,-36.19
7536,2023-01-20 11:09:04.000000,178294672,0,1.16,3.18,5.23,0.82,0,1,178223,200,-36.19
7602,2023-01-20 11:09:04.200000,178494689,0,1.16,3.18,5.22,0.82,0,1,178423,200,-36.19
7665,2023-01-20 11:09:04.400000,178694642,0,1.16,3.18,5.22,0.81,0,1,178623,200,-36.19
7730,2023-01-20 11:09:04.600000,178894674,0,1.16,3.18,5.21,0.83,0,1,178823,200,-36.19
7793,2023-01-20 11:09:04.800000,179094625,0,1.16,3.18,5.21,0.83,0,1,179023,200,-36.19
7860,2023-01-20 11:09:05.000000,179294698,0,1.16,3.17,5.2,0.82,0,1,179223,200,-36.19
7925,2023-01-20 11:09:05.200000,179494652,0,1.16,3.17,5.19,0.83,0,1,179423,200,-36.189
7989,2023-01-20 11:09:05.400000,179694624,0,1.16,3.17,5.18,0.82,0,1,179623,200,-36.19
8056,2023-01-20 11:09:05.600000,179894736,0,1.16,3.16,5.17,0.82,0,1,179823,200,-36.19
8119,2023-01-20 11:09:05.800000,180094615,0,1.16,3.16,5.16,0.84,0,1,180023,200,-36.19
8186,2023-01-20 11:09:06.000000,180294695,0,1.16,3.16,5.16,0.84,0,1,180223,200,-36.19
8251,2023-01-20 11:09:06.200000,180494677,0,1.16,3.15,5.15,0.85,0,1,180423,200,-36.189
8314,2023-01-20 11:09:06.400000,180694682,0,1.16,3.15,5.15,0.9,0,1,180623,200,-36.19
8379,2023-01-20 11:09:06.600000,180894666,0,1.16,3.15,5.15,0.95,0,1,180823,200,-36.19
8442,2023-01-20 11:09:06.800000,181094674,0,1.16,3.15,5.15,1.01,0,1,181023,200,-36.19
8509,2023-01-20 11:09:07.000000,181294649,0,1.16,3.15,5.15,0.92,0,1,181223,200,-36.189
8574,2023-01-20 11:09:07.200000,181494644,0,1.16,3.15,5.14,0.82,0,1,181423,200,-36.19
8638,2023-01-20 11:09:07.400000,181694641,0,1.16,3.15,5.13,0.73,0,1,181623,200,-36.19
8703,2023-01-20 11:09:07.600000,181894665,0,1.16,3.15,5.13,0.69,0,1,181823,200,-36.19
8766,2023-01-20 11:09:07.800000,182094624,0,1.16,3.15,5.12,0.84,0,1,182023,200,-36.19
8833,2023-01-20 11:09:08.000000,182294648,0,1.16,3.15,5.11,0.74,0,1,182223,200,-36.19
8897,2023-01-20 11:09:08.200000,182494684,0,1.16,3.14,5.11,0.67,0,1,182423,200,-36.19
8961,2023-01-20 11:09:08.400000,182694638,0,1.16,3.14,5.11,0.7,0,1,182623,200,-36.19
9026,2023-01-20 11:09:08.600000,182894701,0,1.16,3.14,5.1,0.77,0,1,182823,200,-36.19
9089,2023-01-20 11:09:08.800000,183094636,0,1.16,3.14,5.1,0.81,0,1,183023,200,-36.189
9158,2023-01-20 11:09:09.000000,183294662,0,1.16,3.14,5.09,0.85,0,1,183223,200,-36.19
9252,2023-01-20 11:09:09.200000,183514215,0,1.16,3.13,5.09,0.69,0,1,183423,200,-36.19
9317,2023-01-20 11:09:09.400000,183714241,0,1.16,3.13,5.09,0.67,0,1,183623,200,-36.19
9380,2023-01-20 11:09:09.600000,183914232,0,1.16,3.13,5.08,0.74,0,1,183823,200,-36.19
9447,2023-01-20 11:09:09.800000,184114193,0,1.16,3.13,5.08,0.73,0,1,184023,200,-36.189
9512,2023-01-20 11:09:10.000000,184314240,0,1.16,3.12,5.08,0.71,0,1,184223,200,-36.19
9577,2023-01-20 11:09:10.200000,184514249,0,1.16,3.12,5.08,0.73,0,1,184423,200,-36.19
9642,2023-01-20 11:09:10.400000,184714250,0,1.16,3.11,5.07,0.74,0,1,184623,200,-36.19
9707,2023-01-20 11:09:10.600000,184914472,0,1.16,3.11,5.07,0.78,0,1,184823,200,-36.189
9772,2023-01-20 11:09:10.800000,185114339,0,1.16,3.11,5.07,0.78,0,1,185023,200,-36.19
9838,2023-01-20 11:09:11.000000,185314384,0,1.16,3.1,5.06,0.75,0,1,185223,200,-36.19
9903,2023-01-20 11:09:11.200000,185514399,0,1.16,3.1,5.06,0.76,0,1,185423,200,-36.19
9968,2023-01-20 11:09:11.400000,185714427,0,1.16,3.09,5.06,0.75,0,1,185623,200,-36.19
10031,2023-01-20 11:09:11.600000,185914419,0,1.16,3.09,5.05,0.76,0,1,185823,200,-36.19
10096,2023-01-20 11:09:11.800000,186114379,0,1.16,3.08,5.05,0.79,0,1,186023,200,-36.19
10161,2023-01-20 11:09:12.000000,186314390,0,1.16,3.08,5.05,0.77,0,1,186223,200,-36.189
10225,2023-01-20 11:09:12.200000,186514450,0,1.16,3.08,5.05,0.8,0,1,186423,200,-36.19
10291,2023-01-20 11:09:12.400000,186714384,0,1.16,3.07,5.04,0.82,0,1,186623,200,-36.189
10354,2023-01-20 11:09:12.600000,186914431,0,1.16,3.07,5.04,0.81,0,1,186823,200,-36.189
10419,2023-01-20 11:09:12.800000,187114369,0,1.16,3.07,5.04,0.8,0,1,187023,200,-36.19
10484,2023-01-20 11:09:13.000000,187314382,0,1.16,3.07,5.04,0.79,0,1,187223,200,-36.19
10549,2023-01-20 11:09:13.200000,187514396,0,1.16,3.06,5.04,0.73,0,1,187423,200,-36.19
10614,2023-01-20 11:09:13.400000,187714372,0,1.16,3.06,5.04,0.63,0,1,187623,200,-36.19
10677,2023-01-20 11:09:13.600000,187914430,0,1.16,3.06,5.03,0.6,0,1,187823,200,-36.19
10742,2023-01-20 11:09:13.800000,188114382,0,1.16,3.05,5.03,0.56,0,1,188023,200,-36.189
10807,2023-01-20 11:09:14.000000,188314373,0,1.16,3.05,5.03,0.66,0,1,188223,200,-36.189
10872,2023-01-20 11:09:14.200000,188514394,0,1.16,3.05,5.03,0.79,0,1,188423,200,-36.189
10939,2023-01-20 11:09:14.400000,188714376,0,1.16,3.05,5.03,0.92,0,1,188623,200,-36.19
11002,2023-01-20 11:09:14.600000,188914434,0,1.16,3.04,5.04,0.94,0,1,188823,200,-36.189
11067,2023-01-20 11:09:14.800000,189114373,0,1.16,3.04,5.04,0.93,0,1,189023,200,-36.19
11132,2023-01-20 11:09:15.000000,189314414,0,1.16,3.04,5.04,0.93,0,1,189223,200,-36.19
11197,2023-01-20 11:09:15.200000,189514393,0,1.16,3.04,5.04,0.93,0,1,189423,200,-36.19
11265,2023-01-20 11:09:15.400000,189714356,0,1.16,3.03,5.05,0.9,0,1,189623,200,-36.19
11330,2023-01-20 11:09:15.600000,189914450,0,1.16,3.03,5.04,0.81,0,1,189823,200,-36.19
