LineNo,UTC_Approx,UTC_GPS,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
521,2023-01-20 11:08:47.400000,2023-01-20 11:08:47.400000,161653586,0,3,472145400,2245,14,0.72,39.8044363,32.3787903,738.54,0.07300001,344.1321,0.039,0,1
1116,2023-01-20 11:08:47.600000,2023-01-20 11:08:47.600000,161864113,0,3,472145600,2245,14,0.72,39.8044359,32.3787907,738.41,0.277,344.1321,0.138,0,1
1568,2023-01-20 11:08:47.800000,2023-01-20 11:08:47.800000,162053841,0,3,472145800,2245,14,0.72,39.8044358,32.3787912,738.28,0.187,344.1321,-0.205,0,1
1902,2023-01-20 11:08:48.000000,2023-01-20 11:08:48.000000,162254326,0,3,472146000,2245,14,0.72,39.8044351,32.3787916,738.07,0.378,344.1321,0.034,0,1
1999,2023-01-20 11:08:48.200000,2023-01-20 11:08:48.200000,162454317,0,3,472146200,2245,14,0.72,39.8044342,32.3787921,737.91,0.283,344.1321,-0.018,0,1
2094,2023-01-20 11:08:48.400000,2023-01-20 11:08:48.400000,162654251,0,3,472146400,2245,14,0.72,39.8044341,32.3787922,737.88,0.119,344.1321,-0.011,0,1
2218,2023-01-20 11:08:48.600000,2023-01-20 11:08:48.600000,162874131,0,3,472146600,2245,14,0.72,39.804434,32.3787921,737.83,0.09100001,344.1321,0.034,0,1
2326,2023-01-20 11:08:48.800000,2023-01-20 11:08:48.800000,163074092,0,3,472146800,2245,14,0.72,39.8044337,32.378792,737.68,0.144,344.1321,0.044,0,1
2428,2023-01-20 11:08:49.000000,2023-01-20 11:08:49.000000,163274090,0,3,472147000,2245,14,0.72,39.8044336,32.378792,737.62,0.136,344.1321,0.168,0,1
2515,2023-01-20 11:08:49.200000,2023-01-20 11:08:49.200000,163474123,0,3,472147200,2245,14,0.72,39.8044332,32.3787923,737.47,0.199,344.1321,0.033,0,1
2592,2023-01-20 11:08:49.400000,2023-01-20 11:08:49.400000,163654245,0,3,472147400,2245,14,0.72,39.8044329,32.3787925,737.39,0.093,344.1321,0.058,0,1
2673,2023-01-20 11:08:49.600000,2023-01-20 11:08:49.600000,163854375,0,3,472147600,2245,14,0.72,39.8044326,32.3787927,737.27,0.189,344.1321,0.138,0,1
2753,2023-01-20 11:08:49.800000,2023-01-20 11:08:49.800000,164074091,0,3,472147800,2245,14,0.72,39.8044324,32.3787929,737.22,0.148,344.1321,-0.019,0,1
2837,2023-01-20 11:08:50.000000,2023-01-20 11:08:50.000000,164274138,0,3,472148000,2245,14,0.72,39.8044324,32.3787931,737.12,0.127,344.1321,0.048,0,1
2918,2023-01-20 11:08:50.200000,2023-01-20 11:08:50.200000,164474063,0,3,472148200,2245,14,0.72,39.8044323,32.3787933,736.97,0.056,344.1321,0.055,0,1
2996,2023-01-20 11:08:50.400000,2023-01-20 11:08:50.400000,164674144,0,3,472148400,2245,14,0.72,39.8044322,32.3787934,736.87,0.059,344.1321,0.211,0,1
3078,2023-01-20 11:08:50.600000,2023-01-20 11:08:50.600000,164874239,0,3,472148600,2245,14,0.72,39.804432,32.3787936,736.71,0.132,344.1321,0.173,0,1
3156,2023-01-20 11:08:50.800000,2023-01-20 11:08:50.800000,165074123,0,3,472148800,2245,14,0.72,39.8044317,32.3787938,736.61,0.157,344.1321,0.256,0,1
3238,2023-01-20 11:08:51.000000,2023-01-20 11:08:51.000000,165274252,0,3,472149000,2245,14,0.72,39.8044312,32.3787942,736.4,0.257,344.1321,0.411,0,1
3318,2023-01-20 11:08:51.200000,2023-01-20 11:08:51.200000,165474223,0,3,472149200,2245,14,0.72,39.8044307,32.3787945,736.15,0.2,344.1321,0.365,0,1
3397,2023-01-20 11:08:51.400000,2023-01-20 11:08:51.400000,165674311,0,3,472149400,2245,14,0.72,39.8044304,32.3787945,736.06,0.21,344.1321,0.394,0,1
3477,2023-01-20 11:08:51.600000,2023-01-20 11:08:51.600000,165874344,0,3,472149600,2245,14,0.72,39.8044304,32.3787943,735.97,0.139,344.1321,0.348,0,1
3555,2023-01-20 11:08:51.800000,2023-01-20 11:08:51.800000,166074330,0,3,472149800,2245,14,0.72,39.8044304,32.3787943,735.84,0.113,344.1321,0.37,0,1
3638,2023-01-20 11:08:52.000000,2023-01-20 11:08:52.000000,166274336,0,3,472150000,2245,14,0.72,39.8044303,32.3787944,735.79,0.103,344.1321,0.261,0,1
3710,2023-01-20 11:08:52.200000,2023-01-20 11:08:52.200000,166474322,0,3,472150200,2245,14,0.72,39.8044304,32.3787944,735.76,0.081,344.1321,0.282,0,1
3773,2023-01-20 11:08:52.400000,2023-01-20 11:08:52.400000,166674327,0,3,472150400,2245,14,0.72,39.8044307,32.3787942,735.81,0.078,344.1321,0.134,0,1
3838,2023-01-20 11:08:52.600000,2023-01-20 11:08:52.600000,166874378,0,3,472150600,2245,14,0.72,39.8044306,32.3787943,735.7,0.044,344.1321,0.167,0,1
3901,2023-01-20 11:08:52.800000,2023-01-20 11:08:52.800000,167074312,0,3,472150800,2245,14,0.72,39.8044305,32.3787942,735.67,0.097,344.1321,0.165,0,1
3968,2023-01-20 11:08:53.000000,2023-01-20 11:08:53.000000,167274309,0,3,472151000,2245,14,0.72,39.8044302,32.3787943,735.66,0.185,344.1321,0.255,0,1
4033,2023-01-20 11:08:53.200000,2023-01-20 11:08:53.200000,167474371,0,3,472151200,2245,14,0.72,39.8044302,32.3787942,735.63,0.24,344.1321,0.22,0,1
4096,2023-01-20 11:08:53.400000,2023-01-20 11:08:53.400000,167674351,0,3,472151400,2245,14,0.72,39.8044305,32.3787939,735.64,0.126,344.1321,0.27,0,1
4161,2023-01-20 11:08:53.600000,2023-01-20 11:08:53.600000,167874432,0,3,472151600,2245,14,0.72,39.8044306,32.3787939,735.69,0.064,344.1321,0.289,0,1
4224,2023-01-20 11:08:53.800000,2023-01-20 11:08:53.800000,168074368,0,3,472151800,2245,14,0.72,39.80443,32.378794,735.56,0.309,344.1321,0.329,0,1
4292,2023-01-20 11:08:54.000000,2023-01-20 11:08:54.000000,168274401,0,3,472152000,2245,14,0.72,39.8044297,32.3787941,735.46,0.236,344.1321,0.118,0,1
4358,2023-01-20 11:08:54.200000,2023-01-20 11:08:54.200000,168474427,0,3,472152200,2245,14,0.72,39.8044301,32.3787938,735.46,0.469,344.1321,-0.039,0,1
4421,2023-01-20 11:08:54.400000,2023-01-20 11:08:54.400000,168674378,0,3,472152400,2245,14,0.72,39.8044304,32.3787935,735.59,0.169,344.1321,-0.522,0,1
4486,2023-01-20 11:08:54.600000,2023-01-20 11:08:54.600000,168874453,0,3,472152600,2245,14,0.72,39.80443,32.3787934,735.67,0.231,344.1321,-0.442,0,1
4549,2023-01-20 11:08:54.800000,2023-01-20 11:08:54.800000,169074420,0,3,472152800,2245,14,0.72,39.8044294,32.3787929,735.8,0.347,344.1321,-0.478,0,1
4616,2023-01-20 11:08:55.000000,2023-01-20 11:08:55.000000,169274398,0,3,472153000,2245,14,0.72,39.8044287,32.3787923,735.9,0.345,344.1321,-0.292,0,1
4681,2023-01-20 11:08:55.200000,2023-01-20 11:08:55.200000,169474378,0,3,472153200,2245,14,0.72,39.8044284,32.3787919,736.04,0.176,344.1321,-0.66,0,1
4744,2023-01-20 11:08:55.400000,2023-01-20 11:08:55.400000,169674389,0,3,472153400,2245,14,0.72,39.8044281,32.3787917,736.13,0.258,344.1321,-0.455,0,1
4811,2023-01-20 11:08:55.600000,2023-01-20 11:08:55.600000,169874444,0,3,472153600,2245,14,0.72,39.8044276,32.3787917,736.2,0.161,344.1321,-0.485,0,1
4874,2023-01-20 11:08:55.800000,2023-01-20 11:08:55.800000,170074386,0,3,472153800,2245,14,0.72,39.804427,32.3787921,736.29,0.317,344.1321,-0.5560001,0,1
4941,2023-01-20 11:08:56.000000,2023-01-20 11:08:56.000000,170274392,0,3,472154000,2245,14,0.72,39.8044264,32.3787925,736.34,0.138,344.1321,-0.444,0,1
5006,2023-01-20 11:08:56.200000,2023-01-20 11:08:56.200000,170474379,0,3,472154200,2245,14,0.72,39.8044265,32.378793,736.45,0.32,344.1321,-0.428,0,1
5068,2023-01-20 11:08:56.400000,2023-01-20 11:08:56.400000,170674383,0,3,472154400,2245,14,0.72,39.8044263,32.3787936,736.5,0.353,344.1321,-0.253,0,1
5133,2023-01-20 11:08:56.600000,2023-01-20 11:08:56.600000,170874447,0,3,472154600,2245,14,0.72,39.8044264,32.3787943,736.73,0.391,344.1321,-0.53,0,1
5196,2023-01-20 11:08:56.800000,2023-01-20 11:08:56.800000,171074379,0,3,472154800,2245,14,0.72,39.8044266,32.378795,736.84,0.327,344.1321,-0.698,0,1
5263,2023-01-20 11:08:57.000000,2023-01-20 11:08:57.000000,171274395,0,3,472155000,2245,14,0.72,39.804426,32.3787956,736.77,0.297,344.1321,-0.723,0,1
5329,2023-01-20 11:08:57.200000,2023-01-20 11:08:57.200000,171474379,0,3,472155200,2245,14,0.72,39.8044252,32.3787964,736.78,0.577,344.1321,-0.464,0,1
5392,2023-01-20 11:08:57.400000,2023-01-20 11:08:57.400000,171674375,0,3,472155400,2245,14,0.72,39.8044249,32.3787972,737.05,0.482,344.1321,-0.497,0,1
5457,2023-01-20 11:08:57.600000,2023-01-20 11:08:57.600000,171874447,0,3,472155600,2245,14,0.72,39.8044248,32.3787979,737.21,0.211,344.1321,-0.559,0,1
5520,2023-01-20 11:08:57.800000,2023-01-20 11:08:57.800000,172074381,0,3,472155800,2245,14,0.72,39.8044246,32.3787982,737.36,0.189,344.1321,-0.705,0,1
5589,2023-01-20 11:08:58.000000,2023-01-20 11:08:58.000000,172274391,0,3,472156000,2245,14,0.72,39.8044245,32.3787989,737.5,0.463,344.1321,-0.9530001,0,1
5654,2023-01-20 11:08:58.200000,2023-01-20 11:08:58.200000,172474385,0,3,472156200,2245,14,0.72,39.8044253,32.3787994,737.9,0.423,344.1321,-1.087,0,1
5717,2023-01-20 11:08:58.400000,2023-01-20 11:08:58.400000,172674386,0,3,472156400,2245,14,0.72,39.8044257,32.3787995,738.17,0.183,344.1321,-0.9170001,0,1
5782,2023-01-20 11:08:58.600000,2023-01-20 11:08:58.600000,172874456,0,3,472156600,2245,14,0.72,39.8044254,32.3787994,738.23,0.223,344.1321,-0.53,0,1
5845,2023-01-20 11:08:58.800000,2023-01-20 11:08:58.800000,173074383,0,3,472156800,2245,14,0.72,39.804425,32.3787986,738.44,0.468,344.1321,-0.246,0,1
5912,2023-01-20 11:08:59.000000,2023-01-20 11:08:59.000000,173274415,0,3,472157000,2245,14,0.72,39.8044248,32.3787973,738.72,0.723,344.1321,-0.327,0,1
5979,2023-01-20 11:08:59.200000,2023-01-20 11:08:59.200000,173494444,0,3,472157200,2245,14,0.72,39.8044246,32.3787956,739.02,0.6950001,344.1321,-0.645,0,1
6042,2023-01-20 11:08:59.400000,2023-01-20 11:08:59.400000,173694438,0,3,472157400,2245,14,0.72,39.8044241,32.3787941,739.22,0.789,344.1321,-0.512,0,1
6107,2023-01-20 11:08:59.600000,2023-01-20 11:08:59.600000,173874428,0,3,472157600,2245,14,0.72,39.8044233,32.3787926,739.49,0.832,344.1321,-0.41,0,1
