LineNo,UTC_Approx,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
360,2023-01-20 11:08:47.380903,161633484,0,-0.001451199,-0.001221376,8.746932E-06,0.02914294,0.1935869,-9.831985,0,0,29.98161,1,1,7973,996
894,2023-01-20 11:08:47.457253,161713852,0,-0.001402916,-0.0009453495,0.001057446,0.02192711,0.2000062,-9.819779,0,0,29.97864,1,1,7973,996
984,2023-01-20 11:08:47.495242,161753841,0,-0.0005029137,-0.0003143302,0.000383329,0.02829613,0.1980777,-9.82088,0,0,29.97729,1,1,7973,996
1066,2023-01-20 11:08:47.533916,161794551,0,-0.0006796979,-0.0002387102,0.000286763,0.02482848,0.1981474,-9.831035,0,0,29.97617,1,1,7973,996
1099,2023-01-20 11:08:47.575300,161838113,0,-0.0005869322,0.0001517746,0.000584645,0.01944864,0.2130157,-9.866254,0,0,29.97518,1,1,7973,996
1137,2023-01-20 11:08:47.627514,161890214,0,0.0003535557,-0.0006872854,0.0007358817,0.0225933,0.194846,-9.831451,0,0,29.97489,1,1,7973,996
1274,2023-01-20 11:08:47.673336,161933682,0,-0.001021887,-0.00031235,0.0005887875,0.02612048,0.2124987,-9.814281,0,0,29.97578,1,1,7973,996
1359,2023-01-20 11:08:47.715457,161973640,0,0.000646857,-0.0003630582,0.0009244242,0.02607254,0.202646,-9.83367,0,0,29.97652,1,1,7973,996
1455,2023-01-20 11:08:47.757596,162013615,0,-0.0006230533,-0.0001528808,0.0003468777,0.02408746,0.1911567,-9.840774,0,0,29.97785,1,1,7973,996
1570,2023-01-20 11:08:47.800184,162054026,0,-0.0008329656,-0.001545374,-0.0009835947,0.03024511,0.2117871,-9.835644,0,0,29.9797,1,1,7973,996
1821,2023-01-20 11:08:47.840710,162094650,0,-1.645284E-05,0.0003511587,0.0003703754,0.02233713,0.1941088,-9.843091,0,0,29.98156,1,1,7973,996
1851,2023-01-20 11:08:47.880047,162134082,0,-0.0002615725,-0.001623923,-7.326197E-05,0.02078746,0.1934167,-9.839675,0,0,29.98255,1,1,7973,996
1859,2023-01-20 11:08:47.920270,162174403,0,-0.0005270931,-0.0006844362,-0.0001865029,0.02394694,0.2089006,-9.840776,0,0,29.98254,1,1,7973,996
1896,2023-01-20 11:08:47.959880,162214109,0,-0.0008039455,-0.001001636,0.0002220828,0.015031,0.2109634,-9.830806,0,0,29.98289,1,1,7973,996
1904,2023-01-20 11:08:48.000129,162254455,0,-0.0009386868,-0.0007409749,0.0003072624,0.01691819,0.2009436,-9.849809,0,0,29.9836,1,1,7973,996
1913,2023-01-20 11:08:48.040210,162294534,0,-0.0006126239,-0.00125897,0.0003906342,0.02927472,0.1924267,-9.833747,0,0,29.98467,1,1,7973,996
1944,2023-01-20 11:08:48.079819,162334141,0,-0.001484816,0.000354261,0.0003505142,0.021749,0.2095877,-9.842103,0,0,29.98549,1,1,7973,996
1952,2023-01-20 11:08:48.119784,162374105,0,1.160188E-05,-0.000830671,0.0003424964,0.0197883,0.2073166,-9.838055,0,0,29.98654,1,1,7973,996
1986,2023-01-20 11:08:48.159771,162414090,0,-6.112843E-05,-0.001947522,-0.0002591329,0.03482515,0.1921639,-9.841337,0,0,29.98759,1,1,7973,996
2001,2023-01-20 11:08:48.200130,162454447,0,-0.0005887825,-0.0006512942,0.0004886087,0.0149291,0.1971938,-9.831856,0,0,29.98832,1,1,7973,996
2012,2023-01-20 11:08:48.240231,162494535,0,-0.0009129912,-0.001927122,0.0006542091,0.0124168,0.1972732,-9.825982,0,0,29.98921,1,1,7973,996
2043,2023-01-20 11:08:48.279809,162534099,0,0.0002548923,-0.0008500477,-0.00047686,0.02915704,0.191439,-9.829325,0,0,29.99024,1,1,7973,996
2050,2023-01-20 11:08:48.319823,162574100,0,-0.0003774249,-0.0007874116,0.000271181,0.02772256,0.203818,-9.824896,0,0,29.99159,1,1,7973,996
2081,2023-01-20 11:08:48.359840,162614104,0,0.0001115955,-0.001017419,-0.0004164163,0.02313698,0.2026477,-9.820299,0,0,29.9923,1,1,7974,996
2096,2023-01-20 11:08:48.400159,162654426,0,-0.001798211,-0.001264344,-0.0002776204,0.02583903,0.1993249,-9.833535,0,0,29.99272,1,1,7974,996
2109,2023-01-20 11:08:48.436641,162694534,0,-0.0008884428,-0.00165972,0.0002878286,0.02269809,0.2101772,-9.841975,0,0,29.99327,1,1,7974,996
2149,2023-01-20 11:08:48.472604,162734072,0,-0.000414735,-0.001255827,0.0003162476,0.03079359,0.2019262,-9.834851,0,0,29.99391,1,1,7974,996
2161,2023-01-20 11:08:48.509065,162774157,0,0.0002894654,-0.00155413,-0.00066225,0.02392749,0.1974778,-9.822506,0,0,29.99402,1,1,7974,996
2195,2023-01-20 11:08:48.545404,162814108,0,0.0003272839,-0.0007053912,0.0001394895,0.02522815,0.1935496,-9.835041,0,0,29.99402,1,1,7974,996
2209,2023-01-20 11:08:48.582077,162854426,0,-0.0002539266,0.0001162354,0.000272022,0.01558677,0.1985844,-9.831553,0,0,29.99402,1,1,7974,996
2230,2023-01-20 11:08:48.620402,162894529,0,5.026019E-05,-0.0006645511,0.0004200359,0.02373448,0.1988813,-9.837111,0,0,29.99359,1,1,7974,996
2267,2023-01-20 11:08:48.659960,162934079,0,-0.0007076685,-0.0008741177,-0.0002736427,0.03160147,0.2111376,-9.835176,0,0,29.99342,1,1,7974,996
2274,2023-01-20 11:08:48.699996,162974108,0,0.001768887,-0.001279982,0.0005279154,0.03171338,0.2048224,-9.828568,0,0,29.99349,1,1,7974,996
2309,2023-01-20 11:08:48.740017,163014121,0,-0.0009219683,-0.001110122,0.0005926578,0.02585713,0.2063067,-9.823132,0,0,29.99434,1,1,7974,996
2319,2023-01-20 11:08:48.780354,163054450,0,-0.001632564,-0.001588972,0.0005434283,0.02070272,0.1920557,-9.824525,0,0,29.99602,1,1,7974,996
2336,2023-01-20 11:08:48.820566,163094658,0,-0.0006638105,-0.0008081887,-0.0006679969,0.02641224,0.2094369,-9.833954,0,0,29.99779,1,1,7974,996
2375,2023-01-20 11:08:48.859984,163134075,0,-0.0003282879,-0.000450215,0.0002071272,0.03344978,0.2005054,-9.830058,0,0,29.99889,1,1,7974,996
2385,2023-01-20 11:08:48.900381,163174472,0,-0.0007761238,-0.00102566,0.0001046737,0.02737016,0.2107697,-9.836097,0,0,29.99954,1,1,7974,996
2420,2023-01-20 11:08:48.940020,163214111,0,-0.000382575,-0.0007353736,-0.0002386086,0.01864068,0.2060908,-9.846583,0,0,30.00033,1,1,7974,996
2425,2023-01-20 11:08:48.980325,163254415,0,-0.0008833267,-0.0005817991,0.0008733278,0.0147798,0.2028192,-9.83571,0,0,30.00103,1,1,7974,996
2435,2023-01-20 11:08:49.020441,163294534,0,-0.0001625753,-0.001366799,0.00045725,0.01633602,0.1950488,-9.851815,0,0,30.00161,1,1,7974,996
2468,2023-01-20 11:08:49.060038,163334138,0,-0.0001831679,-0.0009601103,0.0002388193,0.01643647,0.1993245,-9.830589,0,0,30.00211,1,1,7974,996
2474,2023-01-20 11:08:49.099993,163374100,0,-0.0004766326,-0.001241695,0.0007898192,0.02642032,0.2013207,-9.829451,0,0,30.00333,1,1,7974,996
