LineNo,UTC_Approx,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1019,2023-01-20 11:08:47.514239,161773838,0,-214,-55,399,-236,6,-63,0,0,0,1,161773834
1136,2023-01-20 11:08:47.627383,161890090,0,-214,-54,397,-236,6,-63,0,0,0,1,161890086
1398,2023-01-20 11:08:47.736845,161993930,0,-215,-53,398,-236,6,-63,0,0,0,1,161993926
1818,2023-01-20 11:08:47.840461,162094400,0,-215,-54,398,-236,6,-63,0,0,0,1,162094396
1864,2023-01-20 11:08:47.940338,162194519,0,-214,-55,398,-236,6,-63,0,0,0,1,162194507
1912,2023-01-20 11:08:48.040091,162294415,0,-214,-53,398,-236,6,-63,0,0,0,1,162294411
1957,2023-01-20 11:08:48.140087,162394407,0,-216,-53,397,-236,6,-63,0,0,0,1,162394403
2011,2023-01-20 11:08:48.240107,162494411,0,-214,-54,399,-236,6,-63,0,0,0,1,162494407
2053,2023-01-20 11:08:48.340137,162594408,0,-215,-54,398,-236,6,-63,0,0,0,1,162594404
2108,2023-01-20 11:08:48.436518,162694399,0,-215,-54,398,-236,6,-63,0,0,0,1,162694395
2167,2023-01-20 11:08:48.527489,162794413,0,-215,-53,398,-236,6,-63,0,0,0,1,162794409
2229,2023-01-20 11:08:48.620270,162894397,0,-216,-53,398,-236,6,-63,0,0,0,1,162894394
2281,2023-01-20 11:08:48.720300,162994408,0,-214,-54,398,-236,6,-63,0,0,0,1,162994405
2333,2023-01-20 11:08:48.820287,163094379,0,-213,-53,397,-236,6,-63,0,0,0,1,163094375
2391,2023-01-20 11:08:48.920372,163194463,0,-215,-55,397,-236,6,-63,0,0,0,1,163194459
2434,2023-01-20 11:08:49.020325,163294418,0,-214,-54,397,-236,6,-63,0,0,0,1,163294408
2479,2023-01-20 11:08:49.120288,163394398,0,-215,-54,398,-236,6,-63,0,0,0,1,163394395
2520,2023-01-20 11:08:49.222522,163494406,0,-215,-54,398,-236,6,-63,0,0,0,1,163494402
2561,2023-01-20 11:08:49.333555,163594404,0,-214,-55,397,-236,6,-63,0,0,0,1,163594401
2600,2023-01-20 11:08:49.440176,163694447,0,-214,-54,398,-236,6,-63,0,0,0,1,163694443
2642,2023-01-20 11:08:49.540079,163794415,0,-223,-56,408,-236,6,-63,0,0,0,1,163794411
2681,2023-01-20 11:08:49.636437,163894404,0,-226,-55,412,-236,6,-63,0,0,0,1,163894400
2720,2023-01-20 11:08:49.727461,163994401,0,-225,-56,410,-236,6,-63,0,0,0,1,163994397
2759,2023-01-20 11:08:49.820305,164094401,0,-222,-57,407,-236,6,-63,0,0,0,1,164094397
2801,2023-01-20 11:08:49.920357,164194476,0,-224,-58,407,-236,6,-63,0,0,0,1,164194472
2842,2023-01-20 11:08:50.020285,164294415,0,-222,-57,406,-236,6,-63,0,0,0,1,164294411
2882,2023-01-20 11:08:50.120360,164394453,0,-223,-57,405,-236,6,-63,0,0,0,1,164394450
2923,2023-01-20 11:08:50.220338,164494409,0,-222,-56,405,-236,6,-63,0,0,0,1,164494405
2962,2023-01-20 11:08:50.320287,164594399,0,-223,-57,406,-236,6,-63,0,0,0,1,164594395
3002,2023-01-20 11:08:50.420249,164694403,0,-222,-57,406,-236,6,-63,0,0,0,1,164694399
3045,2023-01-20 11:08:50.520260,164794461,0,-223,-58,408,-236,6,-63,0,0,0,1,164794457
3084,2023-01-20 11:08:50.620178,164894405,0,-230,-58,417,-236,6,-63,0,0,0,1,164894390
3123,2023-01-20 11:08:50.720235,164994404,0,-248,-56,444,-236,6,-63,0,0,0,1,164994401
3161,2023-01-20 11:08:50.820275,165094411,0,-240,-55,429,-236,6,-63,0,0,0,1,165094407
3202,2023-01-20 11:08:50.920228,165194428,0,-235,-56,424,-236,6,-63,0,0,0,1,165194424
3243,2023-01-20 11:08:51.020170,165294419,0,-232,-53,423,-236,6,-63,0,0,0,1,165294415
3282,2023-01-20 11:08:51.120177,165394411,0,-236,-57,421,-236,6,-63,0,0,0,1,165394407
3324,2023-01-20 11:08:51.220187,165494419,0,-232,-58,419,-236,6,-63,0,0,0,1,165494415
3362,2023-01-20 11:08:51.320109,165594385,0,-234,-54,423,-236,6,-63,0,0,0,1,165594381
3402,2023-01-20 11:08:51.420092,165694406,0,-232,-55,422,-236,6,-63,0,0,0,1,165694403
3442,2023-01-20 11:08:51.520133,165794464,0,-235,-57,425,-236,6,-63,0,0,0,1,165794460
3483,2023-01-20 11:08:51.620057,165894400,0,-232,-53,421,-236,6,-63,0,0,0,1,165894396
3521,2023-01-20 11:08:51.720070,165994406,0,-231,-57,420,-236,6,-63,0,0,0,1,165994403
3561,2023-01-20 11:08:51.820123,166094454,0,-233,-55,423,-236,6,-63,0,0,0,1,166094450
3601,2023-01-20 11:08:51.920088,166194422,0,-235,-56,425,-236,6,-63,0,0,0,1,166194418
3643,2023-01-20 11:08:52.020077,166294412,0,-234,-56,421,-236,6,-63,0,0,0,1,166294408
3680,2023-01-20 11:08:52.120077,166394405,0,-238,-58,423,-236,6,-63,0,0,0,1,166394401
3714,2023-01-20 11:08:52.220093,166494415,0,-234,-56,422,-236,6,-63,0,0,0,1,166494412
3745,2023-01-20 11:08:52.320089,166594414,0,-234,-54,422,-236,6,-63,0,0,0,1,166594410
3777,2023-01-20 11:08:52.420077,166694409,0,-233,-55,423,-236,6,-63,0,0,0,1,166694405
3810,2023-01-20 11:08:52.520069,166794427,0,-233,-55,420,-236,6,-63,0,0,0,1,166794424
3842,2023-01-20 11:08:52.620029,166894401,0,-234,-55,423,-236,6,-63,0,0,0,1,166894397
3873,2023-01-20 11:08:52.720068,166994406,0,-238,-56,425,-236,6,-63,0,0,0,1,166994402
3905,2023-01-20 11:08:52.820148,167094460,0,-235,-53,422,-236,6,-63,0,0,0,1,167094456
3938,2023-01-20 11:08:52.920123,167194433,0,-233,-57,422,-236,6,-63,0,0,0,1,167194429
3972,2023-01-20 11:08:53.020105,167294420,0,-229,-53,420,-236,6,-63,0,0,0,1,167294416
4003,2023-01-20 11:08:53.120105,167394451,0,-234,-53,421,-236,6,-63,0,0,0,1,167394447
4037,2023-01-20 11:08:53.220090,167494459,0,-236,-57,424,-236,6,-63,0,0,0,1,167494455
4068,2023-01-20 11:08:53.320108,167594467,0,-239,-56,430,-236,6,-63,0,0,0,1,167594463
4100,2023-01-20 11:08:53.420141,167694500,0,-274,-53,476,-236,6,-63,0,0,0,1,167694497
4133,2023-01-20 11:08:53.520080,167794480,0,-322,-53,535,-236,6,-63,0,0,0,1,167794474
4165,2023-01-20 11:08:53.620029,167894455,0,-340,-39,575,-236,6,-63,0,0,0,1,167894451
4196,2023-01-20 11:08:53.720107,167994501,0,-381,-49,623,-236,6,-63,0,0,0,1,167994497
4228,2023-01-20 11:08:53.820086,168094457,0,-418,-41,690,-236,6,-63,0,0,0,1,168094453
4261,2023-01-20 11:08:53.920088,168194476,0,-469,-47,737,-236,6,-63,0,0,0,1,168194469
4296,2023-01-20 11:08:54.020074,168294478,0,-511,-40,810,-236,6,-63,0,0,0,1,168294474
