LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
1991,2023-01-20 11:08:48.165022,162419341,2,9838,258,0,6,0,0
2506,2023-01-20 11:08:49.147384,163421498,2,9922,259,0,6,0,0
2910,2023-01-20 11:08:50.149918,164424000,2,10003,260,0,6,0,0
3310,2023-01-20 11:08:51.149775,165424005,2,10084,261,0,6,0,0
3706,2023-01-20 11:08:52.152252,166426577,2,10165,262,0,6,0,0
4029,2023-01-20 11:08:53.154704,167429061,2,10246,263,0,6,0,0
4354,2023-01-20 11:08:54.157665,168432086,2,10327,264,0,6,0,0
4677,2023-01-20 11:08:55.159698,169434080,2,10408,265,0,6,0,0
5002,2023-01-20 11:08:56.162235,170436616,2,10490,266,0,6,0,0
5326,2023-01-20 11:08:57.164696,171439078,2,10571,267,0,6,0,0
5651,2023-01-20 11:08:58.167217,172441603,2,10653,268,0,6,0,0
5976,2023-01-20 11:08:59.154689,173444595,2,10734,269,0,6,0,0
6300,2023-01-20 11:09:00.151950,174446562,2,10815,270,0,6,0,0
6626,2023-01-20 11:09:01.154598,175449117,2,10896,271,0,6,0,0
6950,2023-01-20 11:09:02.156919,176451556,2,10977,272,0,6,0,0
7273,2023-01-20 11:09:03.159428,177454088,2,11058,273,0,6,0,0
7599,2023-01-20 11:09:04.162188,178456874,2,11139,274,0,6,0,0
7922,2023-01-20 11:09:05.164829,179459489,2,11220,275,0,6,0,0
8247,2023-01-20 11:09:06.166889,180461569,2,11302,276,0,6,0,0
8570,2023-01-20 11:09:07.169437,181464082,2,11383,277,0,6,0,0
8894,2023-01-20 11:09:08.171980,182466659,2,11464,278,0,6,0,0
9219,2023-01-20 11:09:09.159171,183469394,2,11547,279,0,6,0,0
9545,2023-01-20 11:09:10.157329,184471576,2,11628,280,0,6,0,0
9871,2023-01-20 11:09:11.159725,185474121,2,11709,281,0,6,0,0
10194,2023-01-20 11:09:12.162210,186476649,2,11790,282,0,6,0,0
10518,2023-01-20 11:09:13.164663,187479056,2,11871,283,0,6,0,0
10841,2023-01-20 11:09:14.167429,188481820,2,11952,284,0,6,0,0
11166,2023-01-20 11:09:15.169659,189484055,2,12039,285,0,6,0,0
11494,2023-01-20 11:09:16.172252,190486619,2,12128,286,0,6,0,0
11817,2023-01-20 11:09:17.174684,191489051,2,12211,287,0,6,0,0
12141,2023-01-20 11:09:18.177190,192491587,2,12294,288,0,6,0,0
12468,2023-01-20 11:09:19.160141,193494464,2,12377,289,0,6,0,0
12799,2023-01-20 11:09:20.162405,194496762,2,12460,290,0,6,0,0
13148,2023-01-20 11:09:21.164680,195499057,2,12543,291,0,6,0,0
13474,2023-01-20 11:09:22.167144,196501553,2,12626,292,0,6,0,0
13800,2023-01-20 11:09:23.169679,197504046,2,12709,293,0,6,0,0
14126,2023-01-20 11:09:24.172410,198506820,2,12792,294,0,6,0,0
14453,2023-01-20 11:09:25.174707,199509078,2,12875,295,0,6,0,0
14781,2023-01-20 11:09:26.177150,200511558,2,12959,296,0,6,0,0
15107,2023-01-20 11:09:27.179730,201514102,2,13042,297,0,6,0,0
15433,2023-01-20 11:09:28.182216,202516571,2,13125,298,0,6,0,0
15759,2023-01-20 11:09:29.165030,203519343,2,13208,299,0,6,0,0
16087,2023-01-20 11:09:30.167207,204521592,2,13294,300,0,6,0,0
16458,2023-01-20 11:09:31.169716,205524074,2,13377,301,0,6,0,0
16784,2023-01-20 11:09:32.172220,206526580,2,13460,302,0,6,0,0
17110,2023-01-20 11:09:33.174689,207529046,2,13543,303,0,6,0,0
17436,2023-01-20 11:09:34.177670,208532024,2,13626,304,0,6,0,0
17763,2023-01-20 11:09:35.179692,209534052,2,13709,305,0,6,0,0
18091,2023-01-20 11:09:36.182216,210536573,2,13793,306,0,6,0,0
18417,2023-01-20 11:09:37.164855,211539029,2,13876,307,0,6,0,0
18743,2023-01-20 11:09:38.167256,212541589,2,13959,308,0,6,0,0
19069,2023-01-20 11:09:39.172172,213546533,2,14042,309,0,6,0,0
19399,2023-01-20 11:09:40.174668,214549029,2,14127,310,0,6,0,0
19727,2023-01-20 11:09:41.177198,215551552,2,14210,311,0,6,0,0
20053,2023-01-20 11:09:42.179728,216554091,2,14293,312,0,6,0,0
20379,2023-01-20 11:09:43.182462,217556817,2,14376,313,0,6,0,0
20705,2023-01-20 11:09:44.185105,218559464,2,14459,314,0,6,0,0
21032,2023-01-20 11:09:45.187211,219561560,2,14542,315,0,6,0,0
21360,2023-01-20 11:09:46.169695,220564119,2,14626,316,0,6,0,0
21686,2023-01-20 11:09:47.172081,221566581,2,14709,317,0,6,0,0
22061,2023-01-20 11:09:48.174823,222569417,2,14792,318,0,6,0,0
22387,2023-01-20 11:09:49.176936,223571538,2,14875,319,0,6,0,0
22715,2023-01-20 11:09:50.179471,224574077,2,14958,320,0,6,0,0
23044,2023-01-20 11:09:51.181990,225576627,2,15041,321,0,6,0,0
23370,2023-01-20 11:09:52.184413,226579024,2,15124,322,0,6,0,0
23696,2023-01-20 11:09:53.187295,227581927,2,15207,323,0,6,0,0
24021,2023-01-20 11:09:54.189445,228584038,2,15290,324,0,6,0,0
24348,2023-01-20 11:09:55.191916,229586570,2,15373,325,0,6,0,0
24676,2023-01-20 11:09:56.174875,230589027,2,15457,326,0,6,0,0
25002,2023-01-20 11:09:57.177186,231591553,2,15540,327,0,6,0,0
25331,2023-01-20 11:09:58.180109,232594475,2,15623,328,0,6,0,0
25659,2023-01-20 11:09:59.182396,233596808,2,15706,329,0,6,0,0
26009,2023-01-20 11:10:00.184682,234599043,2,15789,330,0,6,0,0
26336,2023-01-20 11:10:01.187270,235601634,2,15872,331,0,6,0,0
26660,2023-01-20 11:10:02.189756,236604129,2,15955,332,0,6,0,0
26987,2023-01-20 11:10:03.192609,237606981,2,16041,333,0,6,0,0
27311,2023-01-20 11:10:04.194754,238609126,2,16124,334,0,6,0,0
27636,2023-01-20 11:10:05.179495,239611609,2,16207,335,0,6,0,0
27969,2023-01-20 11:10:06.200066,240614449,2,16296,336,0,6,0,0
28292,2023-01-20 11:10:07.182260,241616638,2,16379,337,0,6,0,0
28617,2023-01-20 11:10:08.185080,242619459,2,16463,338,0,6,0,0
28941,2023-01-20 11:10:09.187258,243621635,2,16549,339,0,6,0,0
29319,2023-01-20 11:10:10.189669,244624052,2,16635,340,0,6,0,0
29648,2023-01-20 11:10:11.192231,245626597,2,16718,341,0,6,0,0
29975,2023-01-20 11:10:12.194731,246629110,2,16802,342,0,6,0,0
30301,2023-01-20 11:10:13.197668,247632041,2,16885,343,0,6,0,0
30630,2023-01-20 11:10:14.200095,248634449,2,16969,344,0,6,0,0
30956,2023-01-20 11:10:15.202223,249636577,2,17052,345,0,6,0,0
31284,2023-01-20 11:10:16.184884,250639070,2,17137,346,0,6,0,0
31610,2023-01-20 11:10:17.187292,251641614,2,17220,347,0,6,0,0
31937,2023-01-20 11:10:18.192184,252646551,2,17304,348,0,6,0,0
32263,2023-01-20 11:10:19.194690,253649051,2,17387,349,0,6,0,0
32591,2023-01-20 11:10:20.197225,254651594,2,17471,350,0,6,0,0
32922,2023-01-20 11:10:21.200078,255654442,2,17554,351,0,6,0,0
33249,2023-01-20 11:10:22.203367,256657774,2,17637,352,0,6,0,0
33576,2023-01-20 11:10:23.205130,257659488,2,17721,353,0,6,0,0
33901,2023-01-20 11:10:24.207148,258661549,2,17804,354,0,6,0,0
34228,2023-01-20 11:10:25.208899,259664126,2,17888,355,0,6,0,0
34604,2023-01-20 11:10:26.192225,260666578,2,17972,356,0,6,0,0
34931,2023-01-20 11:10:27.195035,261669379,2,18056,357,0,6,0,0
35257,2023-01-20 11:10:28.197166,262671562,2,18139,358,0,6,0,0
35586,2023-01-20 11:10:29.200070,263674422,2,18223,359,0,6,0,0
35913,2023-01-20 11:10:30.202162,264676571,2,18306,360,0,6,0,0
36243,2023-01-20 11:10:31.204683,265679057,2,18390,361,0,6,0,0
36569,2023-01-20 11:10:32.208372,266682736,2,18473,362,0,6,0,0
36896,2023-01-20 11:10:33.209690,267684053,2,18557,363,0,6,0,0
37222,2023-01-20 11:10:34.211120,268686570,2,18640,364,0,6,0,0
37547,2023-01-20 11:10:35.194525,269689039,2,18724,365,0,6,0,0
37876,2023-01-20 11:10:36.196952,270691556,2,18808,366,0,6,0,0
38207,2023-01-20 11:10:37.200152,271694780,2,18891,367,0,6,0,0
38536,2023-01-20 11:10:38.202130,272696765,2,18975,368,0,6,0,0
38886,2023-01-20 11:10:39.204403,273699037,2,19058,369,0,6,0,0
39214,2023-01-20 11:10:40.206916,274701550,2,19142,370,0,6,0,0
39545,2023-01-20 11:10:41.209426,275704043,2,19227,371,0,6,0,0
39872,2023-01-20 11:10:42.213134,276707740,2,19311,372,0,6,0,0
40247,2023-01-20 11:10:43.214456,277709079,2,19394,373,0,6,0,0
40572,2023-01-20 11:10:44.197356,278711543,2,19478,374,0,6,0,0
40900,2023-01-20 11:10:45.217759,279714131,2,19561,375,0,6,0,0
41230,2023-01-20 11:10:46.202203,280716565,2,19646,376,0,6,0,0
41556,2023-01-20 11:10:47.205833,281720202,2,19729,377,0,6,0,0
